#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.892877,0.066832,0.576703,0.013027,0.013027,5.560788
7.164268,0.071355,0.998099,0.002630,0.002630,8.238548
6.933790,0.093908,1.988594,0.352263,0.352263,20.578246
7.514062,0.103674,1.878932,0.532751,0.532751,22.274433
8.363930,0.039932,2.263748,0.329844,0.329844,25.068815
7.663745,0.028473,2.802215,0.414863,0.414863,23.597404
8.976941,0.033500,3.276369,0.581443,0.581443,33.681535
5.252727,0.014127,1.748033,0.715840,0.715840,14.513124
5.022628,0.016216,1.845044,0.933359,0.933359,18.237578
6.697906,0.029841,2.681737,77.277659,77.277659,97.444092
5.406480,0.032731,5.842636,1.702153,1.702153,39.743860
9.249450,0.015346,7.336202,1.877965,1.877965,54.204716
7.406661,0.011696,5.442182,2.347261,2.347261,43.775061
11.169291,0.017570,8.714563,2.112129,2.112129,62.528665
4.131208,0.021392,0.222021,0.001819,0.001819,4.377369
6.947082,0.131538,1.733491,0.003233,0.003233,8.817191
7.330062,0.260025,7.028007,0.162993,0.162993,32.815463
8.689303,0.358977,7.847858,0.454197,0.454197,34.323279
7.972300,0.311158,11.440059,0.764631,0.764631,47.168487
7.843045,0.366500,10.254635,1.096765,1.096765,38.186667
5.697768,0.121734,4.669278,0.959787,0.959787,24.968459
8.333977,0.214086,19.289429,0.826651,0.826651,49.564488
6.681051,0.176602,9.360116,1.212246,1.212246,42.228538
6.034583,0.238301,11.381416,47.900491,47.900491,92.626878
5.591855,0.154526,10.474242,0.906504,0.906504,44.881749
9.186048,0.297678,17.475794,1.219762,1.219762,63.854920
6.569134,0.146312,11.006616,1.286887,1.286887,60.529937
7.071465,0.135657,15.027486,1.445449,1.445449,62.169081
5.325490,0.116757,10.409301,1.747338,1.747338,58.166447
7.015174,0.116528,10.063845,1.727412,1.727412,56.530943
8.668586,0.089494,12.911907,1.792348,1.792348,67.000246
7.397349,0.122521,20.823099,2.256092,2.256092,82.649744
12.647951,0.237499,33.881980,2.191521,2.191521,106.793296
13.171870,0.204620,25.133615,2.944831,2.944831,105.887356
6.639741,0.114528,17.239966,3.002517,3.002517,81.342985
7.814235,0.104295,17.145564,3.410039,3.410039,89.344493
7.159901,0.098228,13.054014,4.529100,4.529100,82.436819
8.838815,0.109672,14.321873,3.100065,3.100065,85.125726
9.607426,0.142596,18.635345,4.804189,4.804189,90.355230
7.428556,0.112943,23.417966,3.026524,3.026524,90.946585
13.757386,0.334084,37.944704,3.368755,3.368755,127.737343
10.512068,0.214338,32.079764,3.527353,3.527353,201.871052
6.572181,0.122607,17.575327,3.357612,3.357612,82.205473
6.866316,0.061106,14.261978,3.147220,3.147220,80.116140
7.051068,0.091973,15.055483,3.449692,3.449692,82.376062
7.035954,0.054477,16.542017,3.235795,3.235795,103.532950
7.060237,0.067585,0.448782,0.003973,0.003973,7.582747
7.943641,0.115081,1.058817,0.002917,0.002917,9.122342
7.464723,0.162750,1.559911,0.288401,0.288401,19.055633
4.964768,0.074576,0.937030,0.251042,0.251042,11.154185
4.486386,0.045640,1.161614,0.332725,0.332725,10.825174
8.280397,0.056656,3.000671,0.968878,0.968878,24.272819
8.710510,0.044729,3.491926,1.174678,1.174678,35.969494
5.843600,0.021441,1.766701,1.245854,1.245854,15.804506
5.957858,0.017471,2.051355,1.270799,1.270799,18.324077
8.214434,0.025136,4.915010,54.141921,54.141921,89.652322
10.118254,0.029129,5.682625,2.069550,2.069550,54.054364
4.564899,0.045537,0.493755,0.002615,0.002615,5.108389
7.283649,0.104938,1.217224,0.002607,0.002607,8.610231
