#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008464,3,1,0,393
0.001849,4,1,0,538
0.154407,5,1,0,659
0.110700,6,1,0,1105
0.139570,7,1,0,1607
0.266083,8,1,0,2160
0.340788,9,1,0,2534
0.634588,10,1,0,2982
0.413363,0,0,0,0
64.226767,0,0,0,0
0.539503,0,0,0,0
0.726263,0,0,0,0
1.112174,0,0,0,0
1.011709,0,0,0,0
1.103543,0,0,0,0
0.870653,0,0,0,0
1.251462,0,0,0,0
1.348899,0,0,0,0
2.159991,0,0,0,0
1.281381,0,0,0,0
1.762941,0,0,0,0
3.296163,0,0,0,0
2.371407,0,0,0,0
3.322281,0,0,0,0
2.344070,0,0,0,0
3.171295,0,0,0,0
2.905557,0,0,0,0
2.581569,0,0,0,0
2.780685,0,0,0,0
2.362241,0,0,0,0
2.947451,0,0,0,0
2.302011,0,0,0,0
3.258276,0,0,0,0
2.528341,0,0,0,0
2.471960,0,0,0,0
2.390016,0,0,0,0
2.345036,0,0,0,0
3.419724,0,0,0,0
2.712059,0,0,0,0
3.546915,0,0,0,0
3.033842,0,0,0,0
3.791610,0,0,0,0
3.795702,0,0,0,0
4.362054,0,0,0,0
3.113489,0,0,0,0
5.005568,0,0,0,0
3.691448,0,0,0,0
4.443409,3,1,0,472
3.654741,4,1,0,560
0.003133,5,1,0,690
0.001512,6,1,0,812
0.275875,7,1,0,926
0.366703,8,1,0,1053
0.220171,9,1,0,1129
0.590979,10,1,0,1256
0.609598,0,0,0,0
0.913010,0,0,0,0
0.738303,0,0,0,0
45.973844,0,0,0,0
0.269197,0,0,0,0
1.159175,0,0,0,0
0.766266,0,0,0,0
0.684350,0,0,0,0
0.655203,3,1,0,676
1.089154,4,1,0,1056
0.700284,5,1,0,1385
1.184804,6,1,0,2113
0.002417,7,1,0,2758
0.003324,8,1,0,3195
0.455072,9,1,0,3799
0.536094,10,1,0,4465
0.761629,0,0,0,0
1.362611,0,0,0,0
0.847615,0,0,0,0
0.855146,0,0,0,0
1.013126,0,0,0,0
104.567782,0,0,0,0
0.920098,0,0,0,0
1.232188,0,0,0,0
3.108027,0,0,0,0
1.377284,0,0,0,0
1.521814,0,0,0,0
2.281000,0,0,0,0
2.024452,0,0,0,0
1.840408,0,0,0,0
2.372216,0,0,0,0
2.569255,0,0,0,0
2.636214,0,0,0,0
4.916895,0,0,0,0
3.619875,0,0,0,0
3.287381,0,0,0,0
3.157369,0,0,0,0
3.576007,0,0,0,0
3.440959,0,0,0,0
3.482697,0,0,0,0
2.142608,0,0,0,0
4.009741,0,0,0,0
3.175445,0,0,0,0
3.753773,0,0,0,0
3.840093,0,0,0,0
3.509681,0,0,0,0
4.485242,0,0,0,0
4.656637,0,0,0,0
4.458869,0,0,0,0
3.798905,0,0,0,0
3.812501,0,0,0,0
2.903841,0,0,0,0
3.376921,0,0,0,0
2.104445,0,0,0,0
2.276784,0,0,0,0
2.583282,0,0,0,0
3.560616,0,0,0,0
2.433185,0,0,0,0
2.674417,0,0,0,0
3.759541,0,0,0,0
2.226233,0,0,0,0
3.494915,0,0,0,0
3.011257,0,0,0,0
2.155403,0,0,0,0
3.328738,0,0,0,0
3.232275,0,0,0,0
2.664067,0,0,0,0
3.612116,0,0,0,0
3.609134,0,0,0,0
4.349972,0,0,0,0
3.188048,0,0,0,0
2.759816,0,0,0,0
4.661848,0,0,0,0
3.128507,0,0,0,0
3.474203,0,0,0,0
3.089108,0,0,0,0
4.250773,0,0,0,0
3.692460,0,0,0,0
4.502268,0,0,0,0
5.175370,0,0,0,0
6.075238,0,0,0,0
4.666558,0,0,0,0
4.428266,0,0,0,0
5.044534,0,0,0,0
4.959281,0,0,0,0
5.971666,0,0,0,0
5.041999,0,0,0,0
4.812156,0,0,0,0
5.315198,0,0,0,0
4.482409,0,0,0,0
6.107195,0,0,0,0
6.608695,0,0,0,0
4.214851,0,0,0,0
4.661015,0,0,0,0
4.402421,0,0,0,0
7.592655,0,0,0,0
5.711260,0,0,0,0
7.764655,0,0,0,0
7.516599,0,0,0,0
4.403624,0,0,0,0
4.318274,0,0,0,0
4.830907,0,0,0,0
8.905240,0,0,0,0
8.004406,0,0,0,0
6.302017,0,0,0,0
6.222846,0,0,0,0
7.983475,0,0,0,0
5.698065,0,0,0,0
7.887712,0,0,0,0
7.642325,0,0,0,0
6.354141,0,0,0,0
7.357432,0,0,0,0
8.342613,0,0,0,0
5.311642,0,0,0,0
7.588124,0,0,0,0
7.159482,0,0,0,0
6.927766,0,0,0,0
5.169940,0,0,0,0
8.629057,0,0,0,0
6.351325,0,0,0,0
7.312484,0,0,0,0
6.584237,0,0,0,0
11.028603,0,0,0,0
7.158546,0,0,0,0
6.744573,0,0,0,0
6.026496,0,0,0,0
8.746878,0,0,0,0
5.953689,0,0,0,0
7.289896,0,0,0,0
5.362026,0,0,0,0
8.286447,0,0,0,0
7.345388,0,0,0,0
5.657966,0,0,0,0
5.761139,0,0,0,0
4.956445,0,0,0,0
7.090874,0,0,0,0
4.449094,0,0,0,0
6.746405,0,0,0,0
4.136893,0,0,0,0
6.256629,0,0,0,0
4.353104,0,0,0,0
4.924469,0,0,0,0
6.076709,0,0,0,0
6.297898,0,0,0,0
3.872373,0,0,0,0
2.835451,0,0,0,0
5.554320,0,0,0,0
4.229643,0,0,0,0
5.817299,0,0,0,0
4.042971,0,0,0,0
6.312701,0,0,0,0
4.600736,0,0,0,0
6.011748,0,0,0,0
7.535057,0,0,0,0
6.495564,0,0,0,0
6.171438,0,0,0,0
5.579181,0,0,0,0
5.866961,0,0,0,0
5.253298,0,0,0,0
4.685672,0,0,0,0
6.261826,0,0,0,0
6.614232,0,0,0,0
5.577405,0,0,0,0
4.104900,0,0,0,0
4.462034,0,0,0,0
7.562309,0,0,0,0
5.388140,0,0,0,0
7.071592,0,0,0,0
5.378997,0,0,0,0
7.746737,0,0,0,0
6.190599,0,0,0,0
7.357851,0,0,0,0
6.933817,0,0,0,0
4.559997,0,0,0,0
5.791379,0,0,0,0
5.657003,0,0,0,0
5.355880,0,0,0,0
4.829014,0,0,0,0
3.879912,0,0,0,0
5.507134,0,0,0,0
7.100110,0,0,0,0
6.470454,0,0,0,0
5.260416,0,0,0,0
4.494994,0,0,0,0
6.811309,0,0,0,0
5.856526,0,0,0,0
4.784452,0,0,0,0
4.943828,0,0,0,0
4.024687,0,0,0,0
5.485004,0,0,0,0
3.765304,0,0,0,0
3.908878,0,0,0,0
4.714353,0,0,0,0
6.177004,0,0,0,0
6.485554,0,0,0,0
3.528791,0,0,0,0
5.213974,0,0,0,0
3.237113,0,0,0,0
5.969040,0,0,0,0
5.239382,0,0,0,0
4.339639,0,0,0,0
5.429316,0,0,0,0
4.450450,0,0,0,0
4.373120,0,0,0,0
5.937712,0,0,0,0
6.558770,0,0,0,0
3.773733,0,0,0,0
8.995683,0,0,0,0
9.900549,0,0,0,0
3.713258,0,0,0,0
4.652698,0,0,0,0
4.897711,0,0,0,0
6.803979,0,0,0,0
4.597288,0,0,0,0
7.925557,0,0,0,0
4.645400,0,0,0,0
5.960034,0,0,0,0
5.459666,0,0,0,0
4.828672,0,0,0,0
6.023801,0,0,0,0
3.129269,0,0,0,0
3.273536,0,0,0,0
5.485875,0,0,0,0
10.342196,0,0,0,0
8.609457,0,0,0,0
4.225310,0,0,0,0
9.340452,0,0,0,0
6.579745,0,0,0,0
5.845697,0,0,0,0
5.728573,0,0,0,0
5.644014,0,0,0,0
5.372752,0,0,0,0
8.301178,0,0,0,0
