#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,14.730268,2.825669,0.002893,4.596747,0.779554,0.000901,19.840297
1403638518127829504.000000,0.000000,0.000000,14.609479,2.635701,0.073095,1.041557,0.747967,0.000559,20.560715
1403638518177829376.000000,0.000000,0.000000,14.700907,2.198830,0.057208,0.787544,0.815671,0.000445,19.757372
1403638518227829504.000000,0.000000,0.000000,16.318093,2.267742,0.057005,1.566954,1.486142,0.000858,21.624386
1403638518277829376.000000,0.000000,0.000000,14.589340,2.399282,0.042608,0.449866,0.661549,0.204001,19.646819
1403638518327829504.000000,0.000000,0.000000,15.547683,2.255042,0.047783,0.864548,0.925605,0.000395,21.286844
1403638518377829376.000000,0.000000,0.000000,15.678134,5.508988,0.101875,0.657992,1.017722,0.000403,24.297158
1403638518427829504.000000,0.000000,0.000000,15.160833,3.906949,0.052840,0.997525,2.032872,0.000570,21.716813
1403638518477829376.000000,0.000000,0.000000,14.918484,5.600875,0.159871,0.635557,1.168856,0.000396,24.118780
1403638518527829504.000000,0.000000,0.000000,14.727096,5.743552,0.092309,0.568892,1.123120,0.000324,23.324534
1403638518577829376.000000,0.000000,0.000000,14.454020,5.635757,0.091779,0.710082,1.003996,0.259276,23.119342
1403638518627829504.000000,0.000000,0.000000,14.537607,5.793861,0.101441,2.657049,2.463374,0.000608,23.142413
1403638518677829376.000000,0.000000,0.000000,15.121691,4.537295,0.078401,1.115217,1.548442,0.000506,22.629363
1403638518727829504.000000,0.000000,0.000000,14.047768,3.677619,0.055426,1.056084,1.368869,0.000409,20.523548
1403638518777829376.000000,0.000000,0.000000,14.733127,6.199964,0.102394,1.903365,2.204057,0.000569,24.120672
1403638518827829504.000000,0.000000,0.000000,14.701378,5.263346,0.043559,1.517587,2.218279,0.000582,23.255788
1403638518877829376.000000,0.000000,0.000000,15.031989,5.617024,0.091933,1.617380,2.250373,0.612388,24.126740
1403638518927829504.000000,0.000000,0.000000,14.287370,4.693842,0.064313,2.220276,4.114837,0.000647,22.355638
1403638518977829376.000000,0.000000,0.000000,14.371464,6.659968,0.103688,2.821704,2.913404,0.000734,24.261709
1403638519027829504.000000,0.000000,0.000000,14.091156,5.939772,0.098361,2.899900,2.825863,0.000710,23.053952
1403638519077829376.000000,0.000000,0.000000,14.833284,3.679823,0.077463,2.339731,2.856272,0.000591,21.508141
1403638519127829504.000000,0.000000,0.000000,15.936158,2.338066,0.052882,3.615689,3.857883,0.000727,21.695351
1403638519177829376.000000,0.000000,0.000000,14.886350,5.894358,0.092242,2.302875,2.690198,0.293241,24.028133
1403638519227829504.000000,0.000000,0.000000,14.231513,2.287379,0.052612,2.809072,3.323304,0.000482,19.203377
1403638519277829376.000000,0.000000,0.000000,14.197408,5.745306,0.102018,3.637987,4.249328,0.000651,23.203405
1403638519327829504.000000,0.000000,0.000000,14.679349,2.201704,0.063566,2.732274,3.182500,0.000717,19.405696
1403638519377829376.000000,0.000000,0.000000,14.327741,5.570965,0.094364,4.864184,4.529550,0.000645,23.114036
1403638519427829504.000000,0.000000,0.000000,15.202901,2.082831,0.053267,3.659932,5.334954,0.387434,19.945537
1403638519477829376.000000,0.000000,0.000000,14.528125,2.323488,0.053946,4.613280,5.234609,0.000672,19.928945
1403638519527829504.000000,0.000000,0.000000,14.649139,2.399492,0.054806,2.313584,3.463093,0.000421,20.251010
1403638519577829376.000000,0.000000,0.000000,14.505188,5.894923,0.098268,3.719869,5.087019,0.000560,23.653231
1403638519627829504.000000,0.000000,0.000000,13.944929,2.370686,0.074483,5.601146,5.599611,0.000764,19.018410
1403638519677829376.000000,0.000000,0.000000,15.538921,2.513764,0.049574,2.784300,4.144985,0.332708,20.657499
1403638519727829504.000000,0.000000,0.000000,14.826900,3.587697,0.072171,2.802996,3.707737,0.000526,21.492499
1403638519777829376.000000,0.000000,0.000000,15.650277,2.384151,0.053590,4.651481,6.575652,0.000768,20.887772
1403638519827829504.000000,0.000000,0.000000,15.678374,2.427951,0.044954,3.690993,6.763320,0.000814,20.726509
1403638519877829376.000000,0.000000,0.000000,14.144313,4.811532,0.100788,1.837626,4.228086,0.000651,22.012140
1403638519927829504.000000,0.000000,0.000000,15.764892,2.140068,0.055752,1.569930,3.529617,0.200088,20.464634
1403638519977829376.000000,0.000000,0.000000,15.523306,2.164912,0.049426,2.266765,4.914816,0.000568,20.217086
1403638520027829504.000000,0.000000,0.000000,15.517340,3.055510,0.051813,1.316107,3.941199,0.000680,21.300454
1403638520077829376.000000,0.000000,0.000000,15.143786,4.627769,0.075091,1.405856,3.553397,0.000524,22.651533
1403638520127829504.000000,0.000000,0.000000,14.959396,5.694304,0.101288,2.358944,4.648391,0.000654,23.814097
1403638520177829376.000000,0.000000,0.000000,15.033412,6.110420,0.066960,2.319943,3.526929,0.233558,24.005596
1403638520227829504.000000,0.000000,0.000000,14.365091,3.605542,0.065106,2.895316,5.180563,0.000855,21.151361
1403638520277829376.000000,0.000000,0.000000,15.015832,2.333920,0.046440,2.108466,4.138294,0.000512,20.055071
1403638520327829504.000000,0.000000,0.000000,16.155195,2.254275,0.065436,3.701043,5.045559,0.000655,21.183928
1403638520377829376.000000,0.000000,0.000000,14.490530,2.174708,0.052491,3.855678,5.314428,0.000510,19.248849
1403638520427829504.000000,0.000000,0.000000,17.475163,2.228177,0.053119,3.944858,5.574910,0.365557,22.978451
1403638520477829376.000000,0.000000,0.000000,14.213432,4.799102,0.081772,4.126866,5.957398,0.000966,21.847119
1403638520527829504.000000,0.000000,0.000000,14.824011,3.232703,0.052920,0.058867,7.690356,0.064014,21.035724
1403638520577829376.000000,0.000000,0.000000,14.530835,2.174157,0.051993,0.050262,5.797141,0.043412,19.288398
1403638520627829504.000000,0.000000,0.000000,14.529175,5.796618,0.101558,0.077620,6.563444,0.320936,23.235158
1403638520677829376.000000,0.000000,0.000000,14.228714,2.265589,0.056066,0.076049,9.131379,0.095785,20.010192
1403638520727829504.000000,0.000000,0.000000,14.702409,2.124267,0.053057,0.052827,6.098677,0.394894,19.370716
1403638520777829376.000000,0.000000,0.000000,15.608041,6.133482,0.110592,0.076571,9.950367,0.085917,24.946139
1403638520827829504.000000,0.000000,0.000000,15.994709,2.130657,0.055910,0.058372,5.968435,0.311625,21.151252
1403638520877829376.000000,0.000000,0.000000,13.919235,2.140277,0.052917,0.055939,7.869521,0.062031,18.445853
1403638520927829504.000000,0.000000,0.000000,14.914798,2.363058,0.044759,0.060809,7.060376,0.298373,20.024341
1403638520977829376.000000,0.000000,0.000000,14.131995,6.576907,0.101772,0.077626,7.993938,0.073861,24.198170
