#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,16.418125,5.388300,0.002488,8.015797,5.565785,0.001475,24.142985
1403715273312143104.000000,0.000000,0.000000,17.070707,5.884751,0.062657,4.719538,5.004160,0.000744,25.777041
1403715273362142976.000000,0.000000,0.000000,15.615376,4.307651,0.061475,2.998101,3.722850,0.000775,22.934814
1403715273412143104.000000,0.000000,0.000000,15.494457,7.747524,0.084601,2.265876,3.529380,0.000448,26.104741
1403715273462142976.000000,0.000000,0.000000,15.752559,7.575528,0.072704,3.834948,6.130625,0.952214,26.287935
1403715273512143104.000000,0.000000,0.000000,13.915876,10.688042,0.113831,5.286516,4.677423,0.000703,27.837863
1403715273562142976.000000,0.000000,0.000000,14.766332,11.079475,0.098575,3.112111,5.266492,0.000764,28.782265
1403715273612143104.000000,0.000000,0.000000,16.892820,4.113329,0.051473,5.009849,6.253100,0.000647,23.471961
1403715273662142976.000000,0.000000,0.000000,16.340996,11.134980,0.086947,3.019197,4.512607,0.000609,30.568951
1403715273712143104.000000,0.000000,0.000000,15.779904,4.179342,0.091236,4.835023,5.317340,0.648469,22.710934
1403715273762142976.000000,0.000000,0.000000,15.147957,7.137235,0.055211,4.741230,5.008113,0.000504,25.057225
1403715273812143104.000000,0.000000,0.000000,15.795693,10.875115,0.102135,4.530808,8.448049,0.000873,29.632255
1403715273862142976.000000,0.000000,0.000000,16.848247,7.194200,0.050877,4.055218,6.242699,0.000646,27.034027
1403715273912143104.000000,0.000000,0.000000,17.394662,9.783864,0.093398,3.190228,5.537799,0.000607,30.441250
1403715273962142976.000000,0.000000,0.000000,16.849763,5.850185,0.045494,2.823631,5.033106,0.421471,25.605378
1403715274012143104.000000,0.000000,0.000000,14.814545,8.997293,0.067617,3.915869,5.573918,0.000880,26.757420
1403715274062142976.000000,0.000000,0.000000,16.161829,11.259742,0.112204,3.612105,5.366068,0.000493,30.790407
1403715274112143104.000000,0.000000,0.000000,14.997702,4.461787,0.052577,3.338481,5.473557,0.000522,22.571782
1403715274162142976.000000,0.000000,0.000000,15.355586,4.528439,0.044720,5.307047,7.350660,0.000621,22.959268
1403715274212143104.000000,0.000000,0.000000,14.863097,9.321070,0.070349,3.735432,6.132663,0.552975,27.470226
1403715274262142976.000000,0.000000,0.000000,15.362652,4.448011,0.044105,5.184225,7.424962,0.000745,22.992161
1403715274312143104.000000,0.000000,0.000000,16.042208,9.643367,0.081436,5.473269,7.208341,0.000619,28.543982
1403715274362142976.000000,0.000000,0.000000,17.528653,11.018414,0.107595,4.080160,5.795869,0.000411,31.691247
1403715274412143104.000000,0.000000,0.000000,16.005770,10.060785,0.108842,4.068766,6.938573,0.000688,29.023621
1403715274462142976.000000,0.000000,0.000000,17.998804,9.313082,0.047508,4.311604,7.860862,0.555150,29.833874
1403715274512143104.000000,0.000000,0.000000,14.740547,11.013129,0.100278,6.559682,8.178853,0.001242,28.649320
1403715274562142976.000000,0.000000,0.000000,15.975816,11.057806,0.102348,4.377846,6.176943,0.000918,30.475470
1403715274612143104.000000,0.000000,0.000000,15.155435,11.425338,0.103985,6.116742,8.186428,0.000666,29.628779
1403715274662142976.000000,0.000000,0.000000,16.304686,11.451124,0.111567,6.239894,7.154325,0.000714,31.528193
