#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008643,3,1,0,2083
0.003069,4,1,0,2594
0.278654,5,1,0,3087
1.092733,6,1,0,3693
0.856067,7,1,0,4237
1.323202,8,1,0,4726
1.463293,9,1,0,5032
1.531939,10,1,0,5422
1.970489,0,0,0,0
82.830950,0,0,0,0
2.470668,0,0,0,0
2.454724,0,0,0,0
3.382713,0,0,0,0
3.147911,0,0,0,0
3.292386,0,0,0,0
3.900227,0,0,0,0
3.830779,0,0,0,0
4.310065,0,0,0,0
4.292374,0,0,0,0
5.026634,0,0,0,0
5.034936,0,0,0,0
7.680586,0,0,0,0
6.108477,0,0,0,0
6.211039,0,0,0,0
6.393032,0,0,0,0
6.359741,0,0,0,0
6.418396,0,0,0,0
5.114691,0,0,0,0
5.980655,0,0,0,0
5.746134,0,0,0,0
8.160992,0,0,0,0
6.250170,0,0,0,0
5.088345,0,0,0,0
8.060975,0,0,0,0
6.682902,0,0,0,0
6.670177,0,0,0,0
8.357933,0,0,0,0
6.393342,0,0,0,0
4.438635,0,0,0,0
6.308763,0,0,0,0
5.696212,0,0,0,0
6.257684,0,0,0,0
4.916348,0,0,0,0
4.179262,0,0,0,0
6.396666,0,0,0,0
3.917550,0,0,0,0
2.947088,0,0,0,0
8.352296,0,0,0,0
4.962286,0,0,0,0
5.197070,0,0,0,0
5.313999,0,0,0,0
4.753445,0,0,0,0
4.854054,0,0,0,0
1.631536,0,0,0,0
2.381229,0,0,0,0
4.407806,0,0,0,0
5.161916,0,0,0,0
4.036980,0,0,0,0
5.620694,0,0,0,0
5.103298,0,0,0,0
5.278692,0,0,0,0
6.107361,0,0,0,0
4.542912,0,0,0,0
4.617983,0,0,0,0
6.152339,0,0,0,0
6.253121,0,0,0,0
5.242348,0,0,0,0
5.961353,0,0,0,0
4.247920,0,0,0,0
5.772395,0,0,0,0
4.790522,0,0,0,0
6.916523,0,0,0,0
5.671469,0,0,0,0
6.837470,0,0,0,0
8.843311,0,0,0,0
5.735430,0,0,0,0
7.278231,0,0,0,0
6.071984,0,0,0,0
9.451849,0,0,0,0
7.332619,0,0,0,0
5.241764,0,0,0,0
7.161794,0,0,0,0
5.079801,0,0,0,0
4.838013,0,0,0,0
9.962612,0,0,0,0
4.492412,0,0,0,0
6.537261,0,0,0,0
5.722976,0,0,0,0
5.947784,0,0,0,0
3.182997,0,0,0,0
3.015641,0,0,0,0
4.093391,0,0,0,0
3.785481,0,0,0,0
4.088065,0,0,0,0
5.099529,0,0,0,0
5.627730,0,0,0,0
4.811983,0,0,0,0
6.271191,0,0,0,0
9.961749,0,0,0,0
7.141427,0,0,0,0
8.156018,0,0,0,0
5.705123,0,0,0,0
6.955616,0,0,0,0
6.747890,0,0,0,0
6.519845,0,0,0,0
5.376306,0,0,0,0
6.295285,0,0,0,0
5.766834,0,0,0,0
8.606268,0,0,0,0
5.826733,0,0,0,0
5.731662,0,0,0,0
6.985009,0,0,0,0
7.133388,0,0,0,0
5.911389,0,0,0,0
7.959417,0,0,0,0
8.170086,0,0,0,0
10.478067,0,0,0,0
9.729343,0,0,0,0
9.892523,0,0,0,0
10.411623,0,0,0,0
8.863818,0,0,0,0
3.976859,0,0,0,0
1.950994,0,0,0,0
3.792763,0,0,0,0
1.600702,0,0,0,0
3.495344,0,0,0,0
3.720277,0,0,0,0
4.386140,0,0,0,0
3.413919,0,0,0,0
3.261959,0,0,0,0
2.101601,0,0,0,0
4.693665,0,0,0,0
2.380796,0,0,0,0
4.232723,0,0,0,0
4.736209,0,0,0,0
3.645219,0,0,0,0
5.684172,0,0,0,0
4.623979,0,0,0,0
2.216571,0,0,0,0
3.342696,0,0,0,0
3.224991,0,0,0,0
1.631006,0,0,0,0
2.929926,0,0,0,0
3.201530,0,0,0,0
3.072341,0,0,0,0
2.809649,0,0,0,0
3.673781,0,0,0,0
3.517753,0,0,0,0
3.159017,0,0,0,0
3.160512,0,0,0,0
4.133708,0,0,0,0
4.072909,0,0,0,0
5.219913,0,0,0,0
4.811947,0,0,0,0
4.772942,0,0,0,0
2.265831,0,0,0,0
4.771238,0,0,0,0
3.073812,0,0,0,0
2.682371,0,0,0,0
5.748283,0,0,0,0
3.429915,0,0,0,0
4.791328,0,0,0,0
5.836071,0,0,0,0
4.891916,0,0,0,0
4.359237,0,0,0,0
9.849976,0,0,0,0
6.775702,0,0,0,0
5.314581,0,0,0,0
8.489213,0,0,0,0
7.867076,0,0,0,0
6.274932,0,0,0,0
6.517949,0,0,0,0
6.622035,0,0,0,0
8.965544,0,0,0,0
