#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.036974,0.105841,0.855250,0.008613,0.008613,8.013885
7.767337,0.265650,2.368951,0.002840,0.002840,10.407384
4.870482,0.123167,1.481887,0.243901,0.243901,14.810795
7.006411,0.133217,4.695934,0.699377,0.699377,36.090649
5.757079,0.133765,5.385852,0.917949,0.917949,39.908736
10.120129,0.345184,14.814470,1.008648,1.008648,60.629141
10.039135,0.312238,20.521661,1.053435,1.053435,72.368698
9.914918,0.362264,21.643985,1.317598,1.317598,67.670338
9.963676,0.324832,25.615806,1.188196,1.188196,73.701465
4.721811,0.322637,21.290686,82.465591,82.465591,150.592774
4.480046,0.114444,10.365804,1.097607,1.097607,65.226845
5.656983,0.134376,11.081371,1.332513,1.332513,58.093788
5.742650,0.133918,13.346971,1.387950,1.387950,58.699275
6.368545,0.139989,15.362734,1.746734,1.746734,69.680276
9.016474,0.150352,22.751862,1.702719,1.702719,73.965457
7.712358,0.167276,15.958592,2.557406,2.557406,72.087283
7.702092,0.183670,15.172772,3.230494,3.230494,71.928571
6.375843,0.127232,16.419173,2.266392,2.266392,73.491841
6.370117,0.129558,18.279849,2.616349,2.616349,81.145157
6.187259,0.168989,16.747974,2.757688,2.757688,80.050410
6.121992,0.206068,20.424527,4.158299,4.158299,89.972697
5.318516,0.134340,16.551265,4.318755,4.318755,93.861359
5.998441,0.131319,20.073502,3.924596,3.924596,98.184179
6.007579,0.156483,18.135738,3.839620,3.839620,88.982870
7.730674,0.154161,23.464185,3.569127,3.569127,104.090053
7.593979,0.121457,22.389533,4.271569,4.271569,96.890064
7.900720,0.118169,20.425189,4.107453,4.107453,94.425974
7.469688,0.141071,23.483891,4.125239,4.125239,101.911492
6.780442,0.148342,20.744501,4.713403,4.713403,95.972146
6.550790,0.186097,22.879423,4.955375,4.955375,93.741839
6.594368,0.133415,22.865351,5.638233,5.638233,99.307021
6.000871,0.162014,19.550407,3.938032,3.938032,92.756128
6.233042,0.153269,18.089706,3.901770,3.901770,86.504319
4.784267,0.159752,15.530714,3.472937,3.472937,80.087401
4.424742,0.144004,14.012680,3.454891,3.454891,83.544123
4.272687,0.149987,11.977995,3.201319,3.201319,163.761720
3.877826,0.140500,14.533190,2.745888,2.745888,78.384982
5.101607,0.119093,12.707199,3.459130,3.459130,73.026578
5.538710,0.176405,18.932744,4.949116,4.949116,85.178777
9.220369,0.322989,23.170132,3.093298,3.093298,102.797672
6.248902,0.234688,17.376488,3.735398,3.735398,97.991301
5.667641,0.284963,14.693990,4.278374,4.278374,91.264682
9.451899,0.338806,25.362944,4.340586,4.340586,121.056526
6.261363,0.250853,14.358822,3.684057,3.684057,96.460112
5.965758,0.276080,24.403421,3.642392,3.642392,108.706720
6.029776,0.278723,19.365597,3.428461,3.428461,108.316900
5.552466,0.289023,15.445284,2.850464,2.850464,92.098937
7.254339,0.233608,12.421716,4.756300,4.756300,93.545884
5.194707,0.180062,11.458590,4.427551,4.427551,84.538785
4.604325,0.174728,10.595202,3.213838,3.213838,82.152353
5.659321,0.270516,12.859967,5.388353,5.388353,91.967716
4.737073,0.174524,11.762164,3.322601,3.322601,87.186746
4.664018,0.173822,9.845938,2.750286,2.750286,81.436297
4.200714,0.212518,8.940689,1.191195,1.191195,74.956058
3.896742,0.211389,9.715105,2.189126,2.189126,80.522398
4.184851,0.205752,9.431090,2.567432,2.567432,88.871611
7.696458,0.447858,18.821667,1.233866,1.233866,101.962469
8.390355,0.467873,21.271779,1.727547,1.727547,121.748646
6.583525,0.317021,13.373400,1.436805,1.436805,96.103984
5.690684,0.243567,11.112856,2.302965,2.302965,98.808509
6.099186,0.289026,13.240137,3.422929,3.422929,105.893210
7.073727,0.225053,16.953534,2.216147,2.216147,106.509391
8.770637,0.328383,18.691604,1.983780,1.983780,113.884675
6.236448,0.247472,12.104037,1.474526,1.474526,101.726800
5.713558,0.220678,13.481850,2.063903,2.063903,104.572233
11.066656,0.467451,27.588345,2.022077,2.022077,126.543819
7.001449,0.260332,13.802532,1.955098,1.955098,102.836151
8.205134,0.473594,27.441486,2.448611,2.448611,128.424908
5.565819,0.204384,12.192439,1.414805,1.414805,99.371820
10.917419,0.528147,31.204652,2.249728,2.249728,127.656613
6.584685,0.377971,16.657302,1.810541,1.810541,110.957604
8.121055,0.266943,22.806021,3.759611,3.759611,119.195914
7.140481,0.247094,17.728463,2.107125,2.107125,110.718255
6.152580,0.206382,17.212922,4.917579,4.917579,114.990137
7.890188,0.316323,20.323149,3.520575,3.520575,126.251483
6.547726,0.280851,16.966264,4.215674,4.215674,120.447910
4.413818,0.313470,13.824882,4.330316,4.330316,119.772555
4.837518,0.246154,17.195842,3.724423,3.724423,120.044440
3.997807,0.223051,12.895246,2.980357,2.980357,106.327634
4.712635,0.215053,14.529893,3.707959,3.707959,120.551790
5.396771,0.165151,15.376255,4.407754,4.407754,110.393259
4.541299,0.164854,16.437729,3.228573,3.228573,129.030573
5.656594,0.240599,20.197161,4.121036,4.121036,126.449620
4.684069,0.193850,16.240697,3.752077,3.752077,157.220072
4.491346,0.156936,19.399424,4.825366,4.825366,113.377128
6.670794,0.188934,20.298042,4.092075,4.092075,152.862233
6.326156,0.174373,19.853462,3.862487,3.862487,120.618119
8.172360,0.180708,19.047421,2.810394,2.810394,126.961131
13.738409,0.649369,35.166581,4.309887,4.309887,156.830105
12.935714,0.455708,38.686250,3.069841,3.069841,155.472124
6.166787,0.234790,16.921996,3.611699,3.611699,126.396479
12.285051,0.521186,34.490735,3.424457,3.424457,151.178311
6.139102,0.358690,15.788733,3.362027,3.362027,120.160457
5.994505,0.373415,13.734511,3.520386,3.520386,123.756056
8.236287,0.751977,18.787039,1.834915,1.834915,137.136182
4.071939,0.376175,9.404141,3.548677,3.548677,121.596106
4.799025,0.319022,9.120431,1.992144,1.992144,124.575217
5.878264,0.322616,10.992972,1.812467,1.812467,130.760082
6.015073,0.257098,9.648001,1.407836,1.407836,124.540701
5.821755,0.304418,11.404964,2.948515,2.948515,127.700440
5.691994,0.279840,9.056893,1.368098,1.368098,516.924185
5.134646,0.441644,10.094156,1.026137,1.026137,71.588705
4.698992,0.203593,13.637823,1.118788,1.118788,127.157865
4.675897,0.259843,16.421404,1.790499,1.790499,125.294647
8.044835,0.533783,21.765455,1.299252,1.299252,138.960532
4.871215,0.231155,12.542590,2.908827,2.908827,140.258054
5.327874,0.212640,13.030647,1.674599,1.674599,130.367248
5.860937,0.336151,13.156277,2.996352,2.996352,124.316562
6.691678,0.220451,13.359101,3.485272,3.485272,134.069401
5.310414,0.242209,17.063840,3.211732,3.211732,130.379141
11.474885,0.600208,31.159735,3.551794,3.551794,177.394462
10.850779,0.590718,25.617682,6.918975,6.918975,146.059417
9.114580,0.428283,23.601615,4.625166,4.625166,141.347082
5.238906,0.299741,13.975456,8.717784,8.717784,136.063016
5.175357,0.264682,13.727657,3.106884,3.106884,124.970675
7.149103,0.287956,15.734880,5.817300,5.817300,146.091556
7.247235,0.308511,19.377095,3.369122,3.369122,145.728408
6.101433,0.385691,16.731352,4.666773,4.666773,133.565007
