#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.753054,0.053335,0.496767,0.008593,0.008593,7.318886
6.838338,0.070492,0.988068,0.002743,0.002743,7.901701
8.542527,0.091744,1.309837,0.330168,0.330168,19.162247
7.703740,0.091431,1.762506,0.498251,0.498251,23.357464
10.853757,0.038886,2.170195,0.894307,0.894307,26.167982
7.080810,0.023333,2.652236,0.510400,0.510400,21.562950
8.273216,0.018906,3.124379,1.172164,1.172164,27.153093
7.123914,0.030010,3.387594,1.562606,1.562606,34.608026
7.005810,0.017303,1.971614,0.916546,0.916546,20.464907
10.525169,0.032526,5.613336,47.681251,47.681251,86.769250
9.562073,0.041222,7.014015,1.316955,1.316955,55.445541
10.329382,0.018166,7.592749,1.843295,1.843295,48.436485
4.268510,0.021177,0.213937,0.001720,0.001720,4.506341
7.146249,0.115255,1.218301,0.002295,0.002295,8.483795
4.470262,0.151477,3.588419,0.148244,0.148244,19.154181
6.744915,0.248723,4.732906,0.263869,0.263869,22.568455
8.703399,0.496671,13.898312,0.467822,0.467822,42.786135
7.387234,0.251733,9.021134,0.566060,0.566060,34.817744
8.420476,0.382794,13.358583,1.179413,1.179413,44.575936
5.812674,0.130950,7.647162,0.858268,0.858268,41.328993
6.230368,0.104719,10.132755,1.214829,1.214829,42.044257
5.561069,0.168204,11.327619,37.935292,37.935292,89.684347
9.794477,0.174515,15.996537,0.898176,0.898176,61.622209
9.620519,0.312284,16.407456,0.906447,0.906447,58.945184
7.524838,0.202475,15.433119,1.290625,1.290625,56.008624
7.598279,0.177521,13.218126,1.864281,1.864281,51.176511
5.734861,0.080038,10.174426,1.599385,1.599385,51.808142
6.395046,0.096196,13.077042,1.413472,1.413472,64.274755
11.360922,0.283109,18.229096,1.980767,1.980767,71.866316
11.635935,0.211288,26.161352,2.241277,2.241277,87.495629
8.678851,0.212626,22.853962,2.657771,2.657771,83.318446
12.498804,0.349234,29.942678,2.565017,2.565017,98.540972
13.601020,0.456795,38.065139,2.739702,2.739702,116.006798
9.688928,0.213591,26.704843,3.564048,3.564048,108.978571
6.790003,0.202807,18.992863,4.907910,4.907910,98.659535
6.683455,0.111964,16.692992,2.934094,2.934094,84.514093
6.175075,0.091361,11.632438,3.646409,3.646409,79.045645
8.450335,0.083493,14.021152,3.567866,3.567866,82.421483
6.997942,0.096006,17.101594,4.978055,4.978055,84.440614
7.561808,0.095263,18.358637,5.209258,5.209258,91.246124
7.061949,0.180820,21.275755,4.314466,4.314466,90.620072
13.426357,0.306113,36.652008,3.516405,3.516405,241.083223
7.430298,0.208464,19.365154,3.511828,3.511828,86.864401
6.373250,0.087038,21.096652,3.030737,3.030737,89.149010
8.160499,0.101987,16.356765,3.446061,3.446061,85.077008
6.636678,0.077939,15.308740,3.503352,3.503352,79.926451
7.294491,0.038555,16.435463,3.253497,3.253497,92.436957
6.166409,0.041357,16.196815,3.891532,3.891532,80.081515
6.458112,0.027873,0.311609,0.003493,0.003493,6.802894
4.170020,0.042917,0.396914,0.001315,0.001315,4.612039
6.849110,0.181654,1.549804,0.305446,0.305446,16.484498
6.455174,0.128421,1.938355,0.379406,0.379406,17.078853
7.228769,0.071639,2.112864,0.487860,0.487860,19.318284
