#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,12.038573,3.459660,0.002498,5.492349,1.636275,0.001347,17.878702
1403637130588318976.000000,0.000000,0.000000,12.048323,2.712627,0.076929,1.729241,1.398321,0.000640,17.945111
1403637130638319104.000000,0.000000,0.000000,11.762264,2.479760,0.064323,2.154365,1.595789,0.000474,17.003800
1403637130688318976.000000,0.000000,0.000000,12.601325,2.492643,0.046296,3.470458,2.665431,0.000669,17.477937
1403637130738319104.000000,0.000000,0.000000,12.633166,5.023296,0.099773,4.326796,2.620776,0.000925,26.524472
1403637130788318976.000000,0.000000,0.000000,12.969001,2.722515,0.053233,4.453859,3.289936,1.225510,25.519037
1403637130838319104.000000,0.000000,0.000000,11.988773,2.456648,0.073464,2.201116,1.634253,0.000412,20.517396
1403637130888318976.000000,0.000000,0.000000,13.009101,2.677084,0.055261,4.080981,3.115480,0.000708,21.980652
1403637130938319104.000000,0.000000,0.000000,12.326815,7.332672,0.102818,2.826998,3.228642,0.001303,29.725614
1403637130988318976.000000,0.000000,0.000000,12.818705,6.688305,0.109994,1.798907,1.407161,0.000481,29.612667
1403637131038319104.000000,0.000000,0.000000,12.003526,6.475154,0.110338,2.611141,2.026121,0.000558,30.947592
1403637131088318976.000000,0.000000,0.000000,14.153816,2.665385,0.047315,3.001107,1.852494,0.403699,23.265550
1403637131138319104.000000,0.000000,0.000000,13.128421,6.158333,0.100128,1.974719,1.423154,0.000498,29.596384
1403637131188318976.000000,0.000000,0.000000,12.072164,6.072079,0.095284,3.040492,2.935589,0.000650,27.189275
1403637131238319104.000000,0.000000,0.000000,13.443298,2.477519,0.047470,2.147997,2.392616,0.001015,21.751603
1403637131288318976.000000,0.000000,0.000000,13.216759,2.402967,0.067679,1.934186,1.405010,0.000462,23.213254
1403637131338319104.000000,0.000000,0.000000,12.568458,6.122746,0.098548,2.172298,1.719668,0.400077,27.019855
1403637131388318976.000000,0.000000,0.000000,12.360502,7.455929,0.038032,2.168818,1.722795,0.000660,25.766604
1403637131438319104.000000,0.000000,0.000000,13.120683,5.029556,0.080478,1.832194,1.700362,0.000405,26.879897
1403637131488318976.000000,0.000000,0.000000,13.516141,2.534739,0.052513,1.900564,1.411796,0.000379,23.360721
1403637131538319104.000000,0.000000,0.000000,12.368217,2.554624,0.056207,2.741015,2.296374,0.000716,20.752299
1403637131588318976.000000,0.000000,0.000000,13.531413,2.446151,0.059041,4.064239,3.442612,0.772858,22.829280
1403637131638319104.000000,0.000000,0.000000,13.347965,2.579543,0.057778,2.097741,1.453295,0.000694,22.336261
1403637131688318976.000000,0.000000,0.000000,11.955513,2.658590,0.049343,3.077919,1.778318,0.000473,20.908641
1403637131738319104.000000,0.000000,0.000000,13.384792,3.048219,0.047774,1.792961,1.790710,0.000428,22.299379
1403637131788318976.000000,0.000000,0.000000,11.626827,3.214081,0.062920,2.095336,1.570449,0.000443,22.647388
1403637131838319104.000000,0.000000,0.000000,11.455762,6.031711,0.118102,3.709722,2.609403,0.601885,28.988581
1403637131888318976.000000,0.000000,0.000000,14.368533,2.406282,0.055511,3.611975,1.904998,0.001330,22.976532
1403637131938319104.000000,0.000000,0.000000,14.087857,2.385574,0.052473,4.784343,3.129891,0.001224,24.635795
1403637131988318976.000000,0.000000,0.000000,12.571025,2.626257,0.055299,4.319754,2.836585,0.000814,21.480859
1403637132038319104.000000,0.000000,0.000000,13.291941,2.662375,0.051733,1.942867,2.752342,0.001096,22.176300
1403637132088318976.000000,0.000000,0.000000,13.575615,5.036274,0.107231,3.962651,4.157409,0.817482,28.516594
1403637132138319104.000000,0.000000,0.000000,11.763825,3.891828,0.091000,4.026533,3.829829,0.000621,24.345065
1403637132188318976.000000,0.000000,0.000000,12.312990,5.151154,0.087648,3.662595,3.566265,0.000776,28.343861
1403637132238319104.000000,0.000000,0.000000,12.379194,4.887427,0.159512,1.984135,1.740404,0.000407,27.570476
1403637132288318976.000000,0.000000,0.000000,12.147173,2.531260,0.049043,1.958847,2.047483,0.000469,22.087919
1403637132338319104.000000,0.000000,0.000000,12.129839,6.170458,0.110598,4.166447,3.246921,0.802368,30.542066
1403637132388318976.000000,0.000000,0.000000,12.702474,6.358540,0.097912,4.166239,2.286860,0.000437,29.994955
1403637132438319104.000000,0.000000,0.000000,11.387107,5.796458,0.085422,3.632412,3.685713,0.001022,27.287743
1403637132488318976.000000,0.000000,0.000000,11.983758,2.666246,0.049189,1.988176,1.885194,0.000463,20.924762
1403637132538319104.000000,0.000000,0.000000,12.687436,2.542723,0.050783,2.372788,2.151231,0.000433,21.830168
1403637132588318976.000000,0.000000,0.000000,12.481458,2.780828,0.060223,1.593020,1.929112,0.376198,26.551075
1403637132638319104.000000,0.000000,0.000000,11.550467,6.281423,0.081851,4.142231,4.042304,0.000652,27.922000
1403637132688318976.000000,0.000000,0.000000,13.724479,3.470086,0.094165,1.875050,1.733958,0.000349,28.190121
1403637132738319104.000000,0.000000,0.000000,12.288704,2.649503,0.048682,2.730446,2.643118,0.000610,21.296176
1403637132788318976.000000,0.000000,0.000000,13.522922,3.559415,0.068465,1.624861,1.665232,0.000376,24.702692
1403637132838319104.000000,0.000000,0.000000,11.680427,2.418294,0.056666,4.090009,4.226388,1.292090,20.863147
1403637132888318976.000000,0.000000,0.000000,14.969595,5.396445,0.100657,0.022136,2.995547,0.026381,31.399880
1403637132938319104.000000,0.000000,0.000000,12.845751,2.414255,0.047731,0.030575,3.216874,0.031546,21.340336
1403637132988318976.000000,0.000000,0.000000,14.632094,4.354785,0.075626,0.043426,8.077574,0.048173,27.637167
1403637133038319104.000000,0.000000,0.000000,13.115914,2.509882,0.058207,0.028187,3.873308,0.025810,21.830524
1403637133088318976.000000,0.000000,0.000000,12.251133,6.347783,0.125873,0.029653,3.532348,0.908160,31.295828
1403637133138319104.000000,0.000000,0.000000,11.421335,2.552501,0.057332,0.022105,2.871297,0.022306,19.744785
1403637133188318976.000000,0.000000,0.000000,12.059180,2.905993,0.063195,0.029649,5.430264,1.136989,20.923417
1403637133238319104.000000,0.000000,0.000000,13.937456,5.605234,0.116575,7.842508,2.942367,0.000800,30.730481
1403637133288318976.000000,0.000000,0.000000,11.426668,2.847364,0.041298,2.562243,3.322842,0.000813,20.786316
