#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.005395,3,1,0,561
0.001472,4,1,0,1134
0.346832,5,1,0,1593
0.191629,6,1,0,2076
0.601796,7,1,0,2737
0.734023,8,1,0,3004
0.588203,9,1,0,3157
0.811324,10,1,0,3808
0.631200,0,0,0,0
98.229243,0,0,0,0
0.785823,0,0,0,0
1.050039,0,0,0,0
1.663650,0,0,0,0
1.255692,0,0,0,0
1.174201,0,0,0,0
2.388744,0,0,0,0
1.598071,0,0,0,0
1.707910,0,0,0,0
2.437777,0,0,0,0
2.108697,0,0,0,0
3.076612,0,0,0,0
3.174011,0,0,0,0
3.709306,0,0,0,0
3.344677,0,0,0,0
3.099989,0,0,0,0
4.114407,0,0,0,0
2.956660,0,0,0,0
2.914275,0,0,0,0
3.006359,0,0,0,0
2.771424,0,0,0,0
2.973597,0,0,0,0
2.360132,0,0,0,0
3.479652,0,0,0,0
2.985358,0,0,0,0
3.452772,0,0,0,0
3.672551,0,0,0,0
4.233437,0,0,0,0
3.366298,0,0,0,0
3.817097,0,0,0,0
2.489599,0,0,0,0
3.959218,0,0,0,0
2.900536,0,0,0,0
2.307781,0,0,0,0
3.678301,0,0,0,0
1.948571,3,1,0,430
4.124887,4,1,0,553
0.002214,5,1,0,687
0.001638,6,1,0,838
0.268361,7,1,0,976
0.187250,8,1,0,1115
0.166629,9,1,0,1258
0.461149,10,1,0,1410
0.664379,0,0,0,0
0.770122,0,0,0,0
0.780975,0,0,0,0
31.713938,3,1,0,439
0.557350,4,1,0,625
0.886782,5,1,0,1053
1.052746,6,1,0,1429
0.002704,7,1,0,2211
0.002287,8,1,0,2916
0.301040,9,1,0,3464
0.393954,10,1,0,3923
0.293254,0,0,0,0
0.411889,0,0,0,0
0.779595,0,0,0,0
0.836908,0,0,0,0
0.937401,0,0,0,0
68.579075,0,0,0,0
1.124232,0,0,0,0
0.824811,0,0,0,0
1.463233,0,0,0,0
1.274345,0,0,0,0
1.864176,0,0,0,0
2.406662,0,0,0,0
1.956609,0,0,0,0
1.631525,0,0,0,0
2.435537,0,0,0,0
2.095130,0,0,0,0
2.059691,0,0,0,0
3.480757,0,0,0,0
5.300172,0,0,0,0
3.377193,0,0,0,0
3.378147,0,0,0,0
2.752154,0,0,0,0
3.127845,0,0,0,0
2.961594,0,0,0,0
2.846563,0,0,0,0
2.723049,0,0,0,0
2.343090,0,0,0,0
2.636558,0,0,0,0
2.369498,0,0,0,0
3.738113,0,0,0,0
2.997440,0,0,0,0
2.334111,0,0,0,0
3.544753,0,0,0,0
3.422000,0,0,0,0
2.215823,0,0,0,0
2.679108,0,0,0,0
3.695348,0,0,0,0
3.178831,0,0,0,0
3.390289,0,0,0,0
4.421892,0,0,0,0
3.890426,0,0,0,0
2.360952,0,0,0,0
4.239168,0,0,0,0
3.328724,0,0,0,0
2.413695,0,0,0,0
2.450739,0,0,0,0
4.515708,0,0,0,0
6.282035,0,0,0,0
4.359394,0,0,0,0
2.300493,0,0,0,0
2.705641,0,0,0,0
3.232910,0,0,0,0
2.893841,0,0,0,0
4.230161,0,0,0,0
5.328707,0,0,0,0
3.520720,0,0,0,0
4.761676,0,0,0,0
3.775759,0,0,0,0
3.031062,0,0,0,0
3.990285,0,0,0,0
2.052575,0,0,0,0
2.978029,0,0,0,0
4.878019,0,0,0,0
3.072617,0,0,0,0
3.424538,0,0,0,0
2.614230,0,0,0,0
3.781389,0,0,0,0
3.044435,0,0,0,0
3.355104,0,0,0,0
4.986271,0,0,0,0
3.458485,0,0,0,0
3.659135,0,0,0,0
6.029890,0,0,0,0
4.862538,0,0,0,0
3.781269,0,0,0,0
6.147820,0,0,0,0
4.723194,0,0,0,0
6.526957,0,0,0,0
4.494574,0,0,0,0
5.295034,0,0,0,0
5.079986,0,0,0,0
8.615791,0,0,0,0
5.123257,0,0,0,0
5.763429,0,0,0,0
8.413954,0,0,0,0
7.358201,0,0,0,0
5.966665,0,0,0,0
7.558353,0,0,0,0
8.468212,0,0,0,0
10.673652,0,0,0,0
5.830990,0,0,0,0
8.103003,0,0,0,0
6.737054,0,0,0,0
6.878627,0,0,0,0
7.569693,0,0,0,0
6.736418,0,0,0,0
9.631181,0,0,0,0
7.483377,0,0,0,0
10.181835,0,0,0,0
13.716239,0,0,0,0
7.585035,0,0,0,0
10.949344,0,0,0,0
7.199201,0,0,0,0
9.191766,0,0,0,0
9.015062,0,0,0,0
8.948285,0,0,0,0
4.213122,0,0,0,0
5.894890,0,0,0,0
3.855615,0,0,0,0
6.032687,0,0,0,0
6.472131,0,0,0,0
3.536370,0,0,0,0
2.617597,0,0,0,0
4.172496,0,0,0,0
4.441887,0,0,0,0
3.969539,0,0,0,0
3.952501,0,0,0,0
3.115577,0,0,0,0
3.586995,0,0,0,0
1.813037,0,0,0,0
4.163350,0,0,0,0
4.257478,0,0,0,0
3.331342,0,0,0,0
2.303942,0,0,0,0
4.051167,0,0,0,0
2.897529,0,0,0,0
5.485159,0,0,0,0
2.993142,0,0,0,0
4.273497,0,0,0,0
3.869882,0,0,0,0
4.584369,0,0,0,0
4.776003,0,0,0,0
1.674622,0,0,0,0
3.776417,0,0,0,0
4.118550,0,0,0,0
5.658946,0,0,0,0
5.332200,0,0,0,0
6.547137,0,0,0,0
4.864387,0,0,0,0
6.551218,0,0,0,0
2.476644,0,0,0,0
4.104320,0,0,0,0
3.576954,0,0,0,0
5.724686,0,0,0,0
3.520203,0,0,0,0
2.183166,0,0,0,0
4.085436,0,0,0,0
4.395074,0,0,0,0
4.162734,0,0,0,0
4.387182,0,0,0,0
3.594963,0,0,0,0
5.509996,0,0,0,0
5.929264,0,0,0,0
4.557970,0,0,0,0
5.774635,0,0,0,0
4.935450,0,0,0,0
4.561781,0,0,0,0
3.888559,0,0,0,0
4.880587,0,0,0,0
4.021892,0,0,0,0
3.744638,0,0,0,0
3.868027,0,0,0,0
5.757502,0,0,0,0
4.608805,0,0,0,0
4.382865,0,0,0,0
4.943745,0,0,0,0
3.676880,0,0,0,0
5.764028,0,0,0,0
3.669073,0,0,0,0
7.214642,0,0,0,0
4.372306,0,0,0,0
5.824554,0,0,0,0
4.562186,0,0,0,0
4.642274,0,0,0,0
5.574544,0,0,0,0
5.631449,0,0,0,0
5.427518,0,0,0,0
3.709545,0,0,0,0
3.184407,0,0,0,0
3.513817,0,0,0,0
5.386263,0,0,0,0
5.626133,0,0,0,0
4.711021,0,0,0,0
4.359989,0,0,0,0
5.295637,0,0,0,0
5.129502,0,0,0,0
3.534332,0,0,0,0
7.405493,0,0,0,0
5.536900,0,0,0,0
6.983518,0,0,0,0
3.388324,0,0,0,0
6.404670,0,0,0,0
5.114968,0,0,0,0
6.487732,0,0,0,0
5.659233,0,0,0,0
7.475790,0,0,0,0
5.623225,0,0,0,0
3.972264,0,0,0,0
5.455356,0,0,0,0
3.980096,0,0,0,0
7.379700,0,0,0,0
5.667170,0,0,0,0
5.441914,0,0,0,0
5.569152,0,0,0,0
6.063833,0,0,0,0
5.780229,0,0,0,0
6.003574,0,0,0,0
6.031648,0,0,0,0
5.967222,0,0,0,0
5.218429,0,0,0,0
5.030849,0,0,0,0
7.441553,0,0,0,0
6.317307,0,0,0,0
5.013886,0,0,0,0
8.662297,0,0,0,0
7.103228,0,0,0,0
6.626514,0,0,0,0
8.021279,0,0,0,0
7.984955,0,0,0,0
6.878645,0,0,0,0
6.295790,0,0,0,0
6.787410,0,0,0,0
4.927760,0,0,0,0
5.743225,0,0,0,0
5.878774,0,0,0,0
7.244043,0,0,0,0
5.583857,0,0,0,0
6.392958,0,0,0,0
5.887170,0,0,0,0
6.363342,0,0,0,0
6.756976,0,0,0,0
6.609085,0,0,0,0
5.632497,0,0,0,0
5.056253,0,0,0,0
5.325321,0,0,0,0
8.134110,0,0,0,0
4.090572,0,0,0,0
5.162626,0,0,0,0
5.486557,0,0,0,0
5.229429,0,0,0,0
6.051866,0,0,0,0
5.605824,0,0,0,0
6.322853,0,0,0,0
5.769434,0,0,0,0
6.758432,0,0,0,0
3.884619,0,0,0,0
5.490340,0,0,0,0
5.543456,0,0,0,0
5.834289,0,0,0,0
7.224907,0,0,0,0
5.700731,0,0,0,0
5.592526,0,0,0,0
7.828217,0,0,0,0
5.257223,0,0,0,0
6.052926,0,0,0,0
6.795449,0,0,0,0
6.196726,0,0,0,0
4.556357,0,0,0,0
6.406565,0,0,0,0
5.403960,0,0,0,0
10.558978,0,0,0,0
5.271800,0,0,0,0
7.928943,0,0,0,0
7.158610,0,0,0,0
8.428426,0,0,0,0
5.382476,0,0,0,0
8.077532,0,0,0,0
6.277776,0,0,0,0
12.293464,0,0,0,0
5.754854,0,0,0,0
5.904701,0,0,0,0
6.523871,0,0,0,0
9.512035,0,0,0,0
7.926543,0,0,0,0
5.463739,0,0,0,0
8.509869,0,0,0,0
4.952904,0,0,0,0
7.219376,0,0,0,0
5.226254,0,0,0,0
7.801166,0,0,0,0
6.793295,0,0,0,0
6.198602,0,0,0,0
5.816477,0,0,0,0
5.839661,0,0,0,0
4.365531,0,0,0,0
3.587601,0,0,0,0
6.800352,0,0,0,0
4.942626,0,0,0,0
4.582233,0,0,0,0
6.069284,0,0,0,0
4.416043,0,0,0,0
5.123264,0,0,0,0
