#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715523912143104.000000,0.000000,0.000000,11.415958,1.456992,0.002525,6.560211,0.016883,0.001483,16.363294
1403715523962142976.000000,0.000000,0.000000,12.352872,1.324322,0.067206,4.981770,1.030878,0.000478,16.385213
1403715524012143104.000000,0.000000,0.000000,11.616741,1.005185,0.046029,0.467957,0.992182,0.000845,15.187665
1403715524062142976.000000,0.000000,0.000000,11.605593,1.894500,0.068668,8.440240,4.520317,0.001347,16.801768
1403715524112143104.000000,0.000000,0.000000,13.012076,1.015681,0.053947,1.342118,5.078920,0.000579,16.556206
1403715524162142976.000000,0.000000,0.000000,13.277153,2.473395,0.091525,1.197199,2.950451,0.000423,18.643226
1403715524212143104.000000,0.000000,0.000000,12.856786,2.646955,0.116661,1.304257,2.143568,5.176047,18.548934
1403715524262142976.000000,0.000000,0.000000,11.726048,4.107184,0.102108,1.321936,2.052846,0.000819,18.899485
1403715524312143104.000000,0.000000,0.000000,11.268211,2.506206,0.101235,4.621308,5.626480,0.000441,16.748142
1403715524362142976.000000,0.000000,0.000000,11.992388,2.632493,0.098269,2.656955,4.879335,0.000709,17.415662
1403715524412143104.000000,0.000000,0.000000,12.816970,2.584377,0.123314,3.523376,5.804376,0.000763,18.537532
1403715524462142976.000000,0.000000,0.000000,12.000587,2.431915,0.051871,2.657189,5.767876,0.000843,17.704979
1403715524512143104.000000,0.000000,0.000000,11.790769,2.042752,0.053373,3.841782,5.872599,6.701191,16.571805
1403715524562142976.000000,0.000000,0.000000,11.579881,1.931943,0.090838,2.339738,4.616354,0.000652,16.415114
1403715524612143104.000000,0.000000,0.000000,12.918667,1.146171,0.046570,6.755778,7.172342,0.000825,16.558732
1403715524662142976.000000,0.000000,0.000000,10.799179,2.512016,0.144264,4.426970,10.073856,0.000809,16.561405
1403715524712143104.000000,0.000000,0.000000,12.105493,3.242306,0.115208,3.309115,7.222138,0.000520,18.957040
1403715524762142976.000000,0.000000,0.000000,12.125332,2.611776,0.110590,4.056490,7.207569,4.589205,17.724516
1403715524812143104.000000,0.000000,0.000000,13.084918,2.589797,0.116178,2.925813,6.914917,0.000774,19.250684
1403715524862142976.000000,0.000000,0.000000,11.774347,1.068761,0.045930,5.188235,7.163931,0.001183,15.738978
1403715524912143104.000000,0.000000,0.000000,14.059689,1.790203,0.053850,4.645195,8.634537,0.000766,18.415843
1403715524962142976.000000,0.000000,0.000000,11.340060,1.722351,0.069806,3.685633,7.250115,0.001280,16.246969
1403715525012143104.000000,0.000000,0.000000,14.231127,1.063172,0.060681,3.075517,7.083682,3.908147,17.852591
1403715525062142976.000000,0.000000,0.000000,12.129030,1.109556,0.047815,3.313236,7.446321,0.000738,15.905957
1403715525112143104.000000,0.000000,0.000000,14.042558,1.053135,0.044402,6.584986,8.403798,0.000820,17.470837
1403715525162142976.000000,0.000000,0.000000,10.912795,1.006973,0.046194,4.231237,8.636232,0.000711,14.380610
1403715525212143104.000000,0.000000,0.000000,12.044306,1.538809,0.051663,4.136139,10.212572,0.000622,16.454673
1403715525262142976.000000,0.000000,0.000000,11.757700,2.513538,0.100931,3.413823,7.993940,4.521496,17.601487
1403715525312143104.000000,0.000000,0.000000,11.262348,2.860831,0.108818,3.619640,8.431300,0.000599,17.516321
1403715525362142976.000000,0.000000,0.000000,12.025024,2.590067,0.114191,6.266324,8.181596,0.000625,17.701017
1403715525412143104.000000,0.000000,0.000000,11.564794,1.041260,0.057827,4.357225,9.543551,0.000877,15.160212
1403715525462142976.000000,0.000000,0.000000,11.470549,1.217484,0.048859,3.786554,8.972836,0.000839,15.392357
1403715525512143104.000000,0.000000,0.000000,12.556947,1.031368,0.053911,3.133182,8.096381,4.463727,16.119972
1403715525562142976.000000,0.000000,0.000000,12.240096,2.665028,0.105328,3.734114,8.508822,0.000893,18.302149
1403715525612143104.000000,0.000000,0.000000,12.010546,1.015531,0.044029,6.495947,8.150459,0.000731,15.663292
1403715525662142976.000000,0.000000,0.000000,12.464081,1.038097,0.052928,5.296303,9.624400,0.000744,16.073720
1403715525712143104.000000,0.000000,0.000000,11.496899,2.512879,0.107474,4.491739,11.583522,0.000764,17.616219
1403715525762142976.000000,0.000000,0.000000,12.050373,1.064334,0.046917,4.027444,7.827504,2.875660,15.545013
1403715525812143104.000000,0.000000,0.000000,11.522358,2.552731,0.127773,4.081366,8.504240,0.000886,17.094793
1403715525862142976.000000,0.000000,0.000000,13.293094,2.795139,0.146840,6.267659,8.056543,0.000730,19.245984
1403715525912143104.000000,0.000000,0.000000,11.437323,1.019272,0.053327,4.444092,8.716730,0.007776,15.325905
1403715525962142976.000000,0.000000,0.000000,11.820524,1.966577,0.083444,4.938734,8.873908,0.000714,16.827762
1403715526012143104.000000,0.000000,0.000000,13.257156,2.686794,0.121151,2.647875,6.586583,2.568648,19.246186
1403715526062142976.000000,0.000000,0.000000,12.239120,2.880154,0.136247,2.927797,7.218292,0.001122,18.534102
1403715526112143104.000000,0.000000,0.000000,12.584162,2.655912,0.114154,4.930741,6.809513,0.000548,18.366490
