#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.004701,3,1,0,1531
0.003306,4,1,0,1973
0.230758,5,1,0,2408
0.494718,6,1,0,2894
0.385400,7,1,0,3425
1.022740,8,1,0,3683
2.135663,9,1,0,3917
1.820100,10,1,0,4265
1.466163,0,0,0,0
102.730679,0,0,0,0
1.853427,0,0,0,0
2.483560,0,0,0,0
2.575258,0,0,0,0
3.381625,0,0,0,0
4.160325,0,0,0,0
2.652651,0,0,0,0
3.749706,0,0,0,0
4.609696,0,0,0,0
3.966042,0,0,0,0
3.962249,0,0,0,0
4.702312,0,0,0,0
5.695803,0,0,0,0
5.540649,0,0,0,0
6.659027,0,0,0,0
5.347487,0,0,0,0
5.346195,0,0,0,0
5.056936,0,0,0,0
4.988162,0,0,0,0
4.639029,0,0,0,0
5.395525,0,0,0,0
5.556030,0,0,0,0
6.502989,0,0,0,0
6.376242,0,0,0,0
5.064319,0,0,0,0
4.402908,0,0,0,0
5.286051,0,0,0,0
5.143063,0,0,0,0
5.649822,0,0,0,0
3.577660,0,0,0,0
4.800981,0,0,0,0
3.214092,0,0,0,0
5.222953,0,0,0,0
2.969181,0,0,0,0
2.606262,0,0,0,0
3.397125,0,0,0,0
4.032565,0,0,0,0
5.929816,0,0,0,0
3.974931,0,0,0,0
2.556907,0,0,0,0
2.525571,0,0,0,0
1.773972,0,0,0,0
1.473797,0,0,0,0
1.633016,0,0,0,0
7.017973,0,0,0,0
4.516022,0,0,0,0
5.716158,0,0,0,0
5.645165,0,0,0,0
5.046837,0,0,0,0
4.722344,0,0,0,0
2.843948,0,0,0,0
2.685181,0,0,0,0
4.212687,0,0,0,0
4.998955,0,0,0,0
4.435299,0,0,0,0
5.471830,0,0,0,0
5.471865,0,0,0,0
3.487605,0,0,0,0
7.216327,0,0,0,0
5.203140,0,0,0,0
5.083159,0,0,0,0
4.687406,0,0,0,0
4.243458,0,0,0,0
4.944122,0,0,0,0
4.770749,0,0,0,0
3.941427,0,0,0,0
5.240580,0,0,0,0
6.143274,0,0,0,0
4.340992,0,0,0,0
6.372933,0,0,0,0
4.530285,0,0,0,0
5.117992,0,0,0,0
7.195764,0,0,0,0
4.750063,0,0,0,0
4.315101,0,0,0,0
5.765590,0,0,0,0
6.367068,0,0,0,0
3.050334,0,0,0,0
2.230579,0,0,0,0
2.038829,0,0,0,0
3.612247,0,0,0,0
2.201840,0,0,0,0
2.739201,0,0,0,0
