#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.187943,0.046146,0.374491,0.004701,0.004701,4.617899
6.056686,0.172560,3.011626,0.003306,0.003306,9.247125
4.464961,0.187542,4.698798,0.230758,0.230758,33.631091
7.281217,0.366309,7.955206,0.494718,0.494718,39.744246
8.612742,0.231489,10.543908,0.385400,0.385400,42.340970
5.505177,0.257605,16.391355,1.022740,1.022740,60.443651
9.125521,0.224475,17.827112,2.135663,2.135663,70.446135
4.380929,0.137794,5.217743,1.820100,1.820100,37.165625
3.932851,0.135297,6.907391,1.466163,1.466163,53.349425
8.388717,0.236235,22.009190,102.730679,102.730679,175.493554
4.124532,0.128843,9.075738,1.853427,1.853427,47.362708
5.481696,0.151118,12.547424,2.483560,2.483560,62.335725
10.830346,0.288531,25.377323,2.575258,2.575258,83.023053
11.540521,0.349362,23.847724,3.381625,3.381625,85.935355
6.330159,0.241855,20.167701,4.160325,4.160325,88.945916
6.251314,0.532386,25.057183,2.652651,2.652651,98.422482
10.800103,0.547082,27.342590,3.749706,3.749706,109.297491
7.343371,0.292359,19.688889,4.609696,4.609696,94.924245
5.828766,0.184757,17.996836,3.966042,3.966042,92.071600
5.780005,0.232648,17.522809,3.962249,3.962249,101.086672
9.223783,0.321982,27.474634,4.702312,4.702312,118.733042
7.761249,0.219121,28.080325,5.695803,5.695803,122.425964
7.364400,0.216594,25.289095,5.540649,5.540649,123.132769
9.479050,0.226410,25.908845,6.659027,6.659027,124.708563
9.909992,0.228623,32.883548,5.347487,5.347487,271.000638
8.590894,0.302024,26.683610,5.346195,5.346195,122.757825
6.948233,0.201572,22.071318,5.056936,5.056936,122.001516
8.359052,0.349825,29.216257,4.988162,4.988162,120.748497
7.638857,0.274111,25.467400,4.639029,4.639029,114.915684
7.751601,0.286006,20.514862,5.395525,5.395525,121.566531
6.340624,0.273937,18.449344,5.556030,5.556030,115.420870
4.901702,0.239821,16.989870,6.502989,6.502989,123.621223
4.859511,0.203703,15.454762,6.376242,6.376242,110.409950
5.739720,0.206147,17.140742,5.064319,5.064319,105.273256
7.606937,0.257741,26.093920,4.402908,4.402908,117.928509
8.820335,0.333926,29.045440,5.286051,5.286051,125.028557
8.696788,0.423467,25.068646,5.143063,5.143063,131.842998
9.471665,0.425044,23.913544,5.649822,5.649822,120.267387
5.635984,0.285579,28.650217,3.577660,3.577660,122.603688
5.207744,0.257404,15.097109,4.800981,4.800981,119.575944
7.826206,0.471148,18.118404,3.214092,3.214092,115.550307
4.302586,0.308231,13.610317,5.222953,5.222953,117.001731
4.012588,0.318024,14.373344,2.969181,2.969181,97.853920
4.282379,0.234377,10.927730,2.606262,2.606262,102.669594
4.486800,0.234607,12.009581,3.397125,3.397125,105.110724
7.822634,0.256482,25.694419,4.032565,4.032565,119.069834
5.775331,0.249033,14.482427,5.929816,5.929816,123.895182
7.824178,0.375211,17.495394,3.974931,3.974931,120.555463
4.123928,0.300875,12.564698,2.556907,2.556907,112.824251
1.938454,0.252134,7.339230,2.525571,2.525571,60.579363
3.338600,0.530882,11.356525,1.773972,1.773972,103.337132
2.795439,0.141858,8.550712,1.473797,1.473797,53.139531
3.388509,0.228022,10.981029,1.633016,1.633016,55.750967
3.897176,0.161294,15.701249,7.017973,7.017973,105.532390
4.696071,0.178279,16.092176,4.516022,4.516022,108.321903
5.070724,0.190345,16.537025,5.716158,5.716158,116.002537
6.440476,0.248503,22.496563,5.645165,5.645165,120.970174
5.461155,0.237002,22.563542,5.046837,5.046837,123.936190
7.257364,0.318350,21.514556,4.722344,4.722344,121.900992
4.978284,0.300666,20.179238,2.843948,2.843948,108.612732
4.687353,0.241774,15.920015,2.685181,2.685181,117.684287
5.845290,0.238857,21.929898,4.212687,4.212687,114.457010
5.815249,0.291953,22.999750,4.998955,4.998955,116.542246
6.999407,0.290885,23.062468,4.435299,4.435299,129.006140
7.863888,0.389187,26.743099,5.471830,5.471830,122.314630
6.018497,0.298584,17.008671,5.471865,5.471865,120.718816
3.907766,0.230947,14.694682,3.487605,3.487605,106.551557
6.197219,0.192465,25.391569,7.216327,7.216327,122.993437
10.790384,0.265728,28.855398,5.203140,5.203140,126.435146
13.010600,0.372209,34.386786,5.083159,5.083159,135.409593
8.090696,0.229099,26.752205,4.687406,4.687406,132.083805
7.108731,0.207672,29.697169,4.243458,4.243458,126.475281
7.232942,0.203740,27.344963,4.944122,4.944122,124.663261
7.505269,0.270308,28.905062,4.770749,4.770749,128.274911
8.301109,0.246392,25.856729,3.941427,3.941427,128.117417
9.102552,0.256560,26.426767,5.240580,5.240580,132.113578
7.141268,0.259416,26.733045,6.143274,6.143274,129.571287
6.514479,0.265844,26.927400,4.340992,4.340992,124.998858
8.876261,0.282215,25.369245,6.372933,6.372933,130.483043
5.161320,0.330499,19.607175,4.530285,4.530285,119.837596
6.008774,0.397593,22.291905,5.117992,5.117992,125.838446
6.810877,0.237813,22.091971,7.195764,7.195764,123.302869
5.188761,0.185404,19.391678,4.750063,4.750063,121.905438
5.366256,0.186485,17.123604,4.315101,4.315101,124.018050
6.050264,0.216993,21.679188,5.765590,5.765590,120.377659
11.357985,0.841919,27.964716,6.367068,6.367068,424.811871
4.465310,0.415639,11.459978,3.050334,3.050334,110.449508
6.661523,0.798514,18.420813,2.230579,2.230579,123.144530
9.277337,0.786387,21.626784,2.038829,2.038829,118.006553
9.637971,0.649896,24.873116,3.612247,3.612247,134.341940
6.181978,0.374983,13.354662,2.201840,2.201840,113.472891
11.392577,0.692706,21.516938,2.739201,2.739201,128.432643
5.915586,0.265199,13.036742,2.099177,2.099177,120.558395
12.051844,0.459960,35.457009,2.386849,2.386849,158.050829
6.576368,0.233585,20.652008,5.075893,5.075893,135.142627
12.348401,0.431774,24.540720,5.035743,5.035743,145.981459
6.330762,0.183513,15.208715,4.568235,4.568235,136.569092
7.133361,0.239686,16.925813,4.409803,4.409803,144.710241
7.225467,0.267068,16.854619,5.763151,5.763151,153.542302
6.688933,0.266233,15.080020,6.590967,6.590967,148.892094
8.470581,0.267592,16.980867,5.403244,5.403244,161.995478
9.474098,0.604150,24.500859,5.306353,5.306353,169.157693
7.857122,0.313741,23.751497,7.460485,7.460485,167.560834
13.386105,0.567315,37.807935,7.460514,7.460514,189.892909
7.140116,0.246118,19.790917,4.201533,4.201533,155.985711
7.972186,0.258661,20.303869,5.945768,5.945768,182.865555
8.950344,0.301687,19.608041,4.563183,4.563183,170.517458
8.472236,0.488376,28.176053,5.779000,5.779000,178.977297
6.768640,0.294725,19.727701,5.125679,5.125679,181.029454
5.609502,0.334794,20.152119,5.333401,5.333401,166.908700
5.751393,0.365062,17.434251,4.786055,4.786055,159.923809
