#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009779,3,1,0,393
0.002970,4,1,0,532
0.150404,5,1,0,655
0.244886,6,1,0,1107
0.317245,7,1,0,1612
0.423273,8,1,0,2160
0.406296,9,1,0,2533
0.422323,10,1,0,2874
0.503278,0,0,0,0
73.624887,0,0,0,0
0.550883,0,0,0,0
0.675053,0,0,0,0
0.795976,0,0,0,0
1.024673,0,0,0,0
1.216210,0,0,0,0
1.844615,0,0,0,0
1.278017,0,0,0,0
1.460862,0,0,0,0
1.650156,0,0,0,0
1.538488,0,0,0,0
1.492583,0,0,0,0
2.874670,0,0,0,0
2.809097,0,0,0,0
2.661543,0,0,0,0
3.565609,0,0,0,0
2.443991,0,0,0,0
2.989308,0,0,0,0
2.781309,0,0,0,0
2.818361,0,0,0,0
3.992099,0,0,0,0
2.932231,0,0,0,0
2.660212,0,0,0,0
3.244429,0,0,0,0
2.553827,0,0,0,0
2.270542,0,0,0,0
2.447401,0,0,0,0
2.590781,0,0,0,0
4.983952,0,0,0,0
5.215298,0,0,0,0
3.680358,0,0,0,0
6.037851,0,0,0,0
4.001267,0,0,0,0
3.262143,0,0,0,0
4.669684,0,0,0,0
4.180445,0,0,0,0
4.165493,0,0,0,0
4.830046,0,0,0,0
3.273706,0,0,0,0
3.776025,3,1,0,447
3.413373,4,1,0,579
0.002718,5,1,0,703
0.003507,6,1,0,834
0.222446,7,1,0,977
0.211306,8,1,0,1102
0.500598,9,1,0,1230
0.357505,10,1,0,1364
0.493534,0,0,0,0
0.767541,0,0,0,0
0.956454,0,0,0,0
38.304746,0,0,0,0
0.857410,0,0,0,0
0.292937,3,1,0,687
0.566871,4,1,0,1048
0.844667,5,1,0,1370
0.755558,6,1,0,2084
0.002053,7,1,0,2733
0.001545,8,1,0,3217
0.205843,9,1,0,3807
0.932024,10,1,0,4456
0.721462,0,0,0,0
0.606378,0,0,0,0
0.882854,0,0,0,0
1.025298,0,0,0,0
1.134070,0,0,0,0
111.480040,0,0,0,0
0.946473,0,0,0,0
1.015612,0,0,0,0
1.248343,0,0,0,0
1.508597,0,0,0,0
1.770085,0,0,0,0
2.193759,0,0,0,0
1.768533,0,0,0,0
1.754008,0,0,0,0
2.216359,0,0,0,0
2.802413,0,0,0,0
2.518607,0,0,0,0
3.597279,0,0,0,0
4.237702,0,0,0,0
3.525923,0,0,0,0
3.593566,0,0,0,0
3.806457,0,0,0,0
2.660362,0,0,0,0
3.119381,0,0,0,0
3.234780,0,0,0,0
4.130280,0,0,0,0
2.908012,0,0,0,0
4.026862,0,0,0,0
3.187246,0,0,0,0
5.204730,0,0,0,0
3.170590,0,0,0,0
3.048940,0,0,0,0
4.844853,0,0,0,0
4.139224,0,0,0,0
3.109427,0,0,0,0
3.359103,0,0,0,0
2.462199,0,0,0,0
3.601668,0,0,0,0
4.884158,0,0,0,0
4.180870,0,0,0,0
2.688192,0,0,0,0
2.883727,0,0,0,0
2.836914,0,0,0,0
2.542979,0,0,0,0
1.934519,0,0,0,0
2.601429,0,0,0,0
2.971655,0,0,0,0
3.178327,0,0,0,0
3.396449,0,0,0,0
3.174912,0,0,0,0
5.711115,0,0,0,0
4.438125,0,0,0,0
2.094174,0,0,0,0
4.318636,0,0,0,0
5.256966,0,0,0,0
3.749604,0,0,0,0
3.018288,0,0,0,0
2.812900,0,0,0,0
4.881619,0,0,0,0
3.379552,0,0,0,0
4.020372,0,0,0,0
4.761993,0,0,0,0
3.269290,0,0,0,0
3.393615,0,0,0,0
4.109641,0,0,0,0
3.225357,0,0,0,0
6.837712,0,0,0,0
6.969764,0,0,0,0
4.278743,0,0,0,0
2.749300,0,0,0,0
6.199111,0,0,0,0
6.982880,0,0,0,0
3.603933,0,0,0,0
4.461663,0,0,0,0
4.150340,0,0,0,0
5.252312,0,0,0,0
3.907193,0,0,0,0
5.343868,0,0,0,0
7.369286,0,0,0,0
4.795463,0,0,0,0
6.423449,0,0,0,0
5.298854,0,0,0,0
5.296180,0,0,0,0
5.161962,0,0,0,0
4.832356,0,0,0,0
6.784592,0,0,0,0
6.173678,0,0,0,0
7.685409,0,0,0,0
6.602532,0,0,0,0
8.253781,0,0,0,0
6.175660,0,0,0,0
6.608619,0,0,0,0
5.939612,0,0,0,0
6.096136,0,0,0,0
8.332852,0,0,0,0
8.794315,0,0,0,0
9.929332,0,0,0,0
9.564934,0,0,0,0
7.603914,0,0,0,0
8.620525,0,0,0,0
4.634709,0,0,0,0
4.779612,0,0,0,0
8.174006,0,0,0,0
8.965806,0,0,0,0
7.161618,0,0,0,0
6.380756,0,0,0,0
7.794548,0,0,0,0
7.268076,0,0,0,0
7.046705,0,0,0,0
6.447283,0,0,0,0
6.612591,0,0,0,0
6.125816,0,0,0,0
6.823606,0,0,0,0
7.316895,0,0,0,0
6.138955,0,0,0,0
7.428889,0,0,0,0
6.712641,0,0,0,0
6.598243,0,0,0,0
7.082343,0,0,0,0
4.076127,0,0,0,0
3.241894,0,0,0,0
3.451312,0,0,0,0
4.354760,0,0,0,0
3.845237,0,0,0,0
3.185405,0,0,0,0
4.844719,0,0,0,0
3.488346,0,0,0,0
6.426728,0,0,0,0
6.203071,0,0,0,0
5.989049,0,0,0,0
6.627410,0,0,0,0
3.971274,0,0,0,0
7.820931,0,0,0,0
4.477734,0,0,0,0
4.629082,0,0,0,0
7.068281,0,0,0,0
7.548043,0,0,0,0
6.492745,0,0,0,0
6.352589,0,0,0,0
5.265198,0,0,0,0
4.655934,0,0,0,0
4.539950,0,0,0,0
4.443559,0,0,0,0
5.376474,0,0,0,0
8.604712,0,0,0,0
5.180916,0,0,0,0
5.895536,0,0,0,0
8.040527,0,0,0,0
6.348686,0,0,0,0
8.281066,0,0,0,0
6.557612,0,0,0,0
5.696316,0,0,0,0
4.142629,0,0,0,0
7.840857,0,0,0,0
5.861078,0,0,0,0
4.299922,0,0,0,0
8.307273,0,0,0,0
6.049262,0,0,0,0
7.561584,0,0,0,0
6.237610,0,0,0,0
6.068894,0,0,0,0
8.039254,0,0,0,0
4.371265,0,0,0,0
7.117732,0,0,0,0
4.725434,0,0,0,0
6.056415,0,0,0,0
3.448544,0,0,0,0
3.985417,0,0,0,0
4.511611,0,0,0,0
3.529602,0,0,0,0
4.234791,0,0,0,0
3.688853,0,0,0,0
4.564327,0,0,0,0
3.623737,0,0,0,0
3.841567,0,0,0,0
3.976572,0,0,0,0
5.254321,0,0,0,0
4.645243,0,0,0,0
6.696250,0,0,0,0
3.880497,0,0,0,0
6.304315,0,0,0,0
4.747875,0,0,0,0
7.437156,0,0,0,0
4.904034,0,0,0,0
8.032653,0,0,0,0
4.062741,0,0,0,0
8.968849,0,0,0,0
3.871835,0,0,0,0
4.050784,0,0,0,0
5.619216,0,0,0,0
5.826095,0,0,0,0
6.653478,0,0,0,0
5.507223,0,0,0,0
8.111295,0,0,0,0
5.437233,0,0,0,0
7.346432,0,0,0,0
5.593445,0,0,0,0
6.930582,0,0,0,0
5.871069,0,0,0,0
4.714248,0,0,0,0
8.767586,0,0,0,0
6.033852,0,0,0,0
5.317744,0,0,0,0
7.226574,0,0,0,0
4.748350,0,0,0,0
6.354091,0,0,0,0
6.908402,0,0,0,0
5.859516,0,0,0,0
5.977847,0,0,0,0
4.340410,0,0,0,0
4.173191,0,0,0,0
6.406908,0,0,0,0
