#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,15.397480,2.736205,0.002785,7.115730,1.713743,0.001589,20.701770
1403638127345096960.000000,0.000000,0.000000,16.721464,2.494323,0.063450,2.008338,2.235632,0.000760,21.939315
1403638127395097088.000000,0.000000,0.000000,14.602578,2.699901,0.052790,1.873761,2.008978,0.000780,20.383332
1403638127445096960.000000,0.000000,0.000000,13.380885,4.349720,0.089676,1.656331,1.614817,0.000753,21.286685
1403638127495097088.000000,0.000000,0.000000,14.724614,5.295514,0.102927,1.319342,0.945231,0.159756,22.993402
1403638127545096960.000000,0.000000,0.000000,15.865136,5.819533,0.102962,1.309048,0.803544,0.000401,24.680426
1403638127595097088.000000,0.000000,0.000000,14.453197,6.316111,0.110908,0.819459,0.856649,0.000650,24.240501
1403638127645096960.000000,0.000000,0.000000,14.670891,2.362595,0.044871,1.460934,2.068777,0.000602,19.426431
1403638127695097088.000000,0.000000,0.000000,14.716555,6.446399,0.099839,0.672694,1.003460,0.000429,24.127275
1403638127745096960.000000,0.000000,0.000000,17.149929,2.332038,0.046571,0.651040,0.960947,0.195197,22.622060
1403638127795097088.000000,0.000000,0.000000,14.759198,2.306007,0.054665,2.897906,2.140046,0.001342,19.781403
1403638127845096960.000000,0.000000,0.000000,16.136969,2.230139,0.047820,0.853231,0.996728,0.000465,21.359098
1403638127895097088.000000,0.000000,0.000000,14.541923,2.558252,0.053492,0.811380,1.154403,0.000439,20.123791
1403638127945096960.000000,0.000000,0.000000,16.718287,5.341238,0.096973,0.815854,1.142977,0.000469,25.215653
1403638127995097088.000000,0.000000,0.000000,14.792432,4.746786,0.067009,0.866763,1.408952,0.222928,22.797293
1403638128045096960.000000,0.000000,0.000000,14.667019,5.729738,0.113305,1.304731,1.021224,0.000427,23.873374
1403638128095097088.000000,0.000000,0.000000,14.785774,5.893512,0.104139,0.968665,1.154422,0.000379,23.774788
1403638128145096960.000000,0.000000,0.000000,15.069975,6.176097,0.138647,1.009915,1.285429,0.000435,24.463550
1403638128195097088.000000,0.000000,0.000000,15.599313,2.332715,0.047719,1.110366,1.110893,0.000516,20.582526
1403638128245096960.000000,0.000000,0.000000,15.220053,3.755499,0.072725,0.869668,1.096419,0.199910,21.859268
1403638128295097088.000000,0.000000,0.000000,14.218082,2.228736,0.056083,2.690649,2.571800,0.000723,19.020788
1403638128345096960.000000,0.000000,0.000000,14.836722,5.654782,0.053246,2.731422,2.749058,0.000877,23.123721
1403638128395097088.000000,0.000000,0.000000,14.087342,5.680232,0.102695,1.143030,1.374860,0.000409,22.691940
1403638128445096960.000000,0.000000,0.000000,15.847824,4.441377,0.099642,1.202317,2.536618,0.000450,23.611105
1403638128495097088.000000,0.000000,0.000000,16.220495,2.327915,0.044493,1.175572,1.403141,0.320306,21.350164
1403638128545096960.000000,0.000000,0.000000,17.658757,2.123569,0.053467,3.305078,3.886014,0.000568,22.348179
1403638128595097088.000000,0.000000,0.000000,14.617265,2.320922,0.055780,3.151153,3.649854,0.000610,19.645944
1403638128645096960.000000,0.000000,0.000000,16.820215,2.363414,0.052919,1.792353,2.157491,0.000565,21.807344
1403638128695097088.000000,0.000000,0.000000,14.356972,2.262346,0.047828,2.732893,3.345161,0.000550,19.682234
