#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.018050,0.027013,0.280615,0.009086,0.009086,6.341451
7.101261,0.064526,0.960839,0.002926,0.002926,8.131983
7.381030,0.136284,3.844145,0.174224,0.174224,18.850090
4.604773,0.154395,5.327657,0.190756,0.190756,19.194510
8.546256,0.239379,11.064358,0.253557,0.253557,45.168644
8.366152,0.243579,8.172707,0.884731,0.884731,41.696606
5.856663,0.118497,8.599562,0.758616,0.758616,36.043018
8.932345,0.269919,9.956394,0.617135,0.617135,37.071308
10.150031,0.186713,18.619841,0.842202,0.842202,63.730663
11.509624,0.123374,20.937044,40.833641,40.833641,96.529141
6.105669,0.065880,10.625517,0.874067,0.874067,47.434621
6.146554,0.089232,12.181277,0.732424,0.732424,58.249616
9.798062,0.145426,14.687364,0.730071,0.730071,67.308316
7.298913,0.099116,19.956696,1.098204,1.098204,73.623050
8.551710,0.138780,16.649928,1.028967,1.028967,75.930300
15.498213,0.227369,29.215024,1.249059,1.249059,107.446371
12.322515,0.131640,21.426995,1.319097,1.319097,112.535588
11.726477,0.093544,20.282158,1.625009,1.625009,121.074065
7.603118,0.075157,17.321354,1.797959,1.797959,102.138434
8.644222,0.102407,18.615628,1.818492,1.818492,101.896547
10.072558,0.138931,15.273770,1.628360,1.628360,103.992326
15.524256,0.166010,30.342870,2.446503,2.446503,128.872427
8.678425,0.068328,25.167528,2.510417,2.510417,130.081365
7.605902,0.064673,24.199958,2.195491,2.195491,121.290020
10.371765,0.099628,23.119701,2.373560,2.373560,120.898438
11.097129,0.213513,28.658891,2.930326,2.930326,124.529355
7.593849,0.147705,22.783685,4.098075,4.098075,123.991053
9.667852,0.105099,23.002093,2.892829,2.892829,141.759346
9.494322,0.116552,19.122827,2.341924,2.341924,122.553426
8.966091,0.118875,22.044839,2.630636,2.630636,256.804395
8.327950,0.133180,23.206907,2.620062,2.620062,121.387192
7.713967,0.087924,17.649193,2.412129,2.412129,105.584291
7.638796,0.086351,19.335665,2.488849,2.488849,109.593020
7.616463,0.098658,19.697292,1.689112,1.689112,119.210755
9.142205,0.118343,22.170168,2.664475,2.664475,129.514843
9.983826,0.133555,21.683562,2.903448,2.903448,134.565315
9.810441,0.118917,24.534862,1.652210,1.652210,118.258276
10.690660,0.155906,38.809762,3.230461,3.230461,148.724356
18.966066,0.210258,28.362628,2.167049,2.167049,170.654601
12.472481,0.177705,26.506561,3.249016,3.249016,158.822182
9.278800,0.118782,27.513680,3.110246,3.110246,186.027006
8.644423,0.173257,22.320225,3.762967,3.762967,140.765641
8.567824,0.098378,19.940286,2.894854,2.894854,128.851790
7.884187,0.126275,19.012761,3.783733,3.783733,156.695229
7.485081,0.073795,14.859596,1.954470,1.954470,127.286993
7.928533,0.054776,18.736626,2.756521,2.756521,128.287122
6.447517,0.063875,15.229863,1.764371,1.764371,113.481267
