#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,15.374422,4.588341,0.002717,6.477489,4.187833,0.001407,22.351584
1403715273312143104.000000,0.000000,0.000000,15.827009,5.074010,0.063587,4.132283,4.590956,0.000469,23.653351
1403715273362142976.000000,0.000000,0.000000,14.429351,4.940878,0.052824,3.115374,3.357184,0.000572,21.918510
1403715273412143104.000000,0.000000,0.000000,15.616389,6.223287,0.057205,2.484829,3.764114,0.000423,24.538836
1403715273462142976.000000,0.000000,0.000000,15.196372,4.357641,0.074625,2.232360,3.495726,0.582235,22.496232
1403715273512143104.000000,0.000000,0.000000,14.898605,5.490844,0.051815,4.767428,4.465843,0.000580,22.941729
1403715273562142976.000000,0.000000,0.000000,15.202066,6.834555,0.055093,3.201707,5.219665,0.000541,24.462134
1403715273612143104.000000,0.000000,0.000000,15.469216,6.078111,0.053482,3.166846,4.641075,0.000532,24.025550
1403715273662142976.000000,0.000000,0.000000,16.034083,4.692257,0.043280,3.892552,5.915878,0.000601,23.691797
1403715273712143104.000000,0.000000,0.000000,15.795731,11.018992,0.096377,4.498263,6.361527,0.736173,29.889657
1403715273762142976.000000,0.000000,0.000000,15.601036,11.397152,0.115588,4.879180,5.155148,0.000829,30.075249
1403715273812143104.000000,0.000000,0.000000,14.962149,4.872686,0.059128,3.314950,6.279968,0.000772,22.464396
1403715273862142976.000000,0.000000,0.000000,15.370811,4.460020,0.046000,4.506607,8.098255,0.000959,22.472915
1403715273912143104.000000,0.000000,0.000000,15.256589,4.382287,0.039061,3.646921,6.046709,0.000709,22.654149
1403715273962142976.000000,0.000000,0.000000,17.398654,11.212439,0.115012,2.790377,5.199670,0.397685,31.679501
1403715274012143104.000000,0.000000,0.000000,15.654515,5.164244,0.045587,6.198843,7.027048,0.000574,23.838777
1403715274062142976.000000,0.000000,0.000000,15.687177,7.520977,0.066987,3.568667,5.559603,0.000470,26.192625
1403715274112143104.000000,0.000000,0.000000,15.303128,4.680829,0.052025,3.493295,5.639086,0.000542,22.780077
1403715274162142976.000000,0.000000,0.000000,15.261572,10.966259,0.104312,4.622842,7.378970,0.000588,29.123114
1403715274212143104.000000,0.000000,0.000000,15.546174,12.266369,0.109901,4.647349,7.703008,0.519060,31.089894
1403715274262142976.000000,0.000000,0.000000,16.056204,4.374015,0.055401,5.489563,8.651697,0.000719,23.318987
1403715274312143104.000000,0.000000,0.000000,16.649611,10.758200,0.087733,4.891903,7.090900,0.000625,30.199295
1403715274362142976.000000,0.000000,0.000000,14.995823,5.288740,0.043868,5.308879,7.626775,0.000833,22.734234
1403715274412143104.000000,0.000000,0.000000,15.591459,11.008384,0.103340,4.726557,6.347888,0.000698,30.059360
1403715274462142976.000000,0.000000,0.000000,16.900407,5.527094,0.108161,4.208878,6.044144,0.635112,25.388618
1403715274512143104.000000,0.000000,0.000000,15.568490,6.032362,0.060524,6.560155,7.238322,0.001425,24.026890
1403715274562142976.000000,0.000000,0.000000,15.877777,5.638667,0.054979,5.680993,7.525371,0.000714,23.985724
1403715274612143104.000000,0.000000,0.000000,18.126527,4.877474,0.078365,4.422584,7.172589,0.000664,26.209776
1403715274662142976.000000,0.000000,0.000000,15.773284,4.188316,0.051543,4.330277,7.857256,0.000847,22.484937
1403715274712143104.000000,0.000000,0.000000,14.582556,5.862690,0.053659,5.022111,8.053336,0.519285,23.213591
1403715274762142976.000000,0.000000,0.000000,16.949225,10.413031,0.092426,5.114921,5.928259,0.000849,30.189664
1403715274812143104.000000,0.000000,0.000000,17.117738,7.490814,0.091429,5.172819,6.614465,0.000542,27.986163
1403715274862142976.000000,0.000000,0.000000,15.885314,9.663483,0.054003,3.967360,6.349004,0.000783,27.930008
1403715274912143104.000000,0.000000,0.000000,17.747297,11.458641,0.093220,5.347269,7.482890,0.000622,32.607448
1403715274962142976.000000,0.000000,0.000000,14.900542,6.006847,0.055146,5.159262,7.342880,0.581615,23.487126
1403715275012143104.000000,0.000000,0.000000,15.378217,6.133176,0.053810,7.295612,9.423199,0.000720,24.188352
1403715275062142976.000000,0.000000,0.000000,16.078625,10.046740,0.079766,4.083258,9.543312,0.000619,29.031168
1403715275112143104.000000,0.000000,0.000000,15.397174,7.892171,0.075031,3.649604,7.396383,0.000464,26.022162
1403715275162142976.000000,0.000000,0.000000,15.465434,4.389629,0.044031,4.493854,8.526119,0.001045,23.107624
1403715275212143104.000000,0.000000,0.000000,16.047042,11.051449,0.090875,5.043237,7.880729,0.528476,29.928417
1403715275262142976.000000,0.000000,0.000000,15.615809,11.257014,0.089377,5.478437,7.699552,0.000581,29.762106
1403715275312143104.000000,0.000000,0.000000,15.357227,11.460224,0.102951,4.825609,8.550932,0.000916,29.957005
1403715275362142976.000000,0.000000,0.000000,17.809190,10.592455,0.093209,3.394371,7.670002,0.000740,31.598431
1403715275412143104.000000,0.000000,0.000000,16.968039,4.231681,0.054196,3.172959,7.545738,0.000863,23.900005
1403715275462142976.000000,0.000000,0.000000,17.650002,10.994928,0.087548,2.654315,9.668683,0.677222,31.479360
1403715275512143104.000000,0.000000,0.000000,18.018034,6.961747,0.055651,6.287123,10.018864,0.000838,27.450206
