#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.241540,0.007864,0.062793,0.005609,0.005609,5.321920
5.000734,0.024331,0.211127,0.001393,0.001393,5.239091
5.408646,0.081728,1.092720,0.067339,0.067339,9.334459
7.195415,0.121658,8.456875,0.120792,0.120792,20.635621
5.214553,0.145278,5.199109,0.355397,0.355397,21.379113
8.393517,0.420929,13.243905,0.366806,0.366806,49.192459
9.286313,0.483975,16.840439,0.572974,0.572974,45.325804
7.427293,0.293142,7.899244,0.627249,0.627249,42.271878
9.866814,0.530970,26.258609,0.736928,0.736928,69.484294
10.169087,0.500584,28.271288,42.615319,42.615319,121.427605
8.840345,0.360293,14.720613,0.885428,0.885428,63.212533
11.267491,0.487958,26.729549,1.400970,1.400970,73.492442
11.087708,0.484054,25.818470,2.097378,2.097378,79.185561
8.875613,0.309050,20.507570,1.993796,1.993796,79.443500
6.189822,0.225407,15.195253,2.111168,2.111168,73.685145
6.868394,0.242034,24.690013,2.496632,2.496632,96.541020
10.615584,0.334765,25.694103,2.779050,2.779050,101.902077
6.341612,0.216612,17.830919,4.416408,4.416408,94.534643
7.004657,0.199336,18.576002,3.278607,3.278607,101.164326
6.633801,0.200550,18.203146,3.728480,3.728480,105.048537
6.801560,0.199246,20.724998,4.156776,4.156776,124.467954
8.585970,0.227683,20.542415,5.039132,5.039132,118.093166
8.226492,0.217645,20.059031,4.802133,4.802133,120.120267
7.847810,0.216803,19.078533,4.973809,4.973809,128.399027
6.710388,0.172126,16.673971,4.868422,4.868422,116.537987
7.843525,0.227582,19.588470,4.550251,4.550251,120.846122
7.675866,0.218387,19.024816,4.499346,4.499346,111.863852
12.266601,0.356698,30.088275,4.070379,4.070379,122.981747
7.684055,0.162154,26.079893,4.081840,4.081840,126.586856
8.748202,0.249799,25.840255,4.303549,4.303549,123.242848
6.811849,0.238783,27.932118,4.465056,4.465056,221.115127
7.972518,0.325962,25.250110,4.638137,4.638137,126.344250
9.431291,0.251451,26.581292,4.830637,4.830637,123.550462
8.186980,0.255900,26.446041,5.175347,5.175347,120.274132
10.891406,0.570577,24.780190,3.955633,3.955633,120.864396
7.770733,0.391018,23.885423,5.058785,5.058785,129.800096
7.557964,0.326672,21.926517,4.636752,4.636752,125.556187
6.634464,0.334294,20.449475,3.263603,3.263603,122.761437
6.419341,0.375017,12.396769,3.145216,3.145216,111.372113
9.725841,0.686301,28.258367,4.586262,4.586262,137.826704
9.393498,0.708434,24.192361,2.445304,2.445304,125.156571
7.372482,0.413816,18.180790,2.690134,2.690134,122.384349
9.664900,0.627979,25.812841,2.326366,2.326366,134.844306
5.868875,0.267445,13.676313,1.840846,1.840846,125.758555
6.542915,0.320481,16.507477,2.515105,2.515105,128.055392
7.232765,0.273472,14.256901,2.308754,2.308754,131.398504
6.724776,0.279743,15.180441,3.604248,3.604248,147.130920
5.340649,0.276657,13.587452,3.902232,3.902232,130.449241
6.068456,0.276907,14.304254,3.870764,3.870764,135.813933
5.347312,0.268566,12.898596,3.847739,3.847739,132.820565
5.631344,0.318482,13.337050,4.228026,4.228026,134.659243
5.673902,0.311870,13.838646,3.924950,3.924950,134.041386
6.807799,0.323848,14.268021,3.299579,3.299579,132.608256
6.667219,0.309630,15.316377,4.743868,4.743868,134.748380
5.778408,0.320545,14.882458,3.787850,3.787850,130.662441
7.900556,0.330060,15.972790,3.631490,3.631490,133.867274
7.221111,0.293809,16.457229,5.279052,5.279052,140.585491
7.057341,0.303589,18.077336,5.206942,5.206942,143.570364
7.426613,0.367781,21.235562,4.331177,4.331177,149.396929
11.203466,0.492702,32.001358,3.184995,3.184995,161.930535
6.555457,0.335490,16.394232,5.576043,5.576043,133.181200
8.210489,0.299696,29.901681,4.116718,4.116718,151.836416
6.389865,0.288159,17.565808,3.266124,3.266124,139.852846
7.011180,0.318260,15.691136,3.990299,3.990299,136.709301
12.311422,0.619302,29.944457,4.440289,4.440289,182.640511
6.913475,0.290130,14.790190,8.099931,8.099931,139.938566
11.931567,0.455480,26.161166,4.078806,4.078806,155.044005
6.375068,0.253771,20.393132,7.572363,7.572363,149.931191
12.160501,0.538987,32.289899,5.068074,5.068074,186.192404
6.394519,0.251399,14.701516,4.518115,4.518115,139.979603
7.283810,0.220163,13.785036,6.480503,6.480503,144.266204
7.605201,0.379260,14.660267,7.412188,7.412188,149.874259
6.208872,0.263903,12.974346,4.614893,4.614893,139.792537
5.585461,0.255032,13.090121,5.116605,5.116605,130.148791
10.805312,0.516304,27.358999,5.050930,5.050930,153.080805
