#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007307,3,1,0,1302
0.002185,4,1,0,1882
0.522570,5,1,0,2470
0.736377,6,1,0,2808
0.570780,7,1,0,3182
0.692685,8,1,0,3518
0.933970,9,1,0,3762
1.379973,10,1,0,3776
1.101083,0,0,0,0
56.425624,0,0,0,0
1.170550,0,0,0,0
1.063179,0,0,0,0
1.448249,0,0,0,0
1.564765,0,0,0,0
1.783797,0,0,0,0
1.805896,0,0,0,0
1.936417,0,0,0,0
2.597395,0,0,0,0
2.308535,0,0,0,0
3.073374,0,0,0,0
3.471346,0,0,0,0
5.599172,0,0,0,0
6.086869,0,0,0,0
4.083561,0,0,0,0
3.700600,0,0,0,0
3.623018,0,0,0,0
4.238609,0,0,0,0
3.572514,0,0,0,0
4.505102,0,0,0,0
3.703927,0,0,0,0
4.427615,0,0,0,0
4.780302,0,0,0,0
4.884692,0,0,0,0
3.673673,0,0,0,0
5.453728,0,0,0,0
4.683192,0,0,0,0
3.270380,0,0,0,0
3.692340,0,0,0,0
3.523656,0,0,0,0
3.339231,0,0,0,0
5.018267,0,0,0,0
4.276026,0,0,0,0
5.073099,0,0,0,0
4.186964,0,0,0,0
2.268107,0,0,0,0
3.304638,0,0,0,0
4.456622,0,0,0,0
3.550283,0,0,0,0
4.370276,0,0,0,0
2.886953,0,0,0,0
4.440105,0,0,0,0
4.029021,0,0,0,0
3.172130,0,0,0,0
4.355187,0,0,0,0
2.412566,0,0,0,0
1.076220,0,0,0,0
2.113059,0,0,0,0
2.196759,0,0,0,0
1.429499,0,0,0,0
1.891992,0,0,0,0
2.237836,0,0,0,0
2.231876,0,0,0,0
1.913676,0,0,0,0
2.406603,0,0,0,0
1.888582,0,0,0,0
1.518998,0,0,0,0
2.297877,0,0,0,0
1.943597,0,0,0,0
2.234052,0,0,0,0
1.676513,0,0,0,0
2.586895,0,0,0,0
1.694391,0,0,0,0
2.893938,0,0,0,0
3.088876,0,0,0,0
3.031045,0,0,0,0
3.676112,0,0,0,0
6.564846,0,0,0,0
3.846194,0,0,0,0
3.824240,0,0,0,0
3.822842,0,0,0,0
4.408825,0,0,0,0
5.452017,0,0,0,0
4.542417,0,0,0,0
3.940050,0,0,0,0
3.222323,0,0,0,0
3.969865,0,0,0,0
5.631283,0,0,0,0
4.349214,0,0,0,0
4.739544,0,0,0,0
4.852512,0,0,0,0
2.911265,0,0,0,0
3.447019,0,0,0,0
5.450764,0,0,0,0
3.433870,0,0,0,0
3.509624,0,0,0,0
2.593077,0,0,0,0
2.382148,0,0,0,0
1.896065,0,0,0,0
1.531797,0,0,0,0
1.938062,0,0,0,0
2.161955,0,0,0,0
1.942405,0,0,0,0
2.151342,0,0,0,0
1.036359,0,0,0,0
1.537648,0,0,0,0
1.207064,0,0,0,0
1.779636,0,0,0,0
2.545684,0,0,0,0
2.476983,0,0,0,0
4.088185,0,0,0,0
5.638894,0,0,0,0
4.459957,0,0,0,0
6.134063,0,0,0,0
3.312718,0,0,0,0
10.439771,0,0,0,0
4.183411,0,0,0,0
6.817448,0,0,0,0
4.699966,0,0,0,0
3.932993,0,0,0,0
4.424686,0,0,0,0
5.697682,0,0,0,0
4.505364,0,0,0,0
5.753436,0,0,0,0
11.204563,0,0,0,0
5.775807,0,0,0,0
4.995093,0,0,0,0
9.234458,0,0,0,0
5.803402,0,0,0,0
7.216730,0,0,0,0
5.740426,0,0,0,0
4.762684,0,0,0,0
8.294356,0,0,0,0
5.672528,0,0,0,0
6.731884,0,0,0,0
6.098940,0,0,0,0
5.500119,0,0,0,0
5.774712,0,0,0,0
5.039212,0,0,0,0
5.604803,0,0,0,0
6.018546,0,0,0,0
3.756048,0,0,0,0
5.419718,0,0,0,0
8.159073,0,0,0,0
6.734314,0,0,0,0
8.929581,0,0,0,0
5.857595,0,0,0,0
6.295493,0,0,0,0
7.092915,0,0,0,0
6.661033,0,0,0,0
9.521072,0,0,0,0
8.922629,0,0,0,0
8.622279,0,0,0,0
15.180431,0,0,0,0
8.154906,0,0,0,0
9.051897,0,0,0,0
6.909340,0,0,0,0
7.062058,0,0,0,0
8.036668,0,0,0,0
10.547598,0,0,0,0
10.058627,0,0,0,0
11.666800,0,0,0,0
8.414393,0,0,0,0
8.743984,0,0,0,0
7.457059,0,0,0,0
8.737955,0,0,0,0
8.853373,0,0,0,0
5.933647,0,0,0,0
4.802635,0,0,0,0
5.529198,0,0,0,0
7.436908,0,0,0,0
4.794108,0,0,0,0
4.468887,0,0,0,0
2.021685,0,0,0,0
3.811113,0,0,0,0
5.208911,0,0,0,0
3.179268,0,0,0,0
4.637964,0,0,0,0
3.501412,0,0,0,0
1.286944,0,0,0,0
4.498047,0,0,0,0
0.913088,0,0,0,0
1.677320,0,0,0,0
1.239735,0,0,0,0
4.042620,0,0,0,0
0.689389,0,0,0,0
3.313548,0,0,0,0
0.827051,0,0,0,0
1.030949,0,0,0,0
0.894639,0,0,0,0
2.351771,0,0,0,0
1.255310,0,0,0,0
0.969188,0,0,0,0
1.001567,0,0,0,0
1.051413,0,0,0,0
1.213900,0,0,0,0
1.030690,0,0,0,0
3.760122,0,0,0,0
2.662629,0,0,0,0
1.982324,0,0,0,0
2.000303,0,0,0,0
2.688831,0,0,0,0
3.377874,0,0,0,0
2.765283,0,0,0,0
2.921639,0,0,0,0
2.357182,0,0,0,0
4.395235,0,0,0,0
1.861546,0,0,0,0
3.323459,0,0,0,0
3.014970,0,0,0,0
1.383830,0,0,0,0
1.940027,0,0,0,0
1.272758,0,0,0,0
2.321050,0,0,0,0
1.755594,0,0,0,0
2.723996,0,0,0,0
2.137761,0,0,0,0
1.379471,0,0,0,0
2.002915,0,0,0,0
1.506334,0,0,0,0
1.814023,0,0,0,0
2.259802,0,0,0,0
1.943463,0,0,0,0
2.815290,0,0,0,0
2.310262,0,0,0,0
2.088169,0,0,0,0
1.619546,0,0,0,0
2.788067,0,0,0,0
1.168421,0,0,0,0
1.230326,0,0,0,0
2.188243,0,0,0,0
2.510800,0,0,0,0
2.180341,0,0,0,0
2.570605,0,0,0,0
1.671634,0,0,0,0
1.489940,0,0,0,0
1.316252,0,0,0,0
1.635082,0,0,0,0
2.664260,0,0,0,0
2.864449,0,0,0,0
2.467456,0,0,0,0
3.580196,0,0,0,0
3.168334,0,0,0,0
2.074315,0,0,0,0
3.443931,0,0,0,0
3.491097,0,0,0,0
3.144377,0,0,0,0
2.537279,0,0,0,0
3.990921,0,0,0,0
2.908956,0,0,0,0
2.974502,0,0,0,0
3.047264,0,0,0,0
2.166930,0,0,0,0
3.739362,0,0,0,0
2.765709,0,0,0,0
4.763867,0,0,0,0
3.111393,0,0,0,0
4.456976,0,0,0,0
4.247386,0,0,0,0
4.412366,0,0,0,0
4.138354,0,0,0,0
4.502353,0,0,0,0
4.381369,0,0,0,0
4.665649,0,0,0,0
4.928564,0,0,0,0
3.498755,0,0,0,0
5.021037,0,0,0,0
5.035060,0,0,0,0
3.917457,0,0,0,0
4.349445,0,0,0,0
4.109373,0,0,0,0
4.070055,0,0,0,0
4.892297,0,0,0,0
4.192617,0,0,0,0
4.541787,0,0,0,0
4.618403,0,0,0,0
4.517355,0,0,0,0
5.182053,0,0,0,0
4.791396,0,0,0,0
5.332159,0,0,0,0
5.631880,0,0,0,0
5.532185,0,0,0,0
4.432360,0,0,0,0
6.310860,0,0,0,0
4.222101,0,0,0,0
4.596393,0,0,0,0
4.431471,0,0,0,0
4.300224,0,0,0,0
3.843509,0,0,0,0
1.602113,0,0,0,0
1.073948,0,0,0,0
0.905883,0,0,0,0
1.311108,0,0,0,0
1.505282,0,0,0,0
1.707179,0,0,0,0
1.857177,0,0,0,0
1.957755,0,0,0,0
2.666673,0,0,0,0
3.927298,0,0,0,0
2.291150,0,0,0,0
3.082829,0,0,0,0
3.808300,0,0,0,0
3.339234,0,0,0,0
2.414213,0,0,0,0
5.067375,0,0,0,0
2.694701,0,0,0,0
2.053213,0,0,0,0
1.270407,0,0,0,0
1.259901,0,0,0,0
1.174992,0,0,0,0
0.501674,0,0,0,0
1.536419,0,0,0,0
1.292172,0,0,0,0
1.424935,0,0,0,0
0.895832,0,0,0,0
1.528100,0,0,0,0
1.490254,0,0,0,0
2.245248,0,0,0,0
2.742885,0,0,0,0
2.026619,0,0,0,0
1.708836,0,0,0,0
0.961766,0,0,0,0
1.213963,0,0,0,0
1.381545,0,0,0,0
3.218215,0,0,0,0
3.185045,0,0,0,0
2.239207,0,0,0,0
3.398852,0,0,0,0
2.857166,0,0,0,0
2.371177,0,0,0,0
3.236462,0,0,0,0
4.046734,0,0,0,0
4.789281,0,0,0,0
3.197552,0,0,0,0
2.628954,0,0,0,0
4.398821,0,0,0,0
4.010225,0,0,0,0
3.420264,0,0,0,0
2.570203,0,0,0,0
3.388339,0,0,0,0
3.782247,0,0,0,0
3.956403,0,0,0,0
3.965556,0,0,0,0
5.387703,0,0,0,0
4.732274,0,0,0,0
4.587917,0,0,0,0
4.938914,0,0,0,0
6.162188,0,0,0,0
5.236024,0,0,0,0
5.999248,0,0,0,0
4.447568,0,0,0,0
