#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.784755,2.726265,0.002991,9.494006,2.482892,0.002495,22.988581
1403637130588318976.000000,0.000000,0.000000,14.810523,2.367665,0.096662,1.231836,2.348391,0.000704,20.057229
1403637130638319104.000000,0.000000,0.000000,12.188048,2.246361,0.055134,1.327257,2.791011,0.000779,17.028022
1403637130688318976.000000,0.000000,0.000000,14.625074,2.217485,0.049161,0.638781,0.874007,0.000373,19.398291
1403637130738319104.000000,0.000000,0.000000,12.746094,5.187089,0.112012,0.612053,0.998605,0.000360,22.094881
1403637130788318976.000000,0.000000,0.000000,12.222694,5.657320,0.159245,1.480039,2.446210,0.464197,34.181834
1403637130838319104.000000,0.000000,0.000000,12.337203,5.552418,0.171848,1.881255,1.200474,0.000426,25.180902
1403637130888318976.000000,0.000000,0.000000,13.650543,5.505464,0.108485,0.860368,1.458017,0.000573,26.917165
1403637130938319104.000000,0.000000,0.000000,12.845055,1.780548,0.060690,0.868786,1.896508,0.000658,18.690953
1403637130988318976.000000,0.000000,0.000000,12.387987,2.040173,0.058083,1.338306,2.213890,0.000805,18.971580
1403637131038319104.000000,0.000000,0.000000,14.371564,5.225085,0.115748,1.764838,3.595695,0.001053,26.983740
1403637131088318976.000000,0.000000,0.000000,12.725158,5.394743,0.117848,0.977818,1.735765,0.232777,24.549908
1403637131138319104.000000,0.000000,0.000000,13.282547,2.302411,0.040193,1.509097,1.946804,0.000910,20.880448
1403637131188318976.000000,0.000000,0.000000,14.413811,2.316449,0.051477,0.695551,1.370048,0.000479,22.208677
1403637131238319104.000000,0.000000,0.000000,14.691037,3.903966,0.086585,0.970100,1.509980,0.000684,25.470101
1403637131288318976.000000,0.000000,0.000000,13.240488,4.995188,0.114862,0.806533,1.314450,0.000375,27.228407
1403637131338319104.000000,0.000000,0.000000,12.848389,2.539928,0.067452,0.835271,1.255978,0.186134,20.754041
1403637131388318976.000000,0.000000,0.000000,10.960486,4.429906,0.085005,2.512709,2.517226,0.000766,21.511924
1403637131438319104.000000,0.000000,0.000000,14.767737,2.107574,0.063260,2.116233,3.014861,0.000711,21.537777
1403637131488318976.000000,0.000000,0.000000,13.312391,2.307152,0.063980,1.065679,1.631330,0.000720,20.691847
1403637131538319104.000000,0.000000,0.000000,14.222582,1.912948,0.061626,0.889775,1.192098,0.000389,20.759274
1403637131588318976.000000,0.000000,0.000000,13.570647,1.974543,0.060886,0.942182,1.341174,0.178727,20.428462
1403637131638319104.000000,0.000000,0.000000,12.135688,3.661377,0.125462,2.365045,2.937829,0.000690,24.664763
1403637131688318976.000000,0.000000,0.000000,14.243831,5.126933,0.123582,1.038974,1.401245,0.000443,28.032539
1403637131738319104.000000,0.000000,0.000000,14.148393,4.378007,0.085903,0.818088,1.844326,0.000707,24.344422
1403637131788318976.000000,0.000000,0.000000,11.907678,2.043463,0.062900,0.778043,1.468425,0.000443,18.791675
1403637131838319104.000000,0.000000,0.000000,12.479669,2.402365,0.056841,0.860672,1.543029,0.170018,20.250623
1403637131888318976.000000,0.000000,0.000000,11.179130,5.062134,0.100913,1.135437,1.486211,0.001229,24.409995
1403637131938319104.000000,0.000000,0.000000,15.534565,1.974527,0.061099,2.033672,2.378883,0.000783,22.799271
1403637131988318976.000000,0.000000,0.000000,13.203195,1.860244,0.053558,1.061306,1.402661,0.000403,20.891610
1403637132038319104.000000,0.000000,0.000000,14.324082,3.432046,0.052474,0.864917,1.355488,0.000495,23.145669
1403637132088318976.000000,0.000000,0.000000,13.727741,2.926395,0.068614,0.954299,1.561462,0.188799,22.413228
1403637132138319104.000000,0.000000,0.000000,13.298897,2.161281,0.083048,2.729658,2.995581,0.000936,21.115362
1403637132188318976.000000,0.000000,0.000000,12.795880,3.875226,0.112705,1.169029,1.640523,0.000392,24.002981
1403637132238319104.000000,0.000000,0.000000,11.182947,2.549668,0.077225,1.008629,1.345712,0.000421,18.943198
1403637132288318976.000000,0.000000,0.000000,10.016053,2.070780,0.063760,1.496134,2.742384,0.001354,16.318539
1403637132338319104.000000,0.000000,0.000000,10.402970,1.879404,0.070422,2.399076,3.863774,0.385214,17.129557
1403637132388318976.000000,0.000000,0.000000,13.127974,4.225480,0.118982,2.314488,3.128411,0.000637,26.112332
1403637132438319104.000000,0.000000,0.000000,15.199454,2.148543,0.060643,1.021284,1.498827,0.000419,23.337138
1403637132488318976.000000,0.000000,0.000000,13.849447,3.953887,0.060550,2.162336,3.637739,0.001025,23.089424
1403637132538319104.000000,0.000000,0.000000,12.755570,2.955019,0.089674,2.257208,3.693940,0.000830,22.881787
1403637132588318976.000000,0.000000,0.000000,12.998505,4.688167,0.132768,0.971323,1.824332,0.170377,27.609875
1403637132638319104.000000,0.000000,0.000000,12.563524,4.641172,0.098628,2.089977,3.175216,0.000770,25.676823
1403637132688318976.000000,0.000000,0.000000,13.673585,2.186879,0.050615,1.452484,1.620778,0.000361,21.328056
1403637132738319104.000000,0.000000,0.000000,12.591452,5.393026,0.116295,0.767848,1.533337,0.000419,27.148423
1403637132788318976.000000,0.000000,0.000000,13.006944,5.269321,0.119082,1.967081,3.279192,0.000795,27.777112
1403637132838319104.000000,0.000000,0.000000,15.636681,3.198125,0.060767,1.490915,3.653974,0.381854,24.274319
1403637132888318976.000000,0.000000,0.000000,13.562116,4.822634,0.114906,0.030869,2.026865,0.024327,27.401738
1403637132938319104.000000,0.000000,0.000000,12.895310,4.188038,0.098519,0.019539,2.625743,0.212628,23.186496
1403637132988318976.000000,0.000000,0.000000,13.714395,2.474631,0.062501,0.028589,2.592279,0.224173,21.029695
1403637133038319104.000000,0.000000,0.000000,14.474367,5.353537,0.112770,0.033447,2.867655,0.237593,28.547919
1403637133088318976.000000,0.000000,0.000000,14.107492,4.933343,0.098073,0.033067,5.322393,0.432658,28.011070
1403637133138319104.000000,0.000000,0.000000,12.336913,1.902757,0.061929,0.031016,2.593009,0.220251,19.011819
1403637133188318976.000000,0.000000,0.000000,13.616077,2.208505,0.065151,0.027630,2.919421,0.256158,22.034715
1403637133238319104.000000,0.000000,0.000000,14.015548,2.293347,0.057978,0.033514,4.550327,0.447066,21.951509
1403637133288318976.000000,0.000000,0.000000,13.208592,5.386330,0.055994,0.021014,2.777840,0.202059,25.066133
1403637133338319104.000000,0.000000,0.000000,15.671910,3.257564,0.081649,0.033421,4.597177,0.356896,28.346818
1403637133388318976.000000,0.000000,0.000000,13.179447,2.132088,0.064425,0.055552,4.206911,0.317212,20.840200
1403637133438319104.000000,0.000000,0.000000,13.850874,3.963366,0.066510,0.033785,6.287128,0.471386,24.440034
1403637133488318976.000000,0.000000,0.000000,14.779059,3.576401,0.058426,0.020597,3.300167,0.215937,26.317358
1403637133538319104.000000,0.000000,0.000000,12.695618,2.077508,0.081864,6.491858,1.914745,0.000508,20.775864
1403637133588318976.000000,0.000000,0.000000,12.969721,4.488688,0.105907,1.165894,2.263797,0.000545,25.563044
1403637133638319104.000000,0.000000,0.000000,13.238873,5.924988,0.136066,1.323971,1.805708,0.000825,26.971153
1403637133688318976.000000,0.000000,0.000000,11.859864,5.279112,0.138158,0.930636,2.470874,0.000510,27.616879
