#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.004566,3,1,0,316
0.002544,4,1,0,405
0.053579,5,1,0,553
0.177855,6,1,0,832
0.108898,7,1,0,1180
0.364395,8,1,0,1489
0.272096,9,1,0,1812
0.355762,10,1,0,2055
0.570779,0,0,0,0
29.059183,0,0,0,0
0.564009,0,0,0,0
0.954171,0,0,0,0
0.720659,0,0,0,0
0.867502,0,0,0,0
0.660901,0,0,0,0
0.770190,0,0,0,0
2.166224,0,0,0,0
0.836201,0,0,0,0
0.919702,0,0,0,0
1.375409,0,0,0,0
1.211723,0,0,0,0
1.668323,0,0,0,0
2.562822,0,0,0,0
2.170592,0,0,0,0
2.282313,0,0,0,0
2.178476,0,0,0,0
2.640157,0,0,0,0
2.155534,0,0,0,0
2.026361,0,0,0,0
1.841380,0,0,0,0
1.895767,0,0,0,0
2.293080,0,0,0,0
2.081373,0,0,0,0
2.295707,0,0,0,0
2.174941,0,0,0,0
3.783631,0,0,0,0
2.204326,0,0,0,0
2.045956,0,0,0,0
2.012724,0,0,0,0
2.361726,0,0,0,0
2.062298,0,0,0,0
2.106562,0,0,0,0
2.341318,0,0,0,0
2.207318,0,0,0,0
2.728261,0,0,0,0
2.557403,0,0,0,0
2.214549,0,0,0,0
2.705165,0,0,0,0
1.664799,0,0,0,0
2.589262,0,0,0,0
2.682539,0,0,0,0
2.160404,0,0,0,0
2.637676,0,0,0,0
2.782399,0,0,0,0
2.799065,0,0,0,0
2.928952,0,0,0,0
2.540594,0,0,0,0
1.854357,0,0,0,0
2.827105,0,0,0,0
3.684166,0,0,0,0
2.047950,0,0,0,0
4.976270,0,0,0,0
2.722034,0,0,0,0
7.365925,0,0,0,0
2.524028,0,0,0,0
2.068814,3,1,0,332
2.823020,4,1,0,415
0.001694,5,1,0,528
0.002017,6,1,0,664
0.001327,7,1,0,770
0.240873,8,1,0,902
0.318819,9,1,0,1045
0.232233,10,1,0,1162
0.241596,0,0,0,0
0.585682,0,0,0,0
0.699064,0,0,0,0
1.056658,0,0,0,0
41.386748,0,0,0,0
0.290229,0,0,0,0
0.905730,0,0,0,0
1.285171,0,0,0,0
0.628694,0,0,0,0
0.792017,0,0,0,0
1.730613,0,0,0,0
1.123582,0,0,0,0
0.825719,3,1,0,362
0.680349,4,1,0,449
0.834985,5,1,0,595
1.051630,6,1,0,699
1.670184,7,1,0,831
0.001609,8,1,0,961
0.003004,9,1,0,1094
0.264107,10,1,0,1179
0.348282,0,0,0,0
0.283990,0,0,0,0
0.277502,3,1,0,417
0.309091,4,1,0,667
0.771045,5,1,0,956
0.619724,6,1,0,1120
40.049754,7,1,0,1688
0.491780,8,1,0,2142
0.785090,9,1,0,2698
0.002627,10,1,0,3247
0.002780,0,0,0,0
0.337002,0,0,0,0
0.256769,0,0,0,0
0.779332,0,0,0,0
0.729104,0,0,0,0
0.884797,0,0,0,0
0.607648,0,0,0,0
0.796302,0,0,0,0
54.848269,0,0,0,0
0.675182,0,0,0,0
0.698460,0,0,0,0
0.914506,0,0,0,0
0.917081,0,0,0,0
1.353654,0,0,0,0
1.007346,0,0,0,0
2.640896,0,0,0,0
1.590433,0,0,0,0
1.900335,0,0,0,0
1.969062,0,0,0,0
1.888351,0,0,0,0
2.613299,0,0,0,0
3.390704,0,0,0,0
3.186510,0,0,0,0
