#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.007143,0.010270,0.112499,0.004566,0.004566,5.138070
5.949379,0.075759,0.620047,0.002544,0.002544,6.650379
3.907170,0.049102,0.439136,0.053579,0.053579,6.660011
7.301555,0.120055,1.677566,0.177855,0.177855,15.892479
5.810342,0.059371,2.206403,0.108898,0.108898,12.088864
6.758707,0.116968,13.367706,0.364395,0.364395,35.480210
6.120830,0.143418,11.023251,0.272096,0.272096,34.046027
4.328294,0.148738,8.373371,0.355762,0.355762,24.615858
8.889030,0.283879,22.129790,0.570779,0.570779,54.224729
8.367150,0.266210,17.661350,29.059183,29.059183,79.265045
5.128908,0.099927,11.183100,0.564009,0.564009,37.512402
6.604987,0.146184,14.752232,0.954171,0.954171,51.399905
6.444412,0.100493,10.112288,0.720659,0.720659,44.305172
5.723167,0.083327,10.065231,0.867502,0.867502,52.604927
7.578081,0.083041,11.675245,0.660901,0.660901,58.629830
8.146749,0.134228,15.508975,0.770190,0.770190,64.578953
10.952673,0.181474,24.072287,2.166224,2.166224,84.940069
6.533451,0.117149,17.682497,0.836201,0.836201,77.007042
6.951109,0.147252,15.552070,0.919702,0.919702,79.163455
7.549939,0.153333,17.433073,1.375409,1.375409,97.941295
6.771158,0.107247,15.430256,1.211723,1.211723,82.023783
6.451700,0.101960,15.148381,1.668323,1.668323,85.684945
7.268632,0.090203,18.226276,2.562822,2.562822,96.891504
8.335613,0.096979,19.840047,2.170592,2.170592,101.421591
7.227651,0.094810,16.547759,2.282313,2.282313,93.273828
7.743753,0.090947,16.188853,2.178476,2.178476,93.380998
7.208076,0.088220,16.634299,2.640157,2.640157,89.058936
13.054890,0.129538,21.637287,2.155534,2.155534,101.040423
6.944561,0.061224,13.849330,2.026361,2.026361,85.173994
11.025557,0.088459,21.110892,1.841380,1.841380,100.900506
7.175209,0.049312,13.384001,1.895767,1.895767,82.894117
6.557937,0.053428,16.999233,2.293080,2.293080,92.049934
8.053438,0.093673,25.988104,2.081373,2.081373,103.403089
7.093077,0.112952,22.165501,2.295707,2.295707,104.517890
6.823227,0.155666,20.344169,2.174941,2.174941,98.604489
7.558756,0.135133,19.595865,3.783631,3.783631,105.643345
8.730702,0.109709,21.663776,2.204326,2.204326,124.008375
8.009191,0.202922,24.883681,2.045956,2.045956,112.428192
6.623065,0.120008,19.556189,2.012724,2.012724,107.274394
7.490896,0.113562,20.389162,2.361726,2.361726,124.331702
9.005793,0.111477,19.075993,2.062298,2.062298,100.840945
6.899008,0.150598,22.296312,2.106562,2.106562,104.641856
6.688793,0.123369,19.502484,2.341318,2.341318,99.830730
8.044282,0.115518,23.027919,2.207318,2.207318,124.863905
10.199114,0.133603,26.350150,2.728261,2.728261,313.661035
7.737763,0.144555,21.443322,2.557403,2.557403,131.316580
8.767767,0.137350,23.629891,2.214549,2.214549,125.490398
11.605463,0.187169,27.861544,2.705165,2.705165,120.023103
7.073406,0.157274,19.198228,1.664799,1.664799,106.150048
7.765737,0.123905,23.042365,2.589262,2.589262,124.977628
9.497136,0.137931,21.330138,2.682539,2.682539,122.447491
8.331600,0.132368,20.737923,2.160404,2.160404,123.562574
10.071014,0.268900,22.863694,2.637676,2.637676,123.127471
10.371584,0.157559,22.061796,2.782399,2.782399,128.659731
8.339043,0.134751,19.286504,2.799065,2.799065,154.591177
7.532829,0.126023,18.131475,2.928952,2.928952,125.498049
8.217712,0.114496,22.434061,2.540594,2.540594,126.309595
7.656091,0.134625,18.468844,1.854357,1.854357,127.623217
10.142183,0.127878,23.109574,2.827105,2.827105,177.553535
12.249662,0.219846,27.818702,3.684166,3.684166,139.998478
7.395896,0.097703,21.357509,2.047950,2.047950,153.926058
7.474172,0.136098,21.074096,4.976270,4.976270,132.646405
7.874731,0.124929,18.349806,2.722034,2.722034,140.138534
7.365974,0.120394,14.625911,7.365925,7.365925,93.391282
6.512118,0.083378,14.150179,2.524028,2.524028,83.909715
7.417497,0.049889,12.313490,2.068814,2.068814,77.280920
6.465432,0.058603,17.118649,2.823020,2.823020,85.282899
3.844383,0.007281,0.082112,0.001694,0.001694,3.936648
3.590875,0.007976,0.081338,0.002017,0.002017,3.683711
5.472525,0.029789,0.298598,0.001327,0.001327,5.803172
6.537366,0.103959,0.968102,0.240873,0.240873,11.613936
4.137162,0.099716,1.322301,0.318819,0.318819,13.041894
7.045265,0.070896,1.603867,0.232233,0.232233,16.045648
4.164884,0.028040,0.926957,0.241596,0.241596,10.439087
6.801452,0.054825,2.114257,0.585682,0.585682,18.178191
6.788539,0.052746,2.766623,0.699064,0.699064,25.867374
7.349542,0.050218,3.408308,1.056658,1.056658,24.826716
5.065523,0.027047,1.631298,41.386748,41.386748,54.105502
4.391511,0.021403,2.017854,0.290229,0.290229,16.562416
8.492431,0.008360,4.216412,0.905730,0.905730,45.257409
7.514402,0.010966,4.628923,1.285171,1.285171,47.989559
5.038177,0.004307,2.142742,0.628694,0.628694,23.252093
7.203857,0.007693,4.107846,0.792017,0.792017,33.835422
8.130363,0.011053,6.816041,1.730613,1.730613,50.047497
9.148873,0.006909,3.993442,1.123582,1.123582,43.674925
8.300720,0.013930,8.754104,0.825719,0.825719,55.366109
8.304109,0.017980,7.077241,0.680349,0.680349,47.110049
5.521285,0.006561,4.756623,0.834985,0.834985,29.842921
5.344662,0.003713,4.623840,1.051630,1.051630,33.090962
10.155930,0.015870,10.341664,1.670184,1.670184,53.223234
5.782636,0.011932,0.105371,0.001609,0.001609,5.902421
6.908257,0.082446,0.730806,0.003004,0.003004,7.726235
7.174647,0.129745,1.022478,0.264107,0.264107,14.562067
6.444957,0.106518,1.379914,0.348282,0.348282,13.691005
4.669786,0.074192,1.137324,0.283990,0.283990,12.435132
4.996583,0.034575,0.907878,0.277502,0.277502,11.721675
4.239045,0.027921,1.012485,0.309091,0.309091,11.710669
7.691269,0.041326,2.785176,0.771045,0.771045,21.362798
4.381568,0.040637,1.301262,0.619724,0.619724,22.010087
4.142903,0.027768,1.450323,40.049754,40.049754,51.196212
6.473812,0.043819,1.993603,0.491780,0.491780,20.076703
8.006925,0.010959,4.499445,0.785090,0.785090,48.219204
5.720774,0.024343,0.256996,0.002627,0.002627,6.006593
8.066626,0.075929,0.751662,0.002780,0.002780,8.899077
6.514142,0.202067,3.505343,0.337002,0.337002,18.319584
6.909076,0.202480,4.143960,0.256769,0.256769,17.360758
7.292134,0.229547,8.091259,0.779332,0.779332,33.508884
4.433842,0.152071,3.312139,0.729104,0.729104,26.750089
7.535724,0.240617,16.697561,0.884797,0.884797,55.662314
6.719075,0.178919,10.503627,0.607648,0.607648,35.839198
9.058072,0.258409,20.801878,0.796302,0.796302,65.612926
5.920841,0.196576,12.513003,54.848269,54.848269,102.265564
6.686194,0.131076,11.464205,0.675182,0.675182,56.152545
6.537753,0.182565,12.698219,0.698460,0.698460,65.311502
9.448080,0.254881,20.239125,0.914506,0.914506,76.540929
10.369073,0.215884,21.629746,0.917081,0.917081,79.584075
6.705973,0.172379,19.412411,1.353654,1.353654,82.630591
7.534509,0.158859,16.653992,1.007346,1.007346,81.659042
8.516052,0.142992,19.722851,2.640896,2.640896,104.090525
8.375707,0.117229,19.422035,1.590433,1.590433,100.719053
7.623016,0.129570,19.495323,1.900335,1.900335,106.482670
7.539895,0.147857,20.462352,1.969062,1.969062,123.403254
8.264920,0.166181,22.384538,1.888351,1.888351,125.486191
8.783847,0.186880,22.358933,2.613299,2.613299,175.929421
8.650511,0.248917,20.552400,3.390704,3.390704,126.396622
7.685630,0.159647,18.893724,3.186510,3.186510,125.190462
7.949979,0.205103,21.587545,2.985519,2.985519,125.758848
7.856562,0.218109,22.853765,3.051719,3.051719,123.309928
7.367097,0.194304,20.271499,2.601712,2.601712,133.197402
7.798843,0.221288,22.946836,2.802238,2.802238,126.774652
7.456615,0.281280,24.721262,2.692157,2.692157,122.091614
