#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009706,3,1,0,1395
0.003380,4,1,0,1725
0.281114,5,1,0,2239
0.846297,6,1,0,2758
0.697001,7,1,0,3298
1.789713,8,1,0,3902
1.361819,9,1,0,4579
1.125080,10,1,0,4963
1.178985,0,0,0,0
107.709445,0,0,0,0
1.645352,0,0,0,0
3.168455,0,0,0,0
2.676589,0,0,0,0
2.271937,0,0,0,0
2.780853,0,0,0,0
2.552742,0,0,0,0
3.774236,0,0,0,0
4.671019,0,0,0,0
3.588757,0,0,0,0
3.661418,0,0,0,0
3.926746,0,0,0,0
4.913329,0,0,0,0
5.481588,0,0,0,0
4.578371,0,0,0,0
4.441730,0,0,0,0
4.568998,0,0,0,0
4.568741,0,0,0,0
4.451727,0,0,0,0
5.410456,0,0,0,0
4.069388,0,0,0,0
4.134646,0,0,0,0
4.224084,0,0,0,0
3.733800,0,0,0,0
3.018017,0,0,0,0
3.867038,0,0,0,0
4.122189,0,0,0,0
4.597187,0,0,0,0
3.039583,0,0,0,0
5.046836,0,0,0,0
4.272801,0,0,0,0
3.947184,0,0,0,0
5.218230,0,0,0,0
4.750970,0,0,0,0
3.626829,0,0,0,0
5.043363,0,0,0,0
5.607900,0,0,0,0
3.404799,0,0,0,0
4.264274,0,0,0,0
3.831225,0,0,0,0
3.135873,0,0,0,0
3.963625,0,0,0,0
4.535161,0,0,0,0
4.208003,0,0,0,0
3.972632,0,0,0,0
3.602680,0,0,0,0
4.806495,0,0,0,0
3.562870,0,0,0,0
5.036743,0,0,0,0
3.859587,0,0,0,0
4.328921,0,0,0,0
3.774924,0,0,0,0
4.493240,0,0,0,0
5.898712,0,0,0,0
5.422621,0,0,0,0
4.965811,0,0,0,0
5.311803,0,0,0,0
9.572242,0,0,0,0
4.037416,0,0,0,0
8.865023,0,0,0,0
9.013923,0,0,0,0
8.254936,0,0,0,0
8.585222,0,0,0,0
5.512495,0,0,0,0
10.954148,0,0,0,0
6.827554,0,0,0,0
7.457505,0,0,0,0
8.509379,0,0,0,0
5.421481,0,0,0,0
8.777902,0,0,0,0
7.603521,0,0,0,0
7.453174,0,0,0,0
5.657443,0,0,0,0
8.242020,0,0,0,0
7.549809,0,0,0,0
8.718897,0,0,0,0
12.498414,0,0,0,0
9.447279,0,0,0,0
7.869084,0,0,0,0
10.205757,0,0,0,0
8.206386,0,0,0,0
8.428015,0,0,0,0
6.415300,0,0,0,0
9.925338,0,0,0,0
6.759705,0,0,0,0
9.001763,0,0,0,0
9.646958,0,0,0,0
6.189446,0,0,0,0
8.131147,0,0,0,0
8.136593,0,0,0,0
8.013033,0,0,0,0
9.634530,0,0,0,0
9.193911,0,0,0,0
10.350854,0,0,0,0
6.440427,0,0,0,0
8.152012,0,0,0,0
6.249389,0,0,0,0
9.864709,0,0,0,0
8.350049,0,0,0,0
7.538970,0,0,0,0
6.466799,0,0,0,0
8.434830,0,0,0,0
6.090859,0,0,0,0
7.306525,0,0,0,0
4.567602,0,0,0,0
7.128792,0,0,0,0
8.810069,0,0,0,0
4.541093,0,0,0,0
6.250408,0,0,0,0
5.418996,0,0,0,0
