#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.417816,0.015298,0.121339,0.005598,0.005598,4.564475
4.046492,0.050277,0.785268,0.001529,0.001529,4.885131
4.271557,0.148509,1.676310,0.094866,0.094866,12.824666
7.702319,0.404367,5.789501,0.572425,0.572425,31.167303
7.991707,0.383604,14.403028,0.718038,0.718038,59.690489
4.866464,0.196669,7.386789,0.825422,0.825422,31.750112
8.770451,0.421013,19.632159,0.749082,0.749082,66.412201
4.397237,0.245763,9.655889,0.905565,0.905565,41.797322
2.880376,0.185855,6.928286,1.242196,1.242196,41.847312
4.870664,0.359707,14.958402,49.480256,49.480256,107.116769
4.254641,0.095059,0.854072,0.003663,0.003663,5.210085
4.254954,0.190080,3.055311,0.003014,0.003014,7.505208
2.968367,0.193815,2.083592,0.133064,0.133064,11.453507
3.901322,0.213326,1.972285,0.261826,0.261826,14.840277
2.325451,0.179356,2.707547,0.373117,0.373117,17.124722
5.781753,0.326296,7.551645,0.341854,0.341854,26.896180
5.408470,0.366511,7.167321,0.856235,0.856235,33.391541
6.415247,0.518078,10.764933,0.445155,0.445155,41.713414
6.754152,0.345566,6.932522,0.622028,0.622028,27.998636
8.365148,0.530721,17.415893,52.489691,52.489691,103.634875
5.465501,0.320741,9.476742,0.589124,0.589124,55.199366
5.105624,0.250268,9.255013,0.823231,0.823231,44.808666
5.895597,0.244464,9.975967,1.694664,1.694664,56.082627
6.343830,0.302540,16.725822,0.809597,0.809597,58.755664
6.871019,0.376188,13.167094,0.939690,0.939690,55.910042
4.483906,0.164629,10.199201,1.221956,1.221956,49.558413
4.363249,0.200034,10.743496,1.110658,1.110658,53.593558
4.632017,0.178911,11.747651,1.163185,1.163185,58.978020
4.261632,0.211113,13.236846,1.397353,1.397353,63.843883
2.921799,0.201393,10.167678,1.421484,1.421484,64.716858
4.805307,0.204967,8.928282,1.667067,1.667067,51.309353
2.655431,0.112731,8.604817,2.031185,2.031185,49.766291
3.212960,0.145000,7.895284,1.989405,1.989405,59.065138
1.404177,0.104828,4.264019,3.085949,3.085949,43.426371
2.207698,0.099340,7.194690,1.743227,1.743227,51.619994
2.193288,0.090278,6.326538,1.802292,1.802292,52.141615
3.405846,0.140048,12.130745,1.482776,1.482776,52.276599
2.208526,0.090379,6.199809,2.005989,2.005989,38.939304
2.072402,0.086966,5.781135,2.149992,2.149992,42.314964
2.078967,0.060735,6.474819,1.647316,1.647316,30.405995
2.536999,0.067930,8.107310,1.834551,1.834551,43.711112
2.130166,0.062662,4.995917,1.678486,1.678486,30.361503
1.542890,0.046109,4.036528,1.394223,1.394223,26.544158
2.033966,0.040137,5.716897,1.660828,1.660828,30.590000
2.632597,0.053736,6.102716,1.984708,1.984708,34.208792
2.601118,0.092553,6.501881,2.154956,2.154956,46.615693
2.416794,0.117169,7.000446,1.718859,1.718859,39.868123
2.397720,0.100900,6.444480,1.735377,1.735377,31.971834
2.366389,0.112458,5.871374,1.551090,1.551090,36.800836
2.161836,0.075583,6.619053,2.413626,2.413626,61.838077
2.932778,0.120160,6.715195,1.894624,1.894624,43.312975
2.268044,0.093478,6.154011,2.264338,2.264338,65.884702
2.909028,0.153883,9.751732,1.721185,1.721185,58.852045
2.128327,0.093174,9.248292,1.746214,1.746214,43.706967
2.231054,0.113297,9.962799,2.510822,2.510822,39.740907
2.072986,0.086880,5.655591,1.899114,1.899114,30.504526
1.830099,0.069753,6.428207,2.021091,2.021091,31.922448
1.797832,0.054564,7.168419,2.465494,2.465494,42.678884
