#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,13.883147,8.412313,0.010548,3.722212,2.267101,0.001268,24.761384
1413393212305760512.000000,0.000000,0.000000,11.363703,4.169072,0.053137,1.500911,2.521223,0.000696,18.175853
1413393212355760384.000000,0.000000,0.000000,9.365431,4.059396,0.049662,2.848012,4.438543,0.000522,15.966973
1413393212405760512.000000,0.000000,0.000000,10.241730,3.465082,0.040682,2.656309,4.559147,0.001017,16.565394
1413393212455760384.000000,0.000000,0.000000,11.571898,3.022094,0.072569,1.430137,2.444895,0.538295,17.058161
1413393212505760512.000000,0.000000,0.000000,10.373880,4.490731,0.048066,3.409068,3.435306,0.000693,17.849871
1413393212555760384.000000,0.000000,0.000000,9.180958,3.277679,0.038540,2.763144,6.543045,0.000682,14.999104
1413393212605760512.000000,0.000000,0.000000,10.522418,4.868172,0.059075,2.421670,3.302993,0.000387,17.778007
1413393212655760384.000000,0.000000,0.000000,9.847504,10.399989,0.081232,4.626523,5.436160,0.000830,23.552321
1413393212705760512.000000,0.000000,0.000000,10.425335,9.289921,0.083152,3.879516,5.625702,0.000782,22.709550
1413393212755760384.000000,0.000000,0.000000,11.135278,4.156718,0.035953,3.674472,5.447524,0.541646,17.862709
1413393212805760512.000000,0.000000,0.000000,11.319342,3.265694,0.037567,2.891060,3.286027,0.000429,17.037185
1413393212855760384.000000,0.000000,0.000000,11.804694,3.642050,0.045321,2.235823,3.300835,0.000481,17.965244
1413393212905760512.000000,0.000000,0.000000,10.700213,6.925442,0.089252,2.186777,3.493633,0.000432,20.269582
1413393212955760384.000000,0.000000,0.000000,11.650529,3.669876,0.041843,2.382826,3.648363,0.000662,17.656965
1413393213005760512.000000,0.000000,0.000000,12.162594,10.163034,0.080239,4.336508,5.435924,0.000622,25.235524
1413393213055760384.000000,0.000000,0.000000,10.357133,8.324911,0.080112,2.285210,4.201426,0.674065,21.509095
1413393213105760512.000000,0.000000,0.000000,11.747281,4.334334,0.046301,3.313920,3.879630,0.000803,19.470560
1413393213155760384.000000,0.000000,0.000000,10.084016,7.673156,0.076002,4.131334,6.185564,0.000550,21.223051
1413393213205760512.000000,0.000000,0.000000,9.273024,4.842907,0.042293,3.054316,3.910800,0.000485,16.721753
1413393213255760384.000000,0.000000,0.000000,11.451627,8.495072,0.093455,2.261345,3.986131,0.000754,23.280938
1413393213305760512.000000,0.000000,0.000000,10.627154,3.746742,0.053798,2.022343,3.330601,0.000446,17.021396
1413393213355760384.000000,0.000000,0.000000,11.075105,3.546796,0.045387,2.614565,6.984606,0.598342,17.401493
1413393213405760512.000000,0.000000,0.000000,8.975224,3.927852,0.063124,3.534413,4.478690,0.010031,15.517643
1413393213455760384.000000,0.000000,0.000000,12.182012,6.651977,0.086865,2.608167,5.845367,0.000791,22.197142
1413393213505760512.000000,0.000000,0.000000,11.928475,3.489890,0.038915,2.827391,4.180524,0.000563,18.312639
1413393213555760384.000000,0.000000,0.000000,10.590553,3.468412,0.040089,3.343478,5.464697,0.000592,16.416278
1413393213605760512.000000,0.000000,0.000000,10.017198,8.970905,0.079790,2.207041,6.538899,0.638645,21.797324
1413393213655760384.000000,0.000000,0.000000,9.770913,10.305876,0.089215,4.080890,4.464634,0.000476,22.913310
1413393213705760512.000000,0.000000,0.000000,11.607665,3.525728,0.046666,2.692719,4.283484,0.000436,17.886785
1413393213755760384.000000,0.000000,0.000000,10.651698,3.643888,0.039864,3.688438,7.255070,0.000965,16.707162
1413393213805760512.000000,0.000000,0.000000,10.582892,8.092256,0.082719,2.308523,4.659650,0.000743,21.640464
1413393213855760384.000000,0.000000,0.000000,12.057462,9.884706,0.078876,2.969618,5.642618,0.484927,24.608067
1413393213905760512.000000,0.000000,0.000000,9.693057,8.821143,0.087059,3.138077,4.736494,0.000498,21.527314
1413393213955760384.000000,0.000000,0.000000,10.370792,4.537813,0.046432,3.604379,6.290581,0.000568,17.601390
