#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.493701,2.826952,0.002551,5.383292,2.075192,0.001450,22.796596
1403637130588318976.000000,0.000000,0.000000,17.633201,3.036005,0.071323,2.544851,2.141260,0.000672,23.353041
1403637130638319104.000000,0.000000,0.000000,17.188508,2.449169,0.057568,3.556144,2.485347,0.000756,22.247960
1403637130688318976.000000,0.000000,0.000000,17.558625,3.193516,0.045868,1.793321,1.484990,0.000404,23.510075
1403637130738319104.000000,0.000000,0.000000,17.732470,2.472643,0.052264,1.729438,1.588512,0.000380,23.493908
1403637130788318976.000000,0.000000,0.000000,19.766170,2.481382,0.052265,1.646446,1.678758,0.166228,33.017768
1403637130838319104.000000,0.000000,0.000000,16.927304,3.746887,0.107164,1.673996,1.867020,0.000534,28.351884
1403637130888318976.000000,0.000000,0.000000,16.887911,5.559427,0.091125,1.941570,1.790918,0.000580,31.399778
1403637130938319104.000000,0.000000,0.000000,15.970976,2.403368,0.080690,2.399792,2.497940,0.000702,24.231819
1403637130988318976.000000,0.000000,0.000000,17.034180,2.903444,0.055682,3.752914,2.499541,0.000677,26.013875
1403637131038319104.000000,0.000000,0.000000,17.696200,2.535075,0.058212,3.430729,3.676470,0.000942,26.343320
1403637131088318976.000000,0.000000,0.000000,18.850846,2.378129,0.056063,3.841543,3.254074,0.323939,27.309367
1403637131138319104.000000,0.000000,0.000000,17.698853,2.409440,0.057037,1.989372,1.845169,0.000728,26.424834
1403637131188318976.000000,0.000000,0.000000,16.927655,5.778948,0.069278,1.811091,1.579238,0.000445,30.495395
1403637131238319104.000000,0.000000,0.000000,16.768831,5.596419,0.100502,1.563985,1.755440,0.000456,31.597248
1403637131288318976.000000,0.000000,0.000000,16.525982,5.284696,0.090158,1.718505,1.654626,0.000399,32.250619
1403637131338319104.000000,0.000000,0.000000,18.798628,5.355964,0.094453,1.828722,1.413037,0.166438,34.420156
1403637131388318976.000000,0.000000,0.000000,16.244586,2.386837,0.049183,2.032871,1.653253,0.000350,25.855152
1403637131438319104.000000,0.000000,0.000000,19.191391,2.370881,0.058707,2.102786,1.647063,0.000397,27.401970
1403637131488318976.000000,0.000000,0.000000,17.279614,4.009849,0.059411,3.385963,3.442225,0.001035,27.277830
1403637131538319104.000000,0.000000,0.000000,17.572154,2.387415,0.055807,2.724922,2.747587,0.000654,25.896497
1403637131588318976.000000,0.000000,0.000000,18.483362,2.563490,0.058390,1.900192,1.422192,0.146792,27.347398
1403637131638319104.000000,0.000000,0.000000,17.803496,2.949258,0.057726,1.933405,1.735714,0.000644,26.980912
1403637131688318976.000000,0.000000,0.000000,17.260708,2.513870,0.049266,2.014274,1.846406,0.000396,26.434225
1403637131738319104.000000,0.000000,0.000000,18.955754,4.909892,0.077187,4.808332,3.639195,0.000784,33.654555
1403637131788318976.000000,0.000000,0.000000,17.476971,5.336515,0.084082,1.782284,2.072083,0.000795,31.053148
1403637131838319104.000000,0.000000,0.000000,18.240513,4.007080,0.057616,1.577035,1.486417,0.143787,28.304523
1403637131888318976.000000,0.000000,0.000000,16.800771,2.583516,0.056761,1.562128,1.522837,0.000417,25.919317
1403637131938319104.000000,0.000000,0.000000,18.357688,2.647039,0.056383,2.003163,1.624206,0.000416,27.673473
1403637131988318976.000000,0.000000,0.000000,17.001193,4.221083,0.101540,2.015666,1.755241,0.000479,32.759508
1403637132038319104.000000,0.000000,0.000000,18.253869,2.389306,0.057397,1.692161,2.033576,0.000491,27.255742
1403637132088318976.000000,0.000000,0.000000,18.562365,2.444302,0.068497,2.335846,2.271395,0.208927,27.101423
1403637132138319104.000000,0.000000,0.000000,17.536481,2.396333,0.045115,3.740561,2.802341,0.000642,25.615990
1403637132188318976.000000,0.000000,0.000000,16.701344,2.459239,0.053296,1.936177,1.820533,0.000365,25.985518
1403637132238319104.000000,0.000000,0.000000,18.903938,2.751843,0.063724,1.967177,1.502088,0.000408,28.316323
1403637132288318976.000000,0.000000,0.000000,16.600226,2.529538,0.058988,2.256673,2.020476,0.000527,25.915012
1403637132338319104.000000,0.000000,0.000000,16.763627,3.560592,0.080970,4.517069,3.846178,0.317699,27.701425
1403637132388318976.000000,0.000000,0.000000,16.662917,3.953564,0.103559,4.159435,4.088321,0.000822,30.480550
1403637132438319104.000000,0.000000,0.000000,16.782232,2.508853,0.056395,2.113282,1.839571,0.000459,25.563368
