#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.005172,3,1,0,422
0.002050,4,1,0,965
0.170497,5,1,0,1380
0.307221,6,1,0,1769
0.288648,7,1,0,2291
0.232216,8,1,0,2462
0.704993,9,1,0,2636
0.871407,10,1,0,3119
0.466412,0,0,0,0
47.148893,0,0,0,0
1.092590,0,0,0,0
0.763905,0,0,0,0
0.831475,0,0,0,0
1.142046,0,0,0,0
1.157181,0,0,0,0
1.646841,0,0,0,0
1.266701,0,0,0,0
1.357824,0,0,0,0
2.243550,0,0,0,0
1.733914,0,0,0,0
1.868045,0,0,0,0
2.739009,0,0,0,0
2.902469,0,0,0,0
2.525101,0,0,0,0
2.698892,0,0,0,0
2.381617,0,0,0,0
2.448143,0,0,0,0
2.951537,0,0,0,0
2.660145,0,0,0,0
2.275806,0,0,0,0
2.556804,0,0,0,0
2.617673,0,0,0,0
2.739897,0,0,0,0
2.420215,0,0,0,0
2.125409,0,0,0,0
2.857920,0,0,0,0
3.318294,0,0,0,0
2.150617,0,0,0,0
3.686109,0,0,0,0
3.956329,0,0,0,0
1.929626,0,0,0,0
3.424526,0,0,0,0
2.864684,0,0,0,0
1.852871,0,0,0,0
3.517359,0,0,0,0
1.968798,0,0,0,0
2.665965,3,1,0,466
1.935814,4,1,0,653
0.001691,5,1,0,1126
0.002860,6,1,0,1486
0.292445,7,1,0,2179
0.418486,8,1,0,2835
0.496031,9,1,0,3245
0.526698,10,1,0,3783
0.607956,0,0,0,0
0.759249,0,0,0,0
0.947638,0,0,0,0
77.423904,0,0,0,0
0.933469,0,0,0,0
1.058767,0,0,0,0
1.025764,0,0,0,0
1.406146,0,0,0,0
2.175247,0,0,0,0
2.365790,0,0,0,0
2.345006,0,0,0,0
1.705131,0,0,0,0
2.859434,0,0,0,0
2.804631,0,0,0,0
2.259314,0,0,0,0
2.962173,0,0,0,0
3.562979,0,0,0,0
3.189582,0,0,0,0
3.166220,0,0,0,0
3.176719,0,0,0,0
3.128917,0,0,0,0
3.021728,0,0,0,0
3.391808,0,0,0,0
2.948700,0,0,0,0
3.189275,0,0,0,0
1.964035,0,0,0,0
3.908527,0,0,0,0
2.650908,0,0,0,0
4.329917,0,0,0,0
2.197656,0,0,0,0
2.164172,0,0,0,0
3.572907,0,0,0,0
2.328418,0,0,0,0
4.059712,0,0,0,0
5.203730,0,0,0,0
2.148446,0,0,0,0
3.296376,0,0,0,0
3.123015,0,0,0,0
3.790821,0,0,0,0
5.181925,0,0,0,0
2.832956,0,0,0,0
3.204927,0,0,0,0
2.993943,0,0,0,0
3.008187,0,0,0,0
3.536304,0,0,0,0
2.431930,0,0,0,0
2.769343,0,0,0,0
3.005813,0,0,0,0
4.639581,0,0,0,0
3.243317,0,0,0,0
4.012219,0,0,0,0
4.163743,0,0,0,0
2.638599,0,0,0,0
3.757683,0,0,0,0
4.269453,0,0,0,0
2.847030,0,0,0,0
4.566174,0,0,0,0
5.052332,0,0,0,0
4.119229,0,0,0,0
5.590247,0,0,0,0
5.110036,0,0,0,0
5.295093,0,0,0,0
6.348279,0,0,0,0
3.252660,0,0,0,0
3.505159,0,0,0,0
6.140030,0,0,0,0
4.034399,0,0,0,0
4.987824,0,0,0,0
5.249221,0,0,0,0
4.855311,0,0,0,0
4.475599,0,0,0,0
8.195153,0,0,0,0
3.370092,0,0,0,0
5.261611,0,0,0,0
4.102204,0,0,0,0
6.043490,0,0,0,0
3.905999,0,0,0,0
6.515875,0,0,0,0
6.556420,0,0,0,0
5.437978,0,0,0,0
6.759970,0,0,0,0
7.417479,0,0,0,0
5.461058,0,0,0,0
9.336727,0,0,0,0
7.626254,0,0,0,0
7.659120,0,0,0,0
