#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.204870,0.011947,0.109547,0.005172,0.005172,4.335519
4.934692,0.034846,0.327186,0.002050,0.002050,5.299955
6.641603,0.201710,5.992252,0.170497,0.170497,20.705509
5.490164,0.121831,7.486052,0.307221,0.307221,29.814460
6.017634,0.157566,5.929170,0.288648,0.288648,24.601015
4.868474,0.122407,5.220640,0.232216,0.232216,26.065487
6.693748,0.196654,12.880315,0.704993,0.704993,50.900127
8.160331,0.221166,15.876165,0.871407,0.871407,59.847639
9.075825,0.204252,15.020801,0.466412,0.466412,62.656345
10.298662,0.119771,21.490600,47.148893,47.148893,120.174609
10.469895,0.189940,22.733638,1.092590,1.092590,69.451154
5.950240,0.094924,12.753868,0.763905,0.763905,60.102777
6.698713,0.117629,12.173112,0.831475,0.831475,61.744908
7.740754,0.132905,13.847281,1.142046,1.142046,68.286257
8.393262,0.130891,11.618925,1.157181,1.157181,73.993503
8.551714,0.099314,13.129456,1.646841,1.646841,80.703939
8.136927,0.089272,14.565895,1.266701,1.266701,82.461800
7.904081,0.090506,15.477499,1.357824,1.357824,90.341221
7.214479,0.098577,16.183904,2.243550,2.243550,93.101007
8.761526,0.085736,15.425058,1.733914,1.733914,123.576654
9.933329,0.181500,19.296006,1.868045,1.868045,121.972130
15.550858,0.196936,35.811589,2.739009,2.739009,155.904563
15.559383,0.252252,30.291586,2.902469,2.902469,132.510826
8.098599,0.081959,20.892961,2.525101,2.525101,126.794890
8.717223,0.113645,22.903166,2.698892,2.698892,145.340124
16.019351,0.202253,30.288130,2.381617,2.381617,142.970103
8.544421,0.097321,19.645098,2.448143,2.448143,122.357142
10.706149,0.145717,27.933980,2.951537,2.951537,351.087546
8.193125,0.124446,17.196425,2.660145,2.660145,106.932876
7.700476,0.106041,17.362898,2.275806,2.275806,108.966629
8.369990,0.098672,19.233266,2.556804,2.556804,108.987628
8.621276,0.140733,21.672565,2.617673,2.617673,123.707661
11.367389,0.116891,23.316517,2.739897,2.739897,144.885306
9.756297,0.105930,21.393523,2.420215,2.420215,117.044195
8.970291,0.139350,22.244948,2.125409,2.125409,127.374140
15.317973,0.180887,25.234517,2.857920,2.857920,132.680207
16.388631,0.216420,33.254891,3.318294,3.318294,149.507714
14.601159,0.186780,32.251840,2.150617,2.150617,171.687888
11.982392,0.156912,26.409698,3.686109,3.686109,141.025867
8.791913,0.086078,22.341842,3.956329,3.956329,146.730214
8.444596,0.117423,19.358651,1.929626,1.929626,127.253054
9.893160,0.121119,22.419139,3.424526,3.424526,131.339724
6.777637,0.107036,15.175626,2.864684,2.864684,116.121094
9.952714,0.070674,22.643020,1.852871,1.852871,134.873784
8.556827,0.113768,19.546795,3.517359,3.517359,126.832315
8.487082,0.059601,18.032310,1.968798,1.968798,124.033896
11.890245,0.088810,32.174606,2.665965,2.665965,156.842599
11.348933,0.086835,32.324212,1.935814,1.935814,126.245276
4.059130,0.011920,0.130753,0.001691,0.001691,4.204747
7.098945,0.065468,0.807836,0.002860,0.002860,7.976972
7.025251,0.120984,1.158596,0.292445,0.292445,16.605743
8.346945,0.169087,4.589721,0.418486,0.418486,24.480705
4.379791,0.068599,5.754120,0.496031,0.496031,18.540039
8.364824,0.205923,11.408285,0.526698,0.526698,38.469230
8.539271,0.240416,15.483372,0.607956,0.607956,51.211118
5.909415,0.201706,19.052283,0.759249,0.759249,48.871811
6.956468,0.271069,11.521897,0.947638,0.947638,64.811115
5.828643,0.159235,10.727305,77.423904,77.423904,134.629311
6.246078,0.196934,11.436862,0.933469,0.933469,58.846489
10.165633,0.292665,29.036546,1.058767,1.058767,79.671248
10.536907,0.171989,18.260866,1.025764,1.025764,79.606164
