#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.759753,0.069083,0.540939,0.005942,0.005942,7.380207
8.055745,0.279133,3.222343,0.002595,0.002595,11.562171
5.489273,0.439275,5.223858,0.287463,0.287463,26.063737
10.348187,0.499631,9.961501,0.363770,0.363770,47.063654
9.556082,0.445919,6.686352,0.501325,0.501325,44.817195
7.686640,0.183710,10.915515,0.998894,0.998894,62.750303
10.777530,0.338313,17.847248,1.038445,1.038445,67.684470
9.439006,0.317907,22.024961,2.034275,2.034275,73.969062
12.248602,0.336564,12.601076,1.692436,1.692436,65.790224
11.963891,0.463621,30.739122,131.431103,131.431103,221.613853
7.651845,0.262844,15.490254,2.462134,2.462134,75.039338
6.929562,0.524918,19.199263,2.634622,2.634622,83.570092
7.548949,0.281310,15.260673,3.384292,3.384292,82.020972
11.632685,0.492801,33.815913,3.209991,3.209991,122.747123
7.866917,0.242224,16.747255,3.654890,3.654890,93.679082
12.366504,0.500747,24.641873,3.481494,3.481494,126.909230
12.417126,0.431459,18.840966,4.152191,4.152191,106.947706
11.974278,0.551279,27.952951,3.852264,3.852264,120.552328
11.420282,0.255851,16.693121,3.993544,3.993544,119.368387
12.187583,0.417953,33.221502,6.165161,6.165161,392.873903
6.992851,0.300477,16.249129,5.483362,5.483362,122.819540
8.474300,0.221434,22.908475,5.839070,5.839070,133.407778
14.658894,0.468374,31.647875,5.459139,5.459139,155.994742
8.221086,0.249257,19.744614,5.271848,5.271848,133.758071
8.074120,0.154182,17.394753,5.208091,5.208091,130.722218
6.710380,0.231160,16.846201,6.634397,6.634397,134.431041
12.621872,0.401849,36.753744,4.893116,4.893116,162.189829
12.868308,0.433428,21.292584,5.867112,5.867112,152.079794
9.321424,0.367541,24.916149,7.029588,7.029588,149.464942
11.699362,0.462475,30.128126,6.866688,6.866688,184.413063
8.026942,0.344159,21.187031,9.114145,9.114145,192.400879
7.043450,0.455269,18.300122,3.942459,3.942459,156.279896
12.376957,0.588716,28.364187,4.019003,4.019003,191.084305
13.345586,0.472768,25.418857,3.942068,3.942068,166.418970
12.985368,0.408929,35.336685,4.888247,4.888247,196.453748
12.779472,0.478248,29.191044,5.628604,5.628604,185.597994
8.548616,0.213978,17.572861,5.346706,5.346706,168.449119
9.276798,0.256924,25.446784,5.774694,5.774694,172.364558
14.792039,0.466234,30.675927,7.127499,7.127499,190.404623
10.639462,0.256867,25.085372,6.369405,6.369405,182.707789
7.523256,0.254837,23.050996,6.756940,6.756940,182.848518
14.204579,0.609742,28.166770,10.289646,10.289646,190.844959
14.851903,0.419863,34.476025,10.378039,10.378039,200.661478
8.236503,0.252584,21.395399,9.468008,9.468008,178.293014
8.720782,0.289502,22.649701,12.164265,12.164265,194.848541
7.170951,0.214018,20.259685,7.978435,7.978435,171.692446
14.870290,0.553780,37.802873,13.679003,13.679003,210.326725
7.086796,0.291056,19.886758,6.785152,6.785152,557.236435
8.418858,0.288951,22.116382,8.486280,8.486280,184.104299
6.728335,0.294291,24.572576,9.568098,9.568098,191.389537
11.106984,0.871477,30.199195,11.601124,11.601124,195.108975
12.735094,0.588392,42.459214,9.010118,9.010118,224.013121
10.509293,0.379083,25.047923,10.517963,10.517963,194.147082
11.424808,0.401416,19.049465,12.452085,12.452085,197.242968
12.453859,0.592992,26.353210,14.107102,14.107102,201.533017
7.349468,0.413711,18.751197,12.592746,12.592746,181.993229
12.784326,0.571776,30.456067,10.243134,10.243134,191.851543
10.144406,0.432280,24.311127,10.508133,10.508133,193.234638
6.960614,0.336611,17.949068,11.208195,11.208195,175.459347
10.847334,0.258902,30.717955,11.121233,11.121233,205.651472
10.784074,0.469547,30.387203,7.805559,7.805559,192.260102
5.739903,0.260187,17.542433,9.530260,9.530260,172.411169
12.820992,0.510497,38.252701,11.372400,11.372400,208.576266
12.709134,0.573763,40.055189,7.794118,7.794118,208.631061
12.179360,0.478151,28.418761,6.001854,6.001854,187.494847
6.463009,0.235747,20.631858,8.020608,8.020608,190.292649
6.624887,0.268033,21.162640,5.263610,5.263610,175.353337
11.930047,0.453383,29.793958,8.481765,8.481765,196.859333
11.299243,0.530480,29.502741,7.287994,7.287994,200.143134
11.645480,0.647161,34.145290,4.061141,4.061141,215.002160
13.052028,0.379555,22.467836,10.056511,10.056511,204.525742
13.820258,0.350862,22.630516,6.674948,6.674948,209.218277
9.489774,0.296337,26.849294,7.941846,7.941846,215.477353
13.954983,0.439126,27.602010,9.249772,9.249772,211.875805
9.514952,0.267279,27.996902,8.267737,8.267737,205.323485
10.638949,0.446268,27.250130,6.583008,6.583008,207.725233
6.339787,0.277533,16.669582,7.761097,7.761097,190.107989
6.530573,0.333093,17.896761,7.226720,7.226720,184.234948
10.026920,0.868537,27.434214,7.738594,7.738594,205.329331
10.815929,0.578073,24.172512,5.785945,5.785945,200.015580
7.686296,0.362421,19.871346,9.211641,9.211641,195.283676
12.282665,0.603276,22.363459,8.993386,8.993386,206.214639
9.957242,0.477556,30.442042,8.568893,8.568893,208.112394
12.625942,0.636348,32.602786,8.349587,8.349587,205.892101
11.612195,0.310450,31.933971,13.933492,13.933492,213.080256
9.504300,0.381261,36.473325,15.371399,15.371399,215.281019
16.572892,0.598719,44.246702,9.177441,9.177441,227.232551
8.071952,0.262523,25.004889,18.388398,18.388398,205.999949
12.802273,0.381478,27.497780,11.518531,11.518531,196.907358
14.256182,0.578393,36.444876,12.375831,12.375831,213.631302
12.243674,0.337920,39.060595,14.506296,14.506296,210.202372
9.748416,0.436924,33.396258,12.255243,12.255243,201.914664
15.247144,0.420445,26.186458,11.806114,11.806114,200.207342
8.105288,0.280489,27.074705,10.159072,10.159072,196.165769
8.000142,0.329206,23.330101,14.063136,14.063136,191.930266
7.788752,0.358632,23.301380,12.749348,12.749348,195.302313
7.736112,0.496418,26.388594,10.771816,10.771816,196.415598
14.643257,0.474174,32.273882,11.927504,11.927504,200.989948
10.739857,0.263762,31.291101,9.244115,9.244115,199.408856
7.664320,0.267960,20.967726,9.408005,9.408005,175.982109
7.079942,0.288168,21.626078,8.701355,8.701355,182.307152
7.085217,0.301544,20.674834,9.969137,9.969137,191.549479
7.722581,0.318796,24.880365,11.933707,11.933707,194.102934
5.607019,0.263124,19.946783,9.087904,9.087904,185.664252
5.242049,0.345537,19.066472,9.190340,9.190340,193.108499
5.998960,0.297933,23.184150,8.623370,8.623370,185.355376
5.340201,0.263727,20.111645,7.229541,7.229541,194.813576
6.530142,0.334045,32.783817,6.341532,6.341532,201.549227
9.052181,0.455116,19.841621,10.654366,10.654366,196.777715
5.872097,0.261979,17.600337,8.518264,8.518264,191.895912
8.922689,0.338410,26.904294,10.261819,10.261819,198.953549
7.819875,0.432637,30.044934,8.425418,8.425418,207.120430
6.116715,0.337530,31.004833,9.106904,9.106904,205.655134
6.084750,0.252802,20.155606,7.922589,7.922589,189.717187
6.759370,0.278931,24.082201,10.804313,10.804313,191.333308
7.150904,0.250370,22.331185,9.284136,9.284136,182.403557
6.869745,0.242683,21.879682,8.031513,8.031513,184.944029
6.654481,0.265136,22.056944,11.780912,11.780912,194.459340
6.959807,0.260059,21.199408,11.507789,11.507789,191.714495
7.107192,0.252410,23.419000,13.788122,13.788122,198.002770
10.049551,0.435200,36.451890,12.067856,12.067856,207.886681
9.918015,0.381243,31.478080,15.178626,15.178626,207.415919
11.975080,0.596326,36.338294,13.587543,13.587543,209.605772
12.181990,0.620501,34.145627,11.420893,11.420893,207.850185
6.742909,0.503498,29.437842,10.703448,10.703448,197.239100
8.733066,0.699860,38.091989,11.395179,11.395179,211.570618
11.154363,0.578976,32.075279,8.129171,8.129171,191.170617
7.927454,0.471830,33.623991,9.688182,9.688182,203.341243
10.790366,0.412564,26.165955,8.799252,8.799252,190.835131
9.341203,0.553587,28.459766,9.131070,9.131070,192.288039
5.738168,0.380396,20.693540,7.800299,7.800299,188.529972
8.684713,0.451170,30.135134,8.058689,8.058689,181.642083
12.128311,0.699417,37.953829,8.439232,8.439232,196.368892
6.408075,0.300622,17.641866,7.927743,7.927743,163.165630
7.895781,0.383971,27.008942,7.061670,7.061670,194.723187
6.506034,0.316393,22.717985,6.461741,6.461741,176.442442
6.389266,0.321117,19.800110,7.774980,7.774980,173.915145
8.941532,0.370091,19.180334,7.274453,7.274453,180.333571
5.743847,0.326376,24.441098,10.607627,10.607627,196.277440
11.850183,0.515164,31.845694,10.260057,10.260057,201.643342
6.392181,0.307027,18.501177,6.044618,6.044618,177.164009
6.100419,0.340733,16.873076,8.527546,8.527546,195.340735
6.826633,0.417992,25.580801,7.844268,7.844268,195.138057
6.536026,0.331211,19.528620,10.760223,10.760223,195.543898
11.117164,0.587495,25.574666,8.277704,8.277704,207.498507
12.617029,0.561473,34.452860,7.518515,7.518515,213.318583
8.513837,0.317643,31.367216,12.212633,12.212633,202.954106
12.785385,0.475628,31.255000,8.398818,8.398818,206.503920
12.890060,0.532864,43.129038,9.865790,9.865790,221.766801
7.041120,0.300373,38.697339,13.623924,13.623924,209.694161
15.209950,0.321751,26.135671,14.546904,14.546904,203.408065
14.435945,0.518350,46.083298,13.166894,13.166894,225.843547
7.632384,0.231116,22.701070,13.544106,13.544106,192.668889
7.943932,0.252744,27.871221,13.132006,13.132006,200.077120
12.946459,0.561372,32.259815,12.700810,12.700810,203.926078
14.951842,0.675977,39.744916,10.256290,10.256290,219.382890
14.986055,0.393016,32.339169,13.875176,13.875176,203.448314
9.395742,0.259367,39.153745,16.644049,16.644049,204.001452
16.873256,0.418379,44.081664,17.868834,17.868834,227.920756
11.293876,0.215342,33.158431,15.258336,15.258336,211.546619
17.813472,0.428922,46.762190,17.757271,17.757271,233.893765
18.613723,0.498624,49.094326,17.668274,17.668274,253.729949
17.785886,0.403199,41.795472,13.846834,13.846834,223.470643
10.505586,0.230327,33.038871,15.287266,15.287266,212.437089
8.514713,0.238421,25.770906,15.601976,15.601976,199.485425
16.603417,0.532050,47.501186,13.859149,13.859149,250.646192
17.275719,0.525900,35.254213,13.106890,13.106890,209.679972
9.140150,0.307584,27.440501,11.940359,11.940359,198.006658
16.320029,0.463687,42.638211,12.713954,12.713954,226.215016
17.570877,0.431729,30.127768,14.723285,14.723285,219.994357
16.212055,0.427688,43.076384,12.105602,12.105602,227.916549
16.042485,0.367656,32.811785,13.504103,13.504103,217.564299
11.612388,0.244977,35.750109,14.809194,14.809194,212.236430
15.821636,0.374216,34.445756,14.464215,14.464215,214.749654
9.925142,0.262696,29.210187,13.688938,13.688938,195.867851
10.291574,0.265556,30.227429,15.872042,15.872042,201.744691
8.556050,0.278974,30.395085,14.690689,14.690689,208.258186
15.537691,0.629861,31.873474,13.751566,13.751566,215.532655
13.209672,0.596396,32.358772,13.544487,13.544487,220.241307
11.015388,0.328887,26.114782,13.645394,13.645394,219.488917
15.461989,0.828644,33.248441,20.045665,20.045665,233.402964
13.431482,0.397581,26.008559,14.561293,14.561293,218.853880
10.688021,0.440529,30.339702,14.088318,14.088318,207.943007
15.609636,0.770396,45.169961,16.291516,16.291516,245.092766
15.372050,0.710474,41.420996,20.865811,20.865811,252.399261
8.354994,0.302812,31.274665,19.113965,19.113965,211.113940
8.130672,0.401717,25.525701,18.222889,18.222889,201.132582
14.258761,0.695244,30.436162,18.329267,18.329267,220.311983
14.580111,0.620060,44.179679,14.923821,14.923821,232.157239
14.002000,0.678197,34.319587,17.407882,17.407882,218.067842
13.641872,0.632905,42.778583,17.445695,17.445695,227.547888
14.189373,0.610115,43.602134,17.923908,17.923908,228.736610
8.080990,0.471934,32.293527,20.819316,20.819316,212.605600
12.824173,0.461849,36.978860,16.173394,16.173394,221.227430
7.594894,0.359575,31.704886,16.635954,16.635954,213.674312
15.560120,0.498841,33.854332,19.760658,19.760658,230.414376
8.219812,0.347911,31.674995,19.120630,19.120630,213.514564
11.500219,0.493057,39.066854,18.626470,18.626470,228.834001
9.121779,0.332684,33.430206,18.501723,18.501723,217.438204
7.754412,0.283666,27.119743,15.892289,15.892289,205.870935
6.841000,0.306306,25.013035,15.593865,15.593865,206.841064
7.473380,0.327331,26.135461,15.035564,15.035564,214.660096
10.683795,0.376859,30.980187,16.364951,16.364951,230.765162
7.120839,0.438655,25.214871,14.417784,14.417784,225.218210
7.987681,0.406918,37.781330,14.962476,14.962476,233.759540
12.617105,0.577352,46.041478,12.769052,12.769052,255.814872
12.725025,0.394549,38.655352,12.169044,12.169044,235.820500
11.482323,0.478763,32.390850,9.006296,9.006296,248.718770
14.055296,0.491022,32.818705,10.360115,10.360115,241.441833
8.147372,0.280664,24.208508,11.003688,11.003688,228.222694
15.342295,0.437508,40.186131,12.776147,12.776147,262.032338
8.719700,0.244322,26.135346,13.481781,13.481781,223.839779
15.554403,0.662101,39.441890,11.485794,11.485794,251.313780
8.122123,0.274888,28.699168,15.087690,15.087690,221.040358
9.497684,0.296217,27.598300,9.347685,9.347685,219.437365
9.390955,0.305463,28.718353,12.088171,12.088171,224.420868
16.165139,0.655551,37.037683,15.366162,15.366162,254.813640
16.044457,0.518936,51.750265,16.183491,16.183491,262.285637
8.403811,0.284392,27.387861,11.030984,11.030984,215.630629
10.068793,0.287967,28.850176,13.289574,13.289574,225.738413
11.200354,0.317520,30.090380,13.026695,13.026695,229.461276
10.063371,0.312574,28.381688,14.669410,14.669410,230.755582
9.815252,0.338028,26.685707,12.664443,12.664443,221.756550
7.245864,0.319628,29.274406,15.411610,15.411610,228.160565
15.442473,0.528323,29.513100,15.830991,15.830991,241.499947
11.136664,0.325526,27.717751,13.688246,13.688246,233.925531
7.746696,0.306130,21.038546,16.964721,16.964721,217.087950
7.193031,0.268174,20.412475,19.160448,19.160448,214.927644
13.807673,0.910773,33.190846,14.215947,14.215947,236.308674
13.439713,0.460978,26.913378,9.919010,9.919010,229.606435
11.549010,0.322692,24.098386,15.599390,15.599390,228.575619
6.674990,0.287575,17.287100,13.993788,13.993788,207.392813
6.466397,0.320385,16.610100,16.774380,16.774380,213.987561
5.936284,0.279056,15.169559,19.645712,19.645712,210.744151
6.560841,0.272813,19.339838,14.402206,14.402206,212.952589
5.678508,0.280932,13.735723,17.739579,17.739579,195.762472
9.016321,0.342119,23.525830,18.242001,18.242001,221.686110
5.332156,0.207546,13.671203,12.565138,12.565138,182.799554
5.160935,0.219730,16.255932,9.983779,9.983779,191.112528
5.208795,0.190787,15.080739,14.184543,14.184543,180.315249
5.315392,0.190436,20.890580,10.884030,10.884030,199.193060
4.497795,0.169904,15.013945,13.588574,13.588574,181.409862
5.068814,0.175227,13.638064,12.833294,12.833294,183.902761
6.451058,0.367153,17.486102,14.014816,14.014816,180.131239
8.898365,0.282597,25.653496,14.567744,14.567744,210.623732
4.964769,0.164245,14.605909,12.846663,12.846663,174.058049
8.524708,0.259452,30.043669,11.559508,11.559508,204.611562
7.904146,0.298805,22.994832,13.914384,13.914384,184.698293
10.674558,0.383309,35.232711,16.072320,16.072320,199.821647
11.938911,0.561009,44.768008,13.192633,13.192633,211.275858
11.805513,0.738240,37.358315,14.093895,14.093895,205.942675
12.045170,0.720719,40.006346,19.660194,19.660194,212.619960
7.222567,0.435212,26.345505,18.948495,18.948495,196.259201
7.171669,0.373775,27.716920,25.672484,25.672484,203.701690
10.018207,0.629732,34.114922,17.291946,17.291946,192.797980
13.879703,0.592056,38.987739,16.773375,16.773375,211.724616
14.661541,0.477241,53.056743,13.809334,13.809334,220.605152
8.721585,0.215827,35.591240,14.299788,14.299788,196.258583
8.261745,0.239176,33.834120,20.475144,20.475144,205.808912
15.208257,0.352610,32.583784,15.396305,15.396305,210.108277
16.057232,0.384943,45.883396,15.448876,15.448876,222.916665
