#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.005347,3,1,0,249
0.002863,4,1,0,454
0.122535,5,1,0,932
0.241662,6,1,0,1443
0.368543,7,1,0,2034
0.304223,8,1,0,2595
0.852963,9,1,0,3099
0.421651,10,1,0,3533
0.756122,0,0,0,0
47.416923,0,0,0,0
1.074596,0,0,0,0
1.126120,0,0,0,0
2.725277,0,0,0,0
1.925556,0,0,0,0
2.394989,0,0,0,0
2.485218,0,0,0,0
3.128337,0,0,0,0
3.075211,0,0,0,0
3.404834,0,0,0,0
3.458388,0,0,0,0
3.986694,0,0,0,0
5.677240,0,0,0,0
5.075426,0,0,0,0
4.994028,0,0,0,0
4.968420,0,0,0,0
4.453403,0,0,0,0
4.489764,0,0,0,0
4.911864,0,0,0,0
4.703882,0,0,0,0
4.437826,0,0,0,0
4.554499,0,0,0,0
4.556014,0,0,0,0
4.305098,0,0,0,0
5.244376,0,0,0,0
4.147131,0,0,0,0
6.562081,0,0,0,0
4.633312,0,0,0,0
4.112547,0,0,0,0
3.807155,0,0,0,0
5.524471,0,0,0,0
3.223546,0,0,0,0
3.711833,0,0,0,0
3.059315,0,0,0,0
3.170237,0,0,0,0
2.134786,0,0,0,0
2.192128,0,0,0,0
2.047470,0,0,0,0
2.467931,0,0,0,0
2.610366,0,0,0,0
3.745316,0,0,0,0
5.017827,0,0,0,0
2.587882,0,0,0,0
3.982582,0,0,0,0
3.753757,0,0,0,0
3.299984,0,0,0,0
4.143977,0,0,0,0
6.053154,0,0,0,0
5.100058,0,0,0,0
5.134118,0,0,0,0
4.002962,0,0,0,0
3.879219,0,0,0,0
5.606362,0,0,0,0
5.100409,0,0,0,0
4.748618,0,0,0,0
4.507480,0,0,0,0
5.877706,0,0,0,0
6.685560,0,0,0,0
6.248919,0,0,0,0
6.647164,0,0,0,0
5.457515,0,0,0,0
6.015524,0,0,0,0
6.721416,0,0,0,0
6.359998,0,0,0,0
5.980591,0,0,0,0
6.144113,0,0,0,0
3.811174,0,0,0,0
4.484743,0,0,0,0
3.995862,0,0,0,0
2.851969,0,0,0,0
4.820253,0,0,0,0
4.231877,0,0,0,0
7.938844,0,0,0,0
8.264843,0,0,0,0
7.367585,0,0,0,0
3.435048,0,0,0,0
4.341617,0,0,0,0
6.884637,0,0,0,0
4.644299,0,0,0,0
5.542762,0,0,0,0
4.958360,0,0,0,0
6.375652,0,0,0,0
8.040197,0,0,0,0
10.526415,0,0,0,0
13.806295,0,0,0,0
9.308430,0,0,0,0
8.084830,0,0,0,0
5.034804,0,0,0,0
5.697002,0,0,0,0
3.400194,0,0,0,0
4.572835,0,0,0,0
5.871532,0,0,0,0
4.037459,0,0,0,0
6.294343,0,0,0,0
6.656704,0,0,0,0
5.235704,0,0,0,0
6.105638,0,0,0,0
6.850645,0,0,0,0
7.058528,0,0,0,0
10.172566,0,0,0,0
8.246848,0,0,0,0
11.616547,0,0,0,0
12.505406,0,0,0,0
10.253795,0,0,0,0
8.281610,0,0,0,0
8.304756,0,0,0,0
8.703353,0,0,0,0
10.011229,0,0,0,0
7.044054,0,0,0,0
5.948172,0,0,0,0
4.264938,0,0,0,0
5.738214,0,0,0,0
4.137769,0,0,0,0
3.445170,0,0,0,0
4.288109,0,0,0,0
1.918869,0,0,0,0
3.909651,0,0,0,0
3.274318,0,0,0,0
7.073086,0,0,0,0
4.486968,0,0,0,0
5.225130,0,0,0,0
10.212963,0,0,0,0
8.301115,0,0,0,0
6.431520,0,0,0,0
3.810503,0,0,0,0
5.842056,0,0,0,0
7.020385,0,0,0,0
7.453934,0,0,0,0
9.182854,0,0,0,0
9.045226,0,0,0,0
7.379343,0,0,0,0
8.689323,0,0,0,0
7.909135,0,0,0,0
10.625346,0,0,0,0
9.321401,0,0,0,0
14.663154,0,0,0,0
15.082373,0,0,0,0
17.738989,0,0,0,0
16.175917,0,0,0,0
15.647093,0,0,0,0
14.180936,0,0,0,0
12.074545,0,0,0,0
10.678767,0,0,0,0
11.781818,0,0,0,0
11.203339,0,0,0,0
12.148371,0,0,0,0
10.766531,0,0,0,0
11.294768,0,0,0,0
14.896760,0,0,0,0
8.918621,0,0,0,0
11.168046,0,0,0,0
13.019858,0,0,0,0
10.710353,0,0,0,0
11.022274,0,0,0,0
10.199375,0,0,0,0
6.376035,0,0,0,0
11.984487,0,0,0,0
4.930725,0,0,0,0
4.403462,0,0,0,0
4.168209,0,0,0,0
1.028981,0,0,0,0
4.538217,0,0,0,0
11.424230,0,0,0,0
17.721912,0,0,0,0
7.541427,0,0,0,0
12.220156,0,0,0,0
8.468701,0,0,0,0
13.560770,0,0,0,0
12.639997,0,0,0,0
9.190290,0,0,0,0
13.076910,0,0,0,0
7.550521,0,0,0,0
14.615141,0,0,0,0
9.036426,0,0,0,0
11.268544,0,0,0,0
8.741571,0,0,0,0
9.056118,0,0,0,0
8.905010,0,0,0,0
11.970764,0,0,0,0
14.709578,0,0,0,0
13.006897,0,0,0,0
11.829222,0,0,0,0
10.176646,0,0,0,0
10.009129,0,0,0,0
12.526231,0,0,0,0
8.007763,0,0,0,0
11.067290,0,0,0,0
11.114132,0,0,0,0
7.521079,0,0,0,0
12.964162,0,0,0,0
13.854973,0,0,0,0
14.087390,0,0,0,0
12.411308,0,0,0,0
8.343754,0,0,0,0
9.910127,0,0,0,0
10.801025,0,0,0,0
7.494009,0,0,0,0
8.354004,0,0,0,0
8.429735,0,0,0,0
7.351370,0,0,0,0
8.413402,0,0,0,0
6.844453,0,0,0,0
6.787906,0,0,0,0
7.540636,0,0,0,0
4.507999,0,0,0,0
6.819049,0,0,0,0
7.621435,0,0,0,0
7.567918,0,0,0,0
6.828868,0,0,0,0
4.995919,0,0,0,0
16.409863,0,0,0,0
12.877117,0,0,0,0
14.148948,0,0,0,0
9.146134,0,0,0,0
8.858171,0,0,0,0
9.494632,0,0,0,0
12.478184,0,0,0,0
12.093732,0,0,0,0
11.489938,0,0,0,0
10.926505,0,0,0,0
9.619321,0,0,0,0
10.908359,0,0,0,0
12.679507,0,0,0,0
12.184081,0,0,0,0
13.297166,0,0,0,0
11.456281,0,0,0,0
13.261055,0,0,0,0
20.980252,0,0,0,0
10.198325,0,0,0,0
13.901703,0,0,0,0
12.670122,0,0,0,0
13.607510,0,0,0,0
12.926447,0,0,0,0
9.952387,0,0,0,0
13.065135,0,0,0,0
14.668397,0,0,0,0
14.817911,0,0,0,0
10.370964,0,0,0,0
13.522736,0,0,0,0
10.720484,0,0,0,0
13.304602,0,0,0,0
14.816045,0,0,0,0
12.102452,0,0,0,0
12.189063,0,0,0,0
10.564850,0,0,0,0
17.804512,0,0,0,0
16.779848,0,0,0,0
12.616058,0,0,0,0
14.329233,0,0,0,0
11.338642,0,0,0,0
14.464865,0,0,0,0
17.959240,0,0,0,0
20.928549,0,0,0,0
23.475403,0,0,0,0
17.646626,0,0,0,0
24.692009,0,0,0,0
20.579856,0,0,0,0
15.352397,0,0,0,0
18.885108,0,0,0,0
15.807073,0,0,0,0
15.403179,0,0,0,0
15.848049,0,0,0,0
16.829485,0,0,0,0
17.666610,0,0,0,0
12.911180,0,0,0,0
16.336259,0,0,0,0
23.748004,0,0,0,0
17.132550,0,0,0,0
19.553757,0,0,0,0
15.297566,0,0,0,0
12.115463,0,0,0,0
11.108853,0,0,0,0
14.517578,0,0,0,0
13.865003,0,0,0,0
16.595758,0,0,0,0
13.730322,0,0,0,0
13.802950,0,0,0,0
14.023472,0,0,0,0
14.613420,0,0,0,0
16.449019,0,0,0,0
16.915790,0,0,0,0
16.270853,0,0,0,0
11.396990,0,0,0,0
16.275582,0,0,0,0
19.245579,0,0,0,0
18.907885,0,0,0,0
12.981302,0,0,0,0
18.184547,0,0,0,0
8.292200,0,0,0,0
8.168911,0,0,0,0
8.239377,0,0,0,0
11.576509,0,0,0,0
17.925057,0,0,0,0
11.285825,0,0,0,0
16.716285,0,0,0,0
13.733766,0,0,0,0
19.426005,0,0,0,0
22.342280,0,0,0,0
21.053513,0,0,0,0
16.243635,0,0,0,0
16.304481,0,0,0,0
18.329333,0,0,0,0
23.588835,0,0,0,0
26.936657,0,0,0,0
20.305880,0,0,0,0
20.163880,0,0,0,0
25.381209,0,0,0,0
24.826896,0,0,0,0
22.062004,0,0,0,0
20.689852,0,0,0,0
21.476954,0,0,0,0
22.562498,0,0,0,0
23.303268,0,0,0,0
19.846904,0,0,0,0
22.049733,0,0,0,0
22.509397,0,0,0,0
17.217437,0,0,0,0
22.270565,0,0,0,0
24.440264,0,0,0,0
19.025799,0,0,0,0
24.842862,0,0,0,0
21.885379,0,0,0,0
19.697838,0,0,0,0
18.988349,0,0,0,0
18.427199,0,0,0,0
17.239296,0,0,0,0
18.285207,0,0,0,0
16.632428,1918272571,23,2079205845,-1634973791
21.195854,-1050463944,30055,1088738541,1080566107
