#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413394881605760512.000000,0.000000,0.000000,14.289366,4.600148,0.002530,5.378682,3.059464,0.001236,20.926792
1413394881655760384.000000,0.000000,0.000000,14.208310,4.344074,0.073728,3.532607,4.117730,0.000708,21.750750
1413394881705760512.000000,0.000000,0.000000,14.284028,6.443318,0.047059,4.640065,4.709213,0.000960,23.369398
1413394881755760384.000000,0.000000,0.000000,17.343782,8.231004,0.072951,4.537436,4.307212,0.000522,28.431232
1413394881805760512.000000,0.000000,0.000000,16.002462,6.116932,0.043413,2.424421,2.416067,0.382024,25.233428
1413394881855760384.000000,0.000000,0.000000,14.084811,10.058127,0.086330,5.503803,4.692551,0.001270,27.029239
1413394881905760512.000000,0.000000,0.000000,13.797979,7.758122,0.097758,2.994121,5.744678,0.000584,24.941414
1413394881955760384.000000,0.000000,0.000000,15.568409,8.143704,0.050650,5.074766,5.604117,0.000680,26.705452
1413394882005760512.000000,0.000000,0.000000,14.278620,8.961994,0.074914,2.486648,3.148437,0.000436,26.330972
1413394882055760384.000000,0.000000,0.000000,14.284571,4.467420,0.043839,4.234571,4.885695,0.000676,21.612009
1413394882105760512.000000,0.000000,0.000000,14.677411,9.150550,0.054056,2.180376,3.152157,0.340044,26.406575
1413394882155760384.000000,0.000000,0.000000,14.509992,4.356131,0.053348,5.816032,5.452960,0.000780,21.832282
1413394882205760512.000000,0.000000,0.000000,14.936444,10.104652,0.079620,4.927993,5.785928,0.000772,28.324453
1413394882255760384.000000,0.000000,0.000000,13.350984,9.446955,0.055623,2.580947,3.471317,0.000596,25.283737
1413394882305760512.000000,0.000000,0.000000,13.867587,4.321218,0.057108,2.472030,3.408839,0.000681,20.549807
1413394882355760384.000000,0.000000,0.000000,13.586111,4.614289,0.042999,2.089992,3.661265,0.000496,20.731628
1413394882405760512.000000,0.000000,0.000000,14.988305,4.819337,0.044665,2.040241,3.983719,0.417526,22.564354
1413394882455760384.000000,0.000000,0.000000,14.373890,6.575503,0.062264,4.794523,6.884136,0.000769,23.654182
1413394882505760512.000000,0.000000,0.000000,15.449857,10.657958,0.081670,5.260314,6.657325,0.001177,29.152759
1413394882555760384.000000,0.000000,0.000000,14.382063,4.816082,0.047138,3.581470,5.693828,0.000685,22.092717
1413394882605760512.000000,0.000000,0.000000,14.071691,11.160168,0.047102,2.618993,4.134885,0.000494,27.628967
1413394882655760384.000000,0.000000,0.000000,14.418471,11.298884,0.104668,2.577440,4.779079,0.000700,28.666224
1413394882705760512.000000,0.000000,0.000000,15.528218,5.482871,0.041371,2.218557,4.710718,0.362395,23.463179
