#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.004689,3,1,0,709
0.001946,4,1,0,933
0.142390,5,1,0,1151
0.507065,6,1,0,1381
0.766567,7,1,0,1588
0.837622,8,1,0,1808
0.514957,9,1,0,2028
1.005872,10,1,0,2246
0.953256,0,0,0,0
70.980680,0,0,0,0
1.365805,0,0,0,0
1.454649,0,0,0,0
1.766956,0,0,0,0
2.222005,0,0,0,0
1.622880,0,0,0,0
1.651062,0,0,0,0
1.836427,0,0,0,0
2.211000,0,0,0,0
2.011282,0,0,0,0
2.297107,0,0,0,0
2.723620,0,0,0,0
3.425782,0,0,0,0
3.488632,0,0,0,0
2.794044,0,0,0,0
3.246076,0,0,0,0
3.290960,0,0,0,0
3.215731,0,0,0,0
3.125862,0,0,0,0
3.409089,0,0,0,0
2.759245,0,0,0,0
4.413350,0,0,0,0
3.680820,0,0,0,0
2.793504,0,0,0,0
2.643656,0,0,0,0
4.127443,0,0,0,0
3.547322,0,0,0,0
3.825657,0,0,0,0
3.347518,0,0,0,0
3.338282,0,0,0,0
2.907783,0,0,0,0
3.437602,0,0,0,0
5.752951,0,0,0,0
3.570309,0,0,0,0
3.353347,0,0,0,0
3.047705,0,0,0,0
3.326685,0,0,0,0
2.981911,0,0,0,0
2.861597,0,0,0,0
4.449917,0,0,0,0
3.409028,0,0,0,0
3.008064,0,0,0,0
2.754625,3,1,0,461
3.113265,4,1,0,611
0.002186,5,1,0,766
0.002504,6,1,0,955
0.250027,7,1,0,1159
0.222498,8,1,0,1329
0.352908,9,1,0,1529
0.658580,10,1,0,1702
1.121439,0,0,0,0
1.358577,3,1,0,660
1.231131,4,1,0,861
48.091156,5,1,0,1084
1.168432,6,1,0,1281
0.003617,7,1,0,1505
0.002807,8,1,0,1700
0.366752,9,1,0,1893
0.276437,10,1,0,2103
0.344117,0,0,0,0
0.972832,0,0,0,0
1.175907,3,1,0,426
1.933425,4,1,0,698
1.476928,5,1,0,987
51.625195,6,1,0,1381
1.964306,7,1,0,1778
1.542152,8,1,0,2103
0.003830,9,1,0,2445
0.002118,10,1,0,2773
0.300030,0,0,0,0
0.522645,0,0,0,0
0.321250,0,0,0,0
0.890736,0,0,0,0
0.875273,0,0,0,0
1.336209,0,0,0,0
0.697250,0,0,0,0
49.082741,0,0,0,0
0.903591,0,0,0,0
1.447691,0,0,0,0
1.781321,0,0,0,0
1.143199,0,0,0,0
2.048999,0,0,0,0
1.779692,0,0,0,0
2.473023,0,0,0,0
3.650481,0,0,0,0
2.553746,0,0,0,0
2.253409,0,0,0,0
2.301827,0,0,0,0
3.302877,0,0,0,0
3.347067,0,0,0,0
3.200444,0,0,0,0
2.439977,0,0,0,0
3.327173,0,0,0,0
3.899104,0,0,0,0
2.545917,0,0,0,0
4.303420,0,0,0,0
3.447614,0,0,0,0
3.942835,0,0,0,0
4.556535,0,0,0,0
3.186116,0,0,0,0
3.959615,0,0,0,0
3.487198,0,0,0,0
4.437922,0,0,0,0
4.429627,0,0,0,0
3.999197,0,0,0,0
3.264456,0,0,0,0
2.141943,0,0,0,0
3.424531,0,0,0,0
2.639318,0,0,0,0
3.180745,0,0,0,0
3.415281,0,0,0,0
2.418098,0,0,0,0
4.529487,0,0,0,0
2.827048,0,0,0,0
3.579308,0,0,0,0
3.512724,0,0,0,0
2.366213,0,0,0,0
2.244776,0,0,0,0
2.593052,0,0,0,0
3.520429,0,0,0,0
4.917126,0,0,0,0
3.612020,0,0,0,0
4.279874,0,0,0,0
2.905195,0,0,0,0
4.015031,0,0,0,0
3.333161,0,0,0,0
3.868145,0,0,0,0
3.639540,0,0,0,0
3.725471,0,0,0,0
5.930005,0,0,0,0
4.634924,0,0,0,0
4.329972,0,0,0,0
3.010664,0,0,0,0
3.962756,0,0,0,0
3.122214,0,0,0,0
4.435752,0,0,0,0
7.396539,0,0,0,0
4.224240,0,0,0,0
5.041382,0,0,0,0
1.614134,0,0,0,0
1.960005,0,0,0,0
3.192192,0,0,0,0
3.023683,0,0,0,0
3.145178,0,0,0,0
2.172433,0,0,0,0
2.735412,0,0,0,0
4.055637,0,0,0,0
2.872889,0,0,0,0
3.852632,0,0,0,0
2.796758,0,0,0,0
5.517875,0,0,0,0
5.339276,0,0,0,0
4.143185,0,0,0,0
3.628006,0,0,0,0
4.629881,0,0,0,0
4.510232,0,0,0,0
5.743854,0,0,0,0
4.200523,0,0,0,0
5.288345,0,0,0,0
8.608848,0,0,0,0
6.045696,0,0,0,0
8.618304,0,0,0,0
4.679380,0,0,0,0
6.267991,0,0,0,0
6.880925,0,0,0,0
8.486877,0,0,0,0
10.048458,0,0,0,0
8.975218,0,0,0,0
6.975630,0,0,0,0
7.838773,0,0,0,0
5.694435,0,0,0,0
7.729111,0,0,0,0
10.197439,0,0,0,0
6.633341,0,0,0,0
4.189124,0,0,0,0
5.981400,0,0,0,0
8.912217,0,0,0,0
6.075249,0,0,0,0
5.423411,0,0,0,0
5.828611,0,0,0,0
3.808739,0,0,0,0
5.562564,0,0,0,0
8.038687,0,0,0,0
7.015078,0,0,0,0
7.710543,0,0,0,0
5.930512,0,0,0,0
5.809657,0,0,0,0
8.756944,0,0,0,0
7.465916,0,0,0,0
9.014863,0,0,0,0
8.282787,0,0,0,0
6.904425,0,0,0,0
10.034925,0,0,0,0
7.493124,0,0,0,0
9.391347,0,0,0,0
10.503376,0,0,0,0
12.449104,0,0,0,0
10.741456,0,0,0,0
13.229760,0,0,0,0
14.371629,0,0,0,0
11.473763,0,0,0,0
18.557583,0,0,0,0
10.954960,0,0,0,0
14.725253,0,0,0,0
15.052265,0,0,0,0
11.807498,0,0,0,0
11.827575,0,0,0,0
11.889812,0,0,0,0
11.662770,0,0,0,0
9.951763,0,0,0,0
9.811440,0,0,0,0
9.635881,0,0,0,0
8.738050,0,0,0,0
8.830502,0,0,0,0
11.094657,0,0,0,0
12.941863,0,0,0,0
13.143658,0,0,0,0
9.841296,0,0,0,0
15.035896,0,0,0,0
9.919911,0,0,0,0
10.513575,0,0,0,0
11.523634,0,0,0,0
11.593759,0,0,0,0
13.415117,0,0,0,0
13.615112,0,0,0,0
15.833343,0,0,0,0
14.659444,0,0,0,0
15.713897,0,0,0,0
11.730885,0,0,0,0
15.876672,0,0,0,0
13.525622,0,0,0,0
12.653221,0,0,0,0
14.536415,0,0,0,0
16.729450,0,0,0,0
17.227915,0,0,0,0
14.822255,0,0,0,0
14.556687,0,0,0,0
21.520866,0,0,0,0
15.156675,0,0,0,0
16.442929,0,0,0,0
19.664223,0,0,0,0
19.559039,0,0,0,0
18.796887,0,0,0,0
17.344286,0,0,0,0
15.889732,0,0,0,0
18.416196,0,0,0,0
14.199260,0,0,0,0
17.606319,0,0,0,0
20.446399,0,0,0,0
13.419798,0,0,0,0
17.848252,0,0,0,0
14.623806,0,0,0,0
11.506825,0,0,0,0
15.850367,0,0,0,0
11.932412,0,0,0,0
14.336513,0,0,0,0
13.028457,0,0,0,0
11.895207,0,0,0,0
12.252031,0,0,0,0
12.329630,0,0,0,0
15.272679,0,0,0,0
14.820659,0,0,0,0
13.137188,0,0,0,0
13.358044,0,0,0,0
11.106115,0,0,0,0
9.015726,0,0,0,0
12.606110,0,0,0,0
10.192259,0,0,0,0
12.966974,0,0,0,0
11.084505,0,0,0,0
14.515753,0,0,0,0
13.243426,0,0,0,0
11.969206,0,0,0,0
10.894333,0,0,0,0
12.244198,0,0,0,0
13.031663,0,0,0,0
14.861273,0,0,0,0
15.441695,0,0,0,0
13.756563,0,0,0,0
16.933688,0,0,0,0
14.245712,0,0,0,0
16.570738,0,0,0,0
13.329037,0,0,0,0
16.146649,0,0,0,0
14.778172,0,0,0,0
14.462772,0,0,0,0
13.911267,0,0,0,0
17.401847,0,0,0,0
16.956351,0,0,0,0
20.423249,0,0,0,0
18.748115,0,0,0,0
16.054712,0,0,0,0
18.775182,0,0,0,0
15.311102,0,0,0,0
16.686007,0,0,0,0
16.417703,0,0,0,0
12.672946,0,0,0,0
11.599078,0,0,0,0
11.226177,0,0,0,0
9.758387,0,0,0,0
11.225168,0,0,0,0
7.920799,0,0,0,0
8.079247,0,0,0,0
6.394185,0,0,0,0
5.875486,0,0,0,0
6.994960,0,0,0,0
6.745142,0,0,0,0
7.419923,0,0,0,0
9.650664,0,0,0,0
7.028832,0,0,0,0
11.035620,0,0,0,0
10.726630,0,0,0,0
11.260011,0,0,0,0
9.447280,0,0,0,0
11.928037,0,0,0,0
9.840344,0,0,0,0
10.371727,0,0,0,0
9.868993,0,0,0,0
6.323782,0,0,0,0
11.589061,0,0,0,0
11.884017,0,0,0,0
9.270647,0,0,0,0
12.700612,0,0,0,0
12.187812,0,0,0,0
12.904963,0,0,0,0
13.954814,0,0,0,0
11.721837,0,0,0,0
13.706797,0,0,0,0
12.707477,0,0,0,0
12.569975,0,0,0,0
15.370760,0,0,0,0
10.863218,0,0,0,0
11.779993,0,0,0,0
12.630828,0,0,0,0
12.100845,0,0,0,0
9.855927,0,0,0,0
15.918623,0,0,0,0
11.232910,0,0,0,0
8.465775,0,0,0,0
11.851063,0,0,0,0
13.768441,0,0,0,0
10.493175,0,0,0,0
10.828072,0,0,0,0
12.266008,0,0,0,0
9.275145,0,0,0,0
10.059712,0,0,0,0
6.416315,0,0,0,0
9.517743,0,0,0,0
7.148202,0,0,0,0
10.552869,0,0,0,0
9.703181,0,0,0,0
7.090012,0,0,0,0
5.994650,0,0,0,0
7.587406,0,0,0,0
8.382018,0,0,0,0
5.243975,0,0,0,0
10.023719,0,0,0,0
7.064016,0,0,0,0
6.425213,0,0,0,0
8.940835,0,0,0,0
7.888876,0,0,0,0
7.902471,0,0,0,0
7.257109,0,0,0,0
9.894715,0,0,0,0
8.358778,0,0,0,0
9.567482,0,0,0,0
7.388942,0,0,0,0
8.931008,0,0,0,0
9.120946,0,0,0,0
8.925329,0,0,0,0
13.116215,0,0,0,0
10.271411,0,0,0,0
11.640535,0,0,0,0
7.637863,0,0,0,0
12.034046,0,0,0,0
13.388635,0,0,0,0
9.478587,0,0,0,0
10.877753,0,0,0,0
13.983363,0,0,0,0
14.973821,0,0,0,0
15.893496,0,0,0,0
12.060405,0,0,0,0
16.796898,0,0,0,0
17.916453,0,0,0,0
12.867920,0,0,0,0
10.799879,0,0,0,0
13.352924,0,0,0,0
12.709851,0,0,0,0
12.136826,0,0,0,0
10.593293,0,0,0,0
15.236568,0,0,0,0
12.981154,0,0,0,0
10.257208,0,0,0,0
10.829188,0,0,0,0
14.354297,0,0,0,0
13.258268,0,0,0,0
11.349128,0,0,0,0
12.185836,0,0,0,0
13.892787,0,0,0,0
17.132682,0,0,0,0
11.568765,0,0,0,0
14.033932,0,0,0,0
13.549370,0,0,0,0
12.000173,0,0,0,0
12.015987,0,0,0,0
19.623726,0,0,0,0
15.452397,0,0,0,0
14.986609,0,0,0,0
13.232458,0,0,0,0
15.739865,0,0,0,0
16.394350,0,0,0,0
14.906322,0,0,0,0
18.835047,0,0,0,0
18.771691,0,0,0,0
18.990965,0,0,0,0
20.907781,0,0,0,0
25.134525,0,0,0,0
13.595729,0,0,0,0
19.972034,0,0,0,0
15.649871,0,0,0,0
13.439903,0,0,0,0
20.830122,0,0,0,0
16.749722,0,0,0,0
17.521031,0,0,0,0
15.368757,0,0,0,0
17.341988,0,0,0,0
16.583601,0,0,0,0
16.950551,0,0,0,0
23.784877,0,0,0,0
19.449466,0,0,0,0
14.265906,0,0,0,0
13.582901,0,0,0,0
11.634523,0,0,0,0
16.405074,0,0,0,0
9.088310,0,0,0,0
19.013535,0,0,0,0
16.334816,0,0,0,0
18.464489,0,0,0,0
25.658852,0,0,0,0
17.598899,0,0,0,0
25.063435,0,0,0,0
20.003712,0,0,0,0
21.971930,0,0,0,0
20.748753,0,0,0,0
24.763965,0,0,0,0
20.327518,0,0,0,0
17.750390,0,0,0,0
22.141848,0,0,0,0
23.449711,0,0,0,0
19.915538,0,0,0,0
17.111367,0,0,0,0
13.164009,0,0,0,0
18.124121,0,0,0,0
16.084650,0,0,0,0
21.130067,0,0,0,0
22.690170,0,0,0,0
22.762199,0,0,0,0
20.984283,0,0,0,0
25.191373,0,0,0,0
25.088631,0,0,0,0
27.016380,0,0,0,0
23.754710,0,0,0,0
21.819430,0,0,0,0
23.954645,0,0,0,0
21.884094,0,0,0,0
24.503835,0,0,0,0
22.513694,0,0,0,0
18.380643,0,0,0,0
17.760480,0,0,0,0
20.188824,0,0,0,0
14.622932,0,0,0,0
21.729193,0,0,0,0
28.958371,0,0,0,0
15.833322,0,0,0,0
12.998850,0,0,0,0
20.709969,0,0,0,0
15.501580,0,0,0,0
17.423466,0,0,0,0
19.251658,0,0,0,0
20.850768,0,0,0,0
17.380658,0,0,0,0
12.167377,0,0,0,0
16.489552,0,0,0,0
14.143007,0,0,0,0
19.672291,0,0,0,0
15.287828,0,0,0,0
16.892771,0,0,0,0
14.838349,0,0,0,0
20.182448,0,0,0,0
15.966558,0,0,0,0
18.729451,0,0,0,0
16.258275,0,0,0,0
12.679422,0,0,0,0
13.718633,0,0,0,0
16.482690,0,0,0,0
17.129995,0,0,0,0
15.950958,0,0,0,0
15.880969,0,0,0,0
17.900629,0,0,0,0
19.942627,0,0,0,0
19.426951,0,0,0,0
22.346108,0,0,0,0
20.720981,0,0,0,0
17.798841,0,0,0,0
19.280505,0,0,0,0
18.262118,0,0,0,0
14.889599,0,0,0,0
12.653464,0,0,0,0
13.777890,0,0,0,0
12.747387,0,0,0,0
16.564402,0,0,0,0
16.102437,0,0,0,0
16.104389,0,0,0,0
17.272378,0,0,0,0
12.242687,0,0,0,0
15.103790,0,0,0,0
8.806635,0,0,0,0
13.132870,0,0,0,0
8.550598,0,0,0,0
15.174054,66501176,1127854240,-1448654817,1843606122
13.293931,29757,29754,-1054843851,1080288677
8.421537,1476395152,1127854240,-2060959060,-934035128
13.380058,29754,29754,-1053221665,1080320405
10.028591,0,1127854264,-1290453645,-539860209
11.447328,0,29754,-1056450752,1080373707
13.381684,1079152512,209,2034813854,388127605
11.458741,29754,0,-1056493965,1080466844
