#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.992942,0.010919,0.098183,0.004898,0.004898,4.110698
6.786500,0.054939,0.567301,0.003463,0.003463,7.414720
6.336336,0.080149,1.189371,0.138311,0.138311,11.527887
4.682815,0.044541,0.754487,0.100797,0.100797,8.821954
8.243896,0.086695,2.314108,0.298870,0.298870,21.133881
4.451854,0.051395,14.412709,0.222332,0.222332,29.821151
8.938992,0.200439,17.462821,0.391713,0.391713,44.298515
8.791658,0.312993,23.150272,0.490024,0.490024,62.160822
5.218211,0.188359,14.069428,0.499162,0.499162,47.296256
10.324001,0.230022,33.630788,74.064086,74.064086,151.903472
11.717166,0.191302,33.252649,1.084213,1.084213,88.477605
11.795628,0.225388,41.120685,0.783379,0.783379,107.872018
7.878180,0.134531,21.162164,0.870361,0.870361,72.082311
9.350949,0.222662,19.579564,1.008857,1.008857,74.091364
7.363704,0.133031,14.715668,1.289408,1.289408,78.167445
7.074791,0.085144,17.765601,2.207599,2.207599,82.552384
13.788188,0.151991,29.851771,1.534568,1.534568,103.034432
7.765240,0.090778,18.880465,1.985989,1.985989,92.195024
8.640981,0.096083,18.287964,1.837267,1.837267,99.211948
7.902312,0.087326,16.981797,2.011339,2.011339,101.157702
7.779709,0.089297,16.460611,1.875226,1.875226,102.995166
4.722596,0.086555,0.707987,0.002582,0.002582,5.521140
9.103841,0.459260,5.129942,0.002770,0.002770,14.698113
5.989697,0.328434,6.180515,0.195328,0.195328,29.757841
9.944891,0.453991,13.223239,0.404631,0.404631,47.896755
9.391955,0.216135,12.460160,0.578863,0.578863,46.872412
9.569634,0.223842,29.663843,0.946359,0.946359,74.574462
12.178077,0.237781,25.485806,0.938085,0.938085,73.203606
12.828722,0.242988,16.502309,1.123930,1.123930,67.828971
12.650073,0.286240,31.809729,0.880709,0.880709,97.276353
15.042699,0.249048,26.171758,153.997932,153.997932,244.647124
7.580937,0.145236,17.481962,1.337719,1.337719,70.809558
14.278406,0.339709,39.157688,1.360432,1.360432,111.721810
9.388346,0.118988,26.035716,1.578759,1.578759,93.040322
8.320467,0.139257,22.223671,1.794912,1.794912,97.218538
