#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,12.115046,3.662800,0.007534,5.130311,1.333187,0.001227,17.835041
1403638127345096960.000000,0.000000,0.000000,10.853625,2.267106,0.060033,1.587094,1.729280,0.000649,16.300874
1403638127395097088.000000,0.000000,0.000000,10.970796,2.744887,0.053829,0.736882,0.686009,0.000445,17.023572
1403638127445096960.000000,0.000000,0.000000,11.533149,3.350612,0.050667,0.710915,0.747109,0.000542,17.506385
1403638127495097088.000000,0.000000,0.000000,11.284117,3.863593,0.051275,0.952114,1.022330,0.935484,18.299609
1403638127545096960.000000,0.000000,0.000000,10.213708,1.978523,0.050989,0.822277,0.875112,0.000431,15.355509
1403638127595097088.000000,0.000000,0.000000,12.374129,4.373054,0.091838,0.872859,0.811456,0.000437,19.756717
1403638127645096960.000000,0.000000,0.000000,11.666238,2.690693,0.068067,1.748967,1.418695,0.000663,17.046431
1403638127695097088.000000,0.000000,0.000000,10.701816,4.793569,0.094711,0.728380,0.762333,0.000452,18.787321
1403638127745096960.000000,0.000000,0.000000,11.557604,3.211262,0.061364,0.742450,0.868569,1.058528,17.889416
1403638127795097088.000000,0.000000,0.000000,11.976482,4.795679,0.098115,2.136905,1.732954,0.001054,19.927129
1403638127845096960.000000,0.000000,0.000000,13.341105,3.696437,0.073457,1.781503,1.704108,0.000646,19.884942
1403638127895097088.000000,0.000000,0.000000,10.187854,4.892330,0.099778,1.753256,1.989988,0.000695,18.132603
1403638127945096960.000000,0.000000,0.000000,11.843750,4.600591,0.097195,0.936111,1.198880,0.000428,19.598955
1403638127995097088.000000,0.000000,0.000000,10.690710,5.323210,0.097678,0.981817,1.180489,0.752360,19.059301
1403638128045096960.000000,0.000000,0.000000,11.229163,4.775555,0.094871,2.179534,1.902016,0.000579,19.241490
1403638128095097088.000000,0.000000,0.000000,11.027916,1.992391,0.073668,1.210000,1.557170,0.000690,16.615670
1403638128145096960.000000,0.000000,0.000000,10.528894,2.084429,0.046297,1.739920,2.156075,0.000586,15.579112
1403638128195097088.000000,0.000000,0.000000,14.272957,3.761092,0.068480,1.387400,1.851774,0.000699,20.810107
1403638128245096960.000000,0.000000,0.000000,13.307435,1.867779,0.050121,1.682024,2.797055,2.231590,17.825933
1403638128295097088.000000,0.000000,0.000000,11.935328,4.536534,0.108211,3.435623,2.872387,0.000811,19.497595
1403638128345096960.000000,0.000000,0.000000,13.359074,4.800169,0.092161,2.485000,2.509820,0.000614,21.274280
1403638128395097088.000000,0.000000,0.000000,10.757562,2.017830,0.055102,1.247390,1.472267,0.000602,15.598656
1403638128445096960.000000,0.000000,0.000000,12.524255,4.794238,0.116534,1.057831,1.420508,0.000512,20.503753
1403638128495097088.000000,0.000000,0.000000,10.588877,5.681253,0.119587,1.339184,1.702317,2.562573,19.151939
1403638128545096960.000000,0.000000,0.000000,10.979503,2.478205,0.057187,3.391315,3.141519,0.000490,16.493920
1403638128595097088.000000,0.000000,0.000000,9.308992,2.015525,0.055923,2.617679,3.383519,0.000656,13.772941
1403638128645096960.000000,0.000000,0.000000,10.454582,4.677751,0.092442,2.690775,3.135921,0.000535,18.364148
1403638128695097088.000000,0.000000,0.000000,10.746287,1.986362,0.046118,2.489257,5.336556,0.001508,15.648470
1403638128745096960.000000,0.000000,0.000000,11.487055,5.059453,0.110244,2.162207,5.169199,3.138354,19.783259
1403638128795097088.000000,0.000000,0.000000,11.452485,5.399029,0.101981,4.902860,5.279922,0.000890,20.292011
1403638128845096960.000000,0.000000,0.000000,12.128427,2.622151,0.050883,4.072396,4.381288,0.000621,17.398466
1403638128895097088.000000,0.000000,0.000000,10.303033,4.911310,0.101792,3.613200,4.212965,0.000444,22.061181
1403638128945096960.000000,0.000000,0.000000,11.336706,1.872552,0.051902,3.520220,4.047494,0.000429,22.504018
