#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.022830,0.064463,0.602625,0.008339,0.008339,6.705195
7.113704,0.238189,3.627840,0.002907,0.002907,10.985820
5.048799,0.205873,3.020947,0.426709,0.426709,33.007460
8.689319,0.474604,8.442491,0.955437,0.955437,58.859982
8.313735,0.380589,14.622899,0.705001,0.705001,60.003002
5.805084,0.212371,8.555782,1.167407,1.167407,61.534486
10.369249,0.475827,26.958215,1.433815,1.433815,79.763281
7.402173,0.244683,14.829983,1.141630,1.141630,64.258978
5.204387,0.196846,9.688410,1.307493,1.307493,63.614536
8.233419,0.272795,11.003344,78.384691,78.384691,139.159770
3.865582,0.124588,9.880823,1.728456,1.728456,56.565814
3.742496,0.139026,6.631556,1.543189,1.543189,54.671143
2.564424,0.093588,6.700734,1.546595,1.546595,61.501406
1.859915,0.048703,6.263547,1.702359,1.702359,48.448664
3.588072,0.098564,9.876229,2.856325,2.856325,63.652871
3.725777,0.096736,9.473487,1.697539,1.697539,63.342833
4.388192,0.170220,14.073934,2.310024,2.310024,81.579458
4.577132,0.207926,13.830573,2.218095,2.218095,78.554372
5.243661,0.148081,16.346601,4.349379,4.349379,89.203842
3.270724,0.094648,8.050999,2.347521,2.347521,61.748548
6.498120,0.157227,17.731978,3.757130,3.757130,84.541956
3.643872,0.092290,12.266547,3.167320,3.167320,75.493801
9.633250,0.194696,35.974769,3.120474,3.120474,113.689246
7.133209,0.180842,27.481102,3.682336,3.682336,98.882473
5.497902,0.218412,26.551084,3.537068,3.537068,117.027315
5.442155,0.266432,21.712019,3.952944,3.952944,92.539507
5.746758,0.235884,15.749738,4.503060,4.503060,83.846019
3.802611,0.168836,17.263096,5.351830,5.351830,83.577641
2.484867,0.265621,8.630655,5.715817,5.715817,46.698932
2.461194,0.103798,8.787187,3.161117,3.161117,70.966346
2.827679,0.079941,9.838803,2.922263,2.922263,187.475781
2.004460,0.090558,5.722485,5.982128,5.982128,47.554038
1.867626,0.033516,6.903246,4.541465,4.541465,40.024463
3.021590,0.066928,9.752283,3.401458,3.401458,57.710168
5.748148,0.335996,14.133100,1.294585,1.294585,76.193557
8.386129,0.779941,20.499039,2.369835,2.369835,112.787959
8.584408,0.787171,23.631593,1.160573,1.160573,113.639002
