#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,10.119490,4.942713,0.002982,6.043186,4.583431,0.001301,17.373136
1413393212305760512.000000,0.000000,0.000000,9.774102,4.886237,0.056926,4.528994,4.503524,0.000605,17.240138
1413393212355760384.000000,0.000000,0.000000,9.468815,5.039720,0.042690,5.617870,4.802013,0.000547,16.924942
1413393212405760512.000000,0.000000,0.000000,9.460812,7.630453,0.062297,6.594270,5.674884,0.000665,19.953772
1413393212455760384.000000,0.000000,0.000000,10.687515,4.765008,0.049512,5.319169,5.081941,2.724664,18.546989
1413393212505760512.000000,0.000000,0.000000,10.228503,4.810143,0.050036,6.763342,6.729626,0.001471,17.538910
1413393212555760384.000000,0.000000,0.000000,10.352491,8.063915,0.057919,4.345751,3.765802,0.000597,21.186426
1413393212605760512.000000,0.000000,0.000000,10.256369,6.251037,0.060569,5.410788,5.137614,0.000766,18.950283
1413393212655760384.000000,0.000000,0.000000,9.902268,5.177195,0.041607,5.968843,5.447131,0.000614,17.459590
1413393212705760512.000000,0.000000,0.000000,10.170857,8.341769,0.040899,5.653194,5.145146,0.000797,21.426391
1413393212755760384.000000,0.000000,0.000000,9.938102,8.729232,0.047343,4.687948,5.736177,2.072027,21.345559
1413393212805760512.000000,0.000000,0.000000,11.977849,10.719682,0.076193,5.650019,5.341228,0.000760,25.294248
1413393212855760384.000000,0.000000,0.000000,10.481832,12.100859,0.073127,6.734671,4.133906,0.000643,26.082720
1413393212905760512.000000,0.000000,0.000000,10.266388,10.163213,0.062943,5.039105,6.017901,0.001407,23.109635
1413393212955760384.000000,0.000000,0.000000,9.838404,4.611272,0.049396,6.817574,6.153984,0.000669,16.931716
1413393213005760512.000000,0.000000,0.000000,8.353594,4.882857,0.060804,6.293253,5.244750,0.000745,15.704204
1413393213055760384.000000,0.000000,0.000000,11.254410,4.530266,0.048715,4.166258,3.880301,2.015190,18.134742
1413393213105760512.000000,0.000000,0.000000,10.131752,4.701771,0.047570,7.008667,6.057125,0.000501,18.117362
1413393213155760384.000000,0.000000,0.000000,9.069409,4.689853,0.049293,6.443725,4.614103,0.000570,16.325951
1413393213205760512.000000,0.000000,0.000000,10.080695,4.748137,0.052091,5.593312,5.246966,0.000799,17.505431
1413393213255760384.000000,0.000000,0.000000,11.485896,6.162120,0.048901,4.849892,4.530166,0.000657,20.507927
1413393213305760512.000000,0.000000,0.000000,9.142375,8.604134,0.050837,5.205259,9.124374,0.001146,20.344126
1413393213355760384.000000,0.000000,0.000000,10.624945,13.096130,0.079013,4.392198,3.835138,2.465305,26.424674
1413393213405760512.000000,0.000000,0.000000,8.957276,11.377774,0.070865,5.770468,4.889898,0.000853,23.016550
1413393213455760384.000000,0.000000,0.000000,8.816138,6.240681,0.047911,6.314662,6.126128,0.000580,17.517111
1413393213505760512.000000,0.000000,0.000000,10.378044,4.553490,0.049863,6.796269,5.670250,0.000819,17.086211
1413393213555760384.000000,0.000000,0.000000,9.841885,4.425920,0.051960,4.768956,4.478995,0.000541,17.214443
1413393213605760512.000000,0.000000,0.000000,10.105472,7.710578,0.045753,4.506321,4.613320,2.981214,20.223139
1413393213655760384.000000,0.000000,0.000000,11.218966,10.050588,0.075759,6.981486,5.230576,0.000699,23.884879
1413393213705760512.000000,0.000000,0.000000,9.222587,12.288750,0.084721,4.645095,4.703743,0.000464,24.246667
1413393213755760384.000000,0.000000,0.000000,9.246742,8.613122,0.073514,4.619595,4.849286,0.000622,20.288179
1413393213805760512.000000,0.000000,0.000000,9.458902,10.644806,0.073403,4.601039,4.281913,0.000554,22.908263
1413393213855760384.000000,0.000000,0.000000,9.446409,10.326784,0.074154,5.259287,6.684160,3.131701,22.294854
1413393213905760512.000000,0.000000,0.000000,9.120282,8.798451,0.099134,7.247665,6.652715,0.000520,20.910174
1413393213955760384.000000,0.000000,0.000000,10.109285,12.531714,0.090941,7.105910,6.715745,0.000657,25.461616
1413393214005760512.000000,0.000000,0.000000,8.684932,5.531142,0.044455,5.861064,6.271988,0.000792,17.420050
1413393214055760384.000000,0.000000,0.000000,9.490824,7.229746,0.057477,6.165493,6.486587,0.001070,19.535833
1413393214105760512.000000,0.000000,0.000000,10.380749,4.766517,0.042840,5.843404,7.131884,3.550309,17.539303
1413393214155760384.000000,0.000000,0.000000,9.468389,8.350026,0.051239,7.407261,5.994282,0.000848,21.055302
1413393214205760512.000000,0.000000,0.000000,11.553028,4.944238,0.060359,7.875887,7.807098,0.000637,19.496989
1413393214255760384.000000,0.000000,0.000000,9.427482,6.216897,0.047618,5.307553,5.560951,0.000612,18.072038
1413393214305760512.000000,0.000000,0.000000,10.785054,4.438939,0.049983,4.566174,5.201499,0.000433,18.287089
1413393214355760384.000000,0.000000,0.000000,11.395553,5.167251,0.044046,4.983050,7.053569,2.959299,18.986893
1413393214405760512.000000,0.000000,0.000000,10.391403,5.053763,0.048793,5.698631,5.744064,0.000754,18.660522
1413393214455760384.000000,0.000000,0.000000,10.270022,5.145518,0.037653,5.730699,6.068767,0.000484,18.306257
1413393214505760512.000000,0.000000,0.000000,11.089023,7.616753,0.081484,4.727299,5.596970,0.000436,21.287179
1413393214555760384.000000,0.000000,0.000000,10.100958,4.742745,0.048809,4.330424,4.478750,0.000757,17.331576
1413393214605760512.000000,0.000000,0.000000,9.923866,4.810108,0.054446,5.398313,6.877798,3.811664,17.479314
1413393214655760384.000000,0.000000,0.000000,12.649273,4.695654,0.047461,6.179304,6.673215,0.000936,19.837599
1413393214705760512.000000,0.000000,0.000000,13.772667,5.066539,0.048424,0.045244,10.454537,0.106801,22.072665
1413393214755760384.000000,0.000000,0.000000,8.622887,4.524986,0.051911,0.056690,9.173062,0.081712,15.451432
1413393214805760512.000000,0.000000,0.000000,9.072381,11.284018,0.069524,0.054452,8.032425,4.177764,23.067250
1413393214855760384.000000,0.000000,0.000000,10.965345,12.018816,0.086705,0.099564,8.986867,0.090827,25.669880
1413393214905760512.000000,0.000000,0.000000,10.030723,10.418744,0.077002,0.071488,9.895423,0.058491,23.162191
1413393214955760384.000000,0.000000,0.000000,10.550284,5.615355,0.062202,0.065966,12.500124,0.079160,19.152680
1413393215005760512.000000,0.000000,0.000000,10.434993,4.502677,0.050283,0.078955,8.851617,0.073671,17.787530
1413393215055760384.000000,0.000000,0.000000,9.589094,4.532683,0.047734,0.094040,10.019214,0.065965,17.325067
1413393215105760512.000000,0.000000,0.000000,12.777028,4.860033,0.041342,0.051579,8.890287,0.052302,20.313942
1413393215155760384.000000,0.000000,0.000000,10.908106,7.475637,0.077855,0.057197,10.881841,4.627770,21.187759
1413393215205760512.000000,0.000000,0.000000,9.484078,5.320542,0.042725,0.068439,9.766247,0.089410,17.330491
1413393215255760384.000000,0.000000,0.000000,10.030650,8.705029,0.040889,0.059774,10.374848,0.064092,21.118341
1413393215305760512.000000,0.000000,0.000000,10.264576,8.949280,0.074164,0.059913,11.917926,0.084386,21.853942
1413393215355760384.000000,0.000000,0.000000,9.756036,10.145338,0.041928,0.053292,8.998891,0.072728,22.375814
1413393215405760512.000000,0.000000,0.000000,10.340920,11.908161,0.073939,0.085304,10.358204,0.055083,25.254566
1413393215455760384.000000,0.000000,0.000000,9.567511,6.938338,0.065457,0.057214,11.830586,0.077210,19.050445
1413393215505760512.000000,0.000000,0.000000,9.690368,7.470695,0.056433,0.059766,10.591891,4.704031,19.740928
1413393215555760384.000000,0.000000,0.000000,10.765372,12.406269,0.086423,0.065342,10.446908,0.064122,26.034016
1413393215605760512.000000,0.000000,0.000000,9.715620,12.668927,0.086306,0.064352,9.188549,0.061318,26.077566
1413393215655760384.000000,0.000000,0.000000,10.101176,4.522209,0.058366,0.059364,8.201227,4.154689,17.140217
1413393215705760512.000000,0.000000,0.000000,10.162744,5.858690,0.049069,0.085346,12.771780,0.092724,18.461161
1413393215755760384.000000,0.000000,0.000000,10.631289,4.501166,0.060388,0.061166,9.193628,0.052695,17.611877
1413393215805760512.000000,0.000000,0.000000,10.094459,5.630859,0.054117,0.054357,8.985883,0.050087,18.731376
1413393215855760384.000000,0.000000,0.000000,11.165511,12.169041,0.082100,0.058501,11.564931,0.081765,26.103040
1413393215905760512.000000,0.000000,0.000000,10.025971,6.614158,0.040836,0.092208,13.076597,5.461483,19.436396
1413393215955760384.000000,0.000000,0.000000,9.960121,10.933091,0.082697,0.135504,9.986807,0.062693,23.501616
1413393216005760512.000000,0.000000,0.000000,11.952115,12.624346,0.108807,0.052618,10.075316,0.083484,27.786624
1413393216055760384.000000,0.000000,0.000000,9.439417,7.747357,0.043547,0.059033,8.880179,0.071941,19.545622
1413393216105760512.000000,0.000000,0.000000,10.959892,12.617613,0.081125,0.074379,13.037487,0.083323,26.837935
1413393216155760384.000000,0.000000,0.000000,10.260755,5.671366,0.041255,0.065810,13.037998,5.070994,18.554162
1413393216205760512.000000,0.000000,0.000000,9.297651,4.608753,0.061784,0.054603,10.144592,0.068014,16.498710
1413393216255760384.000000,0.000000,0.000000,10.366343,5.218246,0.042123,0.077412,9.821087,0.072002,18.302497
1413393216305760512.000000,0.000000,0.000000,9.983779,4.801533,0.049284,0.061553,9.035508,0.062666,17.474992
1413393216355760384.000000,0.000000,0.000000,11.038800,12.946252,0.094958,0.054171,9.692028,0.050113,26.974638
1413393216405760512.000000,0.000000,0.000000,10.157037,9.760977,0.050017,0.059222,10.396273,6.788162,22.504521
1413393216455760384.000000,0.000000,0.000000,9.744285,10.427896,0.065368,0.069800,10.538865,0.075242,22.668924
1413393216505760512.000000,0.000000,0.000000,10.369017,12.145198,0.077619,0.057977,9.357493,0.074643,25.348278
1413393216555760384.000000,0.000000,0.000000,10.298099,8.783323,0.041867,0.064384,11.032691,0.082325,32.116872
1413393216605760512.000000,0.000000,0.000000,11.292472,6.656372,0.052984,0.150400,12.269338,0.060537,31.380538
1413393216655760384.000000,0.000000,0.000000,10.583779,5.121084,0.075426,0.073875,11.720011,5.043104,28.221035
1413393216705760512.000000,0.000000,0.000000,10.298845,5.891901,0.055566,0.069600,16.012622,0.157793,29.273707
1413393216755760384.000000,0.000000,0.000000,11.982985,7.285209,0.056557,0.062482,10.995743,0.065336,34.796768
1413393216805760512.000000,0.000000,0.000000,10.239567,6.219916,0.053785,0.066655,8.636260,0.050966,32.226150
1413393216855760384.000000,0.000000,0.000000,10.405664,7.860465,0.067082,0.060266,10.995744,0.081653,34.373507
1413393216905760512.000000,0.000000,0.000000,10.192476,4.524088,0.057384,0.061877,12.199991,0.069802,25.597194
1413393216955760384.000000,0.000000,0.000000,9.351712,4.492441,0.055457,0.068133,9.462007,4.424419,27.285494
1413393217005760512.000000,0.000000,0.000000,9.159449,7.159173,0.074401,0.065849,10.015300,0.066785,30.403729
1413393217055760384.000000,0.000000,0.000000,9.075367,7.954606,0.066749,0.059360,9.719602,0.096513,31.008122
1413393217105760512.000000,0.000000,0.000000,9.686105,6.906828,0.058914,0.038679,10.725750,0.076652,31.624997
1413393217155760384.000000,0.000000,0.000000,9.295558,5.333297,0.058377,0.098880,9.750033,0.049334,28.619201
1413393217205760512.000000,0.000000,0.000000,9.533059,8.034415,0.067593,0.057498,9.605732,0.054287,31.310259
1413393217255760384.000000,0.000000,0.000000,9.585432,6.127663,0.072064,0.055206,9.568559,4.660719,29.413644
1413393217305760512.000000,0.000000,0.000000,10.884167,7.884269,0.073423,0.063844,13.455255,0.087406,35.688369
1413393217355760384.000000,0.000000,0.000000,9.690862,7.418172,0.088953,0.061837,9.995219,0.072462,31.555210
1413393217405760512.000000,0.000000,0.000000,9.545111,4.545020,0.059837,0.055040,8.999049,0.058076,26.611434
1413393217455760384.000000,0.000000,0.000000,9.520974,7.437853,0.079395,0.068511,12.381215,0.068998,33.563902
1413393217505760512.000000,0.000000,0.000000,11.197997,7.610397,0.074958,0.067752,12.792810,0.074300,32.710272
1413393217555760384.000000,0.000000,0.000000,10.246763,5.483564,0.057582,0.055104,9.418740,0.063045,29.730056
1413393217605760512.000000,0.000000,0.000000,11.681378,4.633152,0.062306,0.037106,11.300760,4.727714,28.278307
1413393217655760384.000000,0.000000,0.000000,11.176447,6.499398,0.055838,0.137394,11.481128,0.066603,35.200947
1413393217705760512.000000,0.000000,0.000000,10.892598,5.069575,0.059414,0.062082,11.692240,0.082880,29.241644
1413393217755760384.000000,0.000000,0.000000,10.289175,5.474690,0.055861,0.061249,8.991139,0.054349,29.068648
1413393217805760512.000000,0.000000,0.000000,10.235202,7.977611,0.066974,0.057685,10.402227,0.074694,33.333725
1413393217855760384.000000,0.000000,0.000000,10.301017,8.029339,0.071965,0.062202,10.229185,0.060482,33.789794
1413393217905760512.000000,0.000000,0.000000,11.118932,5.133086,0.053571,0.070611,10.732432,0.051931,28.196769
1413393217955760384.000000,0.000000,0.000000,10.314532,4.674400,0.060834,0.059837,12.542961,0.076140,29.818515
1413393218005760512.000000,0.000000,0.000000,10.137738,10.721972,0.058286,0.059386,12.042215,0.072601,36.049190
1413393218055760384.000000,0.000000,0.000000,9.054312,6.089418,0.055039,0.151157,13.162366,4.559278,27.081165
1413393218105760512.000000,0.000000,0.000000,10.533873,4.827471,0.064252,0.073293,12.253051,0.086557,28.000628
1413393218155760384.000000,0.000000,0.000000,9.536320,5.436990,0.056612,0.060404,12.980569,0.095097,26.374920
1413393218205760512.000000,0.000000,0.000000,10.449881,5.564101,0.073160,0.042120,11.674616,0.061996,33.852355
1413393218255760384.000000,0.000000,0.000000,10.733085,10.405565,0.065727,0.066399,11.803470,0.060374,37.838182
1413393218305760512.000000,0.000000,0.000000,9.697361,5.084595,0.088499,0.061057,15.467193,0.080516,31.108712
1413393218355760384.000000,0.000000,0.000000,11.023189,7.518495,0.063148,0.060427,10.790747,0.077052,33.526636
1413393218405760512.000000,0.000000,0.000000,12.097115,7.918319,0.072313,0.105908,14.732998,0.075804,36.026688
1413393218455760384.000000,0.000000,0.000000,10.297399,7.617880,0.073215,0.077845,12.193361,0.091298,37.381426
1413393218505760512.000000,0.000000,0.000000,9.440046,7.051023,0.082415,0.062170,12.251572,0.069051,33.107851
1413393218555760384.000000,0.000000,0.000000,10.810660,7.471728,0.067930,0.070817,11.428128,4.005852,36.740080
1413393218605760512.000000,0.000000,0.000000,9.179914,6.217552,0.064449,0.058276,11.772514,0.068205,28.736962
1413393218655760384.000000,0.000000,0.000000,9.285864,4.949950,0.047939,0.056172,11.830027,0.157798,26.743391
1413393218705760512.000000,0.000000,0.000000,9.096861,8.305912,0.070398,0.049240,9.283872,4.547323,35.146957
1413393218755760384.000000,0.000000,0.000000,10.609138,4.730653,0.068301,0.096830,12.354413,0.077948,29.720399
1413393218805760512.000000,0.000000,0.000000,10.413659,6.626535,0.064353,0.064744,13.174246,0.121403,31.528648
1413393218855760384.000000,0.000000,0.000000,9.212850,4.681408,0.101124,0.069135,10.884541,4.218431,26.923065
1413393218905760512.000000,0.000000,0.000000,10.207025,4.752340,0.056540,0.128552,12.181801,0.090453,26.298546
1413393218955760384.000000,0.000000,0.000000,9.081231,4.739868,0.072088,0.055579,11.629782,0.074256,32.583081
1413393219005760512.000000,0.000000,0.000000,9.489745,5.672950,0.045922,0.055330,9.865050,6.197649,30.810781
1413393219055760384.000000,0.000000,0.000000,10.320931,6.938578,0.060762,0.067027,11.345367,0.124768,30.755277
1413393219105760512.000000,0.000000,0.000000,10.802420,5.493746,0.070179,0.067132,11.338863,0.108560,28.299962
1413393219155760384.000000,0.000000,0.000000,9.763930,5.785454,0.075538,0.050604,10.421562,4.383739,30.609691
1413393219205760512.000000,0.000000,0.000000,9.749933,5.269233,0.076799,0.060567,11.527367,0.121602,27.167222
1413393219255760384.000000,0.000000,0.000000,10.572683,7.136933,0.098146,0.056797,11.674001,0.080703,30.625828
