#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006563,3,1,0,1290
0.001677,4,1,0,1916
0.328568,5,1,0,2418
0.769696,6,1,0,2788
0.736732,7,1,0,3037
0.981980,8,1,0,3464
0.868622,9,1,0,3643
1.250437,10,1,0,3513
1.231339,0,0,0,0
79.584497,0,0,0,0
1.257794,0,0,0,0
1.820193,0,0,0,0
1.449241,0,0,0,0
1.300205,0,0,0,0
1.426524,0,0,0,0
1.925999,0,0,0,0
1.705603,0,0,0,0
2.009404,0,0,0,0
2.106542,0,0,0,0
2.321219,0,0,0,0
2.463226,0,0,0,0
3.002024,0,0,0,0
2.718518,0,0,0,0
3.087577,0,0,0,0
2.972196,0,0,0,0
2.971269,0,0,0,0
3.033970,0,0,0,0
2.785775,0,0,0,0
2.816393,0,0,0,0
3.044942,0,0,0,0
2.892175,0,0,0,0
2.798064,0,0,0,0
3.044317,0,0,0,0
5.118362,0,0,0,0
3.366690,0,0,0,0
2.724411,0,0,0,0
2.750850,0,0,0,0
4.650634,0,0,0,0
2.985791,0,0,0,0
2.780913,0,0,0,0
4.284612,0,0,0,0
2.461074,0,0,0,0
2.663538,0,0,0,0
2.971662,0,0,0,0
2.789131,0,0,0,0
3.489723,0,0,0,0
3.219325,0,0,0,0
3.848709,0,0,0,0
2.446913,0,0,0,0
2.997700,0,0,0,0
2.316790,0,0,0,0
2.474931,0,0,0,0
1.975722,0,0,0,0
2.836464,0,0,0,0
0.931411,0,0,0,0
1.394651,0,0,0,0
1.095057,0,0,0,0
1.187287,0,0,0,0
1.531018,0,0,0,0
1.064559,0,0,0,0
1.599253,0,0,0,0
1.045560,0,0,0,0
1.345818,0,0,0,0
1.203649,0,0,0,0
0.965970,0,0,0,0
1.056029,0,0,0,0
1.680302,0,0,0,0
2.024079,0,0,0,0
1.557814,0,0,0,0
0.851186,0,0,0,0
1.611244,0,0,0,0
2.139277,0,0,0,0
1.365517,0,0,0,0
1.936750,0,0,0,0
1.323043,0,0,0,0
2.816669,0,0,0,0
2.120063,0,0,0,0
2.540181,0,0,0,0
1.951919,0,0,0,0
4.541512,0,0,0,0
2.650438,0,0,0,0
2.589475,0,0,0,0
3.487149,0,0,0,0
3.160223,0,0,0,0
2.830065,0,0,0,0
2.299288,0,0,0,0
3.014459,0,0,0,0
1.783517,0,0,0,0
1.694707,0,0,0,0
1.384747,0,0,0,0
2.159078,0,0,0,0
2.406676,0,0,0,0
1.978781,0,0,0,0
1.581948,0,0,0,0
2.563984,0,0,0,0
2.127131,0,0,0,0
2.474417,0,0,0,0
2.888884,0,0,0,0
3.770307,0,0,0,0
3.215714,0,0,0,0
3.760275,0,0,0,0
2.610720,0,0,0,0
2.485577,0,0,0,0
2.630604,0,0,0,0
4.108211,0,0,0,0
3.279946,0,0,0,0
2.145637,0,0,0,0
3.214724,0,0,0,0
1.399480,0,0,0,0
2.425811,0,0,0,0
1.799815,0,0,0,0
1.301649,0,0,0,0
1.983969,0,0,0,0
2.718644,0,0,0,0
2.052101,0,0,0,0
0.950361,0,0,0,0
1.083331,0,0,0,0
2.097603,0,0,0,0
1.927569,0,0,0,0
2.472630,0,0,0,0
2.350948,0,0,0,0
1.548070,0,0,0,0
2.181025,0,0,0,0
1.826698,0,0,0,0
3.726651,0,0,0,0
3.237251,0,0,0,0
4.011683,0,0,0,0
2.828404,0,0,0,0
4.618770,0,0,0,0
3.854704,0,0,0,0
3.554551,0,0,0,0
5.830567,0,0,0,0
