#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,18.019640,3.477310,0.002594,6.481990,1.973630,0.001785,24.394371
1403637130588318976.000000,0.000000,0.000000,17.900614,2.626931,0.060531,1.692225,1.368982,0.000503,23.312737
1403637130638319104.000000,0.000000,0.000000,18.266932,4.315398,0.051480,1.747535,1.259609,0.001003,25.612020
1403637130688318976.000000,0.000000,0.000000,19.062970,2.662925,0.045935,1.611560,1.393174,0.000448,24.145359
1403637130738319104.000000,0.000000,0.000000,19.272006,3.958741,0.043533,1.745088,1.594401,0.000591,26.271761
1403637130788318976.000000,0.000000,0.000000,17.097402,2.688447,0.052878,1.521197,1.599152,0.159815,31.127573
1403637130838319104.000000,0.000000,0.000000,18.349535,2.381804,0.078982,4.081294,3.904919,0.000945,26.637354
1403637130888318976.000000,0.000000,0.000000,17.545169,2.350828,0.054799,4.463467,2.998991,0.000776,25.162073
1403637130938319104.000000,0.000000,0.000000,18.237664,2.410876,0.054440,3.947190,4.131421,0.001207,26.191714
1403637130988318976.000000,0.000000,0.000000,17.502230,2.472514,0.058333,2.027904,1.432946,0.000678,25.901940
1403637131038319104.000000,0.000000,0.000000,17.502839,2.305510,0.059501,3.650053,3.768254,0.000844,25.800442
1403637131088318976.000000,0.000000,0.000000,18.479136,5.964136,0.084885,1.866964,1.518794,0.170088,35.733405
1403637131138319104.000000,0.000000,0.000000,17.654698,6.520462,0.102904,2.061905,1.800877,0.000472,35.046701
1403637131188318976.000000,0.000000,0.000000,19.018902,6.751978,0.127860,1.704085,1.486399,0.000477,37.103595
1403637131238319104.000000,0.000000,0.000000,17.864223,4.779346,0.041698,1.473735,1.633817,0.000457,28.593006
1403637131288318976.000000,0.000000,0.000000,17.930371,4.949568,0.154877,3.480820,3.104055,0.000750,34.010900
1403637131338319104.000000,0.000000,0.000000,16.684176,2.498892,0.050150,4.468062,3.213869,0.301601,25.683565
1403637131388318976.000000,0.000000,0.000000,18.398227,2.602237,0.050079,1.836708,1.504247,0.000536,27.580896
1403637131438319104.000000,0.000000,0.000000,16.635169,2.319386,0.058547,1.853621,1.285431,0.000456,24.779450
1403637131488318976.000000,0.000000,0.000000,16.866870,2.855077,0.057068,2.292916,1.647489,0.000676,26.000594
1403637131538319104.000000,0.000000,0.000000,17.250253,5.506031,0.073349,1.698804,2.022835,0.001035,32.506780
1403637131588318976.000000,0.000000,0.000000,17.834044,6.417218,0.091655,1.807811,1.252544,0.145705,35.200757
1403637131638319104.000000,0.000000,0.000000,16.588660,2.507325,0.057728,3.585633,2.920040,0.000655,24.894237
1403637131688318976.000000,0.000000,0.000000,17.830179,2.486442,0.056503,4.729341,3.709705,0.000795,25.985494
1403637131738319104.000000,0.000000,0.000000,16.921931,3.113401,0.059698,2.082341,1.681052,0.000472,26.918831
1403637131788318976.000000,0.000000,0.000000,18.363078,2.550241,0.056908,2.098047,1.560042,0.000640,27.446216
1403637131838319104.000000,0.000000,0.000000,18.509686,2.592923,0.057714,1.707568,1.644842,0.154606,26.891983
1403637131888318976.000000,0.000000,0.000000,18.561264,5.928938,0.093987,1.832231,1.329721,0.000537,34.011247
1403637131938319104.000000,0.000000,0.000000,17.250902,5.693503,0.067653,2.001543,1.795208,0.000516,34.063305
1403637131988318976.000000,0.000000,0.000000,16.816274,2.606214,0.047291,3.380391,3.542360,0.000703,25.802244
1403637132038319104.000000,0.000000,0.000000,17.102532,2.517220,0.060502,2.866971,1.988326,0.000596,25.865162
1403637132088318976.000000,0.000000,0.000000,16.552661,4.870895,0.086372,3.006366,2.133315,0.230841,27.797756
1403637132138319104.000000,0.000000,0.000000,19.381065,2.239067,0.057196,4.344513,3.670573,0.000773,27.343248
1403637132188318976.000000,0.000000,0.000000,16.270945,2.454600,0.056225,1.774399,1.519976,0.000416,25.486492
