#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008096,3,1,0,399
0.002797,4,1,0,547
0.063787,5,1,0,679
0.237468,6,1,0,1139
0.143513,7,1,0,1648
0.189748,8,1,0,2210
0.575872,9,1,0,2571
0.389755,10,1,0,3055
0.476453,0,0,0,0
76.863170,0,0,0,0
0.611300,0,0,0,0
0.631262,0,0,0,0
0.705155,0,0,0,0
0.861030,0,0,0,0
1.759784,0,0,0,0
1.362079,0,0,0,0
1.161436,0,0,0,0
1.426950,0,0,0,0
1.459030,0,0,0,0
1.719045,0,0,0,0
1.891470,0,0,0,0
2.862146,0,0,0,0
2.613353,0,0,0,0
2.705651,0,0,0,0
2.755507,0,0,0,0
2.900974,0,0,0,0
3.581484,0,0,0,0
2.884124,0,0,0,0
3.092610,0,0,0,0
2.852868,0,0,0,0
2.915727,0,0,0,0
2.855657,0,0,0,0
3.375721,0,0,0,0
2.948909,0,0,0,0
2.580701,0,0,0,0
3.619789,0,0,0,0
2.793376,0,0,0,0
5.335744,0,0,0,0
3.277392,0,0,0,0
4.994048,0,0,0,0
2.733566,0,0,0,0
6.071100,0,0,0,0
3.836591,0,0,0,0
4.816476,0,0,0,0
2.662028,3,1,0,429
4.706826,4,1,0,564
0.003083,5,1,0,688
0.003100,6,1,0,837
0.226698,7,1,0,955
0.368636,8,1,0,1082
0.448135,9,1,0,1204
0.454195,10,1,0,1338
0.316135,0,0,0,0
0.325961,0,0,0,0
0.430242,0,0,0,0
49.524352,0,0,0,0
0.637313,0,0,0,0
1.135592,0,0,0,0
0.546451,0,0,0,0
0.909506,3,1,0,683
0.659560,4,1,0,1051
1.030299,5,1,0,1347
0.891662,6,1,0,2049
0.004887,7,1,0,2675
0.002481,8,1,0,3216
0.211957,9,1,0,3829
0.314421,10,1,0,4468
0.970656,0,0,0,0
0.496133,0,0,0,0
0.774596,0,0,0,0
0.810429,0,0,0,0
1.294392,0,0,0,0
105.731693,0,0,0,0
0.786919,0,0,0,0
2.051100,0,0,0,0
1.152938,0,0,0,0
1.392024,0,0,0,0
1.506270,0,0,0,0
1.579664,0,0,0,0
1.900019,0,0,0,0
1.851770,0,0,0,0
2.039577,0,0,0,0
2.283412,0,0,0,0
3.488704,0,0,0,0
3.631058,0,0,0,0
3.225525,0,0,0,0
4.871476,0,0,0,0
3.399162,0,0,0,0
4.192530,0,0,0,0
3.411381,0,0,0,0
4.023818,0,0,0,0
3.504776,0,0,0,0
3.352088,0,0,0,0
4.108531,0,0,0,0
4.359916,0,0,0,0
3.386646,0,0,0,0
5.179108,0,0,0,0
2.966624,0,0,0,0
5.369112,0,0,0,0
3.199834,0,0,0,0
3.172514,0,0,0,0
3.592166,0,0,0,0
3.323639,0,0,0,0
4.241169,0,0,0,0
3.041266,0,0,0,0
3.639483,0,0,0,0
3.082853,0,0,0,0
3.758239,0,0,0,0
5.584051,0,0,0,0
4.511490,0,0,0,0
2.807115,0,0,0,0
2.224172,0,0,0,0
2.883221,0,0,0,0
2.712479,0,0,0,0
2.972631,0,0,0,0
3.038579,0,0,0,0
3.291179,0,0,0,0
3.258698,0,0,0,0
1.964575,0,0,0,0
3.580339,0,0,0,0
