#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.170337,0.012180,0.111598,0.005812,0.005812,4.305051
6.740682,0.036486,0.325042,0.001995,0.001995,7.105330
7.881210,0.133040,3.951489,0.171846,0.171846,19.018936
5.388799,0.093811,4.400130,0.183972,0.183972,17.860806
7.572178,0.247545,10.251587,0.459918,0.459918,42.875828
10.544145,0.228775,5.673738,0.584988,0.584988,34.979577
8.932971,0.244635,17.861070,0.632582,0.632582,62.786050
5.192047,0.146967,6.143395,1.243009,1.243009,40.120021
7.512391,0.107934,19.325349,0.651473,0.651473,60.797338
7.448850,0.077298,9.882736,68.541142,68.541142,115.272132
6.850504,0.098996,11.166708,0.561612,0.561612,50.290340
6.111168,0.113186,11.170060,0.730777,0.730777,51.770666
6.344485,0.104346,12.128508,0.781714,0.781714,55.672074
7.136974,0.118053,14.828675,1.141960,1.141960,67.310754
7.343952,0.142016,15.164815,1.214067,1.214067,76.863652
15.032345,0.224669,27.160497,1.305894,1.305894,100.000269
7.847008,0.076035,12.497164,1.462106,1.462106,86.894391
7.854006,0.074244,13.172031,1.185476,1.185476,120.470955
7.714502,0.054451,17.608660,2.686941,2.686941,103.036716
7.969021,0.079772,17.683302,1.929072,1.929072,122.789627
9.556025,0.118697,17.221960,1.870321,1.870321,113.871269
11.009032,0.125391,19.879135,2.348091,2.348091,123.336463
12.924942,0.207693,29.827000,2.521612,2.521612,126.806889
9.469427,0.104925,23.608925,3.067675,3.067675,142.022540
9.132341,0.098407,21.015668,2.655327,2.655327,138.375650
8.575204,0.112093,27.088084,2.589674,2.589674,124.415809
14.962678,0.208419,34.268829,2.564837,2.564837,186.932661
11.933644,0.172501,23.281328,2.247711,2.247711,128.800725
9.154230,0.088838,21.612945,2.645584,2.645584,121.397553
7.409682,0.093438,19.638544,2.559460,2.559460,236.781264
8.169434,0.134899,17.035598,2.284074,2.284074,106.759430
7.515986,0.068100,19.243248,2.416204,2.416204,123.200455
16.087973,0.219656,27.831097,2.307435,2.307435,125.870841
11.228701,0.106334,28.925946,2.506703,2.506703,121.919014
8.665542,0.104944,23.941186,2.522306,2.522306,116.915698
9.474788,0.133228,23.308254,1.715112,1.715112,129.926056
16.279108,0.240288,33.027277,3.462432,3.462432,153.536403
10.164768,0.140110,22.396473,2.500801,2.500801,145.860222
9.347333,0.125857,23.915599,2.252530,2.252530,128.242554
9.840335,0.136349,23.066711,4.172916,4.172916,150.232392
8.274092,0.117953,20.233857,4.078878,4.078878,131.139537
9.196756,0.144220,19.629965,3.452410,3.452410,124.369777
7.879099,0.096604,19.212789,2.020259,2.020259,117.785770
6.944605,0.068374,15.161344,3.829321,3.829321,117.867232
12.320435,0.131297,31.144264,3.184610,3.184610,133.656543
7.671512,0.107220,26.140168,1.603098,1.603098,119.636667
13.185937,0.087648,28.863075,2.115250,2.115250,126.305918
11.629990,0.091384,17.481792,2.709483,2.709483,111.626335
6.311876,0.031030,0.321283,0.002904,0.002904,6.668689
6.544475,0.089688,0.763468,0.002676,0.002676,7.401994
6.292171,0.151770,0.548103,0.160239,0.160239,10.528954
8.137905,0.149943,4.619775,0.449664,0.449664,24.108931
7.722847,0.152380,10.795576,0.388198,0.388198,32.153450
6.951287,0.167110,4.973093,0.440843,0.440843,22.958491
8.577516,0.276964,16.604520,0.945564,0.945564,57.839180
6.090310,0.223644,14.872905,0.768142,0.768142,66.510298
8.962005,0.478610,10.302364,0.930616,0.930616,46.336785
7.041475,0.158206,13.324484,59.930683,59.930683,113.562336
6.751481,0.160142,12.174818,0.872933,0.872933,65.984918
7.991779,0.232966,23.642758,0.850320,0.850320,72.551004
11.159844,0.220995,21.236907,1.386830,1.386830,87.042952
9.373251,0.230726,26.737808,1.196798,1.196798,98.888512
8.665774,0.302536,20.791911,1.537798,1.537798,112.521548
10.339511,0.319917,19.191649,1.596612,1.596612,107.554821
11.130475,0.283926,24.516972,2.319326,2.319326,103.462970
6.777976,0.162314,16.845631,1.793314,1.793314,107.720453
6.456824,0.181635,20.725231,1.985258,1.985258,105.168633
11.254915,0.180809,25.333706,2.096674,2.096674,120.539777
7.002551,0.189435,23.179558,2.455455,2.455455,133.891330
6.884784,0.137609,18.228431,4.094420,4.094420,145.690669
13.765436,0.301664,24.390980,3.994622,3.994622,138.722620
8.241417,0.179839,23.974433,3.359820,3.359820,126.853392
7.543107,0.141042,17.910486,3.342586,3.342586,130.504763
7.955939,0.337533,17.719334,3.184240,3.184240,121.990206
6.480551,0.152784,24.817099,3.459251,3.459251,373.840286
6.912345,0.212106,13.943375,2.783475,2.783475,126.372775
7.285596,0.186371,24.633102,3.274207,3.274207,144.828181
6.346753,0.150730,17.145492,2.307191,2.307191,120.576431
12.314962,0.366373,30.588650,4.188131,4.188131,154.271825
11.382085,0.321057,29.717726,2.465226,2.465226,141.180300
6.733931,0.158084,17.721998,2.763843,2.763843,128.881871
7.386356,0.169380,17.019399,3.264284,3.264284,133.416355
7.295723,0.161802,19.945808,3.247400,3.247400,141.961388
6.427779,0.160167,16.906971,4.331185,4.331185,134.051008
6.812100,0.153251,17.670456,3.297402,3.297402,145.284042
6.083098,0.158481,16.413129,2.234557,2.234557,138.976264
7.257382,0.170700,16.334926,4.670422,4.670422,150.247383
7.318569,0.186911,17.283713,3.543019,3.543019,149.742625
6.574903,0.162200,16.079317,4.706841,4.706841,158.153211
7.243211,0.200755,15.726765,2.470611,2.470611,146.467151
7.468277,0.150334,17.460688,3.307877,3.307877,162.454528
6.507476,0.135578,18.002168,3.616541,3.616541,158.118275
7.499517,0.121366,19.923662,3.019828,3.019828,158.094349
7.678046,0.157706,18.623224,2.858996,2.858996,166.492205
7.536364,0.130768,17.613779,3.200009,3.200009,163.182857
7.478042,0.131955,18.514578,2.592493,2.592493,162.835023
7.896295,0.141510,17.955186,3.818066,3.818066,162.212956
10.059233,0.225762,24.899930,3.048066,3.048066,188.228706
7.978863,0.167307,18.467745,6.479513,6.479513,192.143923
6.239283,0.143893,21.851648,2.341300,2.341300,176.640121
11.012002,0.215118,25.463904,6.627875,6.627875,216.732991
7.757437,0.142384,20.100343,2.778977,2.778977,164.475246
7.313057,0.254093,21.009192,3.541949,3.541949,190.320161
7.965960,0.151356,18.019704,4.005375,4.005375,181.429521
6.912250,0.144374,19.256656,3.804240,3.804240,173.191955
7.809851,0.164459,22.540435,2.975490,2.975490,166.060949
7.469300,0.134980,18.996083,3.041575,3.041575,164.583890
6.979993,0.171678,20.192569,3.843529,3.843529,165.228016
9.012553,0.339009,20.801874,3.912423,3.912423,190.010667
7.214366,0.175214,24.018343,3.445969,3.445969,173.787329
8.730876,0.190631,21.180503,3.024653,3.024653,163.065642
6.824557,0.129308,22.120919,4.388297,4.388297,241.412325
7.690415,0.213495,26.825100,4.172756,4.172756,209.514455
7.071095,0.238824,20.598291,6.184851,6.184851,165.852503
7.163606,0.203604,18.432747,3.121775,3.121775,161.140306
6.606011,0.160432,22.847647,5.190627,5.190627,221.646663
7.617317,0.242511,18.965653,4.381645,4.381645,163.017819
7.159541,0.168137,18.773845,5.231002,5.231002,159.763354
6.763399,0.190889,18.566174,5.811561,5.811561,196.483087
6.737276,0.228136,19.564056,5.444439,5.444439,154.297183
7.721958,0.227204,23.376935,5.123367,5.123367,168.826569
10.375300,0.341165,25.911757,4.583914,4.583914,184.603523
6.734220,0.208053,20.523128,4.760298,4.760298,160.922441
8.558859,0.270146,24.347668,5.122716,5.122716,164.592680
8.228563,0.236058,20.216802,6.141339,6.141339,157.034715
7.705638,0.239012,20.578531,6.598585,6.598585,161.623417
10.327150,0.379754,25.251979,5.362782,5.362782,169.514506
11.198843,0.259055,26.782943,6.197647,6.197647,171.112546
15.869438,0.411022,33.430383,7.116633,7.116633,561.787375
8.506219,0.435343,31.165364,4.412447,4.412447,180.495246
7.629274,0.224954,21.102657,6.266861,6.266861,166.263974
14.334587,0.405145,35.434607,6.596161,6.596161,184.971994
7.981978,0.239589,22.712129,7.238108,7.238108,165.604749
12.881431,0.257502,35.003273,8.018328,8.018328,192.110157
8.521619,0.225817,24.619857,5.595923,5.595923,167.885865
10.498372,0.239326,28.460326,7.916125,7.916125,191.474711
8.206465,0.471024,28.484092,5.878809,5.878809,172.568044
15.426461,0.660770,21.302589,6.217830,6.217830,173.273823
9.074671,0.211675,25.777395,12.963453,12.963453,193.177964
8.522006,0.217722,24.267226,6.112695,6.112695,188.776324
9.056513,0.223926,20.807542,7.830034,7.830034,170.390021
8.361887,0.215700,20.913910,9.490860,9.490860,170.780393
8.734052,0.289186,25.601198,7.506794,7.506794,173.739372
8.328217,0.239319,21.029728,8.076906,8.076906,172.038660
7.739498,0.225028,24.445415,9.115515,9.115515,182.090480
8.796251,0.334555,27.205865,9.364441,9.364441,189.464765
7.603666,0.252101,21.367044,11.338207,11.338207,174.096804
8.340261,0.261724,19.513674,8.316714,8.316714,170.365356
6.249952,0.222750,18.036603,8.832423,8.832423,171.921321
7.765316,0.289236,18.808221,8.369689,8.369689,168.035763
8.646990,0.276300,22.028561,9.748748,9.748748,175.604057
6.849150,0.258564,20.667762,9.819222,9.819222,168.424084
6.141225,0.203356,19.274846,8.330536,8.330536,171.150845
7.457518,0.285355,19.373167,8.126402,8.126402,171.850993
7.038883,0.280086,18.039688,4.904285,4.904285,167.011557
5.635272,0.188594,16.550888,8.609122,8.609122,164.751073
6.140927,0.305909,19.426664,5.630281,5.630281,171.313883
7.837584,0.376596,24.323223,6.006349,6.006349,172.218295
6.018955,0.321074,15.291341,8.317715,8.317715,156.750945
6.189764,0.193969,16.994323,12.429674,12.429674,161.479892
5.426057,0.240697,17.870974,6.014800,6.014800,159.111817
6.792248,0.298714,22.990761,3.969729,3.969729,167.176666
7.161436,0.263459,29.671327,5.751747,5.751747,183.972972
5.580907,0.206723,20.653625,3.941175,3.941175,164.647237
10.266946,0.397597,29.187920,6.552244,6.552244,191.860688
6.965735,0.247987,20.783039,3.980148,3.980148,173.798845
10.879209,0.419834,32.449601,8.412087,8.412087,195.776675
6.892950,0.269397,18.463703,4.852116,4.852116,169.142333
8.482702,0.283832,17.013283,3.596380,3.596380,169.033341
10.685039,0.392949,28.789658,5.883207,5.883207,188.482710
6.413270,0.254250,21.724046,5.299296,5.299296,189.673856
7.222417,0.293672,25.315851,3.636533,3.636533,184.124958
7.276990,0.244381,25.868264,7.183552,7.183552,192.401656
9.752867,0.396842,30.286848,5.052354,5.052354,191.462447
7.401966,0.238881,19.941257,5.023958,5.023958,170.691035
7.751600,0.253507,23.389987,4.570603,4.570603,178.622370
7.897890,0.295457,19.818917,7.712077,7.712077,188.175207
7.350651,0.193486,18.222212,5.856403,5.856403,166.224754
8.895686,0.283007,22.936563,5.140270,5.140270,172.193258
6.277773,0.231677,18.768802,6.307366,6.307366,169.433672
7.591690,0.280412,25.007467,3.451015,3.451015,161.758084
6.199320,0.114778,17.766999,6.220052,6.220052,162.932373
6.108776,0.205470,19.222163,5.657083,5.657083,158.587095
5.560985,0.205028,16.847731,4.480897,4.480897,155.616073
6.264119,0.259213,18.014263,6.600953,6.600953,159.311085
6.887097,0.262942,17.339148,5.786537,5.786537,152.433739
6.877383,0.232778,18.100381,3.940435,3.940435,157.520249
7.350434,0.202696,20.769898,4.428036,4.428036,168.255285
6.783923,0.369667,24.776949,6.302326,6.302326,158.720938
9.972110,0.444231,40.566754,7.725902,7.725902,186.807938
