#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715886584058112.000000,0.000000,0.000000,15.723723,2.222934,0.002674,5.795778,1.457682,0.001651,20.255549
1403715886634057984.000000,0.000000,0.000000,16.441806,2.093736,0.061600,2.334658,2.566151,0.000700,21.234424
1403715886684058112.000000,0.000000,0.000000,15.056526,2.540002,0.046127,1.049575,2.245600,0.000812,20.444740
1403715886734057984.000000,0.000000,0.000000,16.734561,3.285006,0.074364,1.077985,1.318789,0.000372,22.866012
1403715886784058112.000000,0.000000,0.000000,15.510178,2.057180,0.052370,1.012979,1.269972,0.540456,20.056176
1403715886834057984.000000,0.000000,0.000000,15.874609,1.811722,0.053058,3.466659,3.566320,0.000829,20.253462
1403715886884058112.000000,0.000000,0.000000,15.199965,4.571971,0.096471,2.481681,3.235881,0.000467,23.476444
1403715886934057984.000000,0.000000,0.000000,16.135799,2.297322,0.060226,2.496478,3.212894,0.000756,21.014595
1403715886984058112.000000,0.000000,0.000000,15.771954,1.834600,0.055782,4.092104,4.898671,0.000580,20.511539
1403715887034057984.000000,0.000000,0.000000,15.963431,1.889878,0.056185,2.092228,3.024591,0.449738,20.602412
1403715887084058112.000000,0.000000,0.000000,16.733621,3.368315,0.095018,5.304123,3.965454,0.000516,23.554238
1403715887134057984.000000,0.000000,0.000000,16.004474,1.848499,0.062619,2.742101,3.703674,0.000411,20.790237
1403715887184058112.000000,0.000000,0.000000,14.875055,4.694090,0.105031,4.005155,4.173200,0.000613,22.671344
1403715887234057984.000000,0.000000,0.000000,16.892044,1.941347,0.044073,2.379388,4.358841,0.000813,21.654087
1403715887284058112.000000,0.000000,0.000000,18.188135,1.965580,0.055564,4.018034,6.224124,0.718007,22.781728
1403715887334057984.000000,0.000000,0.000000,14.723596,2.030461,0.071806,5.578170,5.426735,0.000768,19.814853
1403715887384058112.000000,0.000000,0.000000,16.628067,1.858820,0.043237,5.146993,7.964927,0.001450,21.044373
1403715887434057984.000000,0.000000,0.000000,15.905392,5.084353,0.108001,2.779709,4.456007,0.000458,24.534475
1403715887484058112.000000,0.000000,0.000000,16.251471,4.531380,0.097431,2.821683,5.349987,0.000636,23.967827
1403715887534057984.000000,0.000000,0.000000,17.611354,4.999718,0.106134,2.945782,4.485318,0.581111,25.935603
1403715887584058112.000000,0.000000,0.000000,14.801968,2.170144,0.052897,5.402375,5.115270,0.000513,19.480387
1403715887634057984.000000,0.000000,0.000000,16.263011,1.906804,0.045792,4.040151,5.360454,0.000499,20.878848
1403715887684058112.000000,0.000000,0.000000,17.077094,4.729929,0.106601,5.049812,7.417333,0.000641,24.814426
1403715887734057984.000000,0.000000,0.000000,16.718954,1.842856,0.051228,3.957359,6.986398,0.000523,21.490949
1403715887784058112.000000,0.000000,0.000000,16.850740,4.126440,0.086261,2.837348,6.119747,0.518549,23.900785
1403715887834057984.000000,0.000000,0.000000,14.816564,4.955362,0.096935,6.207946,8.298597,0.000887,23.082345
1403715887884058112.000000,0.000000,0.000000,19.896147,4.690537,0.101705,4.310460,8.034585,0.001200,27.695517
