#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008396,3,1,0,2443
0.003010,4,1,0,3073
0.771974,5,1,0,3719
0.829693,6,1,0,4403
1.081608,7,1,0,4957
1.425748,8,1,0,5534
1.608628,9,1,0,5977
1.735935,10,1,0,6402
2.779158,0,0,0,0
200.364310,0,0,0,0
3.059572,0,0,0,0
3.053426,0,0,0,0
3.821127,0,0,0,0
4.651292,0,0,0,0
4.599397,0,0,0,0
5.864524,0,0,0,0
6.229268,0,0,0,0
6.612855,0,0,0,0
8.664321,0,0,0,0
9.255235,0,0,0,0
8.696886,0,0,0,0
9.828252,0,0,0,0
8.978132,0,0,0,0
9.328001,0,0,0,0
9.669886,0,0,0,0
9.018000,0,0,0,0
11.817990,0,0,0,0
8.742495,0,0,0,0
11.478844,0,0,0,0
8.285246,0,0,0,0
10.767357,0,0,0,0
12.013537,0,0,0,0
8.237170,0,0,0,0
10.067148,0,0,0,0
8.948724,0,0,0,0
11.892578,0,0,0,0
8.964643,0,0,0,0
9.620587,0,0,0,0
8.881601,0,0,0,0
7.689200,0,0,0,0
9.046719,0,0,0,0
11.254563,0,0,0,0
10.058953,0,0,0,0
8.309588,0,0,0,0
9.292376,0,0,0,0
7.554358,0,0,0,0
9.350520,0,0,0,0
6.951833,0,0,0,0
7.131105,0,0,0,0
6.145230,0,0,0,0
7.816287,0,0,0,0
8.775357,0,0,0,0
9.355856,0,0,0,0
6.332661,0,0,0,0
7.588783,0,0,0,0
5.526808,0,0,0,0
7.208835,0,0,0,0
6.152360,0,0,0,0
8.436230,0,0,0,0
8.700247,0,0,0,0
5.422045,0,0,0,0
8.880024,0,0,0,0
5.969208,0,0,0,0
7.405663,0,0,0,0
6.499422,0,0,0,0
6.717780,0,0,0,0
7.931125,0,0,0,0
6.389732,0,0,0,0
6.749027,0,0,0,0
8.569885,0,0,0,0
7.435710,0,0,0,0
8.097325,0,0,0,0
6.689267,0,0,0,0
5.055677,0,0,0,0
5.469549,0,0,0,0
6.541918,0,0,0,0
5.242409,0,0,0,0
4.988231,0,0,0,0
3.904175,0,0,0,0
3.124600,0,0,0,0
3.447819,0,0,0,0
3.240374,0,0,0,0
4.780831,0,0,0,0
5.007244,0,0,0,0
4.124118,0,0,0,0
3.792656,0,0,0,0
5.206484,0,0,0,0
4.754447,0,0,0,0
4.637370,0,0,0,0
6.586195,0,0,0,0
6.026110,0,0,0,0
6.085941,0,0,0,0
6.999773,0,0,0,0
6.271349,0,0,0,0
9.918332,0,0,0,0
7.304280,0,0,0,0
11.748953,0,0,0,0
11.498595,0,0,0,0
10.604179,0,0,0,0
9.168047,0,0,0,0
11.410588,0,0,0,0
9.262814,0,0,0,0
8.307152,0,0,0,0
16.314811,0,0,0,0
12.311649,0,0,0,0
11.025380,0,0,0,0
9.634523,0,0,0,0
14.610991,0,0,0,0
10.532901,0,0,0,0
9.869226,0,0,0,0
11.741715,0,0,0,0
11.782716,0,0,0,0
11.009515,0,0,0,0
10.552211,0,0,0,0
10.056983,0,0,0,0
12.876791,0,0,0,0
14.206258,0,0,0,0
11.190484,0,0,0,0
11.098658,0,0,0,0
12.144499,0,0,0,0
9.548279,0,0,0,0
7.527570,0,0,0,0
10.697460,0,0,0,0
9.075116,0,0,0,0
10.653086,0,0,0,0
8.576733,0,0,0,0
8.369115,0,0,0,0
8.289957,0,0,0,0
12.055451,0,0,0,0
7.848676,0,0,0,0
6.819048,0,0,0,0
6.714901,0,0,0,0
9.348673,0,0,0,0
14.291282,0,0,0,0
7.675494,0,0,0,0
10.836242,0,0,0,0
10.401365,0,0,0,0
8.088686,0,0,0,0
8.438359,0,0,0,0
9.150547,0,0,0,0
8.876775,0,0,0,0
10.253802,0,0,0,0
11.002996,0,0,0,0
8.018723,0,0,0,0
7.210459,0,0,0,0
5.282152,0,0,0,0
7.348796,0,0,0,0
5.783111,0,0,0,0
10.096267,0,0,0,0
8.582118,0,0,0,0
6.821898,0,0,0,0
9.301010,0,0,0,0
7.583141,0,0,0,0
7.577920,0,0,0,0
10.232544,0,0,0,0
8.280183,0,0,0,0
8.949904,0,0,0,0
8.873295,0,0,0,0
10.025072,0,0,0,0
8.310448,0,0,0,0
9.803080,0,0,0,0
9.563906,0,0,0,0
11.534880,0,0,0,0
10.265775,0,0,0,0
9.472283,0,0,0,0
10.421707,0,0,0,0
10.142736,0,0,0,0
11.728356,0,0,0,0
11.187290,0,0,0,0
10.915804,0,0,0,0
10.714595,0,0,0,0
12.504191,0,0,0,0
13.466330,0,0,0,0
11.823703,0,0,0,0
10.741598,0,0,0,0
14.070540,0,0,0,0
11.414999,0,0,0,0
13.186055,0,0,0,0
10.628962,0,0,0,0
13.077282,0,0,0,0
10.436555,0,0,0,0
12.925836,0,0,0,0
16.380820,0,0,0,0
18.647978,0,0,0,0
12.348098,0,0,0,0
