#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.988706,0.037252,0.423776,0.016350,0.016350,4.469929
6.034875,0.141696,1.753868,0.002204,0.002204,7.934046
8.403262,0.379376,9.762428,0.368214,0.368214,52.027786
10.259425,0.568921,10.511637,0.741085,0.741085,60.974188
11.195506,0.381919,13.526864,1.246215,1.246215,57.583367
10.566075,0.380412,17.311032,1.191680,1.191680,64.618350
11.537365,0.309247,19.015057,1.327173,1.327173,68.719147
10.461007,0.417405,15.843334,1.361308,1.361308,65.557286
11.784370,0.449428,22.537102,1.418568,1.418568,71.604111
11.535192,0.399952,31.867064,129.464944,129.464944,226.110617
8.696781,0.398396,17.345082,2.094927,2.094927,71.585433
12.737064,0.480467,27.058261,3.587872,3.587872,93.534142
6.687051,0.239562,14.165011,3.100691,3.100691,76.217067
7.995629,0.235144,14.569961,3.693424,3.693424,97.008697
6.950385,0.200993,15.442612,5.163755,5.163755,90.543067
6.583679,0.220987,13.314284,5.595989,5.595989,96.464195
9.985880,0.341677,22.102083,4.172122,4.172122,116.385266
6.967243,0.298694,14.229309,4.905860,4.905860,103.911331
13.725190,0.541386,29.627262,4.764797,4.764797,131.140976
13.274138,0.431244,27.225495,6.153259,6.153259,146.447182
7.774016,0.190148,22.393461,5.664723,5.664723,118.479759
8.242602,0.243609,21.457915,7.022761,7.022761,132.111168
9.211120,0.249479,23.736843,5.813304,5.813304,127.303341
8.515091,0.225971,24.956210,6.036815,6.036815,125.819926
14.984292,0.404881,32.201789,7.190558,7.190558,146.976756
9.797242,0.204124,27.577808,7.240233,7.240233,132.732668
8.085425,0.224496,26.369514,9.114727,9.114727,275.384668
8.145542,0.253316,22.647656,8.153508,8.153508,138.386581
8.029997,0.236132,26.647168,6.051402,6.051402,136.211959
7.590424,0.229979,23.389040,10.530877,10.530877,138.184096
7.084798,0.273186,21.442128,5.283827,5.283827,124.560776
7.487400,0.309601,21.254277,7.066142,7.066142,136.592730
6.642299,0.299442,19.985476,7.129685,7.129685,129.333060
5.771121,0.277922,18.953147,6.527152,6.527152,129.513742
6.782029,0.292649,18.864520,7.059519,7.059519,126.837980
9.529076,0.415733,27.587110,4.742611,4.742611,129.641415
9.412636,0.402164,27.965552,7.051194,7.051194,139.042748
11.794313,0.580182,33.046086,4.521054,4.521054,137.758328
11.003279,0.531259,32.835684,7.058294,7.058294,143.685476
5.810740,0.194807,17.645628,6.168575,6.168575,131.567539
7.214847,0.424739,19.293247,3.894381,3.894381,118.418781
7.843969,0.261635,19.133949,6.648329,6.648329,139.014201
6.705065,0.283587,15.765933,4.153340,4.153340,113.374749
5.814092,0.171239,20.068109,6.095484,6.095484,123.830134
6.714389,0.210984,14.835217,4.855035,4.855035,127.673576
5.771979,0.193989,18.776846,4.192535,4.192535,122.900799
6.505819,0.285049,14.127812,4.857954,4.857954,122.059834
5.350854,0.315056,13.565352,4.344999,4.344999,116.981687
5.512665,0.349252,12.283859,2.883683,2.883683,115.019219
7.190734,0.455504,18.022580,6.868868,6.868868,132.694309
6.116009,0.287808,17.074092,4.937461,4.937461,125.374039
7.586052,0.287904,19.136624,6.058706,6.058706,130.656693
6.546048,0.288625,18.191423,6.630254,6.630254,129.477220
4.566619,0.281111,15.205287,5.249308,5.249308,122.684114
3.548587,0.340528,11.070183,1.911414,1.911414,61.553857
5.048884,0.451235,16.523928,3.029798,3.029798,124.870772
5.278754,0.315255,17.560175,6.138746,6.138746,128.539384
6.159519,0.322519,19.347001,5.322025,5.322025,129.656178
8.790787,0.624842,24.819634,5.394531,5.394531,132.162539
5.961582,0.206234,19.892321,4.652505,4.652505,127.449632
6.421784,0.323262,18.229603,6.015098,6.015098,134.003380
6.450831,0.252303,21.195043,4.864476,4.864476,130.572044
5.767557,0.297908,18.618282,4.508473,4.508473,125.857112
6.445369,0.295771,22.513052,6.512649,6.512649,130.401537
5.753325,0.350861,23.102317,5.089884,5.089884,130.930639
8.610805,0.311922,27.112079,7.212616,7.212616,141.351184
6.590777,0.315718,22.519473,5.788315,5.788315,130.640917
7.248406,0.273579,20.513184,5.177232,5.177232,132.385577
5.286550,0.238325,18.394368,5.390614,5.390614,135.488477
13.425274,0.568063,33.668207,7.740870,7.740870,154.700617
14.806379,0.463848,40.164146,6.955346,6.955346,156.057380
8.219737,0.248567,26.318068,5.366613,5.366613,134.535143
9.758541,0.262006,24.715815,9.243416,9.243416,142.218543
8.158809,0.225036,25.822140,8.394205,8.394205,137.845873
7.722161,0.185678,27.737314,8.912629,8.912629,134.891010
7.992726,0.235345,22.946487,8.538761,8.538761,134.705610
8.386568,0.201129,24.154034,7.638253,7.638253,133.860038
7.441854,0.250788,26.497669,10.262468,10.262468,142.064355
7.498887,0.286181,26.653204,6.473513,6.473513,143.928308
11.045040,0.358821,26.482157,7.095089,7.095089,141.772138
7.628746,0.307837,22.732584,8.435272,8.435272,138.027629
6.688256,0.307875,20.876296,7.052442,7.052442,126.979827
6.522166,0.247943,19.261796,5.593441,5.593441,128.699596
6.979636,0.279565,30.875680,10.154267,10.154267,147.590864
6.264471,0.194408,18.713703,4.422731,4.422731,126.378961
6.579829,0.265285,18.865104,9.039126,9.039126,139.973142
6.516732,0.258145,18.366768,5.757365,5.757365,441.741541
5.207192,0.402152,15.357388,8.609138,8.609138,133.230715
9.335320,0.735592,25.116936,6.336519,6.336519,146.269945
10.339433,0.979097,26.086642,6.724229,6.724229,138.365243
10.256611,0.938418,22.689981,2.774409,2.774409,148.761042
5.595527,0.365512,11.542017,2.959165,2.959165,124.639165
6.211378,0.342544,13.285199,4.226578,4.226578,127.268432
10.316024,0.501639,26.787770,4.386558,4.386558,150.637295
6.089143,0.256282,18.518390,3.742747,3.742747,136.396995
11.064345,0.392172,24.823428,5.188898,5.188898,154.169286
11.581837,0.467824,28.299586,4.846085,4.846085,162.471725
6.709559,0.260130,18.502975,4.322113,4.322113,153.250510
9.676330,0.331610,23.093533,11.800693,11.800693,173.401520
