#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009067,3,1,0,409
0.001431,4,1,0,559
0.068790,5,1,0,710
0.109630,6,1,0,1061
0.306435,7,1,0,1505
0.446017,8,1,0,1971
0.434371,9,1,0,2259
0.518714,10,1,0,2468
0.542992,0,0,0,0
62.383854,0,0,0,0
0.443720,0,0,0,0
0.389085,0,0,0,0
0.662793,0,0,0,0
0.731363,0,0,0,0
1.044902,0,0,0,0
0.914305,0,0,0,0
1.202601,0,0,0,0
1.103815,0,0,0,0
1.518693,0,0,0,0
1.453163,0,0,0,0
1.414271,0,0,0,0
2.531566,0,0,0,0
2.392675,0,0,0,0
2.259329,0,0,0,0
2.356084,0,0,0,0
2.356761,0,0,0,0
2.439843,0,0,0,0
2.326579,0,0,0,0
2.395435,0,0,0,0
2.775267,0,0,0,0
2.751657,0,0,0,0
3.687905,0,0,0,0
2.276483,0,0,0,0
2.455546,0,0,0,0
2.443539,0,0,0,0
3.033408,0,0,0,0
2.792855,0,0,0,0
2.826573,0,0,0,0
2.227902,0,0,0,0
2.817911,0,0,0,0
4.018927,0,0,0,0
5.261325,0,0,0,0
2.614202,0,0,0,0
3.448961,0,0,0,0
3.953537,0,0,0,0
3.719935,0,0,0,0
3.157906,0,0,0,0
6.447132,0,0,0,0
2.613748,0,0,0,0
5.406570,0,0,0,0
3.863473,0,0,0,0
4.614260,3,1,0,503
3.503368,4,1,0,634
0.001750,5,1,0,760
0.002626,6,1,0,923
0.309562,7,1,0,1077
0.216038,8,1,0,1205
0.325739,9,1,0,1348
0.292852,10,1,0,1501
0.649735,0,0,0,0
0.769557,3,1,0,498
0.551338,4,1,0,636
35.682161,5,1,0,789
0.621007,6,1,0,927
0.001550,7,1,0,1065
0.001373,8,1,0,1199
0.314997,9,1,0,1347
0.213145,10,1,0,1508
0.264818,0,0,0,0
0.563397,0,0,0,0
0.644602,0,0,0,0
0.600974,0,0,0,0
0.423990,0,0,0,0
50.301730,3,1,0,530
0.532751,4,1,0,958
0.987174,5,1,0,1286
0.649209,6,1,0,1973
0.616290,7,1,0,2570
0.716492,8,1,0,3017
0.003277,9,1,0,3599
0.002430,10,1,0,4273
0.358555,0,0,0,0
0.897518,0,0,0,0
0.755114,0,0,0,0
0.730687,0,0,0,0
0.734726,0,0,0,0
1.004108,0,0,0,0
1.148871,0,0,0,0
91.369260,0,0,0,0
0.838364,0,0,0,0
1.089189,0,0,0,0
1.152773,0,0,0,0
1.448876,0,0,0,0
1.544436,0,0,0,0
1.707833,0,0,0,0
1.997882,0,0,0,0
1.828035,0,0,0,0
2.058642,0,0,0,0
2.350163,0,0,0,0
3.258184,0,0,0,0
3.658356,0,0,0,0
3.682198,0,0,0,0
3.372226,0,0,0,0
4.037700,0,0,0,0
4.447681,0,0,0,0
5.634697,0,0,0,0
4.274283,0,0,0,0
3.251496,0,0,0,0
3.086415,0,0,0,0
1.939224,0,0,0,0
3.214195,0,0,0,0
2.272344,0,0,0,0
3.679664,0,0,0,0
3.639050,0,0,0,0
2.927227,0,0,0,0
5.429463,0,0,0,0
2.941648,0,0,0,0
4.383523,0,0,0,0
3.136304,0,0,0,0
2.628128,0,0,0,0
3.014792,0,0,0,0
3.637306,0,0,0,0
3.046656,0,0,0,0
3.375639,0,0,0,0
2.110691,0,0,0,0
2.758781,0,0,0,0
4.163661,0,0,0,0
2.213180,0,0,0,0
2.835397,0,0,0,0
2.608540,0,0,0,0
