#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.890799,0.042542,0.420816,0.009067,0.009067,7.371067
4.174186,0.033211,0.311140,0.001431,0.001431,4.520960
3.816209,0.059044,0.457980,0.068790,0.068790,7.170186
6.785950,0.105828,5.955038,0.109630,0.109630,17.655213
6.822406,0.099242,7.468261,0.306435,0.306435,25.708766
6.838424,0.110167,9.125403,0.446017,0.446017,35.149708
5.142312,0.105668,7.627933,0.434371,0.434371,36.172159
5.407728,0.192145,8.170497,0.518714,0.518714,28.870369
8.551589,0.344684,22.024641,0.542992,0.542992,62.531795
9.334882,0.288949,18.280002,62.383854,62.383854,118.918277
9.071546,0.165292,18.870561,0.443720,0.443720,58.909050
9.972088,0.186812,20.611269,0.389085,0.389085,61.303940
7.860111,0.131472,14.979583,0.662793,0.662793,62.485989
10.834500,0.154069,23.807529,0.731363,0.731363,74.119425
9.370438,0.126124,24.322982,1.044902,1.044902,81.310959
8.079003,0.223386,14.972115,0.914305,0.914305,71.181574
6.873548,0.136186,14.304956,1.202601,1.202601,76.395517
7.800429,0.142573,14.921153,1.103815,1.103815,82.412402
12.667180,0.169290,25.108111,1.518693,1.518693,103.589506
6.922553,0.061414,15.215636,1.453163,1.453163,94.174576
12.143649,0.105127,23.995036,1.414271,1.414271,126.547578
9.670158,0.107200,20.150470,2.531566,2.531566,125.474401
9.309211,0.121341,18.414570,2.392675,2.392675,108.887987
7.801805,0.100338,14.936506,2.259329,2.259329,106.421220
6.892055,0.066367,13.443104,2.356084,2.356084,98.421213
9.752067,0.071695,15.351263,2.356761,2.356761,109.928834
8.057021,0.048852,23.107069,2.439843,2.439843,123.806275
9.624012,0.103374,24.466785,2.326579,2.326579,115.017791
10.643969,0.152106,27.873643,2.395435,2.395435,121.647041
9.432433,0.155255,22.724240,2.775267,2.775267,123.060526
8.276803,0.117395,21.372602,2.751657,2.751657,117.217564
14.082308,0.154922,36.226403,3.687905,3.687905,362.645147
8.470364,0.135946,21.199511,2.276483,2.276483,125.062112
11.138683,0.111663,26.382636,2.455546,2.455546,127.614991
14.529664,0.147539,23.991066,2.443539,2.443539,123.010547
8.644168,0.130023,26.096111,3.033408,3.033408,126.323325
10.061699,0.130852,22.093785,2.792855,2.792855,125.913452
14.324843,0.147066,37.238804,2.826573,2.826573,144.215021
7.940553,0.133748,19.875220,2.227902,2.227902,124.210555
11.550166,0.159724,27.274668,2.817911,2.817911,139.908555
10.112210,0.157185,22.189008,4.018927,4.018927,145.063322
9.013899,0.131995,20.495499,5.261325,5.261325,143.999025
9.396490,0.120308,19.124233,2.614202,2.614202,134.196226
18.066038,0.195970,31.435727,3.448961,3.448961,167.208480
9.429159,0.094870,22.208351,3.953537,3.953537,144.888589
10.642393,0.097348,27.422958,3.719935,3.719935,183.038459
10.802619,0.152016,26.943427,3.157906,3.157906,185.481792
8.342405,0.137696,22.339861,6.447132,6.447132,162.681454
7.144909,0.077418,16.900669,2.613748,2.613748,135.083732
6.969991,0.118425,17.851903,5.406570,5.406570,160.298825
6.327335,0.080763,14.016210,3.863473,3.863473,94.006735
5.810783,0.064876,13.605471,4.614260,4.614260,88.737782
6.273786,0.040285,14.678171,3.503368,3.503368,121.902122
3.811112,0.014088,0.139495,0.001750,0.001750,3.967283
6.363378,0.071072,0.709081,0.002626,0.002626,7.147604
7.510524,0.109198,1.035196,0.309562,0.309562,17.165514
4.025600,0.043791,0.502100,0.216038,0.216038,7.837138
5.024725,0.019404,1.391729,0.325739,0.325739,12.122334
5.170834,0.012190,0.864169,0.292852,0.292852,12.540579
8.736465,0.020680,2.142989,0.649735,0.649735,21.790618
5.325631,0.011367,1.100656,0.769557,0.769557,12.805934
7.091970,0.012559,1.240477,0.551338,0.551338,15.960386
5.501112,0.009872,1.341060,35.682161,35.682161,50.359760
7.348156,0.015240,2.753883,0.621007,0.621007,48.764395
3.613718,0.014020,0.129442,0.001550,0.001550,3.760199
5.207852,0.039886,0.311288,0.001373,0.001373,5.561341
6.848606,0.094045,0.894737,0.314997,0.314997,15.741582
5.900474,0.045606,0.555722,0.213145,0.213145,11.147870
