#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,15.386996,2.598387,0.002603,7.563085,2.343575,0.002569,20.384455
1403638518127829504.000000,0.000000,0.000000,12.542501,2.458812,0.064369,0.822401,0.845521,0.000898,17.579004
1403638518177829376.000000,0.000000,0.000000,12.188530,3.291316,0.060991,1.432954,1.749839,0.000500,18.690932
1403638518227829504.000000,0.000000,0.000000,12.367119,4.022701,0.055735,1.721863,1.601606,0.001085,19.103849
1403638518277829376.000000,0.000000,0.000000,11.902326,3.776295,0.073451,0.596129,0.775678,0.218271,18.395589
1403638518327829504.000000,0.000000,0.000000,11.291432,2.038067,0.057036,2.230974,2.239030,0.000632,15.940416
1403638518377829376.000000,0.000000,0.000000,12.058455,5.629853,0.100518,1.002519,1.641171,0.000507,20.830949
1403638518427829504.000000,0.000000,0.000000,11.378640,2.271243,0.049133,0.726043,1.152282,0.001065,16.433779
1403638518477829376.000000,0.000000,0.000000,12.350709,2.089640,0.042894,0.586909,1.167127,0.000381,17.019003
1403638518527829504.000000,0.000000,0.000000,10.661051,4.790796,0.095664,0.621633,1.202129,0.000691,18.969544
1403638518577829376.000000,0.000000,0.000000,12.340486,4.654178,0.118627,1.179782,1.784460,0.505864,19.856210
1403638518627829504.000000,0.000000,0.000000,11.922466,2.499126,0.050194,1.505069,1.464323,0.000615,17.362086
1403638518677829376.000000,0.000000,0.000000,11.084484,4.749745,0.101985,1.095581,2.668983,0.000612,18.963614
1403638518727829504.000000,0.000000,0.000000,12.890780,2.169107,0.053907,1.698935,2.534396,0.000695,18.018938
1403638518777829376.000000,0.000000,0.000000,13.120566,4.715916,0.104744,0.997168,2.147402,0.000870,20.633538
1403638518827829504.000000,0.000000,0.000000,11.783013,2.190855,0.047326,0.946826,1.668339,0.000472,16.478889
1403638518877829376.000000,0.000000,0.000000,14.231673,6.074408,0.101175,0.931533,1.624999,0.372063,23.858841
1403638518927829504.000000,0.000000,0.000000,13.638590,2.079355,0.055407,2.277179,2.873442,0.000594,18.286330
