#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008150,3,1,0,285
0.002190,4,1,0,472
0.132064,5,1,0,1023
0.252799,6,1,0,1543
0.535990,7,1,0,2007
0.356556,7,1,0,2400
0.410931,9,1,0,2825
0.495230,9,1,0,3122
0.583144,3,1,0,1374
68.931748,4,1,0,1379
0.003977,5,1,0,1491
0.001367,6,1,0,1712
0.140012,7,1,0,1918
0.840168,8,1,0,2315
0.698288,9,1,0,2695
0.897305,10,1,0,3112
0.689625,0,0,0,0
0.732495,0,0,0,0
0.870234,0,0,0,0
73.141015,0,0,0,0
0.922690,0,0,0,0
1.048217,0,0,0,0
1.410300,0,0,0,0
1.720449,0,0,0,0
2.157677,0,0,0,0
2.156720,0,0,0,0
2.581123,0,0,0,0
2.734242,0,0,0,0
2.313392,0,0,0,0
3.097906,0,0,0,0
2.168465,0,0,0,0
3.625512,0,0,0,0
3.538740,0,0,0,0
2.517055,0,0,0,0
2.521864,0,0,0,0
3.383888,0,0,0,0
3.790456,0,0,0,0
2.843907,0,0,0,0
2.553691,0,0,0,0
3.315267,0,0,0,0
2.182822,0,0,0,0
2.462490,0,0,0,0
2.996295,0,0,0,0
3.775455,0,0,0,0
4.767994,0,0,0,0
5.090352,0,0,0,0
4.164956,0,0,0,0
3.099066,0,0,0,0
3.820512,0,0,0,0
3.981914,0,0,0,0
4.528038,0,0,0,0
4.080939,0,0,0,0
5.105998,0,0,0,0
5.019518,0,0,0,0
4.623723,0,0,0,0
3.775709,0,0,0,0
5.080795,0,0,0,0
3.611203,0,0,0,0
5.005215,0,0,0,0
4.216517,0,0,0,0
3.719122,0,0,0,0
5.996998,0,0,0,0
5.467925,0,0,0,0
4.856358,0,0,0,0
5.979328,0,0,0,0
5.351947,0,0,0,0
4.512847,0,0,0,0
3.342247,0,0,0,0
4.054162,0,0,0,0
4.513361,0,0,0,0
3.029418,0,0,0,0
2.690776,0,0,0,0
3.645172,0,0,0,0
3.984417,0,0,0,0
6.453710,0,0,0,0
4.985837,0,0,0,0
4.275555,0,0,0,0
4.726761,0,0,0,0
3.839026,0,0,0,0
6.162997,0,0,0,0
3.988993,0,0,0,0
3.708084,0,0,0,0
4.735749,0,0,0,0
4.790271,0,0,0,0
3.252910,0,0,0,0
4.867389,0,0,0,0
6.350603,0,0,0,0
5.868385,0,0,0,0
7.852924,0,0,0,0
5.953779,0,0,0,0
7.829665,0,0,0,0
10.241007,0,0,0,0
8.086172,0,0,0,0
7.489092,0,0,0,0
7.696908,0,0,0,0
5.238699,0,0,0,0
5.653637,0,0,0,0
4.917174,0,0,0,0
6.314921,0,0,0,0
2.915772,0,0,0,0
7.842936,0,0,0,0
3.490999,0,0,0,0
4.852293,0,0,0,0
6.671290,0,0,0,0
9.056900,0,0,0,0
4.778178,0,0,0,0
5.415761,0,0,0,0
8.301861,0,0,0,0
5.617940,0,0,0,0
4.030415,0,0,0,0
8.338734,0,0,0,0
8.858381,0,0,0,0
10.482296,0,0,0,0
10.646899,0,0,0,0
12.318423,0,0,0,0
10.967030,0,0,0,0
8.702670,0,0,0,0
5.977969,0,0,0,0
4.771154,0,0,0,0
6.217099,0,0,0,0
3.941167,0,0,0,0
3.338260,0,0,0,0
4.199802,0,0,0,0
4.703673,0,0,0,0
4.680751,0,0,0,0
3.271654,0,0,0,0
1.427963,0,0,0,0
1.251989,0,0,0,0
3.875310,0,0,0,0
1.664515,0,0,0,0
3.401188,0,0,0,0
5.020193,0,0,0,0
7.144222,0,0,0,0
5.441541,0,0,0,0
5.988010,0,0,0,0
8.524146,0,0,0,0
5.395492,0,0,0,0
6.293740,0,0,0,0
4.376362,0,0,0,0
6.209027,0,0,0,0
6.068282,0,0,0,0
6.310924,0,0,0,0
4.314120,0,0,0,0
6.473174,0,0,0,0
6.540897,0,0,0,0
6.393458,0,0,0,0
5.999482,0,0,0,0
9.221451,0,0,0,0
8.997597,0,0,0,0
6.741585,0,0,0,0
7.038849,0,0,0,0
7.788577,0,0,0,0
9.536901,0,0,0,0
7.974275,0,0,0,0
11.088495,0,0,0,0
11.193264,0,0,0,0
13.050241,0,0,0,0
13.468908,0,0,0,0
10.263258,0,0,0,0
10.453143,0,0,0,0
8.062094,0,0,0,0
9.145698,0,0,0,0
6.116093,0,0,0,0
9.742101,0,0,0,0
10.323679,0,0,0,0
11.119139,0,0,0,0
9.516332,0,0,0,0
9.460779,0,0,0,0
9.837250,0,0,0,0
9.674129,0,0,0,0
8.869615,0,0,0,0
10.449408,0,0,0,0
9.637793,0,0,0,0
9.187738,0,0,0,0
10.303352,0,0,0,0
7.624892,0,0,0,0
10.649850,0,0,0,0
7.779734,0,0,0,0
8.527863,0,0,0,0
7.370643,0,0,0,0
3.465312,0,0,0,0
5.955542,0,0,0,0
0.741242,0,0,0,0
0.907286,0,0,0,0
4.728195,0,0,0,0
1.221371,0,0,0,0
2.844932,0,0,0,0
5.307644,0,0,0,0
4.863799,0,0,0,0
4.941115,0,0,0,0
21.167433,0,0,0,0
8.676012,0,0,0,0
7.022772,0,0,0,0
0.000000,0,0,0,0
11.771098,0,0,0,0
11.257248,0,0,0,0
7.467736,0,0,0,0
11.899786,0,0,0,0
10.831401,0,0,0,0
8.364866,0,0,0,0
7.726308,0,0,0,0
10.581767,0,0,0,0
10.556443,0,0,0,0
5.028923,0,0,0,0
4.946966,0,0,0,0
5.928086,0,0,0,0
7.696200,0,0,0,0
8.703949,0,0,0,0
10.853146,0,0,0,0
11.347817,0,0,0,0
9.194811,0,0,0,0
6.606400,0,0,0,0
10.273173,0,0,0,0
8.180418,0,0,0,0
9.076903,0,0,0,0
8.185380,0,0,0,0
10.266413,0,0,0,0
7.069236,0,0,0,0
9.305081,0,0,0,0
10.177289,0,0,0,0
6.802228,0,0,0,0
9.635876,0,0,0,0
8.762203,0,0,0,0
5.756193,0,0,0,0
9.634662,0,0,0,0
9.406295,0,0,0,0
10.177692,0,0,0,0
7.132190,0,0,0,0
7.382370,0,0,0,0
5.653558,0,0,0,0
8.801821,0,0,0,0
8.161411,0,0,0,0
13.034165,0,0,0,0
8.929672,0,0,0,0
8.609211,0,0,0,0
9.316697,0,0,0,0
8.548799,0,0,0,0
7.987434,0,0,0,0
6.294329,0,0,0,0
9.007284,0,0,0,0
10.473997,0,0,0,0
9.033111,0,0,0,0
11.091430,0,0,0,0
7.923694,0,0,0,0
9.634025,0,0,0,0
10.485918,0,0,0,0
9.646701,0,0,0,0
9.130597,0,0,0,0
12.537818,0,0,0,0
12.369122,0,0,0,0
11.199889,0,0,0,0
11.258541,0,0,0,0
14.494511,0,0,0,0
13.698473,0,0,0,0
12.379230,0,0,0,0
10.876726,0,0,0,0
12.402208,0,0,0,0
11.951707,0,0,0,0
11.502064,0,0,0,0
11.143596,0,0,0,0
11.842585,0,0,0,0
13.731651,0,0,0,0
12.832314,0,0,0,0
15.465968,0,0,0,0
14.125115,0,0,0,0
15.583648,0,0,0,0
11.706910,0,0,0,0
12.480579,0,0,0,0
10.227079,0,0,0,0
12.131163,0,0,0,0
14.175896,0,0,0,0
12.914140,0,0,0,0
12.737511,0,0,0,0
12.838943,0,0,0,0
12.298576,0,0,0,0
11.105051,0,0,0,0
10.331315,0,0,0,0
11.842750,0,0,0,0
11.354404,0,0,0,0
10.877502,0,0,0,0
12.762694,0,0,0,0
12.639807,0,0,0,0
12.927745,0,0,0,0
13.428935,0,0,0,0
14.101577,0,0,0,0
17.880078,0,0,0,0
15.698523,0,0,0,0
14.549904,0,0,0,0
15.299773,0,0,0,0
16.964819,0,0,0,0
16.956010,0,0,0,0
18.392563,0,0,0,0
15.137100,0,0,0,0
19.736341,0,0,0,0
19.692405,0,0,0,0
19.016302,0,0,0,0
21.544130,0,0,0,0
21.297638,0,0,0,0
16.776715,0,0,0,0
14.734097,0,0,0,0
14.096810,0,0,0,0
10.227418,0,0,0,0
11.701794,0,0,0,0
12.633152,0,0,0,0
16.331413,0,0,0,0
11.485988,0,0,0,0
16.840010,0,0,0,0
16.601080,0,0,0,0
16.941721,0,0,0,0
18.654826,0,0,0,0
26.723113,0,0,0,0
20.517288,0,0,0,0
16.314915,0,0,0,0
11.365019,0,0,0,0
14.637912,0,0,0,0
16.931037,0,0,0,0
13.648315,0,0,0,0
10.895766,0,0,0,0
13.957679,0,0,0,0
10.225961,0,0,0,0
10.349777,0,0,0,0
12.332997,0,0,0,0
14.284161,0,0,0,0
12.276493,0,0,0,0
12.178793,0,0,0,0
12.456637,0,0,0,0
13.207369,0,0,0,0
13.111537,0,0,0,0
19.109307,0,0,0,0
19.200390,0,0,0,0
14.945913,0,0,0,0
18.393006,0,0,0,0
14.462513,0,0,0,0
20.068443,0,0,0,0
18.129125,0,0,0,0
15.397932,0,0,0,0
17.414773,0,0,0,0
9.882074,0,0,0,0
14.811739,0,0,0,0
6.785392,0,0,0,0
10.230213,0,0,0,0
13.103477,0,0,0,0
13.476773,0,0,0,0
12.304653,0,0,0,0
12.720849,0,0,0,0
13.371964,0,0,0,0
13.683599,0,0,0,0
18.236658,0,0,0,0
13.580205,0,0,0,0
21.675728,0,0,0,0
19.640914,0,0,0,0
16.941670,0,0,0,0
14.109723,0,0,0,0
20.719974,0,0,0,0
23.426012,0,0,0,0
20.346430,0,0,0,0
21.318725,0,0,0,0
15.302997,0,0,0,0
21.730258,0,0,0,0
18.585138,0,0,0,0
22.535850,0,0,0,0
23.539716,0,0,0,0
24.436029,0,0,0,0
22.807147,0,0,0,0
22.655981,0,0,0,0
18.918505,0,0,0,0
18.618482,0,0,0,0
15.206294,0,0,0,0
18.637896,0,0,0,0
16.814881,0,0,0,0
23.874315,0,0,0,0
17.672300,0,0,0,0
20.282715,0,0,0,0
17.799949,0,0,0,0
24.773379,0,0,0,0
16.264870,0,0,0,0
17.265246,0,0,0,0
20.660251,0,0,0,0
14.575890,0,0,0,0
15.770688,0,0,0,0
17.301092,0,0,0,0
16.408442,31292,31291,31291,1080093760
14.392644,1512728760,6,1476395152,-1668234017
16.053793,31292,0,31292,1080143180
14.674973,0,3,0,-717431337
16.241699,1078534937,0,0,1080140705
