#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,13.288142,6.711889,0.006920,7.550027,6.238520,0.002094,22.196285
1413393212305760512.000000,0.000000,0.000000,10.609873,4.126006,0.054198,3.441620,3.423756,0.000728,17.404488
1413393212355760384.000000,0.000000,0.000000,9.779339,4.687988,0.060269,3.204229,3.466858,0.000729,17.662322
1413393212405760512.000000,0.000000,0.000000,10.202286,4.797603,0.042458,2.985286,3.216970,0.000671,17.623500
1413393212455760384.000000,0.000000,0.000000,10.197944,4.466030,0.040647,2.899052,3.277135,0.356255,17.284599
1413393212505760512.000000,0.000000,0.000000,11.428871,4.772954,0.040034,4.097118,3.446621,0.000488,19.230622
1413393212555760384.000000,0.000000,0.000000,10.233536,3.902109,0.048675,3.293470,3.964988,0.000572,16.433914
1413393212605760512.000000,0.000000,0.000000,10.910433,10.137487,0.095582,4.878123,5.442607,0.000762,23.656864
1413393212655760384.000000,0.000000,0.000000,9.842401,4.158915,0.041046,3.144293,3.603355,0.000710,16.497457
1413393212705760512.000000,0.000000,0.000000,10.177109,11.158182,0.094285,3.513821,3.970284,0.000689,24.222245
1413393212755760384.000000,0.000000,0.000000,10.740929,10.481794,0.095602,2.904726,3.835898,0.342841,24.011836
1413393212805760512.000000,0.000000,0.000000,10.583456,10.597938,0.095148,5.904881,6.161868,0.000776,24.241165
1413393212855760384.000000,0.000000,0.000000,11.344762,11.053767,0.089928,5.558598,5.991764,0.000718,25.275976
1413393212905760512.000000,0.000000,0.000000,10.967008,10.778935,0.090515,4.044900,5.422033,0.000563,24.491593
1413393212955760384.000000,0.000000,0.000000,10.363503,3.952406,0.045849,3.286976,3.547615,0.000966,17.231844
1413393213005760512.000000,0.000000,0.000000,10.125105,3.986719,0.048597,4.969044,3.952663,0.000469,16.674399
1413393213055760384.000000,0.000000,0.000000,10.121773,5.877394,0.069152,3.275509,4.149413,0.423577,18.789900
1413393213105760512.000000,0.000000,0.000000,11.502193,3.957055,0.046000,6.409876,6.453877,0.001007,17.906951
1413393213155760384.000000,0.000000,0.000000,11.709280,7.438138,0.060189,4.682207,5.108357,0.000672,21.876465
1413393213205760512.000000,0.000000,0.000000,9.547838,11.819013,0.084316,4.065988,4.554595,0.000465,24.281647
1413393213255760384.000000,0.000000,0.000000,11.958927,4.611199,0.039959,3.855611,5.642692,0.000635,19.058171
1413393213305760512.000000,0.000000,0.000000,10.102443,4.549939,0.047290,5.118678,4.887091,0.000520,17.073218
1413393213355760384.000000,0.000000,0.000000,13.745022,6.716832,0.048435,5.145905,5.607315,0.423761,23.112358
1413393213405760512.000000,0.000000,0.000000,10.660198,4.327145,0.039328,6.356724,5.875750,0.000691,17.349058
1413393213455760384.000000,0.000000,0.000000,9.698055,11.205141,0.078542,3.440058,5.417187,0.000563,24.204252
1413393213505760512.000000,0.000000,0.000000,10.067336,4.012428,0.052112,3.316305,4.363746,0.000504,16.747457
1413393213555760384.000000,0.000000,0.000000,10.652499,6.818653,0.076616,3.799594,7.628039,0.000793,20.950687
1413393213605760512.000000,0.000000,0.000000,10.317614,4.611419,0.044941,5.126086,7.617287,0.812236,17.864994
1413393213655760384.000000,0.000000,0.000000,9.678154,4.291953,0.056606,6.689681,6.105170,0.000879,16.568388
1413393213705760512.000000,0.000000,0.000000,10.827841,4.665031,0.041434,5.098139,5.922401,0.000757,17.938080
1413393213755760384.000000,0.000000,0.000000,12.145260,4.347481,0.050945,5.384746,7.067825,0.000738,19.108946
1413393213805760512.000000,0.000000,0.000000,10.224321,4.169241,0.048556,2.888740,4.364608,0.001133,16.932014
1413393213855760384.000000,0.000000,0.000000,9.414107,7.609865,0.067384,4.664657,6.780611,0.506225,19.640156
1413393213905760512.000000,0.000000,0.000000,10.274654,9.571084,0.094928,4.035409,5.285929,0.000574,22.543124
1413393213955760384.000000,0.000000,0.000000,10.088248,3.891771,0.049218,4.531307,7.259270,0.000558,16.596140
1413393214005760512.000000,0.000000,0.000000,10.016819,9.558332,0.055562,3.583842,5.193978,0.000394,21.954359
1413393214055760384.000000,0.000000,0.000000,9.035156,4.433620,0.041716,3.079558,5.125470,0.000520,15.928914
1413393214105760512.000000,0.000000,0.000000,10.702742,4.020973,0.047163,4.654025,6.653526,0.481583,17.763440
1413393214155760384.000000,0.000000,0.000000,9.458667,8.436509,0.055285,3.831915,4.832894,0.000394,20.467357
1413393214205760512.000000,0.000000,0.000000,10.646025,4.735577,0.040205,5.480118,5.237124,0.000620,17.646565
1413393214255760384.000000,0.000000,0.000000,9.285316,4.880017,0.041178,3.601325,5.090606,0.000508,16.632633
1413393214305760512.000000,0.000000,0.000000,9.243827,4.186886,0.043293,4.479131,6.107535,0.000630,15.961984
1413393214355760384.000000,0.000000,0.000000,11.565794,4.838098,0.040799,2.835360,4.822368,0.324850,19.144134
1413393214405760512.000000,0.000000,0.000000,11.455318,7.494656,0.078790,3.813582,5.212183,0.000641,21.542064
1413393214455760384.000000,0.000000,0.000000,9.338043,3.891709,0.044328,3.823895,6.261723,0.001368,15.614244
1413393214505760512.000000,0.000000,0.000000,10.351386,3.884998,0.045335,3.505818,7.364585,0.001121,16.657328
1413393214555760384.000000,0.000000,0.000000,10.287752,4.479402,0.038359,2.528140,4.471147,0.000497,17.764960
1413393214605760512.000000,0.000000,0.000000,9.865820,7.250421,0.056130,2.093731,4.266611,0.365545,19.607299
1413393214655760384.000000,0.000000,0.000000,10.523128,4.293851,0.034629,5.795507,7.283064,0.001268,17.204963
1413393214705760512.000000,0.000000,0.000000,10.054065,4.212403,0.040834,0.054039,6.997414,0.064796,17.103822
1413393214755760384.000000,0.000000,0.000000,10.422139,4.559259,0.040681,0.044917,6.140289,0.058234,17.596159
1413393214805760512.000000,0.000000,0.000000,9.713439,6.431451,0.072245,0.052821,10.482686,0.064980,19.108284
1413393214855760384.000000,0.000000,0.000000,10.592559,4.124197,0.047352,0.044228,10.975137,0.098500,17.117964
1413393214905760512.000000,0.000000,0.000000,10.553573,4.510435,0.041822,0.045885,7.491195,0.064856,17.692642
1413393214955760384.000000,0.000000,0.000000,10.581159,9.291318,0.079857,0.046195,7.120363,0.046437,22.387760
1413393215005760512.000000,0.000000,0.000000,9.404660,10.305854,0.089292,0.042958,7.241666,0.596550,22.416608
1413393215055760384.000000,0.000000,0.000000,10.941103,4.264869,0.040532,0.083279,7.823361,0.054441,17.694394
1413393215105760512.000000,0.000000,0.000000,10.529879,4.015625,0.057168,0.060639,6.859911,0.048679,17.444236
1413393215155760384.000000,0.000000,0.000000,11.135564,10.470567,0.109878,0.053122,10.896313,0.087195,24.616188
1413393215205760512.000000,0.000000,0.000000,10.349136,4.484103,0.046502,0.058470,10.782915,0.643550,17.334976
1413393215255760384.000000,0.000000,0.000000,11.240611,4.450799,0.041594,0.056800,9.637125,0.102410,18.139964
1413393215305760512.000000,0.000000,0.000000,10.469287,7.170801,0.060537,0.050727,7.651106,0.079419,20.235790
1413393215355760384.000000,0.000000,0.000000,12.382541,4.148949,0.049498,0.058762,8.888012,0.055082,18.937217
1413393215405760512.000000,0.000000,0.000000,9.397583,4.335723,0.040762,0.060360,12.827230,0.101789,16.089645
1413393215455760384.000000,0.000000,0.000000,10.328574,4.600991,0.039652,0.061549,10.939498,0.471310,17.358392
1413393215505760512.000000,0.000000,0.000000,11.061197,4.812004,0.044043,0.079115,7.982094,0.054225,18.251748
1413393215555760384.000000,0.000000,0.000000,9.100861,4.679583,0.053592,0.026872,6.795037,0.539026,16.323959
1413393215605760512.000000,0.000000,0.000000,9.860130,4.044044,0.040874,0.098400,11.943650,0.152896,16.322234
1413393215655760384.000000,0.000000,0.000000,11.151466,4.148203,0.042780,0.055203,9.693183,0.629520,18.042098
1413393215705760512.000000,0.000000,0.000000,11.246819,8.846741,0.075046,0.071012,11.659168,0.137261,22.691512
1413393215755760384.000000,0.000000,0.000000,10.794255,10.636570,0.088175,0.079634,7.472686,0.487858,24.228573
1413393215805760512.000000,0.000000,0.000000,10.267558,5.153104,0.043922,0.070496,7.984362,0.064697,17.784500
1413393215855760384.000000,0.000000,0.000000,9.797970,9.579361,0.085527,0.048588,7.609233,0.523503,22.665114
1413393215905760512.000000,0.000000,0.000000,9.248337,4.703586,0.047902,0.067239,8.986364,0.091325,16.437175
1413393215955760384.000000,0.000000,0.000000,10.370142,4.133055,0.060910,0.081610,8.314920,0.474225,17.269417
1413393216005760512.000000,0.000000,0.000000,9.808953,4.583041,0.050427,0.073122,8.961703,0.060191,16.676498
1413393216055760384.000000,0.000000,0.000000,11.535596,4.096333,0.056785,0.029188,8.363406,0.073862,18.089100
1413393216105760512.000000,0.000000,0.000000,10.669821,9.834417,0.086130,0.049020,11.030208,0.658843,23.227395
1413393216155760384.000000,0.000000,0.000000,9.579927,11.275388,0.080678,0.088843,8.695439,0.056345,23.713625
1413393216205760512.000000,0.000000,0.000000,10.720418,4.627344,0.078779,0.064075,12.258512,0.101660,18.699260
1413393216255760384.000000,0.000000,0.000000,11.638259,4.521020,0.043424,0.080462,13.273617,0.832770,19.121108
1413393216305760512.000000,0.000000,0.000000,9.557961,4.353377,0.044257,0.068131,12.255175,0.108128,16.599628
1413393216355760384.000000,0.000000,0.000000,9.913025,7.456937,0.067157,0.083603,14.664041,0.176760,20.294797
1413393216405760512.000000,0.000000,0.000000,10.323794,11.091613,0.086321,0.077726,8.573506,0.063174,24.309118
1413393216455760384.000000,0.000000,0.000000,9.480623,4.468058,0.069576,0.056852,9.994038,0.540222,16.628840
1413393216505760512.000000,0.000000,0.000000,10.019579,4.483885,0.050659,0.062919,11.606151,0.102219,16.942869
1413393216555760384.000000,0.000000,0.000000,10.175074,6.319955,0.080538,0.054643,11.824413,0.090297,20.597092
1413393216605760512.000000,0.000000,0.000000,11.453236,5.364028,0.079974,0.052411,8.933079,0.457619,33.674036
1413393216655760384.000000,0.000000,0.000000,10.261350,4.580530,0.073521,0.092682,12.031618,0.099948,24.448343
1413393216705760512.000000,0.000000,0.000000,10.133888,4.210975,0.053355,0.060941,13.141769,0.132843,23.584772
1413393216755760384.000000,0.000000,0.000000,10.509036,5.659522,0.053973,0.052506,9.252648,0.520971,24.674916
1413393216805760512.000000,0.000000,0.000000,10.643462,4.229530,0.054522,0.077561,10.108848,0.081778,23.896742
1413393216855760384.000000,0.000000,0.000000,11.719050,4.222222,0.061233,0.053567,9.174273,0.062247,26.450430
1413393216905760512.000000,0.000000,0.000000,10.175303,4.212764,0.053462,0.054677,8.503389,0.051751,24.594375
1413393216955760384.000000,0.000000,0.000000,10.164509,5.916424,0.064944,0.062582,10.850184,0.653482,29.135765
1413393217005760512.000000,0.000000,0.000000,10.745088,4.854092,0.059049,0.090476,11.612436,0.103639,24.873493
1413393217055760384.000000,0.000000,0.000000,9.849668,4.183291,0.056681,0.060007,12.376366,0.124911,24.508594
1413393217105760512.000000,0.000000,0.000000,11.326459,4.605182,0.050562,0.080780,10.838816,0.092784,25.706542
1413393217155760384.000000,0.000000,0.000000,10.534738,8.036685,0.086578,0.062491,11.026555,0.530304,33.960276
1413393217205760512.000000,0.000000,0.000000,10.419670,7.775606,0.082646,0.052039,10.601367,0.095461,32.287692
1413393217255760384.000000,0.000000,0.000000,9.870099,5.455253,0.060934,0.068478,11.138643,0.071542,27.529189
1413393217305760512.000000,0.000000,0.000000,10.917498,4.987359,0.049769,0.043685,8.639771,0.569845,25.821487
1413393217355760384.000000,0.000000,0.000000,10.807264,6.485882,0.075953,0.089015,11.919153,0.154671,29.087364
1413393217405760512.000000,0.000000,0.000000,10.074707,4.906623,0.056559,0.057000,9.267213,0.110498,25.399452
