#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.736038,0.035198,0.279052,0.004741,0.004741,6.060133
5.176412,0.057129,0.833993,0.001662,0.001662,6.070911
5.199334,0.192567,2.441391,0.174902,0.174902,15.794546
8.514642,0.239633,8.154255,0.429527,0.429527,41.967545
8.226530,0.212386,5.697317,0.395883,0.395883,28.582100
6.227680,0.212713,7.569155,0.564251,0.564251,33.158291
9.168573,0.343617,18.041390,0.629299,0.629299,56.172018
9.163821,0.331797,21.474749,0.815660,0.815660,55.750218
6.185333,0.188195,8.290040,1.081447,1.081447,42.225892
3.456534,0.191756,13.503017,43.680577,43.680577,102.239438
2.705757,0.087531,6.626402,1.615792,1.615792,48.734993
3.337889,0.074693,6.627834,1.038944,1.038944,43.139209
3.425695,0.099010,8.774580,1.010215,1.010215,52.563840
5.591263,0.171207,12.611471,1.087956,1.087956,54.679397
5.126966,0.097927,8.822738,1.133144,1.133144,42.077179
4.077341,0.074234,10.255778,2.251258,2.251258,55.086493
6.883987,0.138707,17.973285,1.247615,1.247615,61.494989
7.214813,0.127073,19.240274,1.329935,1.329935,70.698190
5.730907,0.142921,11.812934,1.813538,1.813538,60.263672
4.821981,0.142536,11.579457,1.693528,1.693528,62.599794
3.664978,0.077138,11.774913,2.059565,2.059565,45.960243
3.733961,0.072518,12.073161,2.466761,2.466761,51.234832
5.558436,0.127647,15.886905,2.745264,2.745264,70.934589
3.742246,0.110368,9.645369,3.288834,3.288834,46.221142
3.175199,0.083776,8.956929,2.607126,2.607126,60.620280
5.003089,0.097240,13.155974,2.487203,2.487203,64.282058
3.687409,0.099459,10.837159,2.432424,2.432424,43.575297
4.394421,0.085091,12.528000,2.211526,2.211526,49.214505
4.169808,0.102540,10.889091,2.200125,2.200125,46.162587
4.045471,0.084815,11.102154,2.395732,2.395732,60.976578
6.692920,0.127116,16.610538,2.274424,2.274424,67.997823
8.259068,0.158759,19.730104,2.273827,2.273827,75.539450
9.000270,0.167872,22.956699,2.150109,2.150109,77.358471
4.908961,0.120236,17.133540,2.252861,2.252861,71.052617
4.947815,0.118454,18.010867,2.079036,2.079036,60.555496
4.457022,0.150229,13.330541,2.707196,2.707196,48.402289
6.191250,0.135667,13.769856,2.085742,2.085742,61.008641
4.068801,0.141843,11.904338,3.842423,3.842423,44.993994
3.253813,0.110377,9.233445,2.187391,2.187391,40.371201
3.229745,0.087303,8.960655,2.504756,2.504756,43.879541
2.946404,0.072863,8.822995,1.794274,1.794274,38.738117
2.822005,0.075826,7.828102,2.030895,2.030895,34.975181
2.775161,0.078510,8.060226,1.942667,1.942667,35.890779
2.821220,0.170544,7.370737,2.215713,2.215713,36.831423
2.127991,0.050429,6.738298,1.858360,1.858360,30.211110
2.238573,0.071851,6.403127,1.870261,1.870261,29.712819
2.390160,0.038544,6.884315,1.926597,1.926597,35.884101
2.510768,0.041421,8.579840,2.712392,2.712392,38.975527
2.804209,0.040528,6.718017,1.740966,1.740966,35.742291
2.612168,0.048046,6.323589,1.917177,1.917177,33.707858
3.003754,0.064166,6.425607,1.702686,1.702686,30.028384
2.840230,0.046177,6.992915,1.866038,1.866038,33.039187
3.469107,0.054414,7.195579,1.803141,1.803141,35.729026
3.736454,0.067302,7.291726,1.669096,1.669096,34.409661
3.804555,0.103415,10.630601,1.773760,1.773760,66.292847
4.488007,0.127191,13.327727,1.797422,1.797422,63.931179
4.261913,0.178350,11.828910,1.803747,1.803747,168.158563
2.943952,0.147536,7.720662,1.455393,1.455393,49.782821
6.041558,0.207566,18.069598,3.147020,3.147020,85.507665
3.944337,0.138772,9.932077,2.667249,2.667249,62.186658
5.160115,0.188424,12.708777,2.683427,2.683427,68.791094
3.565859,0.124702,8.493349,2.240097,2.240097,63.631373
2.875593,0.149713,7.281017,2.216352,2.216352,50.739683
3.207477,0.152963,7.328695,1.690259,1.690259,52.791499
4.034229,0.111609,6.476925,2.157163,2.157163,51.437673
5.503575,0.164327,12.176774,1.821441,1.821441,67.336119
3.261791,0.125194,7.940781,1.668044,1.668044,54.983224
2.266258,0.088238,5.267472,1.347932,1.347932,48.243858
2.398480,0.086098,5.430844,2.992517,2.992517,54.990409
3.816872,0.119142,10.741426,2.033152,2.033152,58.108980
4.525716,0.129701,12.553206,1.563641,1.563641,57.342656
3.797316,0.144451,9.953153,0.619028,0.619028,53.696724
2.650362,0.179844,4.077739,1.390248,1.390248,40.175560
2.077215,0.075517,6.044372,1.038293,1.038293,50.550685
3.860554,0.141358,8.807130,1.596388,1.596388,59.953468
2.829465,0.091002,5.155076,1.637457,1.637457,48.289360
3.299559,0.163262,5.251985,0.993797,0.993797,49.483089
3.055880,0.149924,5.510446,1.106502,1.106502,55.975848
3.954604,0.166263,8.116628,0.927603,0.927603,59.998004
3.778978,0.174635,9.931125,1.278289,1.278289,74.910148
4.646386,0.201832,9.096637,0.785766,0.785766,64.602492
6.566308,0.177113,10.705839,1.316861,1.316861,75.123184
6.038833,0.245278,11.833505,0.626927,0.626927,70.370693
6.688680,0.285973,14.470869,1.920079,1.920079,75.560723
6.036906,0.193292,11.094583,1.636724,1.636724,73.082906
