#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.005775,3,1,0,707
0.002633,4,1,0,909
0.314377,5,1,0,1144
0.217844,6,1,0,1358
0.680759,7,1,0,1545
0.390102,8,1,0,1743
1.299719,9,1,0,1949
1.894954,10,1,0,2139
1.753281,0,0,0,0
58.655804,0,0,0,0
1.270169,0,0,0,0
1.696260,0,0,0,0
1.717080,0,0,0,0
2.224974,0,0,0,0
2.048150,0,0,0,0
2.347633,0,0,0,0
3.523090,0,0,0,0
2.322659,0,0,0,0
2.083387,0,0,0,0
3.208632,0,0,0,0
2.909789,0,0,0,0
3.143128,0,0,0,0
3.323211,0,0,0,0
3.339360,0,0,0,0
3.091846,0,0,0,0
2.981847,0,0,0,0
3.498787,0,0,0,0
2.943062,0,0,0,0
3.785152,0,0,0,0
4.549383,0,0,0,0
3.252148,0,0,0,0
2.965907,0,0,0,0
3.647336,0,0,0,0
3.048409,0,0,0,0
3.309454,0,0,0,0
3.262670,0,0,0,0
3.504370,0,0,0,0
3.369269,0,0,0,0
3.049920,0,0,0,0
2.866173,0,0,0,0
2.950216,0,0,0,0
2.965893,0,0,0,0
3.123691,0,0,0,0
4.457481,0,0,0,0
4.120139,0,0,0,0
4.109975,0,0,0,0
3.615697,0,0,0,0
4.802468,0,0,0,0
3.470559,0,0,0,0
3.487201,3,1,0,605
4.449836,4,1,0,796
0.001719,5,1,0,1021
0.002826,6,1,0,1264
0.193393,7,1,0,1473
0.552199,8,1,0,1677
0.426984,9,1,0,1881
1.020312,10,1,0,2114
1.564751,0,0,0,0
2.063139,3,1,0,860
1.093827,4,1,0,1071
43.126673,5,1,0,1328
2.456001,6,1,0,1580
0.001508,7,1,0,1869
0.002707,8,1,0,2137
0.440131,9,1,0,2407
0.323319,10,1,0,2608
0.655753,0,0,0,0
0.510108,3,1,0,561
0.659205,4,1,0,870
1.286888,5,1,0,1182
1.959341,6,1,0,1473
40.911465,7,1,0,1906
2.157777,8,1,0,2330
0.003527,9,1,0,2712
0.002853,10,1,0,3023
0.385192,0,0,0,0
0.358666,0,0,0,0
0.393854,0,0,0,0
0.475103,0,0,0,0
0.935739,0,0,0,0
1.174489,0,0,0,0
1.352534,0,0,0,0
59.097450,0,0,0,0
0.938743,0,0,0,0
0.916634,0,0,0,0
1.151679,0,0,0,0
1.370890,0,0,0,0
1.437702,0,0,0,0
1.507758,0,0,0,0
1.678785,0,0,0,0
2.054501,0,0,0,0
2.197076,0,0,0,0
2.428299,0,0,0,0
2.145046,0,0,0,0
3.028738,0,0,0,0
3.261766,0,0,0,0
3.298444,0,0,0,0
3.697226,0,0,0,0
4.332436,0,0,0,0
2.811897,0,0,0,0
4.134919,0,0,0,0
2.621252,0,0,0,0
4.198734,0,0,0,0
2.807957,0,0,0,0
4.369083,0,0,0,0
4.342267,0,0,0,0
6.157198,0,0,0,0
3.162711,0,0,0,0
6.145766,0,0,0,0
3.932761,0,0,0,0
5.127472,0,0,0,0
4.017543,0,0,0,0
4.748528,0,0,0,0
5.252264,0,0,0,0
3.748645,0,0,0,0
4.653198,0,0,0,0
3.248781,0,0,0,0
4.792870,0,0,0,0
3.099176,0,0,0,0
3.379740,0,0,0,0
3.239757,0,0,0,0
3.429559,0,0,0,0
3.158057,0,0,0,0
4.520447,0,0,0,0
