#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.974024,2.640162,0.003207,5.626883,1.932458,0.001326,22.765707
1403637130588318976.000000,0.000000,0.000000,16.986108,2.922305,0.084859,3.753608,2.784829,0.000657,22.695903
1403637130638319104.000000,0.000000,0.000000,16.961232,3.429663,0.044246,3.547893,2.094289,0.000533,22.875752
1403637130688318976.000000,0.000000,0.000000,16.929609,3.988117,0.056642,1.608859,1.389346,0.000383,23.476444
1403637130738319104.000000,0.000000,0.000000,18.529725,2.548173,0.052503,3.828906,3.398426,0.000680,24.450536
1403637130788318976.000000,0.000000,0.000000,19.665592,2.424570,0.054045,4.789643,3.028686,0.280420,32.507001
1403637130838319104.000000,0.000000,0.000000,17.101642,5.425909,0.145643,3.179950,3.169138,0.000903,32.527366
1403637130888318976.000000,0.000000,0.000000,16.293126,5.264830,0.100506,4.270004,2.766516,0.000816,30.774521
1403637130938319104.000000,0.000000,0.000000,18.195064,2.460269,0.055265,1.866481,3.420256,0.000840,26.900653
1403637130988318976.000000,0.000000,0.000000,18.775557,6.274075,0.098568,4.827114,3.783109,0.001424,35.677943
1403637131038319104.000000,0.000000,0.000000,18.624601,5.849626,0.119567,2.615065,4.000787,0.000906,35.615529
1403637131088318976.000000,0.000000,0.000000,19.384778,4.698969,0.083323,3.563181,2.661398,0.252183,33.768077
1403637131138319104.000000,0.000000,0.000000,16.805970,6.380137,0.097420,6.448632,3.785046,0.000931,33.204494
1403637131188318976.000000,0.000000,0.000000,17.013897,2.467871,0.072134,3.856490,3.199401,0.000835,27.619329
1403637131238319104.000000,0.000000,0.000000,17.732826,5.752349,0.101717,1.537017,1.638011,0.000478,35.077434
1403637131288318976.000000,0.000000,0.000000,19.764190,5.819564,0.072172,3.874856,4.132996,0.000963,35.339104
1403637131338319104.000000,0.000000,0.000000,18.540523,4.556207,0.087366,1.779577,1.374517,0.143793,32.384720
1403637131388318976.000000,0.000000,0.000000,18.685050,6.066263,0.108063,1.908284,1.648208,0.000786,38.132476
