#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.553214,0.025863,0.263263,0.008655,0.008655,6.858053
4.169250,0.032963,0.319134,0.002017,0.002017,4.524585
7.026749,0.137954,4.055750,0.173523,0.173523,18.525100
4.944426,0.107295,6.508133,0.198564,0.198564,28.350144
8.091294,0.238239,11.020683,0.492895,0.492895,44.597790
5.956167,0.228402,9.309489,0.916122,0.916122,42.367252
7.937417,0.245007,9.851609,0.469075,0.469075,37.675020
5.346210,0.124157,7.136745,0.703524,0.703524,31.198433
8.566040,0.185090,16.032444,0.647258,0.647258,52.291469
10.387796,0.118768,19.256268,50.245627,50.245627,113.647653
11.351554,0.150130,24.415012,0.825467,0.825467,62.900732
7.156354,0.098790,11.312590,0.720917,0.720917,64.807221
5.975990,0.120852,17.308293,0.904649,0.904649,63.263357
7.172169,0.124388,14.207907,2.249170,2.249170,68.582715
8.679349,0.133916,17.197189,1.340391,1.340391,77.440181
9.877678,0.103297,15.465062,1.553150,1.553150,86.317293
7.281275,0.092810,14.879574,2.076928,2.076928,85.108222
7.217407,0.081711,14.995165,1.247218,1.247218,88.874248
8.728055,0.106889,14.322875,2.208306,2.208306,99.670494
7.494827,0.104572,14.448643,1.446529,1.446529,103.020379
8.001480,0.080650,15.792844,1.728900,1.728900,105.904875
7.538133,0.098665,17.418848,2.436166,2.436166,118.963534
8.820846,0.082161,21.835075,2.666329,2.666329,126.971922
8.269794,0.074896,21.113059,2.712673,2.712673,127.554545
9.777708,0.094426,24.980446,2.488881,2.488881,164.532610
10.921238,0.125930,22.577615,2.371394,2.371394,124.174626
7.640569,0.094263,20.920040,2.163253,2.163253,121.407460
9.618865,0.234969,22.240297,2.519140,2.519140,116.982996
13.411907,0.160101,25.327008,3.346810,3.346810,236.040498
7.909056,0.128365,19.306462,2.637147,2.637147,140.854785
8.704927,0.117652,18.611943,2.302815,2.302815,127.047779
7.588079,0.086663,19.142281,2.444858,2.444858,114.467012
8.620911,0.138381,26.337163,2.512839,2.512839,122.108157
8.896092,0.103777,20.575455,2.154399,2.154399,121.767283
8.432464,0.125655,24.324343,2.322645,2.322645,122.557039
11.885004,0.119703,27.821587,2.465193,2.465193,123.590801
11.749605,0.196840,25.427264,2.631248,2.631248,124.130543
17.161371,0.275538,34.964077,1.938180,1.938180,140.344060
9.195905,0.126275,31.104380,2.017669,2.017669,131.634395
8.904741,0.138314,22.537943,2.429306,2.429306,125.849858
9.296081,0.125391,22.758754,3.363389,3.363389,134.147544
10.535376,0.140443,22.534578,4.779991,4.779991,139.810061
7.618021,0.146019,17.698241,3.025088,3.025088,126.407808
7.396206,0.100497,14.723389,2.112848,2.112848,108.594284
10.010300,0.087822,17.508272,2.568456,2.568456,115.232569
13.562159,0.105257,30.699210,1.501967,1.501967,131.813276
11.444248,0.091588,33.571628,3.753308,3.753308,145.246038
12.023167,0.096838,29.392367,2.168830,2.168830,135.112269
11.383815,0.072539,22.807264,2.459875,2.459875,123.734990
7.521095,0.032403,0.333970,0.003410,0.003410,7.892914
4.203394,0.036744,0.340468,0.001336,0.001336,4.583029
5.001372,0.063166,0.502673,0.162037,0.162037,9.301416
7.625900,0.154024,6.869579,0.676926,0.676926,26.426681
7.327902,0.174444,10.348807,0.736598,0.736598,38.615414
6.757273,0.137666,6.624898,0.808132,0.808132,27.762848
8.844442,0.270998,13.219111,0.644466,0.644466,47.206974
6.927014,0.307603,18.249470,1.018301,1.018301,64.485896
10.869485,0.267261,22.683822,0.934014,0.934014,59.081219
10.204904,0.265874,26.549499,72.820777,72.820777,153.124427
9.039729,0.223027,19.198506,0.711791,0.711791,65.133931
11.117348,0.262408,29.684529,1.072595,1.072595,95.627983
10.752623,0.304694,23.155534,1.213488,1.213488,83.481696
11.660687,0.297185,26.975534,1.629552,1.629552,90.353351
8.085665,0.266333,24.772915,1.308817,1.308817,116.263619
7.835292,0.190862,16.532020,1.940404,1.940404,89.402290
6.617323,0.231310,14.652829,2.042349,2.042349,92.167955
6.377125,0.204778,16.142233,1.668637,1.668637,115.039120
6.297368,0.143547,20.311215,1.826336,1.826336,120.691046
12.846003,0.307127,33.578261,2.173096,2.173096,135.659171
6.433984,0.128867,18.929401,2.288029,2.288029,117.157239
7.565449,0.178892,21.102727,2.950917,2.950917,131.546651
7.807755,0.201279,18.410887,3.575211,3.575211,127.658966
8.297278,0.187144,21.918650,3.771665,3.771665,135.582390
8.808038,0.164561,16.607262,3.495250,3.495250,120.920631
8.413322,0.167964,20.095452,3.181962,3.181962,405.156712
6.216960,0.195547,17.798620,3.129800,3.129800,141.975880
8.847515,0.331433,25.071662,3.196047,3.196047,138.442006
6.267162,0.214023,16.453680,3.756489,3.756489,133.443281
12.152853,0.481608,26.161924,4.319569,4.319569,136.350186
10.744253,0.353916,23.258615,2.966744,2.966744,137.874279
7.454762,0.183405,18.348562,3.186314,3.186314,132.926763
7.081942,0.184153,15.775155,2.128079,2.128079,124.179522
8.252222,0.191735,17.846172,3.061896,3.061896,130.265806
6.327713,0.181148,17.593540,2.128047,2.128047,127.291723
6.912404,0.136702,15.435301,3.898703,3.898703,147.251374
6.240482,0.158347,20.707774,2.509892,2.509892,136.479669
6.764469,0.269256,19.393598,3.975972,3.975972,161.490285
7.337927,0.168879,15.962107,2.708550,2.708550,159.437590
7.412914,0.148650,16.197468,3.070661,3.070661,141.395907
6.266220,0.143100,16.231182,2.264152,2.264152,162.834967
6.269042,0.145090,16.079242,2.905889,2.905889,153.746151
7.204668,0.138928,18.130918,3.787422,3.787422,167.733790
8.057689,0.132098,16.814411,3.263118,3.263118,185.816467
7.252689,0.145376,19.209191,4.894791,4.894791,169.475710
