#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009142,3,1,0,253
0.002936,4,1,0,456
0.053191,5,1,0,951
0.252930,6,1,0,1472
0.423822,7,1,0,2061
0.371713,8,1,0,2605
0.818509,9,1,0,3078
0.570201,10,1,0,3531
0.858833,0,0,0,0
46.663164,0,0,0,0
1.036816,0,0,0,0
1.172578,0,0,0,0
2.310275,0,0,0,0
2.744268,0,0,0,0
2.517837,0,0,0,0
2.569670,0,0,0,0
4.985083,0,0,0,0
2.614414,0,0,0,0
3.791036,0,0,0,0
3.734490,0,0,0,0
4.716928,0,0,0,0
5.445326,0,0,0,0
5.748305,0,0,0,0
4.820063,0,0,0,0
4.394870,0,0,0,0
5.846924,0,0,0,0
5.238134,0,0,0,0
4.816172,0,0,0,0
4.501781,0,0,0,0
4.535754,0,0,0,0
4.342115,0,0,0,0
4.435051,0,0,0,0
4.409881,0,0,0,0
4.129015,0,0,0,0
6.924297,0,0,0,0
4.944326,0,0,0,0
4.446163,0,0,0,0
4.450688,0,0,0,0
3.698371,0,0,0,0
5.594587,0,0,0,0
3.339261,0,0,0,0
3.589459,0,0,0,0
2.102973,0,0,0,0
2.822512,0,0,0,0
1.816367,0,0,0,0
2.246818,0,0,0,0
2.672769,0,0,0,0
3.135114,0,0,0,0
3.811311,0,0,0,0
2.390348,0,0,0,0
3.608385,0,0,0,0
2.895265,0,0,0,0
2.989569,0,0,0,0
3.714567,0,0,0,0
3.648950,0,0,0,0
6.126994,0,0,0,0
4.154074,0,0,0,0
3.965247,0,0,0,0
6.155086,0,0,0,0
7.196981,0,0,0,0
4.170618,0,0,0,0
4.521318,0,0,0,0
6.998410,0,0,0,0
6.034818,0,0,0,0
4.051376,0,0,0,0
5.504377,0,0,0,0
6.027152,0,0,0,0
6.321481,0,0,0,0
4.090754,0,0,0,0
4.480281,0,0,0,0
4.500501,0,0,0,0
5.082878,0,0,0,0
3.972364,0,0,0,0
2.666452,0,0,0,0
4.374698,0,0,0,0
5.662280,0,0,0,0
5.669107,0,0,0,0
5.103166,0,0,0,0
5.796033,0,0,0,0
3.432435,0,0,0,0
4.419775,0,0,0,0
6.217615,0,0,0,0
4.507690,0,0,0,0
7.162983,0,0,0,0
9.884558,0,0,0,0
12.915015,0,0,0,0
10.283508,0,0,0,0
6.591146,0,0,0,0
5.619006,0,0,0,0
4.575218,0,0,0,0
4.036210,0,0,0,0
3.889703,0,0,0,0
4.990656,0,0,0,0
7.047058,0,0,0,0
5.986664,0,0,0,0
6.461115,0,0,0,0
5.743849,0,0,0,0
3.974444,0,0,0,0
4.931657,0,0,0,0
5.012315,0,0,0,0
5.930270,0,0,0,0
8.231665,0,0,0,0
9.219121,0,0,0,0
9.752798,0,0,0,0
9.455427,0,0,0,0
10.677988,0,0,0,0
11.475374,0,0,0,0
7.081444,0,0,0,0
9.168601,0,0,0,0
12.763083,0,0,0,0
7.973721,0,0,0,0
6.307581,0,0,0,0
6.491874,0,0,0,0
4.534734,0,0,0,0
3.154227,0,0,0,0
1.996992,0,0,0,0
5.477907,0,0,0,0
1.626211,0,0,0,0
1.585435,0,0,0,0
5.195848,0,0,0,0
3.673159,0,0,0,0
7.830784,0,0,0,0
4.668601,0,0,0,0
4.877364,0,0,0,0
7.770118,0,0,0,0
5.814138,0,0,0,0
10.424947,0,0,0,0
7.583470,0,0,0,0
4.986904,0,0,0,0
5.709425,0,0,0,0
7.663691,0,0,0,0
7.783364,0,0,0,0
6.167328,0,0,0,0
11.483025,0,0,0,0
5.619549,0,0,0,0
7.273970,0,0,0,0
8.496873,0,0,0,0
9.006456,0,0,0,0
9.168011,0,0,0,0
12.570651,0,0,0,0
14.622441,0,0,0,0
14.780729,0,0,0,0
13.935475,0,0,0,0
13.051256,0,0,0,0
12.886035,0,0,0,0
12.760644,0,0,0,0
15.267715,0,0,0,0
13.324791,0,0,0,0
11.245139,0,0,0,0
11.214308,0,0,0,0
12.322229,0,0,0,0
7.634445,0,0,0,0
11.081374,0,0,0,0
8.944026,0,0,0,0
12.635165,0,0,0,0
11.873415,0,0,0,0
10.871887,0,0,0,0
9.613776,0,0,0,0
7.959696,0,0,0,0
7.027102,0,0,0,0
7.036684,0,0,0,0
10.622330,0,0,0,0
5.099636,0,0,0,0
8.236563,0,0,0,0
4.130162,0,0,0,0
5.114272,0,0,0,0
13.565275,0,0,0,0
11.327100,0,0,0,0
12.200057,0,0,0,0
7.455857,0,0,0,0
7.983296,0,0,0,0
10.083145,0,0,0,0
14.527838,0,0,0,0
14.445309,0,0,0,0
12.965968,0,0,0,0
