#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,15.263020,8.059505,0.003076,11.666402,8.494305,0.001864,25.639158
1413393212305760512.000000,0.000000,0.000000,13.515376,6.666745,0.059291,6.172192,5.539386,0.001085,23.117433
1413393212355760384.000000,0.000000,0.000000,14.612046,8.242745,0.057820,5.294791,5.570253,0.001490,25.473612
1413393212405760512.000000,0.000000,0.000000,13.716221,7.967661,0.050669,4.931334,5.227284,0.484006,24.110644
1413393212455760384.000000,0.000000,0.000000,13.017408,9.095422,0.058397,6.531887,5.219798,0.001317,24.717416
1413393212505760512.000000,0.000000,0.000000,14.062507,7.440753,0.050144,6.471202,6.216335,0.000669,24.186543
1413393212555760384.000000,0.000000,0.000000,14.113792,6.956635,0.053245,6.427165,6.111724,0.000697,23.450905
1413393212605760512.000000,0.000000,0.000000,13.305629,11.551144,0.086410,5.438550,5.595141,0.000461,27.813428
1413393212655760384.000000,0.000000,0.000000,12.929476,6.390404,0.053955,5.468891,5.140215,0.000915,21.924697
1413393212705760512.000000,0.000000,0.000000,13.595337,10.162024,0.064927,6.180409,6.540361,0.479288,26.459846
1413393212755760384.000000,0.000000,0.000000,12.523220,6.679271,0.036895,6.927617,6.082744,0.000627,21.784874
1413393212805760512.000000,0.000000,0.000000,13.783376,9.245776,0.044763,5.369731,5.893745,0.000537,25.786478
1413393212855760384.000000,0.000000,0.000000,15.045093,6.840058,0.051089,6.306552,6.621533,0.000531,24.830613
1413393212905760512.000000,0.000000,0.000000,14.957579,8.162528,0.054727,7.211722,5.580177,0.000741,25.770878
1413393212955760384.000000,0.000000,0.000000,12.625775,10.224086,0.051294,5.427416,6.141378,0.000838,25.824379
1413393213005760512.000000,0.000000,0.000000,14.056451,10.008075,0.050351,5.013682,6.160997,0.456440,26.881319
1413393213055760384.000000,0.000000,0.000000,13.651298,6.529726,0.051437,8.067093,7.166696,0.000709,22.839245
1413393213105760512.000000,0.000000,0.000000,12.862818,6.501123,0.050107,5.963816,6.340603,0.000600,22.410199
1413393213155760384.000000,0.000000,0.000000,13.255720,6.561167,0.050513,6.311240,9.847492,0.000941,22.586595
