#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.550161,0.092695,0.974145,0.034206,0.034206,7.659660
4.646245,0.074242,1.039653,0.001534,0.001534,5.763345
8.772105,0.256118,3.367619,0.238195,0.238195,25.533861
9.142020,0.294770,7.627441,0.437195,0.437195,32.349289
7.143351,0.276538,6.639684,0.821000,0.821000,38.912987
11.379847,0.327746,16.288059,0.712600,0.712600,53.099549
5.882637,0.171444,8.556473,0.868774,0.868774,38.782207
10.548913,0.335879,9.739444,1.160838,1.160838,50.602981
6.279508,0.172490,11.292613,1.374293,1.374293,52.014963
4.329276,0.184697,9.780714,75.844165,75.844165,121.868288
4.801520,0.143957,13.346613,0.976968,0.976968,52.060655
6.821700,0.183533,17.292159,1.331203,1.331203,64.387253
7.625467,0.141051,20.150548,1.644925,1.644925,65.152283
11.688930,0.208796,25.732499,2.186903,2.186903,76.322233
6.802260,0.123433,17.035809,1.656475,1.656475,70.260344
8.590131,0.149713,19.537961,2.007959,2.007959,73.318023
9.273529,0.144657,19.257746,2.199868,2.199868,74.459450
8.032785,0.206972,17.299481,2.302954,2.302954,75.526357
6.051951,0.129599,17.302767,2.470499,2.470499,84.008790
6.202600,0.222091,21.447606,2.699792,2.699792,86.407849
5.358280,0.209753,17.854765,3.865956,3.865956,87.019610
8.791958,0.230800,26.165693,4.305817,4.305817,104.936226
6.428002,0.149731,18.579342,4.379833,4.379833,92.307843
6.865476,0.126237,20.000599,4.918819,4.918819,97.341698
8.482613,0.141156,22.178947,4.456771,4.456771,106.635704
8.627113,0.128947,21.647264,4.292214,4.292214,95.984441
7.201798,0.118311,24.469745,3.538068,3.538068,94.867520
6.501234,0.160668,21.570159,3.746272,3.746272,89.047597
6.810147,0.141480,24.178500,4.147422,4.147422,94.345515
6.630140,0.131301,19.287890,4.526962,4.526962,87.402991
8.652317,0.151117,18.255549,4.772196,4.772196,91.878847
5.894072,0.149781,17.521789,3.924845,3.924845,83.435398
4.748809,0.137045,15.350247,3.562534,3.562534,78.049835
5.672315,0.180428,15.548775,4.308282,4.308282,88.277839
4.034419,0.124809,15.570687,3.054641,3.054641,239.608477
4.101552,0.176205,12.420769,2.858007,2.858007,68.557954
4.837928,0.111960,13.339169,3.042376,3.042376,74.968041
6.885094,0.190346,17.294083,3.351419,3.351419,94.818292
5.577540,0.256944,19.500063,5.075536,5.075536,89.174059
6.187811,0.315597,23.394465,3.363709,3.363709,100.242623
5.985003,0.256775,14.943694,4.560094,4.560094,89.623905
6.151536,0.268046,15.454067,4.265371,4.265371,96.932794
5.720801,0.203638,14.554117,4.669491,4.669491,90.026296
6.817746,0.260567,18.814958,3.551195,3.551195,121.205060
8.139898,0.432476,18.220966,3.274571,3.274571,102.115873
7.629095,0.272570,18.551501,2.624564,2.624564,94.594762
9.719977,0.356916,23.080240,4.258968,4.258968,112.087976
4.328751,0.185558,10.976232,3.771647,3.771647,80.594081
4.831383,0.164325,12.990669,3.215774,3.215774,84.672857
4.771157,0.162306,12.181464,5.138196,5.138196,86.418194
4.705830,0.186367,11.701366,3.244528,3.244528,78.494682
3.982508,0.191819,9.759929,1.966907,1.966907,74.259630
4.137676,0.284852,10.887817,1.113169,1.113169,86.359928
4.800410,0.234757,10.284754,1.342511,1.342511,82.906638
4.355401,0.221381,9.957258,2.107307,2.107307,81.588593
5.579258,0.243237,13.979455,2.356737,2.356737,93.867582
6.579893,0.329616,12.139444,2.096315,2.096315,103.276035
5.235030,0.310203,11.943471,1.544780,1.544780,101.090079
5.315315,0.211035,12.467639,2.201820,2.201820,99.828333
5.783992,0.242943,12.043182,2.328072,2.328072,101.354153
6.784772,0.238027,14.857393,2.049129,2.049129,116.884715
6.296685,0.249705,12.456583,2.178705,2.178705,103.985356
6.090620,0.214720,12.334165,1.498960,1.498960,100.531266
7.433784,0.298887,16.903277,2.560070,2.560070,124.537483
6.582397,0.264239,12.391662,3.179246,3.179246,101.980834
6.754275,0.264964,20.693132,2.224993,2.224993,120.147859
5.996879,0.185945,13.597830,1.999455,1.999455,105.388407
6.832612,0.343286,15.515031,1.600861,1.600861,118.253410
8.117917,0.245601,17.049816,1.920646,1.920646,120.430231
10.770615,0.507786,24.998637,3.172821,3.172821,129.482209
8.390657,0.268564,20.672858,2.650984,2.650984,121.543609
13.179202,0.744337,18.463516,3.795785,3.795785,121.039267
7.598709,0.259451,16.476339,3.723227,3.723227,125.249725
13.965494,0.604873,24.538504,5.049333,5.049333,137.444685
5.317332,0.202103,17.221685,4.336623,4.336623,131.064572
5.488610,0.293319,18.178683,5.120275,5.120275,129.005489
5.553678,0.265741,20.062033,2.846859,2.846859,123.121807
5.310073,0.293551,16.750395,3.913186,3.913186,122.505075
3.884321,0.229908,13.022982,3.943845,3.943845,120.801858
4.538638,0.221189,16.766016,2.976226,2.976226,122.232791
4.712430,0.184525,15.787135,3.990845,3.990845,118.716710
5.078646,0.200521,21.488131,4.597780,4.597780,126.692863
5.430751,0.196485,16.959773,4.622897,4.622897,126.888492
5.333930,0.198643,16.522719,4.639701,4.639701,125.681126
6.833466,0.175079,19.720919,3.777990,3.777990,165.158411
5.955189,0.145660,18.964821,3.334033,3.334033,126.373820
7.188008,0.204991,24.264277,4.626746,4.626746,128.688596
7.385809,0.230566,21.909440,6.072476,6.072476,129.692225
8.604258,0.272631,23.068266,3.805096,3.805096,136.613924
7.686689,0.296068,26.038341,6.308670,6.308670,139.895125
12.033100,0.498819,25.431637,5.396201,5.396201,145.645543
10.350082,0.478986,28.377570,3.814467,3.814467,149.229557
5.895904,0.274364,13.887264,3.350614,3.350614,124.777922
5.653108,0.356324,10.570885,3.474760,3.474760,126.980716
6.261504,0.910712,21.647346,4.607883,4.607883,147.349253
4.139371,0.387574,7.951602,1.955559,1.955559,117.060196
5.226655,0.291499,9.875004,2.161395,2.161395,124.831904
10.328651,0.530568,19.422444,1.371393,1.371393,152.364275
5.692827,0.249114,10.011502,1.927818,1.927818,127.597253
4.838838,0.292061,9.135869,1.478347,1.478347,358.083668
5.480562,0.461428,9.746175,1.158856,1.158856,121.875029
5.184921,0.272649,11.453544,1.144627,1.144627,125.667688
4.890220,0.299072,13.175759,2.694843,2.694843,127.536801
7.073236,0.384652,15.147675,1.694017,1.694017,133.563295
5.657180,0.340246,12.170692,1.434626,1.434626,120.235292
5.613531,0.248665,13.041052,1.363635,1.363635,140.456913
5.586926,0.218615,14.907859,2.141425,2.141425,131.034438
10.069141,0.520512,29.483373,1.927102,1.927102,158.470378
5.414410,0.253250,13.960316,2.021207,2.021207,126.316043
5.655933,0.269759,15.345401,2.854403,2.854403,128.739191
