#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,13.175053,2.773553,0.003205,5.508621,1.750137,0.002202,18.035015
1403637130588318976.000000,0.000000,0.000000,13.850513,2.769384,0.060356,1.742536,1.526749,0.000556,19.717348
1403637130638319104.000000,0.000000,0.000000,11.912864,2.637325,0.044008,1.692726,1.523124,0.000435,17.109357
1403637130688318976.000000,0.000000,0.000000,12.183428,2.345487,0.043154,2.694706,1.411285,0.000460,17.426384
1403637130738319104.000000,0.000000,0.000000,12.781940,5.087323,0.082676,3.842434,2.673984,0.000756,26.235001
1403637130788318976.000000,0.000000,0.000000,13.855211,2.588512,0.046906,3.856209,2.890344,1.122287,26.672698
1403637130838319104.000000,0.000000,0.000000,13.353910,2.450217,0.070077,2.219242,1.642367,0.000469,21.913477
1403637130888318976.000000,0.000000,0.000000,10.658857,2.519885,0.049032,2.560630,2.052261,0.000536,19.021691
1403637130938319104.000000,0.000000,0.000000,13.763228,5.891839,0.125019,1.830254,1.781805,0.000415,26.970015
1403637130988318976.000000,0.000000,0.000000,13.381302,5.870802,0.100192,2.931938,1.393618,0.000504,28.589187
1403637131038319104.000000,0.000000,0.000000,12.971810,5.525270,0.090352,1.848143,1.662051,0.000435,29.244064
1403637131088318976.000000,0.000000,0.000000,13.727498,2.942901,0.066446,3.946029,3.598796,0.625444,23.366703
1403637131138319104.000000,0.000000,0.000000,12.043877,3.882200,0.070112,2.502308,3.146530,0.000725,23.573951
1403637131188318976.000000,0.000000,0.000000,13.009586,2.477297,0.048212,1.882802,1.734966,0.000427,21.596949
1403637131238319104.000000,0.000000,0.000000,11.311240,4.468877,0.076377,2.115414,1.547330,0.000500,23.124360
1403637131288318976.000000,0.000000,0.000000,12.527878,2.408242,0.056767,3.634228,2.700048,0.000670,21.093392
1403637131338319104.000000,0.000000,0.000000,12.678066,6.270134,0.096958,2.456021,3.046329,0.664938,29.981189
1403637131388318976.000000,0.000000,0.000000,12.145497,2.800646,0.042477,2.171691,1.704425,0.000477,23.460949
1403637131438319104.000000,0.000000,0.000000,13.471445,2.513021,0.058849,1.959510,2.092880,0.000725,22.223133
1403637131488318976.000000,0.000000,0.000000,13.578518,2.483725,0.059243,1.984153,1.503811,0.000466,22.717417
1403637131538319104.000000,0.000000,0.000000,12.826128,4.986975,0.082248,4.376794,3.191992,0.000685,27.070811
1403637131588318976.000000,0.000000,0.000000,13.094006,2.361875,0.076824,1.841140,1.633953,0.441078,24.312125
1403637131638319104.000000,0.000000,0.000000,12.541936,2.590343,0.051846,2.073639,1.390423,0.000371,21.437404
1403637131688318976.000000,0.000000,0.000000,12.136106,2.596341,0.052368,1.885257,1.793622,0.000382,21.634141
1403637131738319104.000000,0.000000,0.000000,13.445215,2.620832,0.048044,2.900281,1.807689,0.000443,22.092871
1403637131788318976.000000,0.000000,0.000000,12.532881,6.083555,0.092166,1.978577,1.493660,0.000420,29.100882
1403637131838319104.000000,0.000000,0.000000,13.638855,2.573045,0.056550,2.050084,1.865505,0.444487,22.772832
1403637131888318976.000000,0.000000,0.000000,12.396368,2.407745,0.056802,2.101266,1.570584,0.000445,20.711598
1403637131938319104.000000,0.000000,0.000000,12.579396,2.587904,0.051375,2.074379,1.590148,0.000561,21.678924
1403637131988318976.000000,0.000000,0.000000,12.024183,4.713944,0.082934,2.586301,1.947536,0.000555,24.104906
1403637132038319104.000000,0.000000,0.000000,12.110194,2.412116,0.057342,1.860283,1.788105,0.000660,20.704867
1403637132088318976.000000,0.000000,0.000000,11.824511,2.615649,0.056829,3.453280,3.527818,0.764521,21.798968
1403637132138319104.000000,0.000000,0.000000,13.576620,2.525277,0.057603,4.218207,3.819026,0.000731,22.733483
1403637132188318976.000000,0.000000,0.000000,13.138613,2.324756,0.054495,3.403988,3.515391,0.001416,21.608083
1403637132238319104.000000,0.000000,0.000000,12.235969,3.947832,0.076072,4.093809,3.515723,0.000728,24.520043
1403637132288318976.000000,0.000000,0.000000,11.514544,4.591617,0.057700,4.263701,3.874463,0.000747,22.379687
1403637132338319104.000000,0.000000,0.000000,10.899759,2.429286,0.066671,4.479070,4.426985,0.947963,23.939662
1403637132388318976.000000,0.000000,0.000000,12.088733,5.158531,0.089748,3.347301,2.614515,0.000644,28.273942
1403637132438319104.000000,0.000000,0.000000,13.521137,5.693278,0.099471,3.789847,4.416518,0.000752,29.411720
1403637132488318976.000000,0.000000,0.000000,12.131053,5.869048,0.113854,1.876866,2.543304,0.001114,29.060117
1403637132538319104.000000,0.000000,0.000000,12.526728,5.893132,0.102757,3.541597,3.261556,0.000840,30.023264
1403637132588318976.000000,0.000000,0.000000,12.387924,5.710124,0.102613,1.879143,1.737746,0.395832,31.007966
1403637132638319104.000000,0.000000,0.000000,12.797042,4.812246,0.058205,4.335623,3.973975,0.000678,27.415825
1403637132688318976.000000,0.000000,0.000000,11.580164,4.428961,0.107484,3.597276,2.782813,0.000726,27.350485
1403637132738319104.000000,0.000000,0.000000,13.026522,2.990771,0.054455,3.953013,4.004648,0.000694,23.117229
1403637132788318976.000000,0.000000,0.000000,13.446953,4.531143,0.065114,1.899193,1.952187,0.000534,27.511680
1403637132838319104.000000,0.000000,0.000000,11.329109,2.603061,0.045545,1.735027,1.778128,0.668169,20.556625
1403637132888318976.000000,0.000000,0.000000,12.332040,5.354127,0.080134,0.042427,3.101319,0.028886,29.197204
1403637132938319104.000000,0.000000,0.000000,14.071431,4.977929,0.065694,0.029175,3.543410,0.023286,28.535240
1403637132988318976.000000,0.000000,0.000000,12.654949,5.665438,0.080380,0.033105,7.476769,0.046789,29.349516
1403637133038319104.000000,0.000000,0.000000,11.860525,2.200357,0.056161,0.027596,4.184716,1.005351,20.354082
1403637133088318976.000000,0.000000,0.000000,12.737249,2.411314,0.056614,0.055345,5.467230,0.041900,21.792269
1403637133138319104.000000,0.000000,0.000000,13.763864,2.558443,0.049772,0.041630,6.441786,1.467900,22.713689
1403637133188318976.000000,0.000000,0.000000,11.590735,2.437059,0.049805,0.032827,3.316095,0.024801,20.408141
1403637133238319104.000000,0.000000,0.000000,14.229134,2.564083,0.068866,0.041990,7.715916,2.171678,27.405177
1403637133288318976.000000,0.000000,0.000000,12.094405,2.708237,0.055414,8.809133,3.626132,0.000955,22.580864
1403637133338319104.000000,0.000000,0.000000,12.138702,5.338537,0.070401,1.452692,2.166517,0.000757,26.341589
1403637133388318976.000000,0.000000,0.000000,12.303996,6.044120,0.106911,2.536749,2.963319,0.000717,29.321892
1403637133438319104.000000,0.000000,0.000000,11.736647,2.851522,0.036799,2.632984,3.048964,0.000616,20.497916
1403637133488318976.000000,0.000000,0.000000,12.859674,6.727793,0.082909,1.296072,1.825063,3.201373,33.175238
1403637133538319104.000000,0.000000,0.000000,12.862263,3.549054,0.112268,2.592390,2.464803,0.000536,18.890828
1403637133588318976.000000,0.000000,0.000000,13.060980,7.193049,0.126454,2.191793,3.388380,0.000724,35.871522
1403637133638319104.000000,0.000000,0.000000,12.726198,7.639205,0.086146,1.494390,2.628169,0.000439,23.462594
1403637133688318976.000000,0.000000,0.000000,12.389416,4.454577,0.072021,1.237017,4.406886,0.001033,25.474114
1403637133738319104.000000,0.000000,0.000000,13.854358,7.166366,0.067916,1.211556,4.026557,0.000664,37.191552
1403637133788318976.000000,0.000000,0.000000,15.167734,2.773884,0.080452,0.946378,2.582706,3.671417,24.544143
1403637133838319104.000000,0.000000,0.000000,12.213679,7.469489,0.091913,5.507751,4.471015,0.001330,28.129151
1403637133888318976.000000,0.000000,0.000000,14.348161,8.319447,0.054173,3.441413,5.307786,0.000655,31.925720
1403637133938319104.000000,0.000000,0.000000,13.507349,3.869734,0.039591,1.969222,3.993681,0.000700,26.760796
1403637133988318976.000000,0.000000,0.000000,12.952732,3.833531,0.083202,1.852799,3.785642,0.000578,24.654707
1403637134038319104.000000,0.000000,0.000000,12.630997,5.129872,0.054761,1.934579,3.897290,0.000356,26.257134
1403637134088318976.000000,0.000000,0.000000,11.743905,4.199118,0.051421,1.811370,3.900319,5.142737,23.364089
1403637134138319104.000000,0.000000,0.000000,12.837646,4.241984,0.055991,3.808385,4.762062,0.000514,25.698178
1403637134188318976.000000,0.000000,0.000000,14.004980,7.973382,0.060750,4.283090,6.095498,0.000515,30.356355
1403637134238319104.000000,0.000000,0.000000,13.012250,4.414199,0.086328,2.698989,6.275053,0.000630,27.220144
1403637134288318976.000000,0.000000,0.000000,13.618139,8.081746,0.074622,3.843959,6.371030,0.000608,34.627080
1403637134338319104.000000,0.000000,0.000000,14.461411,5.242250,0.056015,3.843180,5.399923,0.000701,32.132549
1403637134388318976.000000,0.000000,0.000000,11.852780,4.955531,0.066233,2.801720,6.337313,3.245447,25.380190
1403637134438319104.000000,0.000000,0.000000,13.752538,6.635085,0.058513,3.327732,5.557743,0.000763,28.951020
1403637134488318976.000000,0.000000,0.000000,13.307174,5.961970,0.067103,1.751215,3.729683,0.000440,27.739925
1403637134538319104.000000,0.000000,0.000000,13.670671,4.662420,0.075614,1.362996,3.933479,0.000586,32.086688
1403637134588318976.000000,0.000000,0.000000,12.284840,5.994879,0.084408,1.110581,4.100956,0.000526,29.911906
1403637134638319104.000000,0.000000,0.000000,13.088946,7.780130,0.064658,0.843684,4.197472,1.280023,34.520020
1403637134688318976.000000,0.000000,0.000000,12.992188,5.097006,0.099742,2.084900,3.575961,0.000498,30.208106
