#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008550,3,1,0,559
0.002720,4,1,0,1134
0.099021,5,1,0,1590
0.345936,6,1,0,2034
0.580861,7,1,0,2674
0.587644,8,1,0,3004
0.670878,9,1,0,3186
0.821987,10,1,0,3823
0.788037,0,0,0,0
89.313244,0,0,0,0
0.868305,0,0,0,0
1.195591,0,0,0,0
1.253069,0,0,0,0
1.612570,0,0,0,0
1.121078,0,0,0,0
2.116979,0,0,0,0
2.328610,0,0,0,0
1.734853,0,0,0,0
1.925140,0,0,0,0
2.166008,0,0,0,0
2.129843,0,0,0,0
2.661641,0,0,0,0
2.782844,0,0,0,0
2.959222,0,0,0,0
3.331887,0,0,0,0
3.192782,0,0,0,0
2.894494,0,0,0,0
2.621403,0,0,0,0
2.830187,0,0,0,0
2.597967,0,0,0,0
3.419196,0,0,0,0
2.900923,0,0,0,0
3.152595,0,0,0,0
2.614955,0,0,0,0
4.752343,0,0,0,0
3.233098,0,0,0,0
2.776754,0,0,0,0
2.458055,0,0,0,0
4.780038,0,0,0,0
2.529581,0,0,0,0
3.747873,0,0,0,0
2.208024,0,0,0,0
3.643187,0,0,0,0
1.780341,0,0,0,0
3.546976,3,1,0,401
1.831318,4,1,0,508
0.002943,5,1,0,640
0.001412,6,1,0,773
0.258778,7,1,0,903
0.169981,8,1,0,1034
0.222391,9,1,0,1175
0.278913,10,1,0,1304
0.304905,0,0,0,0
0.752597,0,0,0,0
0.779086,0,0,0,0
29.215006,3,1,0,448
1.269723,4,1,0,630
1.420695,5,1,0,1047
0.720095,6,1,0,1405
0.001568,7,1,0,2208
0.001787,8,1,0,2902
0.330573,9,1,0,3568
0.339602,10,1,0,4062
0.637984,0,0,0,0
0.788210,0,0,0,0
0.605222,0,0,0,0
0.686378,0,0,0,0
1.016068,0,0,0,0
86.040425,0,0,0,0
0.797908,0,0,0,0
0.973173,0,0,0,0
1.099346,0,0,0,0
1.441987,0,0,0,0
1.758666,0,0,0,0
1.597975,0,0,0,0
2.565496,0,0,0,0
1.553090,0,0,0,0
2.041225,0,0,0,0
1.928507,0,0,0,0
2.091049,0,0,0,0
3.680335,0,0,0,0
4.532903,0,0,0,0
3.380068,0,0,0,0
4.400231,0,0,0,0
3.301540,0,0,0,0
3.210314,0,0,0,0
2.854272,0,0,0,0
3.075542,0,0,0,0
3.140237,0,0,0,0
2.347565,0,0,0,0
3.186404,0,0,0,0
3.756815,0,0,0,0
2.870260,0,0,0,0
3.473600,0,0,0,0
2.590243,0,0,0,0
4.765204,0,0,0,0
2.792512,0,0,0,0
3.038002,0,0,0,0
3.353179,0,0,0,0
2.456364,0,0,0,0
3.246171,0,0,0,0
3.219355,0,0,0,0
3.218418,0,0,0,0
2.284015,0,0,0,0
4.257948,0,0,0,0
2.831432,0,0,0,0
3.649075,0,0,0,0
5.404694,0,0,0,0
2.828871,0,0,0,0
4.499795,0,0,0,0
3.878529,0,0,0,0
2.978315,0,0,0,0
3.105597,0,0,0,0
2.467691,0,0,0,0
2.833358,0,0,0,0
4.774569,0,0,0,0
3.076422,0,0,0,0
5.330744,0,0,0,0
4.565466,0,0,0,0
5.189095,0,0,0,0
3.849999,0,0,0,0
3.991766,0,0,0,0
2.769210,0,0,0,0
3.504860,0,0,0,0
4.197604,0,0,0,0
5.901512,0,0,0,0
4.334503,0,0,0,0
3.194272,0,0,0,0
6.085768,0,0,0,0
4.610085,0,0,0,0
4.783776,0,0,0,0
3.569184,0,0,0,0
4.577847,0,0,0,0
5.483561,0,0,0,0
4.759124,0,0,0,0
4.169104,0,0,0,0
5.371031,0,0,0,0
8.303670,0,0,0,0
7.230302,0,0,0,0
8.283831,0,0,0,0
5.889993,0,0,0,0
8.369795,0,0,0,0
5.293030,0,0,0,0
6.593113,0,0,0,0
7.082645,0,0,0,0
5.787903,0,0,0,0
8.356335,0,0,0,0
8.140551,0,0,0,0
5.424921,0,0,0,0
9.456506,0,0,0,0
7.792919,0,0,0,0
8.491259,0,0,0,0
7.208846,0,0,0,0
9.922978,0,0,0,0
7.641770,0,0,0,0
7.114661,0,0,0,0
8.200050,0,0,0,0
8.192845,0,0,0,0
8.133974,0,0,0,0
11.348441,0,0,0,0
10.622999,0,0,0,0
7.623598,0,0,0,0
11.403973,0,0,0,0
5.580188,0,0,0,0
7.616599,0,0,0,0
7.677125,0,0,0,0
4.517562,0,0,0,0
5.665618,0,0,0,0
4.510552,0,0,0,0
5.302431,0,0,0,0
3.729542,0,0,0,0
4.307790,0,0,0,0
5.013703,0,0,0,0
6.131535,0,0,0,0
4.832409,0,0,0,0
2.813044,0,0,0,0
4.200541,0,0,0,0
4.394680,0,0,0,0
4.561233,0,0,0,0
2.507441,0,0,0,0
3.961993,0,0,0,0
4.234397,0,0,0,0
2.028354,0,0,0,0
2.947903,0,0,0,0
4.222485,0,0,0,0
2.010540,0,0,0,0
4.507574,0,0,0,0
3.238550,0,0,0,0
3.818212,0,0,0,0
2.647978,0,0,0,0
3.894139,0,0,0,0
4.228370,0,0,0,0
2.454794,0,0,0,0
3.898972,0,0,0,0
4.734159,0,0,0,0
3.914217,0,0,0,0
3.259606,0,0,0,0
4.280135,0,0,0,0
4.199011,0,0,0,0
4.890405,0,0,0,0
5.017360,0,0,0,0
3.262493,0,0,0,0
4.151230,0,0,0,0
5.234100,0,0,0,0
2.482163,0,0,0,0
2.780307,0,0,0,0
2.592304,0,0,0,0
5.705159,0,0,0,0
3.884805,0,0,0,0
5.192491,0,0,0,0
4.167171,0,0,0,0
3.573095,0,0,0,0
2.726611,0,0,0,0
4.678505,0,0,0,0
4.072832,0,0,0,0
6.212687,0,0,0,0
3.174438,0,0,0,0
4.633238,0,0,0,0
5.017601,0,0,0,0
3.254607,0,0,0,0
4.937095,0,0,0,0
3.080406,0,0,0,0
5.671274,0,0,0,0
3.714566,0,0,0,0
4.130289,0,0,0,0
4.153959,0,0,0,0
3.980644,0,0,0,0
5.973536,0,0,0,0
4.785016,0,0,0,0
3.256943,0,0,0,0
3.889087,0,0,0,0
4.486336,0,0,0,0
3.984277,0,0,0,0
4.276415,0,0,0,0
3.826637,0,0,0,0
5.135646,0,0,0,0
4.982090,0,0,0,0
6.482675,0,0,0,0
3.577586,0,0,0,0
3.636520,0,0,0,0
4.860015,0,0,0,0
3.791483,0,0,0,0
5.403784,0,0,0,0
7.590824,0,0,0,0
3.952369,0,0,0,0
5.837590,0,0,0,0
6.269709,0,0,0,0
7.257973,0,0,0,0
6.542713,0,0,0,0
7.873465,0,0,0,0
3.268024,0,0,0,0
8.191828,0,0,0,0
6.455850,0,0,0,0
5.538157,0,0,0,0
7.771470,0,0,0,0
5.055560,0,0,0,0
7.276832,0,0,0,0
5.358603,0,0,0,0
3.733505,0,0,0,0
5.442516,0,0,0,0
5.333717,0,0,0,0
4.588907,0,0,0,0
4.851973,0,0,0,0
6.648231,0,0,0,0
6.601402,0,0,0,0
5.447063,0,0,0,0
6.281386,0,0,0,0
5.523868,0,0,0,0
7.081623,0,0,0,0
4.836790,0,0,0,0
4.849413,0,0,0,0
4.718811,0,0,0,0
4.564921,0,0,0,0
6.113414,0,0,0,0
6.112658,0,0,0,0
5.098157,0,0,0,0
6.118111,0,0,0,0
6.521504,0,0,0,0
5.271565,0,0,0,0
5.546895,0,0,0,0
4.185233,0,0,0,0
