#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.411718,0.024376,0.210359,0.008550,0.008550,6.661849
7.559907,0.065959,0.683715,0.002720,0.002720,8.314674
4.279764,0.075947,3.592651,0.099021,0.099021,12.095283
7.241164,0.234478,17.958835,0.345936,0.345936,46.233334
8.206000,0.294840,16.058106,0.580861,0.580861,43.698333
6.623231,0.161796,6.345207,0.587644,0.587644,30.837501
10.395016,0.281934,26.891526,0.670878,0.670878,64.448595
5.451322,0.169692,10.332538,0.821987,0.821987,44.120951
9.615865,0.214389,20.245822,0.788037,0.788037,64.533782
10.555895,0.178010,27.657793,89.313244,89.313244,166.081314
11.613689,0.221409,28.046903,0.868305,0.868305,83.984425
12.616377,0.237392,21.721551,1.195591,1.195591,72.709713
7.997916,0.144487,17.200601,1.253069,1.253069,75.383247
13.565983,0.281450,18.108310,1.612570,1.612570,88.188618
8.312039,0.128027,21.843056,1.121078,1.121078,88.375580
8.421488,0.124665,21.724088,2.116979,2.116979,94.223467
8.297069,0.109280,15.931987,2.328610,2.328610,94.514257
9.665453,0.083590,18.869309,1.734853,1.734853,99.371849
10.605096,0.105793,17.708232,1.925140,1.925140,119.718781
9.513226,0.094661,23.338599,2.166008,2.166008,120.231156
16.077759,0.120535,33.027998,2.129843,2.129843,137.652215
8.123592,0.061030,27.702520,2.661641,2.661641,128.606214
9.551279,0.106618,29.638679,2.782844,2.782844,166.036574
9.888261,0.122723,28.599925,2.959222,2.959222,126.872716
8.411191,0.142082,27.421066,3.331887,3.331887,125.954322
9.409484,0.114443,26.313550,3.192782,3.192782,175.878918
8.414007,0.110937,30.166478,2.894494,2.894494,128.418724
8.093709,0.093054,22.689301,2.621403,2.621403,129.025855
7.696961,0.117180,18.960061,2.830187,2.830187,338.354742
11.227789,0.147297,30.667958,2.597967,2.597967,134.749263
9.545529,0.160945,30.272863,3.419196,3.419196,151.011573
10.201230,0.176296,29.762546,2.900923,2.900923,131.230542
10.450388,0.133028,32.027877,3.152595,3.152595,134.623458
9.303901,0.125171,29.196338,2.614955,2.614955,127.216932
20.256343,0.288993,42.522715,4.752343,4.752343,195.469934
19.376375,0.506489,36.980506,3.233098,3.233098,190.436159
