#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715523912143104.000000,0.000000,0.000000,12.041249,1.389806,0.003400,4.071122,0.009084,0.001296,16.415644
1403715523962142976.000000,0.000000,0.000000,12.928741,1.381848,0.065454,5.139599,1.084302,0.000776,17.007440
1403715524012143104.000000,0.000000,0.000000,12.441518,0.964744,0.036070,1.057509,2.065614,0.001543,16.212252
1403715524062142976.000000,0.000000,0.000000,12.683439,2.371628,0.077010,7.489546,4.396056,0.000844,17.894735
1403715524112143104.000000,0.000000,0.000000,11.886029,1.867944,0.052930,2.342180,4.156543,0.000524,16.365242
1403715524162142976.000000,0.000000,0.000000,11.840004,1.515256,0.060446,1.242151,3.337954,0.000706,15.940653
1403715524212143104.000000,0.000000,0.000000,12.111308,2.529833,0.101798,1.118319,1.971013,5.626150,17.510822
1403715524262142976.000000,0.000000,0.000000,11.713217,1.112769,0.050244,1.023794,2.037605,0.000990,15.699208
1403715524312143104.000000,0.000000,0.000000,12.285807,2.676906,0.119725,4.295883,4.452060,0.000844,18.529627
1403715524362142976.000000,0.000000,0.000000,12.261474,1.629405,0.048796,3.186386,6.931365,0.000575,16.397997
1403715524412143104.000000,0.000000,0.000000,11.381063,1.327875,0.052220,2.736173,6.644838,0.000455,15.727809
1403715524462142976.000000,0.000000,0.000000,10.923871,2.214360,0.092693,3.497576,5.099436,0.000739,15.968085
1403715524512143104.000000,0.000000,0.000000,10.800665,1.015599,0.044577,4.550757,5.319894,5.110731,14.369920
1403715524562142976.000000,0.000000,0.000000,12.071405,1.248145,0.057360,2.343301,4.048221,0.001101,15.901946
1403715524612143104.000000,0.000000,0.000000,11.507407,2.559388,0.104228,6.032438,5.601381,0.000854,17.794353
1403715524662142976.000000,0.000000,0.000000,12.807303,2.577734,0.136033,4.004833,7.704086,0.000602,18.408866
1403715524712143104.000000,0.000000,0.000000,11.414329,2.086155,0.066826,4.573571,8.559636,0.000624,16.480007
1403715524762142976.000000,0.000000,0.000000,12.072398,2.592138,0.106631,4.039194,6.529341,6.411576,17.533979
1403715524812143104.000000,0.000000,0.000000,12.750696,1.024009,0.066646,2.851040,6.955043,0.000785,16.226286
1403715524862142976.000000,0.000000,0.000000,12.276638,2.702349,0.100981,5.227957,8.490381,0.000727,18.004285
1403715524912143104.000000,0.000000,0.000000,11.939658,2.619351,0.106488,4.122180,7.314000,0.001356,17.625907
1403715524962142976.000000,0.000000,0.000000,10.467319,2.519932,0.107275,4.085367,8.184997,0.000838,16.481677
1403715525012143104.000000,0.000000,0.000000,11.556570,2.646523,0.099584,3.249827,7.041566,4.448345,17.151940
1403715525062142976.000000,0.000000,0.000000,11.513987,2.555155,0.136917,3.021666,7.357039,0.000797,17.149286
1403715525112143104.000000,0.000000,0.000000,12.249065,2.624517,0.103838,6.494800,8.291372,0.001017,17.825619
1403715525162142976.000000,0.000000,0.000000,11.376587,3.117920,0.107355,4.528173,8.088729,0.000761,17.561902
1403715525212143104.000000,0.000000,0.000000,12.507165,2.545096,0.100624,5.250220,9.127120,0.000417,18.722043
1403715525262142976.000000,0.000000,0.000000,12.382547,2.497322,0.100875,3.578980,7.715160,6.232632,17.995580
1403715525312143104.000000,0.000000,0.000000,11.117609,1.958844,0.053005,3.678004,8.740894,0.000701,15.782298
1403715525362142976.000000,0.000000,0.000000,11.982903,2.694822,0.100002,6.801107,8.583219,0.000828,17.719067
1403715525412143104.000000,0.000000,0.000000,11.467665,1.727219,0.094530,4.218210,8.043132,0.000521,16.029028
1403715525462142976.000000,0.000000,0.000000,14.604881,1.060169,0.043071,3.782965,8.857613,0.000763,18.404870
1403715525512143104.000000,0.000000,0.000000,11.441541,1.948510,0.059817,4.271530,9.525094,4.100088,15.866934
1403715525562142976.000000,0.000000,0.000000,12.086592,2.011578,0.094061,4.051593,9.849501,0.001152,17.198337
1403715525612143104.000000,0.000000,0.000000,12.509482,2.709622,0.115757,7.804606,8.811221,0.000958,18.762266
1403715525662142976.000000,0.000000,0.000000,11.717734,1.262556,0.048397,6.832782,9.589631,0.000674,15.572843
1403715525712143104.000000,0.000000,0.000000,12.042153,0.990182,0.046385,5.445142,8.957544,0.000693,15.909657
1403715525762142976.000000,0.000000,0.000000,12.398733,1.116767,0.050032,3.910621,8.449129,2.741974,16.553818
1403715525812143104.000000,0.000000,0.000000,11.614862,2.455541,0.103244,4.080013,8.593114,0.000990,17.202294
