#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.587850,0.101774,0.892365,0.008570,0.008570,7.597712
3.484273,0.085730,1.145704,0.001283,0.001283,4.718102
6.637422,0.290567,8.032803,0.737727,0.737727,38.063234
3.737722,0.184076,6.379488,1.192680,1.192680,27.624800
7.795030,0.250191,11.513805,1.325984,1.325984,54.762929
4.423268,0.137934,5.362568,0.849328,0.849328,40.087819
8.503336,0.217102,13.220836,1.097644,1.097644,64.139889
6.441213,0.266095,12.722469,1.234743,1.234743,62.488055
8.053926,0.264534,16.872542,1.770222,1.770222,67.059779
5.619401,0.191359,15.120024,56.537190,56.537190,123.108390
5.434275,0.176836,11.513272,1.620479,1.620479,57.129714
5.206645,0.124077,13.417987,1.917323,1.917323,59.549536
6.252788,0.195575,13.363012,2.302915,2.302915,65.790466
8.037209,0.173981,21.428791,2.909197,2.909197,78.992405
11.467019,0.279004,24.145851,3.348770,3.348770,95.018336
7.821852,0.275206,18.426213,3.590629,3.590629,87.977637
6.719700,0.343581,16.649322,3.608903,3.608903,95.309917
6.008848,0.366231,16.126367,5.467057,5.467057,91.617558
6.468012,0.263451,17.348126,4.218720,4.218720,94.736853
8.507221,0.306737,23.425043,3.956169,3.956169,105.576834
6.783574,0.225087,21.612113,4.482455,4.482455,117.887195
6.962975,0.217707,23.388252,7.158357,7.158357,124.772301
7.536706,0.224325,26.307647,5.497155,5.497155,115.321513
10.262502,0.219937,22.611877,5.647204,5.647204,124.412671
8.570691,0.265526,25.986660,5.275125,5.275125,120.631740
6.817396,0.190835,27.266229,5.222443,5.222443,116.064984
8.755363,0.275524,26.845416,5.203349,5.203349,316.970591
7.474832,0.282514,22.423110,4.772821,4.772821,117.170362
11.980759,0.408594,34.951347,4.387974,4.387974,130.949111
11.758510,0.574288,34.146515,7.186166,7.186166,136.828814
6.005560,0.285066,17.781403,5.570372,5.570372,119.097055
5.874651,0.326040,18.430479,5.895463,5.895463,115.954680
6.860035,0.255019,19.805106,5.270428,5.270428,124.907471
4.590486,0.180113,16.188467,5.598718,5.598718,116.013186
6.329982,0.192156,13.739567,4.341340,4.341340,99.497250
8.760421,0.290650,31.998845,5.316719,5.316719,133.923723
4.626894,0.238768,11.875407,5.347612,5.347612,101.238212
8.911223,0.476920,23.817494,5.665275,5.665275,126.511143
9.684423,0.396710,23.149500,4.257285,4.257285,122.987251
9.305889,0.546952,32.921258,4.773027,4.773027,184.216714
5.195682,0.341448,13.011283,3.062202,3.062202,114.333858
4.280367,0.261939,11.982054,2.101233,2.101233,102.600698
4.436614,0.379269,10.308402,2.237614,2.237614,106.345920
3.621839,0.202368,10.286657,1.680119,1.680119,100.118801
4.385712,0.231087,14.443515,2.861028,2.861028,117.199309
5.914953,0.239858,14.686257,5.281441,5.281441,118.788427
6.139619,0.335233,14.420359,4.760316,4.760316,117.566721
5.650696,0.236162,15.265515,4.754538,4.754538,123.097414
5.927737,0.283624,14.566976,2.175942,2.175942,71.467978
3.545185,0.266394,12.178982,2.588015,2.588015,115.176166
1.982025,0.272051,5.890702,2.465353,2.465353,41.808393
3.284566,0.264105,13.257412,1.295180,1.295180,65.124533
5.141684,0.250409,17.126347,1.565522,1.565522,73.505166
4.013581,0.233710,13.963240,5.052801,5.052801,104.254866
6.449195,0.279213,18.973595,4.443873,4.443873,106.558554
5.163971,0.242434,22.351012,5.205126,5.205126,125.007114
5.589023,0.261330,21.178720,4.972893,4.972893,124.813933
6.864076,0.340932,25.650290,4.971428,4.971428,118.828866
4.368500,0.202841,16.077305,2.776935,2.776935,136.818976
5.391618,0.275657,17.532513,3.545321,3.545321,117.650615
5.435068,0.282016,19.819270,3.426723,3.426723,113.695210
5.788848,0.260025,20.687431,4.211984,4.211984,109.183314
5.103009,0.236736,26.181278,5.448163,5.448163,124.660803
6.322760,0.325482,23.609226,5.657158,5.657158,120.148137
4.930781,0.273125,15.926359,4.878831,4.878831,106.542314
4.981791,0.192009,15.178312,6.181836,6.181836,106.962201
4.003048,0.219153,13.831068,3.221847,3.221847,103.853333
5.406430,0.122884,20.479036,3.870358,3.870358,106.167176
7.115820,0.180039,29.042782,5.176665,5.176665,120.150366
8.173724,0.180839,27.645003,5.461710,5.461710,125.799852
7.336843,0.284251,26.283996,4.232622,4.232622,122.443760
7.896450,0.220120,26.178342,4.691434,4.691434,123.939552
7.707680,0.231501,24.069211,4.712294,4.712294,122.806417
6.957940,0.254527,25.917728,3.774940,3.774940,122.217855
8.656135,0.295252,26.367804,4.885128,4.885128,122.531273
6.918325,0.225799,26.616190,4.491558,4.491558,156.004098
7.564710,0.254059,29.154110,3.829255,3.829255,124.203711
7.609728,0.270319,27.570554,6.290796,6.290796,125.983407
7.276092,0.279088,24.897868,4.899194,4.899194,120.579753
6.371492,0.275496,27.949962,3.882176,3.882176,127.054581
5.827969,0.317095,20.611298,6.724132,6.724132,121.159857
5.761779,0.253132,20.211370,4.671883,4.671883,129.686644
5.768486,0.251052,32.588926,4.395807,4.395807,130.292799
5.359048,0.150288,14.424569,6.646831,6.646831,113.079031
5.869445,0.223327,26.688500,3.989000,3.989000,125.432786
5.282383,0.266001,20.660672,6.305812,6.305812,352.959177
4.772841,0.336810,19.423511,4.141344,4.141344,117.516184
5.160928,0.309607,11.897016,4.337215,4.337215,125.367260
5.145846,0.939023,19.758637,2.965542,2.965542,133.515934
7.275388,0.613231,21.009854,3.169877,3.169877,121.476727
9.033935,0.685238,14.433379,2.371418,2.371418,121.742133
7.497704,0.416404,13.831320,2.559654,2.559654,120.426522
11.191925,0.518151,22.671769,2.875458,2.875458,124.979113
