#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007397,3,1,0,1290
0.002690,4,1,0,1929
0.220484,5,1,0,2436
0.509270,6,1,0,2768
0.662718,7,1,0,3069
0.737614,8,1,0,3502
1.059670,9,1,0,3682
1.408989,10,1,0,3521
1.269617,0,0,0,0
52.082447,0,0,0,0
1.693640,0,0,0,0
1.266609,0,0,0,0
1.347171,0,0,0,0
1.506176,0,0,0,0
1.490792,0,0,0,0
1.541861,0,0,0,0
1.661850,0,0,0,0
1.814048,0,0,0,0
2.081123,0,0,0,0
2.199463,0,0,0,0
3.540725,0,0,0,0
4.450172,0,0,0,0
3.406036,0,0,0,0
3.086795,0,0,0,0
3.056112,0,0,0,0
3.349387,0,0,0,0
3.359133,0,0,0,0
4.130336,0,0,0,0
2.865803,0,0,0,0
2.985282,0,0,0,0
3.002901,0,0,0,0
3.003576,0,0,0,0
3.137417,0,0,0,0
3.406832,0,0,0,0
3.265665,0,0,0,0
2.614269,0,0,0,0
2.534513,0,0,0,0
2.856469,0,0,0,0
2.827759,0,0,0,0
2.535513,0,0,0,0
2.979350,0,0,0,0
2.175212,0,0,0,0
2.207122,0,0,0,0
2.494501,0,0,0,0
2.470723,0,0,0,0
2.418006,0,0,0,0
2.594529,0,0,0,0
3.138161,0,0,0,0
3.507809,0,0,0,0
2.970622,0,0,0,0
3.092834,0,0,0,0
3.163262,0,0,0,0
2.458393,0,0,0,0
1.967207,0,0,0,0
2.335692,0,0,0,0
1.552403,0,0,0,0
1.376352,0,0,0,0
0.687575,0,0,0,0
1.516824,0,0,0,0
1.151154,0,0,0,0
0.944743,0,0,0,0
0.985841,0,0,0,0
0.995335,0,0,0,0
1.890518,0,0,0,0
0.628498,0,0,0,0
1.721208,0,0,0,0
1.250458,0,0,0,0
1.391285,0,0,0,0
1.810733,0,0,0,0
1.462001,0,0,0,0
1.587477,0,0,0,0
1.123576,0,0,0,0
2.052256,0,0,0,0
3.596659,0,0,0,0
1.954119,0,0,0,0
2.134534,0,0,0,0
2.308380,0,0,0,0
2.069212,0,0,0,0
2.187131,0,0,0,0
3.060755,0,0,0,0
2.820593,0,0,0,0
3.345219,0,0,0,0
4.022914,0,0,0,0
2.272240,0,0,0,0
2.765778,0,0,0,0
2.810837,0,0,0,0
3.818969,0,0,0,0
2.816303,0,0,0,0
1.749940,0,0,0,0
2.290713,0,0,0,0
2.285875,0,0,0,0
3.949701,0,0,0,0
2.471581,0,0,0,0
2.780290,0,0,0,0
4.028405,0,0,0,0
3.651771,0,0,0,0
3.806287,0,0,0,0
3.038507,0,0,0,0
2.686581,0,0,0,0
3.823642,0,0,0,0
2.744974,0,0,0,0
2.993626,0,0,0,0
3.569386,0,0,0,0
4.871821,0,0,0,0
3.346281,0,0,0,0
3.892341,0,0,0,0
2.585089,0,0,0,0
2.234461,0,0,0,0
1.412909,0,0,0,0
1.620213,0,0,0,0
1.948774,0,0,0,0
3.554726,0,0,0,0
1.479490,0,0,0,0
1.138294,0,0,0,0
1.637607,0,0,0,0
0.629961,0,0,0,0
0.749374,0,0,0,0
1.549059,0,0,0,0
2.103427,0,0,0,0
1.872804,0,0,0,0
2.188790,0,0,0,0
1.289079,0,0,0,0
3.128212,0,0,0,0
3.420409,0,0,0,0
3.201355,0,0,0,0
3.063297,0,0,0,0
2.755523,0,0,0,0
3.128663,0,0,0,0
4.261047,0,0,0,0
3.447360,0,0,0,0
5.284169,0,0,0,0
6.635385,0,0,0,0
3.662953,0,0,0,0
4.043483,0,0,0,0
4.568946,0,0,0,0
4.183565,0,0,0,0
5.000304,0,0,0,0
5.708817,0,0,0,0
4.787487,0,0,0,0
3.448014,0,0,0,0
7.886552,0,0,0,0
5.274625,0,0,0,0
3.924448,0,0,0,0
4.103552,0,0,0,0
4.828511,0,0,0,0
4.954633,0,0,0,0
3.450447,0,0,0,0
4.466374,0,0,0,0
4.111476,0,0,0,0
6.792067,0,0,0,0
3.536302,0,0,0,0
7.774065,0,0,0,0
4.390237,0,0,0,0
5.031891,0,0,0,0
4.188448,0,0,0,0
4.314122,0,0,0,0
3.866483,0,0,0,0
3.770860,0,0,0,0
3.395110,0,0,0,0
4.430803,0,0,0,0
6.512758,0,0,0,0
4.486682,0,0,0,0
3.685524,0,0,0,0
5.465845,0,0,0,0
9.219107,0,0,0,0
5.911942,0,0,0,0
6.300850,0,0,0,0
5.265717,0,0,0,0
4.735798,0,0,0,0
12.474688,0,0,0,0
5.777805,0,0,0,0
6.565729,0,0,0,0
5.616191,0,0,0,0
5.886278,0,0,0,0
4.466685,0,0,0,0
4.183089,0,0,0,0
5.790573,0,0,0,0
7.423196,0,0,0,0
5.424468,0,0,0,0
7.136492,0,0,0,0
5.922707,0,0,0,0
6.912461,0,0,0,0
6.088774,0,0,0,0
6.154544,0,0,0,0
6.654158,0,0,0,0
6.127598,0,0,0,0
4.844509,0,0,0,0
2.676294,0,0,0,0
4.780724,0,0,0,0
3.512457,0,0,0,0
4.198695,0,0,0,0
3.742919,0,0,0,0
3.746915,0,0,0,0
1.514997,0,0,0,0
2.729987,0,0,0,0
1.496152,0,0,0,0
2.126908,0,0,0,0
1.566400,0,0,0,0
3.195189,0,0,0,0
1.961636,0,0,0,0
5.928892,0,0,0,0
1.715353,0,0,0,0
1.657070,0,0,0,0
1.594446,0,0,0,0
2.663355,0,0,0,0
1.161235,0,0,0,0
2.261827,0,0,0,0
1.020527,0,0,0,0
1.045421,0,0,0,0
0.901095,0,0,0,0
0.991627,0,0,0,0
1.519074,0,0,0,0
1.051014,0,0,0,0
1.017164,0,0,0,0
1.185488,0,0,0,0
0.811199,0,0,0,0
0.794895,0,0,0,0
0.785802,0,0,0,0
0.701550,0,0,0,0
0.911543,0,0,0,0
1.771547,0,0,0,0
1.417911,0,0,0,0
1.837495,0,0,0,0
0.815378,0,0,0,0
2.250408,0,0,0,0
1.599332,0,0,0,0
2.701380,0,0,0,0
1.871203,0,0,0,0
2.025109,0,0,0,0
1.318478,0,0,0,0
2.701289,0,0,0,0
1.494698,0,0,0,0
1.575955,0,0,0,0
1.488579,0,0,0,0
1.921224,0,0,0,0
1.759596,0,0,0,0
1.698451,0,0,0,0
0.740390,0,0,0,0
1.277805,0,0,0,0
1.978460,0,0,0,0
1.792757,0,0,0,0
3.584389,0,0,0,0
1.502644,0,0,0,0
1.257978,0,0,0,0
2.314888,0,0,0,0
1.846055,0,0,0,0
1.392332,0,0,0,0
2.558788,0,0,0,0
1.347032,0,0,0,0
2.431967,0,0,0,0
1.781803,0,0,0,0
2.063652,0,0,0,0
1.670227,0,0,0,0
1.324664,0,0,0,0
1.406337,0,0,0,0
1.755163,0,0,0,0
1.037163,0,0,0,0
2.528188,0,0,0,0
1.683893,0,0,0,0
1.979355,0,0,0,0
1.154905,0,0,0,0
3.331971,0,0,0,0
2.247393,0,0,0,0
1.304323,0,0,0,0
1.196078,0,0,0,0
1.417787,0,0,0,0
0.909693,0,0,0,0
1.748664,0,0,0,0
1.865062,0,0,0,0
2.566463,0,0,0,0
2.293041,0,0,0,0
1.393330,0,0,0,0
1.917473,0,0,0,0
1.918539,0,0,0,0
1.572167,0,0,0,0
2.869211,0,0,0,0
1.930597,0,0,0,0
1.527308,0,0,0,0
2.290228,0,0,0,0
1.642528,0,0,0,0
2.651910,0,0,0,0
2.792018,0,0,0,0
1.930868,0,0,0,0
2.633453,0,0,0,0
1.887881,0,0,0,0
2.018722,0,0,0,0
2.517892,0,0,0,0
2.944963,0,0,0,0
2.329733,0,0,0,0
2.021042,0,0,0,0
2.438534,0,0,0,0
2.493528,0,0,0,0
2.919249,0,0,0,0
1.776767,0,0,0,0
1.833199,0,0,0,0
1.767480,0,0,0,0
1.803826,0,0,0,0
1.815004,0,0,0,0
1.680947,0,0,0,0
1.684992,0,0,0,0
2.317237,0,0,0,0
