#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008287,3,1,0,707
0.003103,4,1,0,907
0.308591,5,1,0,1146
0.206726,6,1,0,1357
0.307427,7,1,0,1541
0.379562,8,1,0,1739
1.106250,9,1,0,1949
0.787645,10,1,0,2130
0.892851,0,0,0,0
59.221559,0,0,0,0
1.382846,0,0,0,0
1.570744,3,1,0,1023
1.707629,4,1,0,1328
0.003024,5,1,0,1625
0.002089,6,1,0,1588
0.118846,7,1,0,1662
0.580931,8,1,0,2099
0.440178,9,1,0,2570
0.446882,10,1,0,3052
0.894063,0,0,0,0
0.680013,0,0,0,0
0.827807,0,0,0,0
46.315155,0,0,0,0
1.329467,0,0,0,0
1.534955,0,0,0,0
1.194298,0,0,0,0
1.501549,0,0,0,0
1.727235,0,0,0,0
1.716838,0,0,0,0
1.729633,0,0,0,0
2.092521,0,0,0,0
2.107376,0,0,0,0
2.446461,0,0,0,0
2.482356,0,0,0,0
3.551767,0,0,0,0
2.988788,0,0,0,0
3.195954,0,0,0,0
3.654322,0,0,0,0
4.872969,0,0,0,0
3.391397,0,0,0,0
3.420670,3,1,0,605
4.572209,4,1,0,796
2.813407,5,1,0,1011
3.343296,6,1,0,1254
0.002204,7,1,0,1466
0.001287,8,1,0,1678
0.231633,9,1,0,1887
0.348083,10,1,0,2116
0.327038,0,0,0,0
0.414533,3,1,0,860
1.258957,4,1,0,1074
1.607033,5,1,0,1316
1.672820,6,1,0,1579
50.161392,7,1,0,1860
2.139619,8,1,0,2132
0.001636,9,1,0,2357
0.002827,10,1,0,2587
0.469237,0,0,0,0
0.313789,3,1,0,561
0.380124,4,1,0,863
0.522045,5,1,0,1180
0.618429,6,1,0,1494
1.825205,7,1,0,1905
2.049442,8,1,0,2302
39.776688,9,1,0,2666
1.527021,10,1,0,3008
0.003574,0,0,0,0
0.002483,0,0,0,0
0.165275,0,0,0,0
0.618497,0,0,0,0
0.683181,0,0,0,0
1.048474,0,0,0,0
0.653009,0,0,0,0
1.330604,0,0,0,0
1.039823,0,0,0,0
56.052860,0,0,0,0
1.031266,0,0,0,0
1.229332,0,0,0,0
0.940609,0,0,0,0
1.253684,0,0,0,0
1.382631,0,0,0,0
1.791141,0,0,0,0
1.420637,0,0,0,0
1.715120,0,0,0,0
1.948824,0,0,0,0
1.999125,0,0,0,0
2.391022,0,0,0,0
2.464389,0,0,0,0
2.709797,0,0,0,0
3.381115,0,0,0,0
4.751520,0,0,0,0
2.917842,0,0,0,0
3.871681,0,0,0,0
5.134412,0,0,0,0
3.128148,0,0,0,0
4.871168,0,0,0,0
3.392572,0,0,0,0
4.803943,0,0,0,0
3.307366,0,0,0,0
6.317658,0,0,0,0
3.231813,0,0,0,0
4.994555,0,0,0,0
3.629531,0,0,0,0
6.905654,0,0,0,0
5.064887,0,0,0,0
3.683666,0,0,0,0
3.208650,0,0,0,0
2.981957,0,0,0,0
3.840049,0,0,0,0
5.422436,0,0,0,0
3.099002,0,0,0,0
2.420296,0,0,0,0
3.456178,0,0,0,0
4.415611,0,0,0,0
4.554820,0,0,0,0
2.359486,0,0,0,0
4.371671,0,0,0,0
2.595144,0,0,0,0
3.301021,0,0,0,0
2.480814,0,0,0,0
3.331163,0,0,0,0
2.656260,0,0,0,0
3.780659,0,0,0,0
3.809920,0,0,0,0
3.486139,0,0,0,0
2.330347,0,0,0,0
4.560296,0,0,0,0
3.504361,0,0,0,0
3.397644,0,0,0,0
4.212246,0,0,0,0
3.805078,0,0,0,0
3.375347,0,0,0,0
5.778492,0,0,0,0
4.065110,0,0,0,0
5.554439,0,0,0,0
1.506793,0,0,0,0
2.738443,0,0,0,0
2.430256,0,0,0,0
3.048565,0,0,0,0
5.476918,0,0,0,0
3.708339,0,0,0,0
3.327321,0,0,0,0
3.747255,0,0,0,0
4.923594,0,0,0,0
4.344448,0,0,0,0
5.602898,0,0,0,0
4.488229,0,0,0,0
4.021014,0,0,0,0
6.577808,0,0,0,0
5.561880,0,0,0,0
3.851231,0,0,0,0
5.312688,0,0,0,0
4.237211,0,0,0,0
5.002382,0,0,0,0
6.430864,0,0,0,0
5.601260,0,0,0,0
6.851003,0,0,0,0
5.799116,0,0,0,0
6.605405,0,0,0,0
6.049298,0,0,0,0
5.887507,0,0,0,0
8.579500,0,0,0,0
8.003643,0,0,0,0
8.794790,0,0,0,0
8.690788,0,0,0,0
8.438609,0,0,0,0
6.244654,0,0,0,0
9.016491,0,0,0,0
9.206496,0,0,0,0
8.212663,0,0,0,0
7.766624,0,0,0,0
7.990093,0,0,0,0
3.098392,0,0,0,0
8.793214,0,0,0,0
4.871798,0,0,0,0
7.517431,0,0,0,0
5.242647,0,0,0,0
6.599060,0,0,0,0
7.632151,0,0,0,0
7.886423,0,0,0,0
7.655075,0,0,0,0
8.267007,0,0,0,0
6.653310,0,0,0,0
6.684356,0,0,0,0
9.563262,0,0,0,0
5.979721,0,0,0,0
6.243924,0,0,0,0
10.125021,0,0,0,0
9.290434,0,0,0,0
10.795691,0,0,0,0
8.224637,0,0,0,0
7.923616,0,0,0,0
8.632831,0,0,0,0
13.966035,0,0,0,0
8.708972,0,0,0,0
10.007128,0,0,0,0
8.587819,0,0,0,0
12.361681,0,0,0,0
10.665504,0,0,0,0
7.927226,0,0,0,0
11.122129,0,0,0,0
9.002169,0,0,0,0
10.745843,0,0,0,0
