#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.574696,2.859802,0.003503,5.315606,1.864828,0.001137,22.963159
1403637130588318976.000000,0.000000,0.000000,17.629158,2.683274,0.062769,1.630159,1.400551,0.000622,23.234248
1403637130638319104.000000,0.000000,0.000000,18.814366,2.501297,0.043515,1.664841,1.201512,0.000404,24.194173
1403637130688318976.000000,0.000000,0.000000,18.256217,4.346748,0.055886,1.698275,1.463686,0.001228,25.376573
1403637130738319104.000000,0.000000,0.000000,17.890940,6.023845,0.163747,1.639955,1.562976,0.000388,27.587309
1403637130788318976.000000,0.000000,0.000000,17.684952,2.540837,0.055642,2.976233,3.408397,0.181482,30.273407
1403637130838319104.000000,0.000000,0.000000,17.893738,2.290747,0.077042,1.690482,1.642687,0.000377,26.427962
1403637130888318976.000000,0.000000,0.000000,17.744683,2.370206,0.051883,1.982643,1.380743,0.000351,25.754487
1403637130938319104.000000,0.000000,0.000000,17.022820,2.424200,0.052316,1.669754,1.623718,0.000474,25.169393
1403637130988318976.000000,0.000000,0.000000,17.317079,2.463167,0.056175,1.756238,1.280037,0.000379,25.398400
1403637131038319104.000000,0.000000,0.000000,16.688688,2.630672,0.076837,3.662171,4.034408,0.000718,29.142516
1403637131088318976.000000,0.000000,0.000000,16.979226,2.531140,0.053455,1.828997,1.495880,0.173552,25.442782
1403637131138319104.000000,0.000000,0.000000,17.949887,3.563061,0.054581,1.957861,1.735554,0.000365,28.123261
1403637131188318976.000000,0.000000,0.000000,17.392878,2.383490,0.056909,3.911767,3.253316,0.000672,25.889787
1403637131238319104.000000,0.000000,0.000000,16.141592,2.502128,0.059331,1.484652,1.604766,0.000398,24.952613
1403637131288318976.000000,0.000000,0.000000,17.566342,5.715728,0.093471,1.743023,1.556942,0.000391,34.448267
1403637131338319104.000000,0.000000,0.000000,17.678540,2.938421,0.077497,2.907388,2.081970,0.224085,26.610980
1403637131388318976.000000,0.000000,0.000000,17.068658,2.812402,0.055702,1.814862,1.517949,0.000453,26.781499
1403637131438319104.000000,0.000000,0.000000,17.083719,5.954991,0.105912,2.619893,1.929975,0.000643,33.182905
1403637131488318976.000000,0.000000,0.000000,16.579405,2.426230,0.047397,1.935599,1.602991,0.000572,24.533777
1403637131538319104.000000,0.000000,0.000000,16.251324,3.511277,0.056465,2.678114,3.139283,0.000578,26.390338
1403637131588318976.000000,0.000000,0.000000,16.611715,4.535924,0.083576,2.455283,1.686176,0.195600,29.125248
1403637131638319104.000000,0.000000,0.000000,15.586498,2.578545,0.060828,3.833650,2.180742,0.000595,23.930311
1403637131688318976.000000,0.000000,0.000000,16.552185,3.680412,0.067582,1.992787,1.648524,0.000403,27.481990
1403637131738319104.000000,0.000000,0.000000,17.387061,2.535781,0.061323,2.191437,1.781032,0.000381,26.403366
1403637131788318976.000000,0.000000,0.000000,17.541664,3.726886,0.076092,3.916617,2.926523,0.000809,29.885830
1403637131838319104.000000,0.000000,0.000000,16.329564,3.646927,0.061460,1.751109,1.676168,0.175569,26.860161
1403637131888318976.000000,0.000000,0.000000,16.816645,3.500074,0.139321,1.829400,1.594791,0.000388,29.161962
1403637131938319104.000000,0.000000,0.000000,15.407770,2.671187,0.047233,4.052590,3.817221,0.000715,24.323911
1403637131988318976.000000,0.000000,0.000000,17.557759,2.576502,0.067003,2.053103,1.860809,0.000386,26.786864
1403637132038319104.000000,0.000000,0.000000,16.619301,5.394910,0.098380,1.862641,1.762487,0.000446,32.042399
1403637132088318976.000000,0.000000,0.000000,17.175573,2.403422,0.075835,1.866839,1.537630,0.141065,25.839822
1403637132138319104.000000,0.000000,0.000000,16.583762,2.346197,0.046579,1.819236,1.871796,0.000603,24.872848
1403637132188318976.000000,0.000000,0.000000,17.342565,6.209858,0.102389,3.211657,1.899269,0.000527,34.345345
1403637132238319104.000000,0.000000,0.000000,16.487946,4.174541,0.046312,1.971377,1.572123,0.000453,27.139093
1403637132288318976.000000,0.000000,0.000000,16.648218,2.501427,0.048534,3.533989,1.559563,0.000601,25.864045
1403637132338319104.000000,0.000000,0.000000,17.807262,2.457105,0.056342,3.965722,4.033849,0.296095,27.016758
1403637132388318976.000000,0.000000,0.000000,17.840033,2.405361,0.179340,3.822482,4.212523,0.000763,27.125063
1403637132438319104.000000,0.000000,0.000000,20.018637,5.682230,0.086510,4.501165,3.859818,0.000903,33.770428
1403637132488318976.000000,0.000000,0.000000,16.376090,2.494380,0.058548,4.398734,3.712482,0.000976,25.237422
1403637132538319104.000000,0.000000,0.000000,16.994972,6.366668,0.115126,3.092743,2.167382,0.000497,31.313672
1403637132588318976.000000,0.000000,0.000000,16.324670,6.150942,0.104872,3.247904,2.600499,0.274978,33.925886
1403637132638319104.000000,0.000000,0.000000,17.509595,6.007983,0.097936,2.135942,1.531488,0.000453,34.555913
1403637132688318976.000000,0.000000,0.000000,18.347081,6.158286,0.108741,1.783039,1.719235,0.000459,36.162932
1403637132738319104.000000,0.000000,0.000000,18.364159,6.110805,0.100023,1.704056,1.966322,0.000442,36.052784
1403637132788318976.000000,0.000000,0.000000,17.555234,6.610001,0.101918,3.658493,3.616437,0.000602,32.705076
1403637132838319104.000000,0.000000,0.000000,17.088954,5.720231,0.229369,1.794727,1.914206,0.179609,32.499192
1403637132888318976.000000,0.000000,0.000000,16.556700,5.550627,0.076522,0.041464,2.879603,0.027612,28.740171
1403637132938319104.000000,0.000000,0.000000,18.392400,2.983472,0.054807,0.145356,2.830663,0.025211,27.536868
1403637132988318976.000000,0.000000,0.000000,16.672985,4.735213,0.048150,0.040787,6.976705,0.049508,27.944049
1403637133038319104.000000,0.000000,0.000000,17.938749,5.705142,0.099406,0.026576,3.328723,0.292062,33.948517
1403637133088318976.000000,0.000000,0.000000,16.822470,5.740179,0.049574,0.052919,3.434354,0.042831,29.583440
1403637133138319104.000000,0.000000,0.000000,19.069429,2.751304,0.049361,0.034043,3.672349,0.247801,27.741722
1403637133188318976.000000,0.000000,0.000000,17.947323,2.522927,0.060595,0.035844,3.037574,0.024027,26.267153
1403637133238319104.000000,0.000000,0.000000,16.491718,6.200880,0.110879,0.031416,3.686810,0.242597,32.865287
1403637133288318976.000000,0.000000,0.000000,19.402747,2.908226,0.060955,5.778708,1.661887,0.000652,28.730262
1403637133338319104.000000,0.000000,0.000000,17.210073,2.531349,0.048767,2.944822,2.471754,0.000722,26.015014
1403637133388318976.000000,0.000000,0.000000,17.377194,2.440693,0.056829,2.673732,2.495741,0.000728,26.434004
1403637133438319104.000000,0.000000,0.000000,17.526687,3.001577,0.047159,2.806570,2.715799,0.000857,26.330279
1403637133488318976.000000,0.000000,0.000000,17.587958,2.642450,0.064534,3.131653,3.175236,0.920235,26.876930
1403637133538319104.000000,0.000000,0.000000,18.732609,5.812529,0.116977,5.055167,6.625088,0.001261,27.244631
1403637133588318976.000000,0.000000,0.000000,17.939909,6.452969,0.051384,1.910582,2.189164,0.000467,39.215463
1403637133638319104.000000,0.000000,0.000000,19.347093,3.354506,0.102543,1.476298,2.296895,0.000557,25.276362
1403637133688318976.000000,0.000000,0.000000,16.826235,2.507384,0.066691,1.221770,2.151440,0.000404,22.942055
1403637133738319104.000000,0.000000,0.000000,16.298820,2.714137,0.117287,3.161822,3.886656,0.000967,30.158815
1403637133788318976.000000,0.000000,0.000000,17.319397,5.539187,0.056803,2.221190,3.867837,0.752445,31.606653
1403637133838319104.000000,0.000000,0.000000,18.427715,3.215795,0.087153,2.915937,3.068756,0.000519,29.454168
1403637133888318976.000000,0.000000,0.000000,17.946292,7.805837,0.115564,4.203945,5.135316,0.000698,34.138126
1403637133938319104.000000,0.000000,0.000000,16.265730,9.519428,0.091475,3.474669,5.307327,0.000720,36.603607
1403637133988318976.000000,0.000000,0.000000,17.531682,9.111714,0.060094,1.983066,3.385599,0.000630,41.432448
1403637134038319104.000000,0.000000,0.000000,16.623043,3.473297,0.050278,2.792959,4.519520,0.001230,26.784459
1403637134088318976.000000,0.000000,0.000000,16.725475,6.140622,0.064591,3.143167,5.056858,0.657836,29.969016
1403637134138319104.000000,0.000000,0.000000,17.543840,3.919997,0.171063,5.334094,5.626335,0.000828,27.763571
1403637134188318976.000000,0.000000,0.000000,16.735497,9.936570,0.094294,5.080466,5.480336,0.000693,36.996569
1403637134238319104.000000,0.000000,0.000000,16.084421,10.269317,0.049537,2.386554,3.756317,0.000506,36.760548
1403637134288318976.000000,0.000000,0.000000,16.097283,4.254872,0.106958,1.971254,4.045953,0.000526,29.614202
1403637134338319104.000000,0.000000,0.000000,17.074035,9.317165,0.088884,1.954180,4.190426,0.000499,38.718134
1403637134388318976.000000,0.000000,0.000000,16.106523,10.042782,0.063031,3.022868,4.951005,0.361387,38.004561
