#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.068238,0.025980,0.292550,0.008457,0.008457,6.402861
4.138639,0.031939,0.312390,0.001262,0.001262,4.485546
7.228724,0.125504,3.883934,0.171003,0.171003,19.098202
5.930808,0.088589,4.469430,0.179340,0.179340,18.106921
5.822942,0.148148,4.844921,0.201711,0.201711,21.657450
8.332118,0.121234,4.886699,0.777169,0.777169,33.328142
9.342969,0.208760,14.923732,0.693397,0.693397,63.176783
4.829912,0.115357,5.937466,0.705160,0.705160,45.220112
5.814838,0.095389,6.275269,0.874719,0.874719,33.434006
9.618549,0.120274,16.766378,51.066566,51.066566,117.955582
11.052039,0.154446,26.318875,0.823140,0.823140,67.170738
6.931567,0.106432,13.217839,0.649302,0.649302,62.606009
6.798104,0.135589,12.220260,0.910406,0.910406,67.737727
11.373718,0.192996,19.590876,0.919530,0.919530,78.899836
14.426328,0.219529,25.953128,1.160841,1.160841,106.833954
7.915796,0.088814,13.861443,1.528831,1.528831,83.323756
9.258018,0.084821,14.779226,1.870640,1.870640,86.307818
10.661271,0.120364,22.421248,1.256056,1.256056,107.210395
7.260709,0.088611,14.017493,2.007395,2.007395,98.050806
7.602589,0.085614,15.271036,1.769321,1.769321,98.571946
14.469193,0.176150,32.305286,1.947156,1.947156,132.343709
15.798258,0.132027,33.684619,2.603019,2.603019,159.022834
8.347664,0.079779,28.527199,2.749656,2.749656,120.195623
9.115780,0.073490,24.188998,2.414533,2.414533,116.682998
10.590618,0.144716,26.570577,2.733937,2.733937,143.940774
9.059633,0.250812,33.305980,2.307293,2.307293,161.422472
7.924968,0.089908,18.428887,2.487881,2.487881,112.688658
7.358859,0.097850,18.690051,1.934779,1.934779,372.983568
8.981759,0.213883,21.298741,2.408925,2.408925,135.092756
8.704135,0.088286,18.026969,2.347335,2.347335,109.862076
7.958154,0.101633,20.346607,1.650945,1.650945,103.826644
10.256717,0.111186,26.047913,2.582779,2.582779,139.124736
9.351070,0.119559,25.400113,2.813014,2.813014,125.865715
9.994187,0.135309,21.422963,1.648423,1.648423,120.207089
11.941545,0.127914,25.870526,3.048307,3.048307,132.450532
17.981995,0.266715,39.816137,2.949526,2.949526,147.980442
9.381575,0.132363,22.025956,1.970110,1.970110,133.227204
19.241195,0.278525,30.358619,3.236934,3.236934,194.610612
8.795431,0.149286,23.069232,2.315739,2.315739,136.526798
10.206016,0.166876,26.382652,3.032913,3.032913,136.005527
8.656624,0.119446,19.977001,4.172278,4.172278,128.502958
10.274702,0.118570,19.219995,2.496500,2.496500,117.919487
13.905668,0.135677,26.218158,2.452695,2.452695,131.245948
12.845841,0.140517,37.683784,2.129074,2.129074,145.824758
7.252300,0.053285,16.361463,2.629770,2.629770,113.154576
9.026490,0.053490,17.100157,3.003883,3.003883,115.391604
7.567359,0.057469,17.704785,2.991463,2.991463,106.089685
6.607344,0.026931,0.260545,0.002406,0.002406,6.898650
6.767687,0.084851,0.796166,0.002674,0.002674,7.653534
6.719257,0.105358,0.930123,0.161643,0.161643,15.148808
7.229281,0.083841,1.238871,0.447644,0.447644,15.347898
4.471763,0.016683,1.048690,0.269139,0.269139,10.680342
4.262992,0.015903,0.888529,0.295876,0.295876,9.096467
7.584306,0.027229,2.366030,0.698228,0.698228,20.484035
4.423502,0.011595,1.099901,0.524297,0.524297,16.210676
9.021958,0.025820,3.074731,0.904718,0.904718,27.877465
8.044106,0.026573,3.364575,38.320804,38.320804,66.211829
8.574933,0.018651,3.376633,1.072994,1.072994,48.032991
6.396251,0.031253,0.332296,0.002866,0.002866,6.764663
4.518808,0.037925,0.347861,0.001511,0.001511,4.907205
4.751858,0.066490,0.495353,0.144163,0.144163,8.549501
6.646390,0.154306,4.618043,0.426934,0.426934,22.485910
8.574158,0.140271,10.226786,0.667666,0.667666,40.902653
4.468205,0.124325,7.481593,0.643111,0.643111,35.523855
9.429573,0.306394,15.358798,0.787816,0.787816,48.589075
9.637919,0.390075,20.893990,0.870210,0.870210,66.913203
10.065770,0.284851,25.366842,0.908305,0.908305,73.414766
5.191023,0.124463,16.898472,57.347709,57.347709,119.916937
7.120263,0.154032,11.990185,0.713050,0.713050,66.666548
11.160647,0.363725,32.612788,0.901053,0.901053,84.948236
12.581093,0.331350,31.485250,0.989149,0.989149,101.288085
11.335036,0.224165,27.773856,1.293102,1.293102,100.586186
10.703524,0.258442,26.112579,1.653626,1.653626,98.047356
12.221541,0.320164,27.511762,1.480160,1.480160,101.843194
10.409275,0.232067,24.069947,1.644052,1.644052,118.511973
8.132374,0.174317,17.561263,2.390960,2.390960,111.369290
7.169174,0.176163,19.051115,1.918667,1.918667,105.192119
9.749296,0.264988,33.592224,2.108488,2.108488,130.581093
7.353232,0.157821,19.747390,3.894851,3.894851,130.031288
7.067569,0.184444,19.643588,2.872920,2.872920,124.722998
7.711411,0.148097,18.151849,2.858556,2.858556,132.750114
7.682908,0.153983,20.121384,3.297048,3.297048,122.203990
6.871343,0.189343,15.628548,3.073656,3.073656,120.361714
7.105523,0.174698,18.545421,3.182798,3.182798,397.661577
7.232386,0.218080,16.726968,3.219186,3.219186,129.644623
7.733015,0.280204,28.997880,3.258518,3.258518,129.759960
6.571274,0.192630,16.568912,2.460514,2.460514,124.073216
12.852291,0.371792,33.134666,3.220181,3.220181,151.660112
13.442675,0.301183,26.240567,2.656322,2.656322,140.615153
6.631986,0.171303,25.302635,3.759274,3.759274,143.637604
7.467872,0.309070,25.683244,2.508281,2.508281,146.548420
6.580894,0.148423,16.757936,2.793733,2.793733,138.470867
5.980434,0.145861,15.195571,2.388981,2.388981,136.286551
7.257325,0.163348,18.829473,2.444516,2.444516,159.425206
6.633252,0.162799,18.265538,3.090629,3.090629,150.117816
7.211689,0.195006,15.852407,3.327351,3.327351,148.827482
7.253986,0.187172,21.335166,3.658103,3.658103,202.038458
