#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.004585,3,1,0,253
0.002803,4,1,0,456
0.121005,5,1,0,951
0.113376,6,1,0,1473
0.549782,7,1,0,2062
0.350740,8,1,0,2607
1.552503,9,1,0,3088
0.674618,10,1,0,3546
0.710105,0,0,0,0
46.861932,0,0,0,0
1.161722,0,0,0,0
1.211491,0,0,0,0
1.913166,0,0,0,0
2.227585,0,0,0,0
2.194640,0,0,0,0
2.627027,0,0,0,0
2.859529,0,0,0,0
3.200672,0,0,0,0
3.707320,0,0,0,0
4.036898,0,0,0,0
4.316299,0,0,0,0
5.428414,0,0,0,0
5.002678,0,0,0,0
4.520032,0,0,0,0
4.531087,0,0,0,0
4.345450,0,0,0,0
5.020614,0,0,0,0
4.538294,0,0,0,0
4.473511,0,0,0,0
4.281289,0,0,0,0
4.355156,0,0,0,0
4.337587,0,0,0,0
4.344939,0,0,0,0
4.514125,0,0,0,0
4.575601,0,0,0,0
4.408896,0,0,0,0
3.840105,0,0,0,0
4.883066,0,0,0,0
4.433243,0,0,0,0
3.105300,0,0,0,0
4.310578,0,0,0,0
3.311825,0,0,0,0
1.528130,0,0,0,0
2.572533,0,0,0,0
1.850367,0,0,0,0
2.073979,0,0,0,0
2.292652,0,0,0,0
3.209223,0,0,0,0
2.412340,0,0,0,0
3.745360,0,0,0,0
2.867371,0,0,0,0
2.735177,0,0,0,0
3.633437,0,0,0,0
4.035841,0,0,0,0
5.206371,0,0,0,0
5.144472,0,0,0,0
4.380947,0,0,0,0
5.061707,0,0,0,0
4.455003,0,0,0,0
5.327275,0,0,0,0
5.970170,0,0,0,0
4.397437,0,0,0,0
3.427947,0,0,0,0
5.008814,0,0,0,0
3.838454,0,0,0,0
4.504166,0,0,0,0
5.482995,0,0,0,0
4.503262,0,0,0,0
5.307851,0,0,0,0
4.718844,0,0,0,0
4.058673,0,0,0,0
4.208021,0,0,0,0
3.743693,0,0,0,0
3.533144,0,0,0,0
5.353223,0,0,0,0
4.825133,0,0,0,0
4.991963,0,0,0,0
4.580036,0,0,0,0
4.520663,0,0,0,0
7.278560,0,0,0,0
5.078225,0,0,0,0
4.069409,0,0,0,0
